start_token,end_token,supersense_category,text
5,6,noun.group,K.K.K. THE
7,8,noun.event,BIRTH OF
14,20,noun.group,SUSAN CAMPBELL BARTOLETTI Houghton Mifflin Harcourt Boston
21,22,noun.location,New York
27,28,noun.person,Susan Campbell
32,32,noun.cognition,method
34,34,noun.attribute,force
36,36,verb.perception,hides
39,39,noun.attribute,secrecy
40,40,verb.stative,is
42,42,noun.cognition,method
46,46,noun.group,humanity
49,49,noun.cognition,kind
51,51,noun.state,thing
53,53,noun.person,men
54,54,verb.stative,are
59,59,verb.social,do
64,64,noun.time,day
67,67,verb.creation,accomplish
70,70,verb.body,masked
74,74,noun.time,night
77,77,noun.cognition,method
78,78,verb.possession,has
80,80,noun.attribute,advantages
83,83,verb.consumption,uses
84,84,noun.attribute,Fear
86,86,verb.creation,cast
88,88,noun.feeling,Fear
91,91,verb.social,dares
92,92,noun.act,things
96,96,noun.cognition,method
97,97,verb.cognition,hesitates
104,104,noun.state,impunity
105,105,verb.competition,attack
114,114,verb.cognition,hesitate
117,117,noun.feeling,outrage
119,119,noun.act,maiming
121,121,noun.act,murder
124,124,verb.social,shields
128,128,noun.group,mob
129,129,noun.cognition,mind
132,132,verb.contact,throws
136,136,noun.artifact,veil
138,138,noun.state,darkness
140,140,verb.stative,becomes
141,141,noun.attribute,glamor
144,144,verb.emotion,attracts
145,145,noun.group,people
151,151,verb.social,reached
154,154,verb.change,harnesses
156,156,noun.group,mob
162,165,noun.person,E. B. Du Bois
169,169,noun.communication,rights
173,173,verb.creation,published
175,175,noun.communication,hardcover
181,181,noun.communication,imprint
183,187,noun.group,Houghton Mifflin Harcourt Publishing Company
190,190,noun.communication,information
192,192,noun.communication,permission
194,194,verb.creation,reproduce
195,195,noun.communication,selections
198,198,noun.communication,book
200,200,verb.creation,write
205,205,noun.communication,Permissions
207,211,noun.group,Houghton Mifflin Harcourt Publishing Company
214,215,noun.location,Park Avenue
217,218,noun.location,19th Floor
220,221,noun.location,New York
223,224,noun.location,New York
227,227,noun.communication,www.hmhco.com
229,229,noun.act,design
231,231,noun.person,YAY
235,235,noun.communication,text
238,238,noun.communication,book
240,240,verb.creation,set
242,243,noun.location,Adobe Garamond
247,249,noun.group,Library of Congress
251,251,verb.creation,cataloged
253,253,noun.artifact,hardcover
254,254,noun.communication,edition
258,258,noun.person,Bartoletti
260,261,noun.person,Susan Campbell
264,264,verb.communication,called
267,267,noun.location,K.K.K.
270,270,noun.time,birth
274,276,noun.group,terrorist group I
278,280,noun.person,Susan Campbell Bartoletti
282,283,noun.person,p. cm
287,289,noun.group,Ku Klux Klan
293,293,noun.communication,literature
297,299,noun.group,Ku Klux Klan
302,302,noun.communication,literature
306,306,noun.cognition,Racism
308,309,noun.group,United States
311,311,noun.communication,History
314,314,noun.communication,literature
318,319,noun.group,Hate groups
321,322,noun.location,United States
324,324,noun.communication,History
