COREF,start_token,end_token,prop,cat,text
58,5,6,PROP,PER,TRISH COOK
59,8,9,PROP,PER,BRENDAN HALPIN
1,25,26,PROP,GPE,Egmont USA
2,30,32,PROP,FAC,Park Avenue South
3,34,35,PROP,FAC,Suite 806
4,36,37,PROP,GPE,New York
5,39,39,PROP,GPE,NY
58,43,44,PROP,PER,Trish Cook
59,46,47,PROP,PER,Brendan Halpin
58,66,66,PROP,PER,Cook
58,76,76,PROP,PER,Cook
59,78,79,PROP,PER,Brendan Halpin
270,90,91,NOM,PER,Two teenagers
271,93,112,NOM,PER,a heavy - metal - music - loving boy who is still mourning the death of his mother years earlier
271,109,109,PRON,PER,his
272,109,110,NOM,PER,his mother
273,115,127,NOM,PER,"a beautiful , popular girl whose parents divorced because her father is gay"
273,124,124,PRON,PER,her
274,124,125,NOM,PER,her father
275,135,135,NOM,PER,family
270,140,140,PRON,PER,they
276,144,145,NOM,PER,each other
270,149,149,PRON,PER,their
277,149,150,NOM,PER,their father
278,152,152,NOM,PER,mother
276,155,156,NOM,PER,each other
280,158,158,PRON,PER,ISBN
59,222,222,PROP,PER,Halpin
6,240,244,PROP,GPE,the United States of America
7,255,256,PROP,GPE,Berryville Graphics
8,258,258,PROP,GPE,Berryville
9,260,260,PROP,GPE,Virginia
281,305,306,NOM,PER,the publisher
282,308,309,NOM,PER,copyright owner
60,313,314,PROP,PER,Team Cook
283,317,317,PRON,PER,our
284,327,333,NOM,PER,the Halpin / Neslon / Demarco family
0,335,335,PRON,PER,I
285,342,342,PRON,PER,you
61,349,351,PROP,PER,DECLAN AUNT SARAH
61,354,354,PRON,PER,HER
0,357,357,PRON,PER,I
0,363,363,PRON,PER,my
286,363,364,NOM,FAC,my house
0,367,367,PRON,PER,I
0,379,379,PRON,PER,me
0,382,382,PRON,PER,I
0,394,394,PRON,PER,I
0,401,401,PRON,PER,I
0,404,404,PRON,PER,I
0,410,410,PRON,PER,I
0,413,413,PRON,PER,my
287,417,418,NOM,FAC,this house
62,428,428,PROP,PER,Dad
63,438,439,PROP,PER,Aunt Sarah
0,445,445,PRON,PER,I
0,448,448,PRON,PER,my
63,456,456,PRON,PER,her
0,458,458,PRON,PER,I
0,467,467,PRON,PER,I
62,473,473,PROP,PER,Dad
62,476,476,PRON,PER,his
288,477,477,PRON,PER,we
0,492,492,PRON,PER,I
288,500,500,PRON,PER,we
62,513,513,PROP,PER,Dad
62,520,520,PRON,PER,his
289,535,535,NOM,PER,somebody
0,546,546,PRON,PER,me
62,556,556,PRON,PER,he
62,567,567,PRON,PER,he
0,571,571,PRON,PER,my
290,571,572,NOM,FAC,my room
62,582,582,PRON,PER,he
62,591,591,PRON,PER,I
62,600,600,PRON,PER,my
62,603,603,PRON,PER,I
0,605,605,PRON,PER,your
1613,616,616,PRON,PER,They
1614,621,621,PRON,PER,we
291,639,640,NOM,PER,most people
292,651,652,NOM,FAC,the house
293,654,654,PRON,PER,you
294,661,662,NOM,PER,the parents
295,668,669,NOM,PER,the kids
296,675,676,NOM,FAC,the yard
0,679,679,PRON,PER,me
0,683,683,PRON,PER,my
62,689,689,PROP,PER,Declan
0,691,691,PRON,PER,My
297,691,692,NOM,PER,My parents
62,697,697,PROP,PER,Dad
64,701,701,PROP,PER,Mom
64,712,712,PROP,PER,Mom
298,719,737,NOM,PER,"big fans of Elvis Costello , who looked like a kid who gets a swirlee in the locker room"
65,722,723,PROP,PER,Elvis Costello
299,728,737,NOM,PER,a kid who gets a swirlee in the locker room
0,739,739,PRON,PER,I
0,742,742,PRON,PER,I
300,746,746,NOM,PER,bullies
0,752,752,PRON,PER,I
301,755,756,NOM,PER,the guy
0,758,758,PRON,PER,I
301,762,762,PRON,PER,him
301,767,767,PRON,PER,his
62,771,771,PROP,PER,Declan
0,776,776,PRON,PER,mine
66,779,779,PROP,PER,Dec
62,782,782,PROP,PER,Dad
62,787,787,PRON,PER,I
62,803,803,PRON,PER,I
0,825,825,PRON,PER,I
0,832,832,PRON,PER,I
0,837,837,PRON,PER,myself
66,842,842,PRON,PER,you
1615,847,848,NOM,PER,the Curious
66,852,852,PRON,PER,You
