start_token,end_token,supersense_category,text
6,6,noun.person,COOK
8,10,noun.group,BRENDAN HALPIN EGMONT
23,23,verb.creation,published
30,32,noun.location,Park Avenue South
34,35,noun.location,Suite 806
36,37,noun.location,New York
39,39,noun.location,NY
43,44,noun.person,Trish Cook
46,47,noun.person,Brendan Halpin
54,59,noun.group,www.egmontusa.com www.trishcook.com www.brendanhalpin.com Library of Congress
64,66,noun.group,Publication Data Cook
73,73,noun.artifact,blender
78,79,noun.person,Brendan Halpin
83,83,noun.communication,ed
88,88,noun.communication,Summary
91,91,noun.person,teenagers
98,98,noun.communication,music
101,101,noun.person,boy
105,105,verb.emotion,mourning
107,107,noun.event,death
110,110,noun.person,mother
111,111,noun.time,years
119,119,noun.person,girl
121,121,noun.person,parents
122,122,verb.change,divorced
125,125,noun.person,father
126,126,verb.stative,is
129,129,verb.social,try
131,131,verb.communication,negotiate
133,133,noun.state,complications
135,135,noun.group,family
137,138,noun.state,peer relationships
143,143,verb.cognition,know
147,147,verb.cognition,learning
150,150,noun.person,father
152,152,noun.person,mother
154,154,verb.social,marrying
169,169,noun.communication,Hardcover
188,188,noun.relation,relations
190,190,noun.communication,Fiction
196,196,noun.communication,Social
201,201,noun.communication,Stepfamilies
203,203,noun.communication,Fiction
209,210,noun.state,sex marriage
212,212,noun.communication,Fiction
218,218,noun.communication,Fiction
224,224,noun.person,Brendan
227,227,noun.communication,Title
235,235,noun.act,design
238,238,verb.creation,Printed
241,246,noun.group,United States of America CPSIA tracking
247,247,noun.communication,label
248,248,noun.communication,information
250,250,verb.creation,Printed
252,252,noun.time,March
255,256,noun.location,Berryville Graphics
258,258,noun.location,Berryville
260,261,noun.location,Virginia All
262,262,noun.possession,rights
266,266,noun.relation,part
269,269,noun.communication,publication
272,272,verb.contact,reproduced
274,274,verb.contact,stored
277,278,noun.artifact,retrieval system
281,281,verb.contact,transmitted
285,285,noun.communication,form
295,295,verb.contact,photocopying
303,303,noun.communication,permission
306,306,noun.person,publisher
308,308,noun.communication,copyright
309,309,noun.person,owner
311,311,noun.person,COOK
313,314,noun.person,Team Cook
319,319,noun.act,adventures
322,322,verb.change,come
328,328,noun.person,Halpin
330,330,noun.person,Neslon
332,332,noun.person,Demarco
333,333,noun.group,family
336,336,verb.emotion,love
337,337,verb.stative,being
340,340,noun.artifact,blender
347,347,noun.communication,CHAPTER
349,351,noun.person,DECLAN AUNT SARAH
352,352,verb.stative,SAT
359,359,verb.contact,opened
361,361,noun.artifact,door
364,364,noun.artifact,house
368,368,verb.emotion,like
376,376,noun.act,gesture
378,378,verb.social,helps
380,381,verb.emotion,feel like
384,384,verb.emotion,cared
388,388,noun.event,times
392,392,noun.time,afternoon
395,395,verb.cognition,find
402,402,verb.communication,mean
405,405,verb.stative,’m
407,407,noun.time,years
412,412,verb.possession,had
415,415,noun.artifact,key
418,418,noun.artifact,house
421,421,noun.time,years
428,428,noun.person,Dad
432,432,verb.change,change
434,434,noun.artifact,locks
438,439,noun.person,Aunt Sarah
442,443,verb.contact,drive off
447,447,verb.motion,turned
449,449,noun.artifact,key
452,452,noun.artifact,lock
454,454,verb.communication,waved
460,460,verb.communication,tell
462,462,verb.stative,was
468,468,verb.motion,walked
471,471,noun.artifact,door
473,473,noun.person,Dad
475,475,verb.body,wearing
489,489,noun.communication,Talk
490,490,noun.body,face
495,495,verb.cognition,reminded
499,499,noun.event,time
507,507,verb.stative,was
510,510,noun.time,year
513,513,noun.person,Dad
516,516,verb.cognition,discovered
519,519,noun.communication,reason
521,521,noun.artifact,computer
523,523,verb.contact,running
531,531,verb.motion,going
537,537,verb.possession,downloaded
541,542,noun.communication,video files
545,545,verb.social,let
548,548,verb.cognition,delete
551,552,verb.possession,free up
554,554,noun.cognition,memory
559,559,verb.motion,go
562,562,verb.perception,watch
569,569,verb.motion,come
572,572,noun.artifact,room
575,576,noun.communication,Serious Talk
584,584,verb.communication,said
594,594,verb.possession,have
596,596,noun.group,stack
598,598,noun.artifact,Playboys
601,601,noun.artifact,bed
604,604,verb.stative,was
606,606,noun.time,age
613,613,verb.possession,got
617,617,verb.stative,’re
618,618,noun.possession,collectors
619,619,noun.communication,items
623,623,verb.emotion,like
624,624,verb.possession,sell
633,633,noun.group,Dec
640,640,noun.group,people
645,645,verb.stative,is
647,647,noun.artifact,slab
649,649,noun.substance,wood
652,652,noun.artifact,house
655,656,verb.body,sit out
658,658,verb.contact,grill
659,659,noun.artifact,things
662,662,noun.person,parents
664,664,verb.contact,buzzed
666,666,noun.food,margaritas
669,669,noun.person,kids
670,670,verb.competition,play
671,671,noun.act,capture
673,673,noun.artifact,flag
676,676,noun.artifact,yard
685,685,noun.communication,name
687,687,noun.person,Short
689,689,noun.person,Declan
692,692,noun.person,parents
693,693,verb.stative,were
697,697,noun.person,Dad
698,698,verb.stative,is
701,701,noun.person,Mom
710,710,noun.communication,verb
712,712,noun.person,Mom
713,713,verb.stative,is
716,717,noun.time,past tense
720,720,noun.person,fans
722,723,noun.person,Elvis Costello
726,727,verb.stative,looked like
729,729,noun.person,kid
731,731,verb.possession,gets
733,733,noun.communication,swirlee
736,737,noun.artifact,locker room
740,740,verb.communication,mean
745,745,verb.competition,dodging
746,746,noun.person,bullies
749,749,noun.time,years
753,753,verb.perception,look
756,756,noun.person,guy
759,759,verb.emotion,want
761,761,verb.possession,give
764,764,noun.communication,swirlee
768,769,noun.communication,real name
770,770,verb.stative,is
771,771,noun.person,Declan
779,779,noun.person,Dec
782,782,noun.person,Dad
784,784,verb.communication,said
791,791,verb.possession,have
795,795,noun.communication,point
796,796,verb.stative,is
804,804,verb.cognition,think
809,809,noun.attribute,sin
811,812,verb.perception,look at
814,814,noun.artifact,pictures
820,820,noun.state,case
822,822,noun.communication,movies
826,826,verb.cognition,knew
828,828,verb.stative,was
836,836,verb.social,stop
843,843,verb.emotion,enjoy
853,853,verb.cognition,know
875,875,noun.person,Dad
877,877,verb.social,worked
882,882,noun.state,point
884,884,verb.change,suppress
886,886,noun.communication,smile
891,891,verb.competition,won
914,915,noun.state,death metal
916,916,verb.stative,is
927,927,verb.cognition,think
929,929,verb.competition,outgrew
930,930,noun.communication,songs
932,933,noun.person,Cookie Monster
935,935,noun.communication,vocals
938,938,verb.stative,were
942,942,verb.communication,given
946,946,noun.communication,smile
959,959,verb.cognition,understand
961,961,noun.communication,thing
964,964,noun.communication,music
966,966,verb.emotion,love
971,971,verb.communication,glared
984,985,noun.communication,video games
986,986,verb.stative,are
994,994,verb.contact,put
997,997,noun.substance,stuff
1002,1002,verb.change,makes
1005,1005,verb.emotion,worry
1013,1013,noun.person,Dad
1019,1019,noun.person,Dec
1043,1043,noun.act,sex
1044,1044,noun.communication,scenes
1046,1046,noun.person,guys
1047,1047,verb.communication,screaming
1049,1049,noun.animal,demons
1050,1050,verb.consumption,eating
1052,1052,noun.body,flesh
1055,1055,noun.time,hours
1057,1057,noun.time,hours
1062,1062,noun.communication,TV
1063,1063,verb.communication,pretending
1065,1065,verb.stative,be
1068,1068,noun.person,killer
1075,1075,noun.person,Dec
1081,1081,noun.attribute,amount
1083,1083,noun.feeling,rage
1092,1092,verb.perception,looked
1103,1103,verb.emotion,enraged
1107,1107,verb.stative,was
1114,1114,noun.person,freshman
1115,1115,noun.person,boy
1120,1120,noun.cognition,form
1122,1122,noun.state,life
1125,1126,noun.group,high school
1138,1138,noun.act,sports
1140,1140,noun.artifact,drugs
1145,1146,verb.communication,cut out
1150,1150,noun.act,avenues
1153,1153,noun.artifact,pants
1156,1156,noun.person,girls
1163,1163,noun.person,mom
1165,1165,verb.change,died
1168,1168,noun.artifact,car
1169,1169,noun.event,wreck
1171,1171,verb.motion,driving
1174,1174,noun.act,soccer
1175,1175,noun.act,practice
1178,1178,verb.stative,was
1182,1182,verb.stative,was
1185,1185,noun.artifact,backseat
1189,1189,verb.change,get
1190,1190,verb.body,injured
1196,1196,verb.communication,say
1198,1199,verb.motion,walked away
1202,1202,noun.act,scratch
1206,1206,verb.communication,tell
1209,1209,noun.person,EMTs
1212,1212,verb.contact,pull
1215,1215,verb.communication,screaming
1217,1217,verb.body,crying
1221,1221,noun.person,mom
1223,1223,noun.body,body
1229,1229,verb.motion,walk
1236,1236,verb.possession,have
1238,1238,noun.state,scratch
1243,1243,noun.person,Dad
1246,1246,verb.communication,blamed
1257,1257,verb.cognition,thought
1266,1266,noun.person,Dec
1271,1271,verb.communication,said
1274,1274,noun.cognition,conclusion
1277,1277,noun.time,year
1280,1280,noun.communication,Talk
1285,1285,verb.communication,talked
1288,1288,noun.person,aunt
1289,1289,noun.person,Sarah
1294,1294,verb.communication,agreed
1300,1300,verb.stative,spend
1301,1301,noun.time,Saturday
1302,1302,noun.time,nights
1307,1308,verb.stative,go to
1309,1309,noun.act,church
1313,1313,noun.time,Sunday
1314,1314,noun.time,mornings
1318,1318,noun.act,Church
1320,1320,noun.group,Church
1324,1324,verb.communication,kidding
1331,1331,verb.perception,heard
1333,1333,noun.person,dad
1334,1334,verb.communication,talking
1337,1337,noun.person,sister
1338,1338,noun.person,Sarah
1340,1340,noun.person,mom
1341,1341,verb.change,died
1343,1343,verb.communication,saying
1346,1346,noun.person,God
1349,1349,verb.contact,take
1351,1351,noun.person,mom
1353,1353,verb.stative,was
1356,1357,verb.motion,getting out
1362,1362,noun.time,Sunday
1367,1367,noun.person,Dec
1374,1374,verb.emotion,want
1377,1378,verb.emotion,feel like
1382,1382,verb.creation,doing
1385,1385,noun.act,job
1388,1388,verb.communication,mean
1391,1391,verb.possession,bought
1394,1394,noun.act,games
1397,1397,verb.communication,complaining
1403,1403,verb.emotion,want
1406,1406,verb.possession,have
1409,1409,noun.attribute,influence
1412,1412,noun.time,life
1415,1415,noun.communication,yeah
1419,1419,verb.emotion,want
1422,1423,verb.motion,go to
1424,1424,noun.act,church
1429,1429,verb.emotion,hate
1434,1434,verb.stative,’s
1437,1437,noun.feeling,demons
1439,1439,noun.act,killing
1448,1448,verb.stative,was
1454,1454,verb.change,happens
1459,1459,verb.cognition,know
1462,1462,verb.communication,mean
1464,1464,noun.person,Dec
1467,1467,verb.stative,’s
1472,1472,verb.cognition,know
1474,1474,noun.act,porn
1475,1475,verb.stative,is
1480,1480,verb.communication,mean
1486,1486,noun.act,sex
1494,1494,noun.act,sex
1495,1495,verb.stative,is
1499,1499,noun.act,sex
1500,1500,verb.stative,is
1504,1504,noun.person,Dad
1507,1507,verb.communication,swear
1512,1513,verb.motion,go to
1514,1515,noun.person,Aunt Sarah
1517,1517,noun.artifact,house
1519,1519,verb.stative,spend
1521,1521,noun.time,night
1523,1523,verb.motion,go
1524,1524,verb.stative,be
1526,1526,noun.person,minister
1528,1528,noun.person,helper
1532,1532,verb.communication,promise
1537,1537,verb.communication,tell
1541,1541,noun.act,sex
1542,1542,verb.stative,is
1547,1547,verb.communication,mean
1550,1550,verb.emotion,wants
1552,1552,verb.perception,hear
1556,1556,noun.person,dad
1560,1560,noun.person,son
1564,1564,noun.person,mother
1569,1569,verb.contact,hit
1579,1579,verb.emotion,want
1581,1581,verb.perception,hear
1587,1587,noun.person,Dad
1589,1589,verb.communication,paused
1591,1591,verb.perception,looking
1595,1595,verb.cognition,thinking
1597,1597,verb.change,getting
1604,1604,verb.body,smiled
1607,1607,verb.communication,Deal
1618,1618,verb.stative,spend
1619,1619,noun.time,weekends
1622,1623,noun.person,aunt Sarah
1626,1626,noun.person,minister
1628,1629,noun.group,First Church
1633,1633,noun.person,partner
1635,1635,noun.person,Lisa
1640,1640,verb.possession,got
1642,1642,noun.act,job
1645,1646,noun.group,First Church
1647,1647,noun.person,sexton
1650,1650,verb.perception,sounds
1658,1658,verb.stative,is
1661,1661,noun.person,sexton
1662,1662,verb.stative,is
1665,1666,noun.person,church janitor
1670,1670,verb.motion,go
1672,1673,verb.contact,sweep up
1675,1676,noun.artifact,parish hall
1678,1678,verb.possession,dispose
1681,1681,noun.animal,mouse
1682,1682,noun.artifact,corpses
1684,1684,verb.stative,collect
1687,1687,noun.artifact,kitchen
1689,1689,verb.creation,set
1692,1692,noun.artifact,traps
1695,1695,verb.contact,rake
1697,1697,noun.artifact,leaves
1700,1700,noun.cognition,kind
1702,1702,noun.substance,stuff
1710,1710,verb.social,try
1712,1713,verb.cognition,figure out
1718,1718,verb.communication,say
1724,1724,verb.communication,call
1727,1727,noun.person,sexton
1737,1737,noun.act,sex
1745,1746,verb.stative,make sense
1750,1750,verb.emotion,amuses
1755,1755,verb.social,doing
1757,1757,noun.location,parts
1760,1760,noun.act,job
1762,1762,verb.stative,are
1766,1766,noun.animal,rodent
1767,1767,noun.act,disposal
1771,1771,verb.cognition,guess
1772,1772,noun.person,Dad
1775,1775,noun.cognition,plan
1778,1778,noun.time,year
1782,1782,verb.stative,worked
1785,1785,verb.stative,spending
1788,1788,noun.time,weekends
1791,1791,noun.artifact,house
1794,1794,noun.time,afternoons
1796,1796,noun.time,week
1797,1797,verb.social,doing
1798,1798,noun.person,sexton
1799,1799,noun.substance,stuff
1802,1802,noun.artifact,church
1806,1807,verb.cognition,think of
1808,1808,noun.person,Sarah
1810,1810,noun.person,Lisa
1815,1815,noun.person,parents
1818,1818,verb.emotion,love
1822,1822,verb.emotion,bug
1831,1832,verb.cognition,listen to
1833,1833,noun.phenomenon,death
1834,1834,noun.artifact,metal
1838,1838,verb.social,play
1842,1842,noun.act,games
1845,1845,verb.communication,deal
1846,1846,noun.phenomenon,death
1848,1848,noun.event,destruction
1853,1853,verb.perception,look
1854,1854,verb.creation,at
1855,1855,noun.act,porn
1858,1858,verb.stative,am
1861,1862,noun.group,high school
1863,1863,noun.person,sophomore
1871,1871,verb.perception,see
1874,1874,noun.person,girl
1881,1882,verb.social,make do
1885,1885,noun.cognition,fantasy
1886,1886,noun.person,women
1893,1893,noun.cognition,imagination
1894,1895,verb.creation,cooks up
1897,1898,noun.person,Neilly Foster
1901,1901,verb.perception,sounds
1905,1905,noun.communication,song
1911,1911,noun.person,girl
1912,1912,verb.stative,is
1916,1916,verb.cognition,think
1920,1920,verb.stative,be
1926,1926,verb.perception,see
1929,1929,noun.food,lunch
1933,1933,noun.artifact,halls
1938,1938,noun.person,junior
1944,1944,verb.stative,is
1952,1952,noun.act,classes
1959,1959,verb.social,fail
1963,1963,verb.perception,saw
1965,1965,verb.consumption,eating
1967,1967,noun.food,Popsicle
1970,1970,noun.artifact,caf
1974,1975,verb.motion,go home
1978,1978,noun.relation,rest
1981,1981,noun.time,day
1987,1988,verb.motion,goes for
1989,1989,noun.person,jocks
1991,1991,noun.body,muscleheads
1994,1994,verb.stative,means
2000,2000,noun.act,shot
2007,2007,verb.possession,download
2009,2009,noun.person,Dad
2011,2011,noun.artifact,computer
2014,2014,verb.stative,are
2016,2016,noun.person,girls
2018,2019,verb.communication,go for
2030,2030,noun.person,girls
2035,2036,verb.stative,look like
2040,2040,verb.cognition,find
2044,2044,verb.change,introduce
2051,2051,noun.cognition,mysteries
2054,2054,noun.body,flesh
2060,2060,noun.cognition,thing
2063,2063,noun.person,dildo
2065,2065,verb.contact,killed
2067,2067,noun.person,mom
2069,2069,verb.motion,driving
2072,2072,noun.act,influence
2074,2074,noun.artifact,alcohol
2076,2076,noun.artifact,marijuana
2082,2083,noun.artifact,prescription medications
2086,2086,verb.cognition,guess
2088,2088,verb.stative,was
2093,2093,noun.group,party
2097,2097,verb.stative,’s
2102,2103,verb.cognition,think of
2106,2107,noun.group,high school
2108,2108,noun.act,drinking
2110,2110,noun.act,drugging
2113,2113,noun.group,party
2114,2114,noun.act,activities
2117,2117,verb.perception,have
2122,2122,verb.stative,keeping
2124,2124,noun.body,mouth
2131,2131,noun.person,idiots
2132,2132,noun.group,people
2134,2134,verb.change,get
2136,2136,verb.stative,are
2142,2142,verb.social,invited
2147,2147,noun.group,parties
2152,2152,verb.possession,have
2154,2154,noun.person,friends
2158,2158,verb.cognition,guess
2160,2160,verb.stative,’re
2163,2163,noun.group,school
2164,2164,noun.person,friends
2167,2167,noun.person,friends
2170,2170,noun.cognition,kind
2172,2172,noun.group,people
2174,2174,verb.stative,sit
2178,2179,noun.artifact,study hall
2182,2182,verb.communication,call
2185,2185,noun.time,weekends
2189,2189,verb.possession,have
2191,2191,noun.time,weekends
2193,2193,noun.person,Sarah
2195,2195,noun.person,Lisa
2197,2197,noun.artifact,house
2202,2202,verb.possession,got
2204,2204,noun.substance,metal
2208,2208,verb.cognition,know
