COREF,start_token,end_token,prop,cat,text
95,1,1,PROP,PER,grayson
295,3,4,NOM,PER,the kid
0,7,7,PRON,PER,me
0,19,19,PRON,PER,your
0,26,26,PRON,PER,me
96,29,29,PROP,PER,Frenchy
0,39,39,PRON,PER,I
97,43,43,PROP,PER,Piercings
0,47,47,PRON,PER,I
97,54,54,PROP,PER,Piercings
0,58,58,PRON,PER,me
0,70,70,PRON,PER,I
97,76,76,PRON,PER,he
0,78,78,PRON,PER,me
0,79,79,PRON,PER,my
0,82,82,PRON,PER,my
0,85,85,PRON,PER,I
98,96,96,PROP,PER,Clark
0,108,108,PRON,PER,my
0,122,122,PRON,PER,my
296,122,127,NOM,PER,my fellow underage Frenchy 's pilgrim
96,125,125,PROP,PER,Frenchy
0,131,131,PRON,PER,me
0,138,138,PRON,PER,you
0,141,141,PRON,PER,I
0,151,151,PRON,PER,I
95,154,154,PROP,PER,Grayson
296,160,160,PRON,PER,I
296,180,180,PRON,PER,he
0,193,193,PRON,PER,I
295,199,199,PRON,PER,you
295,203,204,NOM,PER,The kid
0,207,207,PRON,PER,me
295,212,212,PRON,PER,his
295,216,216,PRON,PER,he
0,218,218,PRON,PER,I
295,222,222,PRON,PER,him
295,228,228,PRON,PER,he
295,233,233,PRON,PER,I
95,237,237,PROP,PER,Grayson
298,242,242,PRON,PER,YOU
99,248,252,PROP,PER,Katherines John Green Fat Kid
299,262,262,PRON,PER,Our
99,264,265,PROP,PER,John Green
0,267,267,PRON,PER,Me
109,270,272,PROP,FAC,The Tiny Cooper
100,274,275,PROP,PER,David Levithan
100,279,280,PROP,PER,John Green
101,282,283,PROP,PER,Maureen Johnson
102,285,286,PROP,PER,Lauren Myracle
2,289,289,PROP,GPE,Alaska
100,290,296,PROP,PER,John Green Marly 's Ghost David Levithan
103,298,299,PROP,PER,Brian Selznick
0,300,300,PRON,PER,My
3,307,307,PROP,GPE,Towns
100,308,309,PROP,PER,John Green
4,312,320,PROP,FAC,the Madman Underground John Barnes Turtles All the Way
104,315,317,PROP,PER,John Barnes Turtles
100,322,323,PROP,PER,John Green
95,327,329,PROP,PER,Will Grayson john
100,332,333,PROP,PER,david levithan
5,339,347,PROP,FAC,Penguin Random House LLC 375 Hudson Street New York
6,344,347,PROP,GPE,Hudson Street New York
7,349,350,PROP,GPE,New York
8,355,359,PROP,LOC,the United States of America
9,359,359,PROP,GPE,America
10,361,362,PROP,ORG,Dutton Books
300,364,372,NOM,PER,a member of Penguin Group ( USA ) Inc.
11,367,368,PROP,ORG,Penguin Group
12,370,370,PROP,GPE,USA
301,379,385,NOM,ORG,an imprint of Penguin Group ( USA
12,385,385,PROP,GPE,USA
100,394,395,PROP,PER,John Green
105,397,399,PROP,PER,David Levithan Penguin
302,422,422,PRON,PER,you
302,455,455,PRON,PER,You
303,458,458,NOM,PER,writers
304,468,469,NOM,PER,every reader
13,473,473,PROP,GPE,CONGRESS
305,487,490,NOM,GPE,the United States of
9,491,491,PROP,GPE,America
106,494,495,PROP,PER,Irene Vandervoort
107,500,501,PROP,PER,David Leventhal
108,511,512,PROP,PER,Tobias Huisman
0,517,517,PRON,PER,I
0,521,521,PRON,PER,my
306,521,522,NOM,PER,my dad
0,526,526,PRON,PER,me
307,531,531,PRON,PER,you
307,534,534,PRON,PER,your
2094,534,535,NOM,PER,your friends
307,538,538,PRON,PER,you
307,541,541,PRON,PER,your
307,545,545,PRON,PER,you
307,549,549,PRON,PER,your
2095,549,550,NOM,PER,your friend
0,563,563,PRON,PER,me
0,565,565,PRON,PER,I
307,585,585,PRON,PER,you
307,590,590,PRON,PER,your
2094,590,591,NOM,PER,your friends
0,595,595,PRON,PER,I
109,602,603,PROP,PER,Tiny Cooper
109,605,606,PROP,PER,Tiny Cooper
309,609,613,NOM,PER,the world 's gayest person
109,616,616,PRON,PER,he
310,619,623,NOM,PER,the world 's largest person
0,626,626,PRON,PER,I
109,628,628,PRON,PER,he
311,631,641,NOM,PER,"the world 's largest person who is really , really gay"
312,645,655,NOM,PER,"the world 's gayest person who is really , really large"
109,657,657,PROP,PER,Tiny
0,660,660,PRON,PER,my
313,660,662,NOM,PER,my best friend
109,674,674,PRON,PER,he
109,682,682,PRON,PER,his
0,687,687,PRON,PER,I
314,691,700,NOM,PER,an actual honest - to - God Group of Friends
0,706,706,PRON,PER,my
0,715,715,PRON,PER,Me
315,726,730,NOM,PER,some school - board member
316,737,739,NOM,FAC,the locker room
0,741,741,PRON,PER,I
109,743,744,PROP,PER,Tiny Cooper
317,757,767,NOM,PER,the best member of our shitty football team 's offensive line
318,761,761,PRON,PER,our
319,761,764,NOM,PER,our shitty football team
0,779,779,PRON,PER,I
320,787,795,NOM,PER,This guy in the Group of Friends named Clint
110,795,795,PROP,PER,Clint
320,813,813,PRON,PER,he
0,815,815,PRON,PER,me
321,816,817,NOM,PER,a bitchsquealer
0,820,820,PRON,PER,I
321,825,826,NOM,PER,a bitchsquealer
0,830,830,PRON,PER,I
320,837,837,PRON,PER,you
320,843,843,PRON,PER,he
0,845,845,PRON,PER,me
321,846,847,NOM,PER,a bitchsquealer
0,853,853,PRON,PER,I
110,855,855,PROP,PER,Clint
0,862,862,PRON,PER,my
0,868,868,PRON,PER,I
0,873,873,PRON,PER,I
324,875,878,NOM,PER,the Group of Friends
325,890,892,NOM,PER,none of them
324,892,892,PRON,PER,them
0,897,897,PRON,PER,me
324,900,900,PRON,PER,they
324,911,911,PRON,PER,they
0,917,917,PRON,PER,me
326,921,922,NOM,PER,social peers
327,925,925,PRON,PER,you
109,927,927,PROP,PER,Tiny
0,933,933,PRON,PER,I
0,935,935,PRON,PER,I
111,938,938,PROP,PER,Andbutso
328,943,943,PRON,PER,we
328,949,949,PRON,PER,our
0,953,953,PRON,PER,I
0,957,957,PRON,PER,my
109,963,963,PROP,PER,Tiny
109,967,967,PRON,PER,his
109,971,971,PRON,PER,his
109,985,985,PROP,PER,Tiny
109,990,990,PRON,PER,himself
0,997,997,PRON,PER,mine
0,1005,1005,PRON,PER,I
109,1008,1008,PRON,PER,he
109,1014,1014,PROP,PER,Tiny
109,1017,1017,PRON,PER,his
0,1020,1020,PRON,PER,I
109,1027,1027,PRON,PER,he
0,1030,1030,PRON,PER,me
109,1032,1032,PRON,PER,he
109,1038,1038,PRON,PER,he
329,1040,1041,NOM,PER,other people
109,1046,1046,PRON,PER,I
0,1052,1052,PRON,PER,I
0,1054,1054,PRON,PER,my
109,1058,1058,PRON,PER,he
330,1069,1072,NOM,PER,some poor new boy
331,1074,1074,PRON,PER,They
14,1096,1096,PROP,GPE,Chicago
332,1101,1104,NOM,PER,boys who fake tan
0,1106,1106,PRON,PER,I
332,1111,1111,PRON,PER,they
0,1119,1119,PRON,PER,You
109,1125,1125,PROP,PER,Tiny
109,1129,1129,PRON,PER,his
0,1132,1132,PRON,PER,me
109,1135,1135,PRON,PER,I
109,1140,1140,PROP,PER,Tiny
0,1143,1143,PRON,PER,I
109,1147,1147,PRON,PER,I
0,1153,1153,PRON,PER,You
2096,1155,1156,NOM,PER,a robot
109,1159,1159,PRON,PER,he
109,1162,1162,PROP,PER,Tiny
0,1165,1165,PRON,PER,I
333,1170,1170,NOM,PER,humans
0,1174,1174,PRON,PER,I
0,1179,1179,PRON,PER,my
0,1184,1184,PRON,PER,I
15,1192,1192,PROP,GPE,Heaven
0,1194,1194,PRON,PER,I
0,1196,1196,PRON,PER,I
0,1212,1212,PRON,PER,my
0,1215,1215,PRON,PER,I
0,1221,1221,PRON,PER,I
0,1228,1228,PRON,PER,I
0,1240,1240,PRON,PER,I
334,1253,1253,NOM,PER,relatives
335,1260,1260,PRON,PER,you
0,1287,1287,PRON,PER,me
109,1300,1300,PRON,PER,I
109,1306,1306,PRON,PER,I
109,1311,1311,PROP,PER,Tiny
336,1320,1320,PRON,PER,our
112,1324,1325,PROP,PER,Mr. Applebaum
336,1331,1331,PRON,PER,us
0,1337,1337,PRON,PER,me
109,1350,1350,PRON,PER,You
109,1354,1354,PROP,PER,Tiny
109,1362,1362,PROP,PER,Tiny
109,1365,1365,PRON,PER,I
337,1371,1371,NOM,PER,everyone
109,1380,1380,PROP,PER,Tiny
0,1384,1384,PRON,PER,I
109,1389,1389,PRON,PER,him
109,1391,1391,PRON,PER,he
0,1393,1393,PRON,PER,my
338,1393,1397,NOM,PER,my best and only friend
337,1399,1399,PRON,PER,they
0,1405,1405,PRON,PER,me
0,1413,1413,PRON,PER,I
109,1417,1418,PROP,PER,Tiny Cooper
0,1420,1420,PRON,PER,my
339,1420,1421,NOM,PER,my friend
109,1423,1423,PRON,PER,He
109,1431,1431,PRON,PER,he
0,1440,1440,PRON,PER,my
109,1446,1446,PRON,PER,he
109,1461,1461,PRON,PER,he
340,1465,1466,NOM,LOC,the world
109,1469,1469,PRON,PER,him
340,1483,1484,NOM,LOC,the world
0,1487,1487,PRON,PER,me
0,1494,1494,PRON,PER,I
0,1498,1498,PRON,PER,my
0,1503,1503,PRON,PER,I
342,1511,1511,NOM,FAC,home
109,1514,1514,PROP,PER,Tiny
109,1518,1518,PRON,PER,his
113,1518,1543,PROP,PER,his Gay - Straight Alliance friends Gary ( who is gay ) and Jane ( who may or may not be — I've never asked )
113,1524,1524,PROP,PER,Gary
113,1531,1531,PROP,PER,Jane
0,1540,1540,PRON,PER,I've
109,1546,1546,PROP,PER,Tiny
0,1549,1549,PRON,PER,me
337,1554,1554,NOM,PER,everyone
109,1556,1556,PRON,PER,I
109,1558,1558,PRON,PER,my
0,1561,1561,PRON,PER,you
109,1565,1565,PRON,PER,Me
95,1569,1570,PROP,PER,Will Grayson
0,1578,1578,PRON,PER,you
0,1587,1587,PRON,PER,I
2098,1591,1591,NOM,PER,People
2099,1594,1595,NOM,PER,such idiots
109,1598,1598,PROP,PER,Tiny
113,1614,1614,PROP,PER,Gary
343,1619,1619,PRON,PER,you
343,1622,1622,PRON,PER,your
2094,1622,1623,NOM,PER,your friends
0,1625,1625,PRON,PER,I
113,1628,1628,PROP,PER,Gary
109,1630,1630,PROP,PER,Tiny
113,1634,1634,PROP,PER,Gary
113,1636,1636,PROP,PER,Jane
113,1638,1638,PROP,PER,Gary
345,1638,1640,NOM,PER,Gary 's boyfriend
114,1642,1642,PROP,PER,Nick
109,1645,1645,PRON,PER,he
16,1647,1648,PROP,ORG,the GSA
0,1650,1650,PRON,PER,my
346,1653,1659,NOM,PER,a member of the Group of Friends
324,1656,1659,NOM,PER,the Group of Friends
0,1661,1661,PRON,PER,I
113,1664,1664,PROP,PER,Gary
0,1667,1667,PRON,PER,I
109,1673,1673,PROP,PER,Tiny
109,1681,1681,PRON,PER,he
348,1684,1690,NOM,PER,the normalest person Tiny has ever befriended
109,1687,1687,PROP,PER,Tiny
113,1699,1699,PROP,PER,Gary
109,1715,1715,PROP,PER,Tiny
113,1720,1720,PROP,PER,Gary
109,1722,1722,PRON,PER,him
113,1726,1726,PRON,PER,I
113,1732,1732,PRON,PER,me
109,1735,1735,PRON,PER,You
115,1741,1741,PROP,PER,Zach
95,1745,1745,PROP,PER,Billy
109,1749,1749,PROP,PER,Tiny
115,1757,1757,PROP,PER,Zach
0,1760,1760,PRON,PER,I
0,1764,1764,PRON,PER,I
109,1768,1768,PROP,PER,Tiny
115,1773,1774,PROP,PER,a Zach
109,1786,1786,PRON,PER,his
109,1791,1791,PRON,PER,he
109,1796,1796,PROP,PER,Tiny
349,1805,1805,PRON,PER,them
113,1811,1811,PROP,PER,Gary
95,1821,1821,PROP,PER,Billy
0,1823,1823,PRON,PER,I
109,1832,1832,PRON,PER,his
109,1840,1840,PROP,PER,Tiny
109,1842,1842,PRON,PER,you
2100,1844,1846,NOM,PER,a makeout whore
0,1856,1856,PRON,PER,I
109,1861,1861,PROP,PER,Tiny
2101,1867,1867,PRON,PER,we
2101,1872,1872,PRON,PER,our
0,1877,1877,PRON,PER,my
2102,1880,1881,NOM,PER,the ladies
2102,1886,1886,PRON,PER,them
2102,1888,1889,NOM,PER,the ladies
113,1897,1897,PROP,PER,Jane
0,1899,1899,PRON,PER,me
109,1901,1901,PROP,PER,Tiny
0,1909,1909,PRON,PER,I
109,1911,1911,PRON,PER,him
0,1914,1914,PRON,PER,I
109,1922,1922,PROP,PER,Tiny
0,1925,1925,PRON,PER,me
113,1941,1941,PROP,PER,Gary
109,1945,1945,PRON,PER,you
95,1950,1951,PROP,PER,Will Grayson
95,1956,1956,PRON,PER,he
0,1960,1960,PRON,PER,I
109,1963,1963,PROP,PER,Tiny
350,1974,1975,NOM,FAC,the hallway
116,1983,1984,PROP,PER,Dear World
109,1986,1986,PRON,PER,I
95,1991,1992,PROP,PER,Will Grayson
116,2001,2001,PRON,PER,you
95,2005,2006,PROP,PER,Will Grayson
109,2011,2011,PRON,PER,he
109,2022,2022,PRON,PER,his
109,2026,2026,PRON,PER,I
95,2031,2031,PRON,PER,him
2098,2034,2034,NOM,PER,People
109,2041,2041,PROP,PER,Tiny
0,2046,2046,PRON,PER,I
17,2050,2050,PROP,GPE,English
352,2064,2064,NOM,PER,someone
353,2066,2066,PRON,PER,you
109,2076,2077,PROP,PER,Tiny Cooper
353,2081,2081,PRON,PER,you
109,2083,2084,PROP,PER,Tiny Cooper
109,2093,2093,PRON,PER,his
0,2097,2097,PRON,PER,I
0,2101,2101,PRON,PER,I
0,2114,2114,PRON,PER,I
352,2116,2116,PRON,PER,they
0,2120,2120,PRON,PER,I
352,2125,2125,NOM,PER,someone
352,2130,2130,PRON,PER,them
109,2134,2134,PROP,PER,Tiny
109,2154,2154,PRON,PER,me
109,2156,2156,PRON,PER,you
109,2168,2168,PRON,PER,my
109,2176,2176,PROP,PER,Tiny
0,2183,2183,PRON,PER,me
0,2195,2195,PRON,PER,I
0,2200,2200,PRON,PER,I
0,2206,2206,PRON,PER,I
0,2219,2219,PRON,PER,I
0,2227,2227,PRON,PER,I
355,2233,2234,NOM,PER,the editor
