start_token,end_token,supersense_category,text
4,4,noun.person,kid
5,5,verb.perception,looks
11,11,noun.time,minute
14,14,verb.communication,says
20,20,noun.communication,name
25,25,verb.emotion,freaking
29,29,noun.person,Frenchy
31,31,verb.stative,is
34,34,noun.location,place
36,36,noun.communication,conversation
41,41,verb.communication,say
43,43,noun.person,Piercings
48,48,verb.possession,have
50,50,noun.communication,magazine
54,54,noun.person,Piercings
55,55,verb.possession,hands
66,66,noun.substance,plastic
67,67,noun.artifact,bag
71,71,verb.stative,am
77,77,verb.possession,gives
80,80,noun.communication,card
83,83,noun.communication,receipt
86,86,verb.motion,walk
89,89,noun.artifact,door
91,91,verb.motion,jog
96,96,noun.person,Clark
100,101,verb.motion,sit down
104,104,noun.artifact,curb
106,106,verb.stative,wait
109,109,noun.event,pulse
111,112,verb.change,slow down
118,118,verb.change,starting
120,120,verb.social,do
125,125,noun.person,Frenchy
127,127,noun.person,pilgrim
128,128,verb.motion,runs
133,133,verb.communication,says
142,143,verb.motion,stand up
146,146,verb.communication,say
164,165,noun.person,L G
181,181,verb.communication,says
183,183,verb.communication,spelling
194,194,verb.communication,say
200,200,verb.communication,ask
204,204,noun.person,kid
205,205,verb.perception,looks
210,210,noun.time,second
213,213,noun.body,head
214,214,verb.motion,turned
217,217,verb.cognition,thinks
221,221,verb.communication,putting
229,229,verb.communication,says
234,234,verb.stative,am
236,237,noun.person,Will Grayson
255,258,noun.location,World K. L. Going
295,296,noun.person,David Levithan
298,299,noun.person,Brian Selznick
303,309,noun.group,Year Steve Kluger Paper Towns John Green
313,314,noun.group,Madman Underground
315,317,noun.person,John Barnes Turtles
320,323,noun.group,Way Down John Green
324,325,noun.person,Will Grayson
327,328,noun.person,Will Grayson
334,334,verb.communication,speak
337,337,noun.cognition,imprint
339,347,noun.group,Penguin Random House LLC 375 Hudson Street New York
349,350,noun.location,New York
353,353,verb.creation,published
356,357,noun.location,United States
359,359,noun.location,America
361,362,noun.group,Dutton Books
365,365,noun.person,member
367,368,noun.group,Penguin Group
370,370,noun.location,USA
372,372,noun.group,Inc.
375,375,verb.creation,Published
380,380,noun.communication,imprint
382,383,noun.group,Penguin Group
385,385,noun.location,USA
387,387,noun.location,Inc.
390,390,noun.communication,Copyright
394,395,noun.person,John Green
397,398,noun.person,David Levithan
400,400,verb.emotion,supports
401,401,noun.communication,copyright
403,403,noun.communication,Copyright
404,404,verb.stative,fuels
405,405,noun.cognition,creativity
407,407,verb.emotion,encourages
409,409,noun.person,voices
411,411,verb.social,promotes
412,413,noun.communication,free speech
416,416,verb.creation,creates
419,419,noun.group,culture
421,421,noun.communication,Thank
424,424,verb.possession,buying
427,427,noun.communication,edition
430,430,noun.communication,book
433,433,verb.social,complying
435,435,noun.communication,copyright
436,436,noun.communication,laws
439,439,verb.communication,reproducing
441,441,verb.perception,scanning
444,444,verb.possession,distributing
446,446,noun.artifact,part
451,451,noun.communication,form
453,453,noun.communication,permission
457,457,verb.social,supporting
458,458,noun.person,writers
460,460,verb.social,allowing
461,461,noun.group,Penguin
463,463,verb.stative,continue
465,465,verb.creation,publish
466,466,noun.communication,books
469,469,noun.person,reader
471,473,noun.group,LIBRARY OF CONGRESS
478,482,noun.group,PUBLICATION DATA IS AVAILABLE Speak
485,485,verb.creation,Printed
488,489,noun.location,United States
491,491,noun.location,America
492,492,verb.creation,Designed
494,495,noun.person,Irene Vandervoort
500,501,noun.person,David Leventhal
504,504,verb.stative,being
514,514,noun.communication,CHAPTER
518,518,verb.stative,was
522,522,noun.person,dad
525,525,verb.communication,tell
529,529,noun.person,Will
533,533,verb.cognition,pick
535,535,noun.person,friends
540,540,verb.cognition,pick
542,542,noun.body,nose
548,548,verb.cognition,pick
550,550,noun.person,friend
552,552,noun.body,nose
556,556,verb.perception,seemed
561,561,noun.act,observation
566,566,verb.stative,was
571,572,verb.stative,turns out
574,574,verb.stative,be
579,579,noun.state,levels
589,589,verb.cognition,pick
591,591,noun.person,friends
599,600,verb.social,ended up
602,603,noun.person,Tiny Cooper
