COREF,start_token,end_token,prop,cat,text
153,1,6,PROP,PER,Ellen Hopkins Margaret K. McElderry Books
1,1,32,PROP,FAC,Ellen Hopkins Margaret K. McElderry Books NEW YORK LONDON TORONTO SYDNEY NEW DELHI MARGARET K. MCELDERRY BOOKS An imprint of Simon & Schuster Children ’s Publishing Division 1230 Avenue of the Americas
2,7,8,PROP,GPE,NEW YORK
3,9,9,PROP,GPE,LONDON
4,10,10,PROP,GPE,TORONTO
5,11,11,PROP,GPE,SYDNEY
6,13,13,PROP,GPE,DELHI
7,16,17,PROP,FAC,MCELDERRY BOOKS
8,31,32,PROP,LOC,the Americas
2,34,35,PROP,GPE,New York
2,37,38,PROP,GPE,New York
472,54,55,NOM,PER,real people
473,76,77,NOM,PER,the author
153,105,106,PROP,PER,Ellen Hopkins
153,108,108,PRON,PER,My
153,112,112,PRON,PER,My
2627,112,113,NOM,PER,My Readers
153,119,120,PROP,PER,Ellen Hopkins
349,122,122,PROP,PER,Kristina
349,131,131,PROP,PER,Kristina
155,148,148,PROP,PER,Thinkstock
153,168,171,PROP,PER,Margaret K. McElderry Books
474,208,213,NOM,FAC,The Simon & Schuster Speakers Bureau
475,216,216,NOM,PER,authors
476,218,218,PRON,PER,your
9,232,237,PROP,FAC,the Simon & Schuster Speakers Bureau
477,248,248,PRON,PER,our
478,293,299,NOM,GPE,the United States of America First Margaret
7,301,302,PROP,FAC,McElderry Books
10,315,318,PROP,ORG,The Library of Congress
153,327,327,PROP,PER,Hopkins
153,329,329,PROP,PER,Ellen
153,333,334,PROP,PER,Ellen Hopkins
479,348,349,NOM,PER,three teenagers
479,357,357,PRON,PER,their
480,357,358,NOM,PER,their mother
479,368,368,PRON,PER,their
481,414,414,NOM,PER,Brothers
482,416,416,NOM,PER,sisters
483,422,422,NOM,PER,Mothers
484,427,427,PRON,PER,I.
156,462,462,PROP,PER,Orion
157,464,464,PROP,PER,Jade
158,466,466,PROP,PER,Heaven
159,468,468,PROP,PER,Clyde
160,470,470,PROP,PER,Eli
161,473,473,PROP,PER,Kalob
0,477,477,PRON,PER,my
162,481,481,PROP,PER,Jason
163,483,483,PROP,PER,Cristal
164,486,486,PROP,PER,Kelly
0,489,489,PRON,PER,my
485,489,490,NOM,PER,my children
485,493,493,PRON,PER,they
165,497,497,PROP,PER,John
0,500,500,PRON,PER,my
0,512,512,PRON,PER,my
486,512,513,NOM,PER,my editor
166,515,516,PROP,PER,Emma Dryden
0,520,520,PRON,PER,my
166,523,523,PRON,PER,her
0,527,527,PRON,PER,my
166,530,530,PRON,PER,her
167,538,539,PROP,PER,Jude Mandell
0,545,545,PRON,PER,me
0,550,550,PRON,PER,I
167,563,563,PROP,PER,Jude
11,565,565,PROP,GPE,Reno
11,569,569,PROP,GPE,RENO
168,573,574,PROP,PER,Marie Haskins
168,599,599,PROP,PER,Haskins
168,615,615,PRON,PER,my
168,620,620,PROP,PER,Haskins
168,624,624,PRON,PER,I
168,648,648,PRON,PER,her
487,648,649,NOM,PER,her fans
168,655,655,PRON,PER,her
168,677,677,PROP,PER,Haskins
168,690,690,PRON,PER,I
2628,712,713,NOM,PER,every publisher
168,718,718,PROP,PER,Haskins
168,722,722,PRON,PER,My
169,740,740,PROP,PER,Dracula
488,746,746,PRON,PER,We
168,753,753,PRON,PER,she
488,765,765,PRON,PER,our
349,769,769,PROP,PER,Kristina
349,774,774,PRON,PER,her
488,777,777,PRON,PER,we
349,782,782,PRON,PER,her
488,791,791,PRON,PER,our
489,799,799,PRON,PER,you
170,809,811,PROP,PER,Hunter Seth Haskins
489,813,813,PRON,PER,YOU
168,819,819,PRON,PER,her
168,830,830,PRON,PER,she
490,833,835,NOM,FAC,the high road
170,844,846,PROP,PER,Hunter Seth Haskins
168,848,848,PRON,PER,her
491,848,850,NOM,PER,her firstborn son
0,852,852,PRON,PER,I
168,863,863,PRON,PER,she
168,865,865,PRON,PER,her
0,870,870,PRON,PER,me
168,876,876,PRON,PER,she
0,878,878,PRON,PER,me
168,882,882,PRON,PER,her
489,887,887,PRON,PER,YOU
168,890,890,PRON,PER,Her
0,893,893,PRON,PER,I
0,896,896,PRON,PER,my
489,900,900,PRON,PER,you
0,903,903,PRON,PER,I
0,912,912,PRON,PER,myself
0,914,914,PRON,PER,I
0,916,916,PRON,PER,I
0,921,921,PRON,PER,I
492,936,937,NOM,LOC,the world
493,943,943,PRON,PER,we
0,946,946,PRON,PER,my
494,946,954,NOM,PER,"my mixed - up , messed - up family"
495,947,954,NOM,PER,"mixed - up , messed - up family"
496,960,977,NOM,PER,"mostly regular people , somehow strengthened by indissoluble love , despite an ever - present undercurrent of pain"
349,985,988,PROP,PER,FOREWORD Kristina Georgia Snow
0,990,990,PRON,PER,me
168,993,993,PRON,PER,her
168,997,997,PRON,PER,She
0,999,999,PRON,PER,my
497,999,1000,NOM,PER,my mother
0,1007,1007,PRON,PER,my
498,1007,1008,NOM,PER,my mom
168,1014,1014,PRON,PER,her
499,1014,1015,NOM,PER,her mother
0,1017,1017,PRON,PER,my
500,1017,1018,NOM,PER,my grandmother
168,1020,1020,PROP,PER,Marie
168,1026,1026,PRON,PER,her
171,1027,1027,PROP,PER,Mom
168,1030,1030,PRON,PER,she
172,1032,1032,PROP,PER,Dad
349,1034,1034,PROP,PER,Kristina
501,1034,1036,NOM,PER,Kristina ’s stepfather
173,1038,1038,PROP,PER,Scott
0,1041,1041,PRON,PER,me
502,1046,1046,PRON,PER,your
171,1049,1049,PROP,PER,Mom
502,1052,1052,PRON,PER,You
502,1056,1056,PRON,PER,you
503,1059,1059,PRON,PER,us
174,1060,1060,PROP,PER,Mama
175,1062,1062,PROP,PER,Papa
504,1064,1069,NOM,PER,The other kids in your playgroup
502,1068,1068,PRON,PER,your
504,1071,1071,PRON,PER,them
502,1073,1073,PRON,PER,You
504,1075,1075,PRON,PER,them
503,1078,1078,PRON,PER,We
505,1080,1083,NOM,PER,an official legal family
0,1085,1085,PRON,PER,Iwas
0,1088,1088,PRON,PER,My
0,1101,1101,PRON,PER,I
0,1108,1108,PRON,PER,I
506,1112,1114,NOM,PER,the lady judge
0,1125,1125,PRON,PER,me
0,1127,1127,PRON,PER,I
506,1129,1129,PRON,PER,she
506,1137,1137,PRON,PER,Her
502,1146,1146,PRON,PER,you
507,1148,1148,PROP,PER,Mr.
176,1150,1151,PROP,PER,Mrs. Haskins
508,1155,1156,NOM,PER,this child
508,1158,1158,PRON,PER,he
0,1175,1175,PRON,PER,I
171,1185,1185,PROP,PER,Mom
171,1192,1192,PRON,PER,she
349,1210,1210,PROP,PER,Kristina
171,1215,1215,PROP,PER,Mom
349,1240,1240,PROP,PER,Kristina
509,1240,1243,NOM,PER,Kristina ’s druggie dad
177,1245,1245,PROP,PER,Genetically
509,1249,1249,PRON,PER,him
0,1250,1250,PRON,PER,my
510,1250,1251,NOM,PER,my grandfather
509,1255,1255,PRON,PER,he
509,1264,1264,PRON,PER,he
0,1271,1271,PRON,PER,I
171,1279,1279,PROP,PER,Mom
509,1281,1281,PRON,PER,he
0,1286,1286,PRON,PER,my
349,1290,1290,PROP,PER,Kristina
511,1295,1295,PRON,PER,them
178,1303,1303,PROP,PER,Monster
511,1309,1309,PRON,PER,They
511,1327,1327,PRON,PER,they
12,1335,1335,PROP,GPE,Albuquerque
179,1338,1340,PROP,PER,dear old Gramps
349,1345,1345,PROP,PER,Kristina
512,1347,1361,NOM,PER,the guy who popped her just - say - no - to - drugs cherry
349,1351,1351,PRON,PER,her
513,1352,1361,NOM,PER,just - say - no - to - drugs cherry
514,1364,1364,PRON,PER,Our
171,1372,1372,PROP,PER,Mom
0,1386,1386,PRON,PER,I
514,1391,1391,PRON,PER,we
515,1398,1398,PRON,PER,you
0,1406,1406,PRON,PER,my
180,1417,1417,PROP,PER,Yadda
0,1423,1423,PRON,PER,I
171,1432,1432,PROP,PER,Mom
0,1434,1434,PRON,PER,me
515,1442,1442,PRON,PER,you
515,1444,1444,PRON,PER,You
516,1446,1448,NOM,PER,a brilliant kid
515,1452,1452,PRON,PER,you
517,1457,1457,NOM,PER,one
515,1467,1467,PRON,PER,you
515,1471,1471,PRON,PER,yourself
0,1482,1482,PRON,PER,myself
0,1494,1494,PRON,PER,I
0,1498,1498,PRON,PER,My
0,1502,1502,PRON,PER,I
