start_token,end_token,supersense_category,text
1,2,noun.person,Ellen Hopkins
3,8,noun.group,Margaret K. McElderry Books NEW YORK
9,10,noun.location,LONDON TORONTO
11,13,noun.location,SYDNEY NEW DELHI
14,17,noun.group,MARGARET K. MCELDERRY BOOKS
19,19,noun.cognition,imprint
29,32,noun.location,Avenue of the Americas
34,35,noun.location,New York
37,38,noun.location,New York
41,41,noun.communication,book
42,42,verb.stative,is
44,44,noun.artifact,work
46,46,noun.communication,fiction
49,49,noun.communication,references
52,52,noun.event,events
55,55,noun.group,people
59,59,noun.location,places
61,61,verb.consumption,used
65,65,noun.communication,names
67,67,noun.person,characters
69,69,noun.location,places
72,72,noun.event,events
73,73,verb.stative,are
74,74,noun.artifact,products
77,77,noun.person,author
79,79,noun.cognition,imagination
83,83,noun.attribute,resemblance
86,86,noun.event,events
88,88,noun.state,places
90,90,noun.person,persons
94,94,noun.time,dead
96,96,verb.stative,is
100,100,noun.communication,Text
101,101,noun.communication,copyright
105,106,noun.person,Ellen Hopkins
115,115,noun.communication,copyright
119,120,noun.person,Ellen Hopkins
126,126,noun.communication,copyright
144,144,noun.communication,copyright
154,154,verb.stative,including
156,157,noun.attribute,right of
158,158,noun.act,reproduction
166,166,noun.communication,form
168,171,noun.person,Margaret K. McElderry Books
172,172,verb.stative,is
174,174,noun.communication,trademark
176,178,noun.group,Simon & Schuster
182,182,noun.communication,information
185,185,noun.communication,discounts
187,188,noun.possession,bulk purchases
191,191,verb.communication,contact
192,192,noun.person,Simon
206,206,noun.group,business@simonandschuster.com
209,213,noun.group,Simon & Schuster Speakers Bureau
215,215,verb.motion,bring
216,216,noun.person,authors
220,220,noun.event,event
224,224,noun.communication,information
227,227,verb.creation,book
229,229,noun.event,event
231,231,verb.communication,contact
233,237,noun.group,Simon & Schuster Speakers Bureau
247,247,verb.communication,visit
249,249,noun.communication,website
262,262,noun.communication,edition
264,265,noun.person,Margaret K.
267,267,noun.communication,paperback
268,268,noun.communication,edition
269,269,noun.time,August
271,271,noun.communication,Book
272,272,noun.act,design
274,275,noun.person,Mike Rosamilia
277,277,noun.communication,text
280,280,noun.communication,book
284,286,noun.group,Trade Gothic Condensed
287,287,noun.communication,No
294,295,noun.location,United States
296,302,noun.group,of America First Margaret K. McElderry Books
303,304,noun.communication,paperback edition
305,305,noun.time,September
316,318,noun.group,Library of Congress
320,320,verb.communication,cataloged
322,322,noun.communication,hardcover
323,323,noun.communication,edition
327,327,noun.person,Hopkins
329,329,noun.person,Ellen
333,334,noun.person,Ellen Hopkins
344,344,noun.communication,verse
346,346,verb.communication,explores
349,349,noun.person,teenagers
350,350,verb.social,try
352,353,verb.social,cope with
355,355,noun.phenomenon,consequences
358,358,noun.person,mother
360,360,noun.state,addiction
362,363,noun.substance,crystal meth
366,366,noun.phenomenon,effects
369,369,noun.time,lives
380,380,noun.quantity,7
382,382,noun.communication,hardcover
387,387,noun.communication,Novels
389,389,noun.communication,verse
393,394,noun.act,Drug abuse
396,396,noun.communication,Fiction
401,401,noun.state,problems
403,403,noun.communication,Fiction
407,407,noun.group,Family
408,408,noun.state,problems
410,410,noun.communication,Fiction
418,418,noun.communication,Fiction
422,422,noun.person,Mothers
424,424,noun.communication,Fiction
446,446,noun.communication,paperback
464,464,noun.person,Jade
466,466,noun.location,Heaven
468,468,noun.location,Clyde
478,478,noun.body,heart
480,481,noun.person,For Jason
483,483,noun.person,Cristal
486,486,noun.person,Kelly
490,490,noun.person,children
494,494,verb.stative,are
503,503,noun.feeling,love
508,508,noun.feeling,love
510,510,noun.feeling,respect
513,513,noun.person,editor
515,516,noun.person,Emma Dryden
519,519,verb.change,enriches
521,521,noun.communication,books
524,524,noun.cognition,wisdom
526,526,verb.change,enriches
528,528,noun.time,life
531,531,noun.state,friendship
536,536,noun.communication,nod
538,539,noun.person,Jude Mandell
543,543,noun.cognition,insight
544,544,verb.social,allowed
547,547,verb.cognition,see
549,549,noun.location,direction
553,553,verb.motion,go
556,556,noun.communication,book
561,561,noun.communication,thanks
563,563,noun.person,Jude
565,566,noun.location,Reno Gazette
568,569,noun.location,Journal RENO
572,574,noun.person,author Marie Haskins
577,577,noun.communication,novel
581,581,verb.stative,debuted
584,584,noun.attribute,number
585,585,noun.quantity,one
586,586,noun.communication,spot
589,590,noun.location,New York
592,592,noun.communication,bestseller
593,593,noun.communication,list
597,597,noun.event,time
599,599,noun.person,Haskins
600,601,verb.creation,writes about
604,604,noun.cognition,kind
606,606,noun.person,monster
610,610,verb.stative,is
613,613,noun.act,departure
617,617,noun.communication,books
620,620,noun.person,Haskins
621,621,verb.communication,said
627,627,verb.change,fulfilled
631,631,noun.cognition,dream
633,633,verb.social,taken
635,635,noun.act,plunge
637,637,noun.feeling,horror
641,641,verb.change,remains
644,644,verb.perception,seen
649,649,noun.person,fans
651,651,verb.motion,take
653,653,noun.act,plunge
659,659,noun.communication,poems
660,660,verb.motion,go
662,663,noun.communication,free verse
667,667,noun.state,realm
670,670,noun.communication,poetry
673,673,noun.communication,sonnets
677,677,noun.person,Haskins
680,680,noun.attribute,number
682,682,noun.communication,words
683,683,verb.stative,rhyme
686,686,verb.consumption,suck
693,693,verb.emotion,wanted
695,696,verb.creation,write about
697,697,noun.person,vampires
700,700,verb.cognition,chose
702,702,verb.stative,wait
705,705,noun.communication,subject
706,706,verb.stative,was
710,710,noun.artifact,staple
713,713,noun.communication,publisher
715,715,noun.communication,list
718,718,noun.person,Haskins
719,719,verb.communication,said
724,724,verb.stative,are
735,735,noun.object,world
740,740,noun.person,Dracula
742,743,noun.person,Star Trek
747,747,verb.perception,Hear
749,749,noun.cognition,life
750,750,verb.stative,was
754,754,verb.social,met
756,756,noun.person,monster
760,760,noun.communication,page
761,761,noun.act,flips
762,763,verb.change,went down
767,767,noun.act,cognition
769,769,noun.person,Kristina
770,770,verb.communication,wrote
772,772,noun.communication,chapter
775,775,noun.time,history
778,778,verb.stative,were
780,780,verb.communication,whispers
783,783,noun.body,womb
786,786,noun.person,monster
787,788,verb.change,shaped lives
793,793,verb.communication,touching
796,796,verb.cognition,Read
803,803,noun.communication,memoir
804,804,verb.stative,is
809,811,noun.person,Hunter Seth Haskins
814,814,verb.emotion,WANT
816,816,verb.cognition,KNOW
823,823,verb.stative,is
831,831,verb.motion,swerved
835,835,noun.artifact,road
844,846,noun.person,Hunter Seth Haskins
850,850,noun.person,son
859,859,noun.time,years
864,864,verb.social,go
867,867,noun.attribute,way
869,869,verb.change,leaving
871,871,verb.motion,spinning
874,874,noun.phenomenon,whirlwind
877,877,verb.cognition,left
880,880,verb.contact,choking
883,883,noun.substance,dust
889,889,verb.cognition,KNOW
891,891,noun.communication,story
895,895,verb.social,try
899,899,verb.communication,enlighten
909,909,noun.communication,word
915,915,verb.communication,suppose
918,918,verb.cognition,know
922,922,verb.communication,mean
927,927,verb.communication,recorded
929,929,noun.time,eternity
933,933,noun.communication,fictionalization
937,937,noun.group,world
940,940,verb.cognition,see
944,944,verb.stative,are
954,954,noun.group,family
958,958,noun.group,collection
962,962,noun.group,people
965,965,verb.change,strengthened
968,968,noun.feeling,love
975,975,noun.cognition,undercurrent
977,977,noun.feeling,pain
980,980,noun.communication,saga
981,981,verb.change,started
985,988,noun.person,FOREWORD Kristina Georgia Snow
989,989,verb.possession,gave
991,991,noun.communication,life
995,995,noun.time,year
1000,1000,noun.person,mother
1004,1004,verb.social,bothered
1006,1006,verb.social,be
1008,1008,noun.person,mom
1011,1011,noun.act,job
1012,1012,verb.change,fell
1015,1015,noun.person,mother
1018,1018,noun.person,grandmother
1020,1020,noun.person,Marie
1024,1024,noun.feeling,love
1025,1025,verb.change,made
1027,1027,noun.person,Mom
1032,1032,noun.person,Dad
1034,1034,noun.person,Kristina
1036,1036,noun.person,stepfather
1038,1038,noun.person,Scott
1040,1040,verb.possession,adopted
1044,1044,verb.stative,was
1047,1047,noun.act,decision
1049,1049,noun.person,Mom
1050,1050,verb.communication,claims
1053,1053,verb.stative,were
1057,1057,verb.change,started
1058,1058,verb.communication,calling
1060,1060,noun.person,Mama
1062,1062,noun.person,Papa
1066,1066,noun.person,kids
1069,1069,noun.group,playgroup
1070,1070,verb.possession,had
1074,1074,verb.emotion,wanted
1079,1079,verb.stative,became
1083,1083,noun.group,family
1089,1089,noun.cognition,memory
1092,1092,noun.time,day
1093,1093,verb.stative,is
1102,1102,verb.motion,reach
1111,1111,verb.perception,see
1113,1113,noun.person,lady
1114,1114,noun.person,judge
1116,1116,verb.contact,perched
1119,1119,noun.animal,eagle
1128,1128,verb.cognition,think
1131,1131,verb.body,sniffling
1133,1133,verb.communication,Crying
1138,1138,noun.communication,voice
1139,1139,verb.stative,was
1143,1143,verb.emotion,want
1145,1145,verb.communication,thank
1148,1148,noun.person,Mr.
1150,1151,noun.person,Mrs. Haskins
1154,1154,verb.emotion,loving
1156,1156,noun.person,child
1159,1159,verb.emotion,deserves
1162,1162,verb.emotion,loved
1165,1165,verb.possession,accept
1168,1168,noun.act,gift
1171,1171,verb.communication,represents
1173,1173,noun.feeling,love
1179,1179,verb.cognition,remember
1182,1182,noun.communication,words
1185,1185,noun.person,Mom
1186,1186,verb.communication,repeats
1193,1193,verb.perception,stares
1196,1196,noun.substance,crystal
1197,1197,noun.body,heart
1199,1199,verb.weather,catching
1200,1200,noun.time,morning
1201,1201,noun.phenomenon,sun
1204,1204,noun.artifact,kitchen
1205,1205,noun.artifact,window
1208,1208,noun.relation,part
1210,1210,noun.person,Kristina
1212,1212,noun.communication,story
1214,1214,verb.change,makes
1215,1215,noun.person,Mom
1225,1225,noun.communication,saga
1228,1228,noun.communication,CHAPTER
1231,1231,verb.change,started
1237,1237,noun.time,summer
1238,1238,noun.act,visit
1240,1240,noun.person,Kristina
1242,1242,noun.person,druggie
1243,1243,noun.person,dad
1248,1248,verb.change,makes
1251,1251,noun.person,grandfather
1256,1256,verb.cognition,takes
1258,1258,noun.cognition,interest
1261,1261,noun.act,role
1265,1266,verb.motion,stopped by
1274,1274,verb.motion,bopping
1277,1277,noun.artifact,diapers
1279,1279,noun.person,Mom
1280,1280,verb.communication,says
1282,1282,verb.motion,wandered
1287,1287,noun.act,baptism
1289,1289,verb.contact,dragging
1290,1290,noun.person,Kristina
1296,1296,verb.body,wearing
1298,1298,noun.attribute,stench
1300,1301,noun.state,monster sweat
1303,1303,noun.person,Monster
1306,1306,noun.substance,crystal
1307,1307,noun.food,meth
1314,1314,noun.time,night
1316,1316,verb.perception,catching
1319,1319,noun.event,buzz
1322,1322,verb.stative,was
1326,1326,noun.event,time
1329,1329,verb.stative,partied
1333,1333,verb.stative,was
1335,1335,noun.location,Albuquerque
1340,1340,noun.person,Gramps
1341,1341,verb.contact,lives
1345,1345,noun.person,Kristina
1346,1346,verb.social,met
1348,1348,noun.person,guy
1350,1350,verb.change,popped
1354,1354,verb.communication,say
1356,1356,noun.communication,no
1360,1361,noun.artifact,drugs cherry
1365,1365,noun.time,lives
1366,1366,verb.stative,were
1372,1372,noun.person,Mom
1374,1374,verb.communication,says
1377,1377,verb.stative,was
1379,1379,noun.time,beginning
1382,1382,noun.time,years
1384,1384,noun.time,hell
1393,1393,verb.stative,survived
1396,1396,verb.communication,Thank
1397,1397,noun.person,God
1407,1407,noun.body,fingers
1409,1409,noun.body,toes
1415,1415,noun.body,brain
1417,1417,noun.person,Yadda
1419,1419,noun.communication,yadda
1424,1424,verb.stative,am
1428,1428,noun.body,brain
1432,1432,noun.person,Mom
1433,1433,verb.possession,gives
1439,1439,verb.stative,is
1445,1445,verb.stative,'re
1448,1448,noun.person,kid
1453,1453,verb.communication,refuse
1455,1455,verb.social,perform
1464,1464,noun.communication,English
1470,1470,verb.consumption,apply
1481,1481,noun.person,Apply
1500,1500,noun.state,status
1504,1504,verb.cognition,found
1508,1508,verb.social,work
1512,1512,noun.group,people
1513,1513,verb.cognition,expect
1526,1526,noun.artifact,radar
1529,1529,verb.stative,was
1532,1532,noun.person,Kristina
1535,1535,noun.act,mistakes
1538,1538,verb.cognition,think
1540,1540,verb.communication,insisting
1542,1542,verb.stative,being
1551,1551,noun.body,face
1559,1559,noun.time,years
1561,1561,noun.time,college
1565,1565,verb.stative,be
1568,1568,noun.feeling,fun
1572,1572,verb.cognition,deciding
1577,1577,verb.stative,do
1580,1580,noun.relation,rest
1583,1583,noun.time,life
1587,1587,noun.time,time
1595,1595,verb.cognition,decided
1597,1601,noun.group,UNR — University of Nevada
1603,1603,noun.location,Reno
1610,1610,verb.stative,was
1613,1613,noun.cognition,goal
1617,1617,noun.person,Mom
1619,1619,noun.person,Dad
1620,1620,verb.social,did
1623,1623,noun.possession,tuition
1624,1624,noun.act,thing
1629,1629,verb.possession,had
1630,1631,noun.group,Ivy League
1632,1632,noun.cognition,ambitions
1635,1635,noun.state,need
1637,1637,verb.social,venture
1641,1641,noun.location,home
1643,1643,noun.group,School
1644,1644,verb.stative,is
1645,1645,noun.group,school
1649,1649,verb.possession,get
1651,1651,noun.communication,BA
1653,1653,noun.cognition,communications
1656,1657,verb.cognition,figure out
1660,1660,verb.social,do
1666,1666,verb.possession,got
1671,1671,noun.communication,radio
1672,1672,noun.act,gig
1678,1678,noun.possession,allowance
1680,1680,noun.act,incidentals
1684,1685,verb.stative,live at
1689,1689,noun.quantity,more
1692,1692,noun.person,guy
1693,1693,verb.consumption,need
1699,1699,verb.possession,got
1701,1701,noun.person,girl
1703,1703,noun.person,Nikki
1714,1714,noun.person,Nikki
1717,1717,verb.stative,’s
1733,1733,noun.body,body
1741,1741,noun.attribute,measurements
1742,1742,verb.stative,are
1745,1745,noun.person,Nikki
1754,1754,noun.body,skin
1759,1759,noun.substance,suede
1764,1764,noun.body,lips
1766,1766,noun.body,ankles
1773,1773,noun.artifact,Mine
1775,1775,verb.contact,touch
1779,1779,verb.contact,hold
1783,1783,verb.contact,kiss
1788,1788,noun.attribute,deliciousness
1794,1794,verb.possession,got
1797,1797,noun.location,place
1802,1802,noun.artifact,house
1804,1804,noun.location,campus
1809,1809,verb.social,do
1812,1812,noun.act,kissing
1818,1818,verb.change,comes
1821,1821,noun.act,kissing
1828,1828,verb.social,done
1830,1830,noun.act,classes
1833,1833,noun.time,day
1837,1837,noun.act,way
1839,1839,noun.person,Nikki
1846,1846,noun.act,fun
1847,1847,verb.contact,tucked
1850,1850,noun.artifact,pocket
1855,1855,verb.cognition,know
1856,1856,verb.cognition,getting
1858,1858,verb.stative,is
1863,1863,verb.communication,Ask
1867,1867,verb.emotion,care
1875,1875,noun.state,addiction
1883,1883,verb.communication,tell
1891,1891,noun.cognition,theory
1894,1894,verb.contact,hammered
1897,1897,noun.cognition,head
1903,1903,verb.communication,define
1905,1905,noun.communication,word
1907,1907,noun.state,addiction
1911,1911,noun.person,grandfather
1912,1912,verb.stative,is
1914,1914,noun.person,addict
1917,1917,noun.person,mother
1918,1918,verb.stative,is
1920,1920,noun.person,addict
1924,1924,verb.stative,’s
1928,1928,verb.change,become
1930,1930,noun.person,addict
1938,1938,verb.communication,say
1939,1939,noun.communication,no
1943,1943,verb.communication,said
1953,1953,verb.communication,saying
1964,1964,verb.stative,’m
1968,1968,noun.person,dabbler
1972,1972,noun.person,fuckup
1976,1976,noun.plant,weed
1980,1980,noun.food,coke
1983,1983,verb.social,tried
1988,1988,verb.cognition,think
1994,1994,noun.state,chance
1997,1997,noun.person,monster
1999,1999,verb.cognition,Catching
2001,2001,noun.event,buzz
2002,2002,verb.stative,is
2004,2004,noun.state,thing
2006,2006,verb.contact,Yanking
2011,2011,verb.stative,is
2017,2017,noun.person,NIKKI
2022,2022,verb.social,let
2027,2027,noun.artifact,key
2029,2029,verb.motion,leaves
2030,2030,verb.contact,stashed
2033,2033,noun.substance,plastic
2034,2034,noun.object,rock
2037,2037,noun.artifact,door
2040,2040,noun.state,thing
2044,2044,verb.possession,own
2051,2051,noun.substance,stuff
2058,2058,noun.person,neighbors
2059,2059,verb.stative,are
2065,2065,verb.stative,is
2069,2069,noun.artifact,street
2077,2077,noun.person,students
2083,2083,verb.cognition,forgotten
2091,2091,verb.cognition,knew
2100,2100,noun.artifact,window
2101,2101,noun.artifact,shades
2106,2106,noun.artifact,light
2107,2107,verb.perception,filters
2112,2112,noun.artifact,beam
2113,2113,verb.contact,splashes
2116,2116,noun.artifact,hallway
2117,2117,noun.artifact,mirror
2119,2119,verb.emotion,lures
2121,2121,noun.cognition,attention
2125,2125,verb.motion,turn
2127,2127,verb.perception,find
2131,2131,noun.body,eyes
2132,2132,verb.perception,reflected
2135,2135,noun.substance,glass
2136,2136,verb.stative,are
2144,2144,noun.person,Mom
2145,2145,verb.communication,calls
2151,2151,noun.attribute,gray
2155,2155,noun.person,Kristina
2157,2157,noun.body,eyes
2163,2163,verb.cognition,know
2169,2169,verb.stative,is
2174,2174,verb.communication,ASKED
2181,2181,noun.person,Kristina
2182,2182,verb.stative,is
2185,2185,noun.person,mother
2188,2188,verb.social,fathered
2193,2193,verb.stative,was
2195,2195,noun.person,man
2198,2198,noun.time,month
2203,2203,verb.communication,told
2205,2205,verb.body,slept
2214,2214,verb.stative,was
2219,2219,noun.body,sperm
2220,2220,verb.stative,connected
2224,2224,noun.animal,egg
2227,2227,noun.substance,genes
2228,2228,verb.change,sculpted
2230,2230,noun.attribute,relief
