COREF,start_token,end_token,prop,cat,text
281,0,2,NOM,PER,﻿real live boyfriends
99,3,4,PROP,PER,e. lockhart
282,8,8,NOM,PER,boyfriends
282,13,13,NOM,PER,boyfriends
0,18,18,PRON,PER,my
0,24,24,PRON,PER,I
100,28,29,PROP,PER,Ruby Oliver
284,57,58,NOM,PER,the author
285,69,70,NOM,PER,actual persons
99,89,90,PROP,PER,E. Lockhart
101,97,98,PROP,PER,Jill Wachter
1,105,107,PROP,LOC,the United States
102,109,109,PROP,PER,Ember
286,120,124,NOM,ORG,a division of Random House
2,123,124,PROP,ORG,Random House
3,128,129,PROP,GPE,New York
1,136,138,PROP,GPE,the United States
5,140,141,PROP,FAC,Delacorte Press
6,146,150,PROP,FAC,Random House Children ’s Books
3,152,153,PROP,GPE,New York
102,158,158,PROP,PER,Ember
287,170,170,PRON,PER,us
288,175,178,NOM,PER,www.randomhouse.com/teens Educators and librarians
289,178,178,NOM,PER,librarians
287,188,188,PRON,PER,us
290,191,194,NOM,FAC,The Library of Congress
99,206,206,PROP,PER,Lockhart
291,209,211,NOM,PER,Real live boyfriends
282,215,215,NOM,PER,boyfriends
0,220,220,PRON,PER,my
0,225,225,PRON,PER,I
100,229,230,PROP,PER,Ruby Oliver
99,232,233,PROP,PER,E. Lockhart
293,245,251,NOM,PER,a senior at her Seattle prep school
293,248,248,PRON,PER,her
294,248,251,NOM,FAC,her Seattle prep school
7,249,249,PROP,GPE,Seattle
100,253,253,PROP,PER,Ruby
293,255,255,PRON,PER,her
282,265,265,NOM,PER,boyfriends
293,270,270,PRON,PER,her
296,270,271,NOM,PER,her parents
293,278,278,PRON,PER,her
297,356,357,NOM,FAC,High schools
7,369,369,PROP,GPE,Seattle
1,405,408,PROP,GPE,the United States of
9,409,409,PROP,GPE,America
6,414,418,PROP,FAC,Random House Children ’s Books
291,431,433,NOM,PER,Real Live Boyfriends
0,439,439,PRON,PER,My
299,439,440,NOM,PER,My Parents
103,449,450,PROP,PER,Rabbit Fever
300,458,460,NOM,PER,Gay Chinese Penguins
