start_token,end_token,supersense_category,text
4,4,noun.person,lockhart
8,8,noun.person,boyfriends
13,13,noun.person,boyfriends
19,19,noun.state,life
20,20,verb.stative,were
27,27,verb.stative,be
38,38,verb.stative,is
40,40,noun.artifact,work
42,42,noun.communication,fiction
44,44,noun.communication,Names
46,46,noun.communication,characters
48,48,noun.location,places
51,51,noun.event,incidents
53,53,verb.stative,are
55,55,noun.artifact,product
58,58,noun.person,author
60,60,noun.cognition,imagination
63,63,verb.consumption,used
67,67,noun.attribute,resemblance
70,70,noun.person,persons
72,72,verb.stative,living
74,74,noun.state,dead
76,76,noun.event,events
80,80,verb.stative,is
84,84,noun.communication,Text
85,85,noun.communication,copyright
89,90,noun.person,E. Lockhart
91,92,noun.communication,Cover photograph
93,93,noun.communication,copyright
97,98,noun.person,Jill Wachter
103,103,verb.creation,Published
106,107,noun.location,United States
112,112,noun.cognition,imprint
114,115,noun.group,Random House
121,121,noun.cognition,division
123,124,noun.group,Random House
126,126,noun.group,Inc.
128,129,noun.location,New York
132,132,verb.creation,published
134,134,noun.communication,hardcover
137,138,noun.location,United States
140,141,noun.group,Delacorte Press
146,148,noun.group,Random House Children
152,153,noun.location,New York
161,161,noun.artifact,colophon
162,162,verb.stative,are
163,163,noun.artifact,trademarks
165,166,noun.group,Random House
168,169,noun.group,Inc. Visit
176,176,noun.person,Educators
178,178,noun.person,librarians
182,182,noun.group,variety
184,185,noun.cognition,teaching tools
187,187,verb.social,visit
192,194,noun.group,Library of Congress
196,196,verb.communication,cataloged
198,198,noun.communication,hardcover
199,199,noun.communication,edition
202,202,noun.artifact,work
206,206,noun.person,Lockhart
211,211,noun.person,boyfriends
215,215,noun.person,boyfriends
221,221,noun.state,life
222,222,verb.stative,were
228,228,verb.stative,be
232,233,noun.person,E. Lockhart
242,242,noun.communication,Summary
246,246,noun.person,senior
249,249,noun.group,Seattle
250,251,noun.group,prep school
253,253,noun.person,Ruby
254,254,verb.stative,continues
256,256,noun.feeling,angst
259,259,noun.time,days
260,260,verb.social,coping
263,263,noun.state,dilemmas
265,265,noun.person,boyfriends
267,267,noun.group,college
268,268,noun.communication,applications
271,271,noun.person,parents
273,273,verb.communication,squabbling
276,276,verb.cognition,realizing
282,282,noun.state,persona
286,286,verb.consumption,apply
299,299,noun.act,trade
327,327,noun.quantity,0
329,329,noun.communication,ebook
334,334,noun.cognition,Self
336,336,noun.cognition,perception
350,350,noun.relation,relations
352,352,noun.communication,Fiction
356,357,noun.group,High schools
359,359,noun.communication,Fiction
363,363,noun.location,Schools
365,365,noun.communication,Fiction
369,369,noun.location,Seattle
373,373,noun.location,Jl
375,375,noun.communication,Title
406,409,noun.location,United States of America
419,419,verb.stative,supports
424,424,verb.communication,celebrates
426,427,noun.attribute,right to
428,428,verb.communication,read
430,430,noun.communication,contents
437,437,noun.state,Insanity
443,443,noun.communication,Romance
446,446,noun.communication,Panic
460,460,noun.person,Penguins
479,480,noun.location,Snappy Dragon
494,495,noun.location,Public Scene
506,506,noun.person,Kim
517,518,noun.location,Mysterious Disappearance
520,520,noun.person,Kevin
527,528,noun.location,Zoological Gardens
535,536,noun.location,Parking Lot
552,552,noun.communication,CHAPTER
559,559,noun.communication,definition
564,564,noun.person,boyfriend
567,567,verb.possession,contribute
570,570,noun.feeling,angst
575,575,verb.communication,wonder
579,579,verb.communication,call
584,584,verb.cognition,wonder
588,588,verb.contact,kiss
595,595,verb.perception,look
598,598,noun.artifact,phone
602,602,verb.communication,talking
605,605,verb.communication,see
609,609,verb.communication,texted
615,615,verb.communication,calls
618,618,verb.stative,’s
620,620,noun.person,boyfriend
627,627,noun.act,kissing
632,632,noun.person,boyfriend
638,638,verb.perception,listens
646,646,noun.person,friend
650,651,verb.motion,sit down
656,656,noun.food,lunch
659,659,verb.emotion,want
664,664,noun.state,need
667,667,noun.communication,gyrations
673,673,verb.emotion,want
679,679,verb.contact,hanging
682,682,noun.person,friends
688,688,verb.communication,ignore
693,693,verb.perception,seem
704,705,verb.social,sit with
711,711,noun.person,boyfriend
715,715,verb.cognition,assume
718,718,verb.social,see
722,722,noun.time,weekend
726,726,verb.communication,call
730,730,verb.communication,chat
734,734,verb.cognition,expect
737,737,verb.stative,be
741,741,noun.person,friends
746,746,noun.communication,rumors
755,755,verb.stative,be
764,764,verb.social,engage
768,768,noun.act,action
772,772,verb.stative,’re
784,785,verb.stative,stay together
787,788,noun.group,high school
794,794,verb.emotion,like
800,800,verb.emotion,like
807,807,verb.cognition,know
817,817,noun.person,boyfriend
820,820,noun.location,Insanity
823,823,noun.person,Parents
826,826,noun.person,Romance
830,830,noun.group,grade
835,835,verb.possession,had
839,839,noun.person,boyfriend
840,840,verb.communication,named
841,842,noun.person,Tommy Hazard
844,844,noun.person,Tommy
845,845,verb.stative,was
849,849,verb.stative,had
851,851,noun.body,skin
854,854,verb.stative,was
858,858,noun.group,class
862,862,verb.stative,was
865,865,noun.act,sports
868,868,verb.stative,had
871,871,noun.body,shoulders
876,876,noun.communication,smile
885,885,noun.body,teeth
888,888,noun.body,eyes
894,894,verb.stative,was
898,898,verb.possession,have
900,900,noun.person,girl
902,902,verb.emotion,wanted
907,907,noun.state,thing
908,908,verb.stative,was
911,911,verb.motion,went
915,915,verb.perception,saw
919,919,verb.stative,was
924,924,verb.communication,told
927,927,noun.person,friend
929,929,noun.person,Kim
936,936,verb.change,changed
940,940,noun.feeling,mood
944,944,verb.stative,was
946,947,noun.person,surfer boy
949,950,noun.artifact,board shorts
953,954,noun.artifact,bead choker
956,956,verb.motion,tossing
958,958,noun.substance,water
962,962,noun.body,hair
965,965,verb.body,smiled
972,972,verb.stative,was
974,974,noun.communication,CHAPTER
976,977,noun.person,skate punk
980,980,noun.event,times
983,983,noun.person,guy
987,987,noun.artifact,tie
989,989,verb.cognition,took
996,996,noun.artifact,photographs
1000,1000,verb.change,started
1001,1002,verb.communication,going out
1004,1005,noun.person,Jackson Clarke
1007,1008,noun.time,sophomore year
1011,1012,noun.person,Tommy Hazard
1013,1013,verb.change,disappeared
1016,1016,verb.cognition,guess
1020,1020,verb.possession,had
1024,1024,noun.person,boyfriend
1029,1029,noun.body,heart
1030,1030,verb.motion,pumping
1033,1033,noun.body,chest
1039,1040,verb.stative,turned out
1045,1045,verb.possession,Have
1047,1047,noun.body,heart
1053,1053,verb.emotion,want
1055,1055,verb.stative,be
1059,1059,noun.person,boyfriend
1064,1064,verb.emotion,wanted
1066,1066,verb.stative,be
1067,1067,noun.person,Kim
1070,1071,noun.person,W Flash
1073,1073,noun.time,end
1075,1076,noun.time,junior year
1080,1080,verb.communication,wrote
1083,1083,noun.communication,definition
1088,1088,noun.person,boyfriend
1093,1093,noun.time,months
1095,1095,noun.person,Kim
1097,1097,noun.person,Jackson
1098,1099,verb.social,got together
1101,1101,verb.change,shattered
1103,1103,noun.cognition,heart
1105,1105,verb.change,plunging
1109,1109,noun.object,abyss
1112,1113,noun.state,mental health
1116,1116,verb.creation,wrote
1118,1118,verb.stative,sitting
1121,1122,noun.location,B&O Espresso
1125,1125,noun.person,Meghan
1132,1132,verb.cognition,studying
1134,1134,noun.act,finals
1138,1139,verb.motion,hopped up
1141,1141,noun.substance,dobosh
1142,1142,noun.food,torte
1144,1144,noun.food,coffee
1145,1145,noun.food,drinks
1151,1151,verb.cognition,think
1155,1155,noun.cognition,chemistry
1156,1156,noun.communication,formulas
1159,1160,verb.contact,flipped to
1163,1163,noun.communication,page
1166,1166,noun.communication,notebook
1168,1168,verb.communication,wrote
1174,1174,verb.possession,give
1177,1177,noun.act,break
1179,1179,noun.person,Meghan
1180,1180,verb.contact,crinkled
1185,1185,noun.body,nose
1188,1188,verb.cognition,read
1195,1195,verb.communication,mean
1199,1199,noun.person,boyfriend
1206,1206,verb.creation,wrote
1212,1212,noun.person,Meghan
1213,1213,verb.body,looked
1227,1227,noun.person,boyfriend
1232,1232,verb.communication,asked
1236,1236,noun.person,boyfriend
1244,1244,noun.person,Meghan
1246,1246,verb.perception,had
1251,1251,noun.state,cycle
1254,1254,noun.person,boyfriends
1256,1257,noun.time,seventh grade
1263,1263,verb.stative,been
1266,1266,noun.location,state
1268,1268,noun.person,Noboyfriend
1270,1270,noun.time,April
1272,1273,noun.time,sophomore year
1277,1277,noun.person,Kim
1279,1279,noun.person,Jackson
1280,1280,noun.event,debacle
1281,1281,verb.change,made
1291,1291,verb.communication,argue
1293,1293,noun.person,Meghan
1298,1298,noun.cognition,outlook
1300,1300,noun.cognition,life
1305,1305,noun.communication,fact
1308,1308,noun.person,dad
1309,1309,verb.change,died
1312,1312,verb.stative,was
1323,1323,noun.person,teenager
1325,1325,verb.cognition,know
1327,1327,verb.perception,sees
1329,1329,noun.person,shrink
1333,1333,noun.relation,basis
1336,1336,verb.stative,was
1338,1338,noun.communication,denying
1342,1342,verb.stative,being
1346,1346,verb.communication,said
1350,1350,verb.cognition,know
1354,1355,verb.communication,writing about
1360,1360,noun.person,boyfriend
1362,1362,noun.person,Finn
1366,1366,verb.creation,making
