COREF,start_token,end_token,prop,cat,text
98,5,7,PROP,PER,Teens Kathy Beige
99,9,12,PROP,PER,Marke Bieschke ZZEST BOOKS
1,13,13,PROP,GPE,MINNEAPOLIS
99,18,19,PROP,PER,Marke Bieschke
98,21,21,PROP,PER,Kathy
2,25,29,PROP,GPE,the United States of America
0,47,47,PRON,PER,I
261,52,52,PRON,PER,YOUR
261,58,58,PRON,PER,YOUR
261,62,62,PRON,PER,YOUR
261,73,73,PRON,PER,YOUR
262,83,99,NOM,PER,THE BIG “ S ” QUEER SEX 156 TWO THREE FOUR FIVE SIX SEVEN CONCLUSION RESOURCES INDEX
263,105,106,NOM,LOC,The world
264,117,118,NOM,PER,queer people
265,121,121,PRON,PER,we
263,126,127,NOM,LOC,the world
267,129,131,NOM,GPE,a different place
265,133,133,PRON,PER,We
268,137,141,NOM,PER,too many other queer kids
269,143,143,NOM,PER,adults
270,145,146,NOM,PER,Many people
270,151,151,PRON,PER,their
270,158,158,PRON,PER,their
271,173,182,NOM,PER,the two goth boys who spent every waking moment together
272,190,192,NOM,PER,the gym teacher
100,193,194,PROP,PER,Ms. Mason
273,196,198,NOM,PER,the science teacher
101,199,200,PROP,PER,Ms. Lewis
274,203,204,NOM,PER,most people
274,211,211,PRON,PER,they
275,226,241,NOM,PER,The few brave kids who dared to take a same - sex date to the prom
275,248,248,PRON,PER,They
276,252,256,NOM,LOC,some parts of the country
277,255,256,NOM,GPE,the country
265,269,269,PRON,PER,we
265,275,275,PRON,PER,We
278,277,278,NOM,PER,queer friends
279,286,296,NOM,PER,writers who teach the world about the awesomeness of queer life
263,289,290,NOM,LOC,the world
265,298,298,PRON,PER,Our
265,308,308,PRON,PER,we
265,321,321,PRON,PER,we
265,326,326,PRON,PER,we
265,330,330,PRON,PER,we
265,336,336,PRON,PER,our
265,339,339,PRON,PER,We
265,341,341,PRON,PER,our
281,341,342,NOM,PER,our community
265,350,350,PRON,PER,us
282,364,366,NOM,PER,any other family
283,372,373,NOM,PER,questioning teen
284,381,381,PRON,PER,You
284,393,393,PRON,PER,your
285,393,394,NOM,PER,your community
286,409,415,NOM,PER,people who just do n’t get it
284,419,419,PRON,PER,you
284,426,426,PRON,PER,you
287,436,437,NOM,PER,Queer teens
288,451,460,NOM,ORG,gay - straight alliances or gender - sexuality alliance clubs
289,476,477,NOM,PER,each other
284,493,493,PRON,PER,You
284,501,501,PRON,PER,you
284,505,505,PRON,PER,you
284,512,512,PRON,PER,you
284,516,516,PRON,PER,You
290,520,530,NOM,PER,a whole new generation of queer and queer - friendly youth
265,533,533,PRON,PER,we
284,538,538,PRON,PER,you
265,542,542,PRON,PER,we
284,554,554,PRON,PER,you
284,563,563,PRON,PER,your
291,563,564,NOM,PER,your people
292,568,568,NOM,PER,haters
