start_token,end_token,supersense_category,text
6,7,noun.person,Kathy Beige
9,10,noun.person,Marke Bieschke
18,19,noun.person,Marke Bieschke
21,22,noun.person,Kathy Beige
26,29,noun.location,United States of America
37,37,noun.communication,CONTENTS
57,57,verb.social,NAVIGATING
92,99,noun.group,THREE FOUR FIVE SIX SEVEN CONCLUSION RESOURCES INDEX
106,106,noun.object,world
108,108,verb.change,changing
114,114,verb.communication,accepting
116,116,verb.social,supporting
118,118,noun.group,people
123,124,verb.social,growing up
127,127,noun.object,world
128,128,verb.stative,was
131,131,noun.location,place
136,136,verb.cognition,know
141,141,noun.person,kids
143,143,noun.person,adults
146,146,noun.group,people
147,147,verb.emotion,felt
148,148,verb.social,forced
150,150,verb.stative,lead
152,152,noun.cognition,lives
155,155,noun.artifact,closet
157,157,verb.stative,keeping
160,160,noun.location,selves
165,165,noun.communication,rumors
175,175,noun.person,goth
176,176,noun.person,boys
178,178,verb.stative,spent
181,181,noun.time,moment
188,188,noun.relation,relationship
191,191,noun.artifact,gym
192,192,noun.person,teacher
193,194,noun.person,Ms. Mason
197,197,noun.cognition,science
198,200,noun.person,teacher Ms. Lewis
204,204,noun.group,people
206,206,verb.stative,were
210,210,noun.attribute,way
212,212,verb.stative,are
215,215,noun.communication,Words
222,222,verb.consumption,used
224,224,noun.communication,insults
229,229,noun.person,kids
237,238,noun.state,sex date
241,241,noun.event,prom
242,242,verb.change,made
244,244,noun.time,evening
245,245,noun.communication,news
253,253,noun.location,parts
256,256,noun.location,country
262,262,noun.state,luck
267,267,noun.feeling,pride
271,272,verb.social,made it
276,276,verb.perception,found
278,278,noun.person,friends
281,281,noun.feeling,loves
284,284,noun.act,careers
286,286,noun.person,writers
288,288,verb.communication,teach
290,290,noun.group,world
293,293,noun.attribute,awesomeness
296,296,noun.state,life
299,299,noun.act,paths
300,300,verb.stative,were
305,305,noun.state,struggles
311,311,verb.social,deal
316,316,noun.state,confusion
318,318,noun.feeling,discouragement
324,324,verb.change,change
327,327,verb.stative,were
332,334,verb.social,gave up on
335,335,verb.cognition,following
337,337,noun.cognition,dreams
340,340,verb.emotion,love
342,342,noun.group,community
345,345,noun.attribute,strength
347,347,noun.act,support
349,349,verb.possession,gives
357,357,verb.perception,seem
366,366,noun.group,family
368,368,verb.stative,Being
373,373,noun.person,teen
385,385,verb.communication,deal
387,388,verb.change,coming out
390,390,verb.social,trying
392,392,verb.possession,find
394,394,noun.group,community
396,396,verb.stative,dating
401,402,noun.state,dating pool
405,405,verb.social,coping
407,407,noun.cognition,discrimination
409,409,noun.group,people
421,422,verb.body,growing up
428,428,verb.perception,have
430,430,noun.quantity,lot
437,437,noun.person,teens
439,440,verb.change,coming out
445,445,verb.social,championing
447,447,noun.attribute,rights
449,450,verb.social,starting up
454,454,noun.group,alliances
456,456,noun.group,gender
458,459,noun.state,sexuality alliance
460,460,noun.group,clubs
474,474,verb.communication,talking
481,481,verb.stative,means
483,483,verb.stative,be
495,496,verb.perception,look forward
498,499,verb.change,getting married
502,502,verb.emotion,want
507,507,verb.creation,build
509,509,noun.cognition,kind
511,511,noun.state,life
513,513,verb.creation,dream
517,517,verb.stative,’re
518,518,noun.relation,part
523,523,noun.group,generation
530,530,noun.group,youth
534,534,verb.creation,wrote
536,536,noun.communication,book
544,545,verb.communication,talk about
548,548,verb.stative,means
550,550,verb.stative,be
553,553,verb.social,guide
557,557,noun.state,stages
559,560,verb.change,coming out
562,562,verb.social,finding
564,564,noun.group,people
566,566,verb.communication,dealing
568,568,noun.person,haters
571,571,verb.social,scoring
572,572,noun.group,dates
577,577,verb.communication,tell
590,590,noun.communication,stories
594,594,noun.cognition,experiences
596,597,verb.motion,coming into
599,599,noun.group,world
602,602,noun.group,people
607,607,verb.change,get
609,609,noun.communication,taste
613,613,noun.communication,legacy
616,616,noun.artifact,art
618,618,noun.communication,humor
621,621,noun.communication,history
622,623,verb.communication,handed down
627,627,noun.person,forefathers
629,629,noun.person,mothers
635,635,noun.state,life
637,637,verb.stative,be
645,646,verb.communication,find out
651,651,verb.stative,’re
654,654,verb.stative,’re
657,657,verb.cognition,wondering
665,665,verb.emotion,want
667,667,verb.cognition,know
673,673,verb.stative,means
676,676,noun.communication,book
677,677,verb.stative,is
679,679,noun.communication,ticket
685,685,noun.group,world
688,688,noun.communication,CHAPTER
701,701,verb.stative,’re
703,703,noun.person,teen
706,706,verb.possession,have
713,713,noun.group,school
715,715,noun.group,family
718,718,noun.communication,drama
720,720,noun.body,body
721,721,noun.act,issues
725,725,verb.change,get
727,727,noun.person,relative
730,730,verb.perception,smells
732,732,noun.substance,onions
