COREF,start_token,end_token,prop,cat,text
39,1,6,PROP,PER,vincent boys ABBI GLINES Simon Pulse
1,8,8,PROP,GPE,York
2,8,13,PROP,GPE,York London Toronto Sydney New Delhi
3,9,9,PROP,GPE,London
4,10,10,PROP,GPE,Toronto
5,11,11,PROP,GPE,Sydney
6,12,13,PROP,GPE,New Delhi
144,28,29,NOM,PER,real people
145,50,51,NOM,PER,the author
7,80,88,PROP,FAC,Simon & Schuster Children ’s Publishing Division 1230 Avenue
8,90,91,PROP,LOC,the Americas
9,93,94,PROP,GPE,New York
10,96,100,PROP,FAC,NY 10020 First Simon Pulse
39,129,130,PROP,PER,SIMON PULSE
146,169,174,NOM,FAC,The Simon & Schuster Speakers Bureau
147,177,177,NOM,PER,authors
148,179,179,PRON,PER,your
40,192,197,PROP,PER,the Simon 8c Schuster Speakers Bureau
149,208,208,PRON,PER,our
41,215,216,PROP,PER,Mike Rosamilia
150,231,234,NOM,GPE,the United States of
11,235,235,PROP,GPE,America
12,245,248,PROP,FAC,the Library of Congress
151,261,261,PRON,PER,he
0,290,290,PRON,PER,my
152,290,291,NOM,PER,my son
42,293,293,PROP,PER,Austin
153,295,303,NOM,PER,The only person who understands my love of football
0,300,300,PRON,PER,my
153,305,305,PRON,PER,he
154,317,317,NOM,PER,son
0,320,320,PRON,PER,I
43,326,326,PROP,PER,Keith
0,328,328,PRON,PER,my
155,328,329,NOM,PER,my husband
156,333,335,NOM,FAC,the dirty house
0,343,343,PRON,PER,my
0,348,348,PRON,PER,I
0,355,355,PRON,PER,my
0,360,360,PRON,PER,My
157,360,383,NOM,PER,"My three precious kiddos , who ate a lot of corn dogs , pizza , and Frosted Flakes because I was locked away writing"
0,379,379,PRON,PER,I
0,385,385,PRON,PER,I
0,388,388,PRON,PER,I
157,390,390,PRON,PER,them
0,396,396,PRON,PER,I
44,399,400,PROP,PER,Tammara Webber
45,402,403,PROP,PER,Elizabeth Reyes
0,405,405,PRON,PER,my
158,405,407,NOM,PER,my critique partners
0,410,410,PRON,PER,I
159,412,413,NOM,PER,these ladies
0,416,416,PRON,PER,my
158,416,418,NOM,PER,my critique partners
0,421,421,PRON,PER,I
159,425,425,PRON,PER,their
0,431,431,PRON,PER,I
0,437,437,PRON,PER,I
0,448,448,PRON,PER,I
0,452,452,PRON,PER,I
159,454,454,PRON,PER,their
159,463,463,PRON,PER,Their
159,478,478,PRON,PER,They
0,483,483,PRON,PER,I
0,488,488,PRON,PER,I
159,494,494,PRON,PER,them
0,496,496,PRON,PER,I
0,502,502,PRON,PER,my
161,502,503,NOM,PER,my agent
46,505,506,PROP,PER,Jane Dystel
0,510,510,PRON,PER,me
0,511,511,PRON,PER,I
162,513,514,NOM,PER,an agent
0,520,520,PRON,PER,me
161,522,522,PRON,PER,She
0,527,527,PRON,PER,I
161,532,532,PRON,PER,her
47,534,535,PROP,PER,Jennifer Klonsky
163,537,543,NOM,PER,the rest of the Simon Pulse staff
164,540,543,NOM,PER,the Simon Pulse staff
0,565,565,PRON,PER,My
165,565,567,NOM,PER,My FP girls
0,569,569,PRON,PER,I
0,580,580,PRON,PER,my
166,580,581,NOM,PER,my mother
166,589,589,PRON,PER,her
165,599,599,PRON,PER,You
167,599,600,NOM,PER,You girls
0,602,602,PRON,PER,me
0,607,607,PRON,PER,me
0,615,615,PRON,PER,me
0,621,621,PRON,PER,my
165,625,625,PRON,PER,You
0,628,628,PRON,PER,my
168,628,629,NOM,PER,my posse
13,634,636,PROP,GPE,New York City
13,640,642,PROP,GPE,New York City
169,646,646,NOM,PER,girls
48,648,650,PROP,PER,the vincent boys
0,661,661,PRON,PER,You
49,666,666,PROP,PER,Ash
0,669,669,PRON,PER,my
170,669,670,NOM,PER,my cousin
62,671,671,PROP,PER,Sawyer
62,674,674,PRON,PER,he
0,682,682,PRON,PER,me
171,684,684,PRON,PER,our
172,684,689,NOM,LOC,our favorite limb overlooking the lake
173,688,689,NOM,LOC,the lake
0,691,691,PRON,PER,I
62,699,699,PRON,PER,his
0,704,704,PRON,PER,I
49,709,709,PROP,PER,Ash
174,715,715,PRON,PER,her
174,721,721,PRON,PER,she
174,726,726,PRON,PER,her
0,737,737,PRON,PER,I
62,743,743,PROP,PER,Sawyer
62,745,745,PRON,PER,He
49,748,748,PROP,PER,Ash
175,751,751,PRON,PER,they
175,755,755,PRON,PER,their
0,763,763,PRON,PER,I
62,769,769,PROP,PER,Sawyer
62,772,772,PRON,PER,he
0,778,778,PRON,PER,I
62,783,783,PRON,PER,I
51,785,785,PROP,PER,Mom
52,788,788,PROP,PER,Dad
52,795,795,PRON,PER,you
62,797,797,PRON,PER,me
49,801,801,PROP,PER,Ash
51,806,806,PRON,PER,She
49,808,808,PROP,PER,Ash
1527,812,813,NOM,PER,a beauty
1528,818,823,NOM,PER,the three of ABBI GLINES us
51,821,822,PROP,PER,ABBI GLINES
1528,823,823,PRON,PER,us
62,827,827,PRON,PER,I
62,836,836,PROP,PER,Sawyer
62,844,844,PRON,PER,his
0,847,847,PRON,PER,I
62,851,851,PRON,PER,him
62,853,853,PRON,PER,him
0,856,856,PRON,PER,I
0,858,858,PRON,PER,my
173,862,863,NOM,LOC,the lake
0,866,866,PRON,PER,I
49,873,873,PROP,PER,Ash
49,875,875,PROP,PER,Ash
1529,879,879,PRON,PER,she
0,885,885,PRON,PER,I
1529,896,896,PRON,PER,She
1528,905,905,PRON,PER,us
1529,907,907,PRON,PER,she
1529,909,909,PRON,PER,her
1529,914,914,PRON,PER,she
1530,921,922,NOM,PER,a pro
1531,924,927,NOM,PER,The three of us
1528,927,927,PRON,PER,us
1532,930,931,NOM,PER,best friends
62,946,946,PROP,PER,Sawyer
0,948,948,PRON,PER,My
0,956,956,PRON,PER,me
62,958,958,PROP,PER,Sawyer
0,964,964,PRON,PER,You
1529,971,971,PRON,PER,she
1533,976,980,NOM,PER,some kind of fairy princess
1529,982,982,PRON,PER,She
49,984,984,PROP,PER,Ash
1531,992,992,PRON,PER,you
1534,1002,1002,NOM,VEH,cars
62,1005,1005,PRON,PER,my
1535,1005,1006,NOM,FAC,my house
62,1010,1010,PRON,PER,My
1536,1010,1011,NOM,PER,My parents
1531,1016,1016,PRON,PER,y’
62,1024,1024,PRON,PER,I
1531,1031,1032,PRON,PER,y’ all
0,1037,1037,PRON,PER,I
49,1042,1042,PROP,PER,Ash
177,1044,1044,PRON,PER,her
177,1048,1048,PRON,PER,her
178,1053,1053,PRON,PER,we
179,1064,1065,NOM,PER,That girl
0,1076,1076,PRON,PER,I
49,1080,1080,PRON,PER,I
49,1082,1082,PRON,PER,my
49,1086,1086,PROP,PER,Ash
0,1090,1090,PRON,PER,me
1531,1093,1093,PRON,PER,You
179,1102,1102,PRON,PER,me
53,1107,1107,PROP,PER,Mama
179,1110,1110,PRON,PER,me
179,1113,1113,PRON,PER,I
179,1121,1121,PRON,PER,I
1531,1125,1125,PRON,PER,your
179,1134,1134,PRON,PER,She
1531,1161,1161,PRON,PER,we
1531,1167,1168,PRON,PER,y’ all
179,1174,1174,PRON,PER,me
179,1176,1176,PRON,PER,I
115,1186,1186,PROP,PER,ASHTON
0,1190,1190,PRON,PER,I
180,1195,1195,NOM,FAC,home
181,1198,1198,PRON,PER,them
0,1200,1200,PRON,PER,I
55,1212,1212,PROP,PER,Beau
55,1214,1214,PRON,PER,his
182,1214,1216,NOM,PER,his trashy girlfriend
55,1219,1219,PRON,PER,he
62,1224,1224,PROP,PER,Sawyer
0,1227,1227,PRON,PER,me
0,1236,1236,PRON,PER,I
55,1243,1243,PROP,PER,Beau
55,1251,1251,PRON,PER,him
55,1253,1253,PRON,PER,his
183,1253,1255,NOM,PER,his vomiting girlfriend
55,1267,1267,PRON,PER,him
55,1272,1272,PRON,PER,your
1537,1272,1273,NOM,FAC,your truck
55,1276,1276,PROP,PER,Beau
0,1279,1279,PRON,PER,I
0,1286,1286,PRON,PER,I
55,1290,1290,PRON,PER,He
0,1292,1292,PRON,PER,me
55,1298,1298,PRON,PER,he
184,1301,1304,NOM,PER,every female in town
185,1304,1304,NOM,GPE,town
55,1307,1307,PRON,PER,his
0,1310,1310,PRON,PER,I
0,1315,1315,PRON,PER,I
0,1324,1324,PRON,PER,I
186,1331,1332,NOM,GPE,the town
187,1331,1335,NOM,PER,the town ’s bad boy
188,1334,1335,NOM,PER,bad boy
55,1343,1343,PRON,PER,me
115,1346,1347,PROP,PER,Ashton Gray
51,1353,1354,PROP,PER,ABBI GLINES
55,1356,1356,PRON,PER,me
55,1360,1360,PRON,PER,he
0,1368,1368,PRON,PER,me
0,1370,1370,PRON,PER,my
62,1375,1375,PROP,PER,Sawyer
185,1379,1379,NOM,GPE,town
55,1386,1386,PRON,PER,me
62,1388,1388,PRON,PER,He
0,1392,1392,PRON,PER,you
180,1394,1394,NOM,FAC,home
55,1399,1399,PRON,PER,I.
55,1401,1401,PRON,PER,He
0,1409,1409,PRON,PER,my
56,1412,1412,PROP,PER,God
55,1414,1414,PRON,PER,He
1540,1422,1422,NOM,PER,beautiful
55,1425,1425,PRON,PER,I
57,1431,1431,PROP,PER,Nic
55,1435,1435,PRON,PER,I
57,1438,1438,PRON,PER,her
55,1440,1440,PRON,PER,my
1541,1440,1441,NOM,VEH,my truck
55,1443,1443,PRON,PER,I
57,1450,1450,PRON,PER,her
1542,1450,1451,NOM,FAC,her house
1540,1453,1453,PRON,PER,You
1540,1461,1461,PRON,PER,you
1540,1467,1467,PRON,PER,you
55,1475,1475,PRON,PER,him
55,1479,1479,PRON,PER,He
55,1489,1489,PRON,PER,he
0,1491,1491,PRON,PER,me
0,1494,1494,PRON,PER,I
0,1500,1500,PRON,PER,I
189,1507,1509,NOM,FAC,the parking lot
0,1512,1512,PRON,PER,I
55,1523,1523,PRON,PER,him
180,1525,1525,NOM,FAC,home
55,1528,1528,PRON,PER,He
0,1531,1531,PRON,PER,me
55,1536,1536,PRON,PER,his
0,1540,1540,PRON,PER,I
191,1548,1548,NOM,PER,everyone
0,1550,1550,PRON,PER,I
192,1552,1554,NOM,VEH,the parked cars
55,1556,1556,PRON,PER,his
193,1556,1561,NOM,VEH,"his old , black Chevy truck"
0,1564,1564,PRON,PER,I
0,1568,1568,PRON,PER,I
55,1572,1572,PRON,PER,him
0,1576,1576,PRON,PER,my
55,1581,1581,PRON,PER,you
0,1584,1584,PRON,PER,me
55,1588,1588,PRON,PER,your
1537,1588,1589,NOM,VEH,your truck
0,1591,1591,PRON,PER,I
55,1605,1605,PROP,PER,Beau
55,1607,1607,PRON,PER,You
0,1609,1609,PRON,PER,me
55,1611,1611,PRON,PER,your
55,1619,1619,PRON,PER,his
0,1629,1629,PRON,PER,I
0,1631,1631,PRON,PER,I
55,1635,1635,PRON,PER,you
0,1639,1639,PRON,PER,my
49,1642,1642,PROP,PER,Ash
