start_token,end_token,supersense_category,text
2,13,noun.group,boys ABBI GLINES Simon Pulse New York London Toronto Sydney New Delhi
15,15,noun.communication,book
16,16,verb.stative,is
18,18,noun.artifact,work
20,20,noun.communication,fiction
23,23,noun.communication,references
26,26,noun.event,events
29,29,noun.group,people
33,33,noun.location,places
35,35,verb.consumption,used
39,39,noun.communication,names
41,41,noun.person,characters
43,43,noun.location,places
46,46,noun.event,events
47,47,verb.stative,are
48,48,noun.artifact,products
51,51,noun.person,author
53,53,noun.cognition,imagination
57,57,noun.attribute,resemblance
60,60,noun.event,events
62,62,noun.location,places
64,64,noun.person,persons
66,66,verb.stative,living
70,70,verb.stative,is
75,76,noun.person,SIMON PULSE
78,78,noun.cognition,imprint
80,80,noun.person,Simon
82,83,noun.group,Schuster Children
85,86,noun.group,Publishing Division
88,89,noun.group,Avenue of
90,90,noun.time,the
91,91,noun.location,Americas
93,94,noun.location,New York
96,97,noun.location,NY 10020
98,100,noun.group,First Simon Pulse
101,102,noun.communication,hardcover edition
103,103,noun.time,October
109,110,noun.group,Abbi Glines
112,112,noun.attribute,rights
115,115,verb.stative,including
117,117,noun.attribute,right
119,119,noun.communication,reproduction
127,127,noun.cognition,form
129,130,noun.person,SIMON PULSE
132,132,noun.artifact,colophon
133,133,verb.stative,are
135,135,noun.communication,trademarks
137,139,noun.group,Simon & Schuster
143,143,noun.communication,information
146,146,noun.possession,discounts
149,149,noun.act,purchases
152,152,verb.communication,contact
153,155,noun.group,Simon & Schuster
170,174,noun.group,Simon & Schuster Speakers Bureau
176,176,verb.motion,bring
177,177,noun.person,authors
181,181,noun.event,event
185,185,noun.communication,information
188,188,verb.social,book
190,190,noun.event,event
191,191,verb.social,contact
193,197,noun.person,Simon 8c Schuster Speakers Bureau
207,207,verb.social,visit
209,209,noun.communication,website
213,213,verb.creation,Designed
215,216,noun.person,Mike Rosamilia
218,218,noun.communication,text
221,221,noun.communication,book
223,223,verb.creation,set
225,226,noun.location,Adobe Caslon
232,233,noun.location,United States
235,235,noun.location,America
240,240,noun.communication,book
243,243,verb.possession,cataloged
246,248,noun.group,Library of Congress
272,272,noun.quantity,9
291,291,noun.person,son
293,293,noun.location,Austin
297,297,noun.person,person
299,299,verb.cognition,understands
301,301,noun.feeling,love
303,303,noun.act,football
308,308,verb.emotion,love
314,315,noun.group,Roll Tide
317,317,noun.person,son
319,319,noun.communication,ACKNOWLEDGMENTS
323,323,verb.change,start
325,325,verb.communication,thanking
326,326,noun.person,Keith
329,329,noun.person,husband
332,332,verb.body,tolerated
335,335,noun.artifact,house
337,337,noun.state,lack
340,340,noun.artifact,clothes
344,345,noun.state,mood swings
349,349,verb.creation,wrote
351,351,noun.communication,book
357,357,noun.communication,books
363,363,noun.person,kiddos
366,366,verb.consumption,ate
370,371,noun.food,corn dogs
373,373,noun.food,pizza
377,377,noun.substance,Flakes
381,382,verb.social,locked away
383,383,verb.communication,writing
386,386,verb.communication,promise
389,389,verb.consumption,cooked
394,394,noun.food,meals
397,397,verb.change,finished
399,400,noun.person,Tammara Webber
402,403,noun.person,Elizabeth Reyes
407,407,noun.person,partners
411,411,verb.communication,convinced
413,413,noun.person,ladies
415,415,verb.stative,become
417,417,noun.communication,critique
418,418,noun.person,partners
424,424,verb.cognition,read
426,426,noun.communication,books
433,434,verb.communication,throw in
440,440,verb.communication,kidding
449,449,verb.stative,’m
453,453,verb.emotion,love
455,455,noun.act,work
461,461,noun.act,perk
464,464,noun.cognition,ideas
466,466,noun.communication,suggestions
469,469,noun.communication,encouragement
470,470,verb.change,make
472,473,noun.act,writing process
479,479,verb.stative,’re
486,486,verb.cognition,know
490,490,verb.change,finished
492,492,noun.communication,book
499,499,verb.emotion,like
501,501,verb.communication,thank
503,503,noun.person,agent
505,506,noun.person,Jane Dystel
509,509,verb.communication,convinced
512,512,verb.consumption,needed
514,514,noun.person,agent
516,516,verb.social,taking
518,518,noun.state,chance
523,523,verb.stative,is
528,528,verb.stative,’m
531,531,verb.possession,have
534,535,noun.person,Jennifer Klonsky
538,538,noun.relation,rest
541,542,noun.group,Simon Pulse
543,543,noun.group,staff
546,546,verb.stative,been
