COREF,start_token,end_token,prop,cat,text
1,1,4,PROP,FAC,Ellen Hopkins ATRIA PAPERBACK
2,1,28,PROP,FAC,"Ellen Hopkins ATRIA PAPERBACK New York London Toronto Sydney New Delhi ATRIA PAPERBACK A Division of Simon & Schuster , Inc. A1230 Avenue of the Americas New York"
3,5,6,PROP,GPE,New York
4,7,7,PROP,GPE,London
5,8,8,PROP,GPE,Toronto
6,9,9,PROP,GPE,Sydney
7,11,11,PROP,GPE,Delhi
8,12,12,PROP,GPE,ATRIA
9,17,19,PROP,ORG,Simon & Schuster
10,25,26,PROP,LOC,the Americas
3,27,28,PROP,GPE,New York
11,30,30,PROP,GPE,NY
445,52,53,NOM,PER,the author
446,69,69,NOM,PER,persons
154,83,84,PROP,PER,Ellen Hopkins
12,107,117,PROP,FAC,"Atria Books Subsidiary Rights Department , 1230 Avenue of the Americas"
10,116,117,PROP,LOC,the Americas
3,119,120,PROP,GPE,New York
11,122,122,PROP,GPE,NY
155,156,156,PROP,PER,Simon
447,175,177,NOM,ORG,Schuster Speakers Bureau
448,180,180,NOM,PER,authors
449,182,182,PRON,PER,your
450,195,200,NOM,PER,the Simon & Schuster Speakers Bureau
451,211,211,PRON,PER,our
13,222,226,PROP,FAC,the United States of America
14,226,226,PROP,GPE,America
15,234,237,PROP,ORG,The Library of Congress
16,246,246,PROP,GPE,Hopkins
17,248,248,PROP,GPE,Ellen
18,252,255,PROP,FAC,Ellen Hopkins.—1st Atria Books
452,268,268,NOM,PER,women
453,329,332,NOM,PER,some very special friends
449,341,341,PRON,PER,you
449,344,344,PRON,PER,you
0,351,351,PRON,PER,my
454,351,352,NOM,PER,my husband
156,354,354,PROP,PER,John
0,359,359,PRON,PER,me
0,365,365,PRON,PER,my
455,365,366,NOM,PER,my family
0,388,388,PRON,PER,my
456,388,392,NOM,PER,my Simon & Schuster family
449,404,404,PRON,PER,you
157,406,407,PROP,PER,McElderry Books
449,410,410,PRON,PER,your
158,421,422,PROP,PER,Jon Anderson
449,433,433,PRON,PER,you
449,439,439,PRON,PER,your
0,447,447,PRON,PER,my
457,447,448,NOM,PER,my editor
159,450,451,PROP,PER,Sarah Branham
458,453,453,NOM,PER,publisher
160,455,456,PROP,PER,Judith Curr
161,497,498,PROP,PER,Carolyn Reidy
459,500,510,NOM,PER,an amazing woman who took more than one chance on me
0,510,510,PRON,PER,me
0,524,524,PRON,PER,I
0,532,532,PRON,PER,I
460,576,577,NOM,LOC,every universe
0,614,614,PRON,PER,my
0,628,628,PRON,PER,I
461,630,632,NOM,PER,an English freak
0,642,642,PRON,PER,I
0,665,665,PRON,PER,myself
462,676,676,NOM,PER,someone
0,678,678,PRON,PER,me
0,683,683,PRON,PER,me
0,710,710,PRON,PER,my
0,716,716,PRON,PER,I
0,760,760,PRON,PER,I
0,779,779,PRON,PER,me
0,792,792,PRON,PER,I
162,800,800,PROP,PER,Jace
162,806,806,PRON,PER,he
162,816,816,PRON,PER,him
0,832,832,PRON,PER,I
0,849,849,PRON,PER,my
0,854,854,PRON,PER,my
0,865,865,PRON,PER,my
463,865,866,NOM,FAC,my house
464,872,872,NOM,FAC,school
0,877,877,PRON,PER,I
465,881,882,NOM,PER,the kids
0,903,903,PRON,PER,me
0,908,908,PRON,PER,myself
0,910,910,PRON,PER,I
466,933,935,NOM,LOC,the eastern hills
0,960,960,PRON,PER,I
0,962,962,PRON,PER,my
467,976,976,PRON,PER,we
468,981,985,NOM,LOC,a sage- 3 crusted knoll
469,992,996,NOM,LOC,the lake - lush valley
162,998,998,PROP,PER,Jace
0,1000,1000,PRON,PER,I
467,1002,1002,PRON,PER,our
470,1002,1003,NOM,FAC,our home
471,1039,1039,PRON,PER,them
471,1054,1054,PRON,PER,they
472,1058,1059,NOM,FAC,the roadways
471,1069,1069,PRON,PER,they
471,1085,1085,PRON,PER,their
471,1099,1099,PRON,PER,they
0,1103,1103,PRON,PER,me
0,1109,1109,PRON,PER,my
473,1112,1114,NOM,PER,No coyote escort
0,1119,1119,PRON,PER,I
0,1122,1122,PRON,PER,my
0,1148,1148,PRON,PER,I
0,1154,1154,PRON,PER,my
0,1159,1159,PRON,PER,I
0,1186,1186,PRON,PER,I
0,1194,1194,PRON,PER,I
0,1202,1202,PRON,PER,I
0,1211,1211,PRON,PER,1
19,1220,1220,PROP,GPE,PE
0,1226,1226,PRON,PER,my
0,1232,1232,PRON,PER,I
474,1270,1272,NOM,PER,all three kids
464,1276,1276,NOM,FAC,school
0,1278,1278,PRON,PER,I
476,1280,1284,NOM,PER,a big sack of blubber
0,1302,1302,PRON,PER,me
0,1306,1306,PRON,PER,1
0,1312,1312,PRON,PER,I
0,1330,1330,PRON,PER,I
477,1347,1347,NOM,PER,1
0,1356,1356,PRON,PER,My
0,1361,1361,PRON,PER,my
0,1367,1367,PRON,PER,I
478,1378,1379,NOM,PER,Certain neighbors
0,1390,1390,PRON,PER,me
0,1422,1422,PRON,PER,I
462,1428,1428,NOM,PER,someone
480,1432,1432,NOM,FAC,home
0,1438,1438,PRON,PER,me
0,1441,1441,PRON,PER,I
481,1460,1461,NOM,PER,a mom
0,1465,1465,PRON,PER,I
477,1468,1468,PRON,PER,1
0,1475,1475,PRON,PER,I
482,1506,1517,NOM,FAC,a straight path that goes on and on forever in opposite directions
483,1519,1523,NOM,FAC,Two lines that never intersect
484,1527,1536,NOM,FAC,"Two lines that intersect , forming ninety - degree angles"
0,1551,1551,PRON,PER,I
0,1582,1582,PRON,PER,I
163,1597,1598,PROP,PER,J ace
0,1611,1611,PRON,PER,I
485,1614,1614,PRON,PER,He
0,1619,1619,PRON,PER,me
486,1631,1631,NOM,FAC,here
0,1634,1634,PRON,PER,I
485,1637,1637,PRON,PER,you
487,1639,1640,NOM,PER,sweaty women
0,1642,1642,PRON,PER,me
485,1648,1648,PRON,PER,your
0,1655,1655,PRON,PER,I
0,1668,1668,PRON,PER,my
162,1671,1671,PROP,PER,Jace
162,1687,1687,PRON,PER,his
488,1695,1695,PRON,PER,We
0,1707,1707,PRON,PER,I
489,1714,1715,NOM,FAC,the office
162,1719,1719,PRON,PER,He
0,1721,1721,PRON,PER,me
0,1730,1730,PRON,PER,I
162,1763,1763,PRON,PER,him
490,1764,1766,NOM,PER,a satisfied man
0,1769,1769,PRON,PER,me
491,1770,1772,NOM,PER,a dutiful wife
162,1774,1774,PRON,PER,He
0,1776,1776,PRON,PER,me
0,1790,1790,PRON,PER,my
0,1793,1793,PRON,PER,I
0,1795,1795,PRON,PER,my
162,1798,1798,PRON,PER,he
0,1803,1803,PRON,PER,me
492,1810,1810,PRON,PER,You
0,1814,1814,PRON,PER,me
0,1818,1818,PRON,PER,I
162,1823,1823,PRON,PER,he
162,1827,1827,PRON,PER,his
0,1851,1851,PRON,PER,1
162,1857,1857,PRON,PER,his
162,1860,1860,PROP,PER,Jace
0,1863,1863,PRON,PER,I
162,1867,1867,PRON,PER,He
162,1869,1869,PRON,PER,his
0,1891,1891,PRON,PER,I
162,1899,1899,PRON,PER,him
0,1905,1905,PRON,PER,I
164,1910,1910,PROP,PER,Andrea
165,1913,1913,PROP,PER,Mikayla
166,1919,1919,PROP,PER,Emily
167,1923,1923,PROP,PER,Trace
168,1925,1925,PROP,PER,Brianna
486,1928,1928,NOM,FAC,here
480,1931,1931,NOM,FAC,home
162,1939,1939,PRON,PER,HE
162,1946,1946,PRON,PER,he
162,1957,1957,PRON,PER,his
493,1965,1965,NOM,PER,Some
0,1974,1974,PRON,PER,I
494,1989,1989,PRON,PER,them
0,1992,1992,PRON,PER,I
162,1994,1994,PROP,PER,Jace
162,2003,2003,PRON,PER,his
162,2016,2016,PRON,PER,his
162,2020,2020,PRON,PER,he
452,2025,2025,NOM,PER,women
0,2027,2027,PRON,PER,I
162,2032,2032,PRON,PER,him
496,2039,2040,NOM,PER,Good provider
480,2043,2043,NOM,FAC,home
498,2051,2052,NOM,PER,Caring father
499,2054,2055,NOM,PER,Adoring husband
500,2067,2069,NOM,PER,any sane woman
0,2081,2081,PRON,PER,me
501,2085,2085,PRON,PER,She
501,2089,2089,PRON,PER,her
