start_token,end_token,supersense_category,text
1,15,noun.group,Ellen Hopkins ATRIA PAPERBACK New York London Toronto Sydney New Delhi ATRIA PAPERBACK A Division
17,19,noun.group,Simon & Schuster
23,26,noun.location,Avenue of the Americas
27,28,noun.location,New York
30,30,noun.location,NY
33,33,noun.communication,book
34,34,verb.stative,is
36,36,noun.artifact,work
38,38,noun.communication,fiction
40,40,noun.communication,Names
42,42,noun.communication,characters
44,44,noun.location,places
47,47,noun.event,incidents
49,49,verb.stative,are
53,53,noun.person,author
55,55,noun.cognition,imagination
58,58,verb.consumption,used
62,62,noun.attribute,resemblance
65,65,noun.event,events
67,67,noun.communication,locales
69,69,noun.person,persons
73,73,noun.state,dead
75,75,verb.stative,is
79,79,noun.communication,Copyright
83,83,noun.person,Ellen
86,86,noun.attribute,rights
89,89,verb.stative,including
91,91,noun.attribute,right
93,93,verb.creation,reproduce
95,95,noun.communication,book
97,97,noun.possession,portions
101,101,noun.communication,form
105,105,noun.communication,information
106,106,verb.communication,address
107,111,noun.group,Atria Books Subsidiary Rights Department
114,117,noun.location,Avenue of the Americas
119,120,noun.location,New York
122,122,noun.location,NY
126,127,noun.group,Atria Paperback
128,130,noun.communication,trade paperback edition
131,131,noun.time,June
134,134,noun.artifact,paperback
136,136,noun.artifact,colophon
137,137,verb.stative,are
138,138,noun.artifact,trademarks
140,144,noun.group,"Simon & Schuster , Inc."
146,146,noun.communication,information
149,149,noun.act,discounts
152,152,noun.act,purchases
155,155,verb.communication,contact
156,158,noun.group,Simon & Schuster
170,170,noun.person,business@simonandschuster.com
173,177,noun.group,Simon & Schuster Speakers Bureau
179,179,verb.motion,bring
180,180,noun.person,authors
184,184,noun.event,event
188,188,noun.communication,information
191,191,verb.communication,book
193,193,noun.event,event
194,194,verb.social,contact
196,200,noun.group,Simon & Schuster Speakers Bureau
210,210,verb.communication,visit
212,212,noun.communication,website
214,214,noun.person,www.simonspeakers.com
218,219,noun.person,Jill Putorti
223,224,noun.location,United States
226,226,noun.location,America
235,237,noun.group,Library of Congress
239,239,verb.communication,cataloged
241,241,noun.artifact,hardcover
242,242,noun.communication,edition
248,248,noun.location,Ellen
252,255,noun.group,Ellen Hopkins.—1st Atria Books
257,257,noun.communication,ed
260,260,noun.communication,cm
264,266,noun.cognition,Self - realization
268,268,noun.person,women
270,270,noun.communication,Fiction
275,275,noun.state,friendship
277,277,noun.communication,Fiction
279,280,noun.location,I. Title
297,297,noun.quantity,9
322,322,noun.communication,ebook
325,325,noun.communication,book
327,327,verb.cognition,dedicated
332,332,noun.person,friends
336,336,verb.change,remain
342,342,verb.cognition,know
345,345,verb.stative,are
347,347,noun.communication,ACKNOWLEDGMENTS
349,349,noun.communication,thanks
352,352,noun.person,husband
354,354,noun.person,John
357,357,noun.cognition,faith
360,360,verb.change,remains
366,366,noun.group,family
369,369,verb.change,grew
373,373,noun.time,year
376,376,verb.stative,serves
382,382,noun.location,source
384,384,noun.cognition,inspiration
389,391,noun.person,Simon & Schuster
392,392,noun.group,family
395,395,verb.change,grew
399,399,noun.cognition,imprint
401,401,noun.time,year
403,404,noun.communication,Thank you
406,407,noun.person,McElderry Books
412,412,noun.act,support
417,419,noun.communication,shout - out
421,422,noun.person,Jon Anderson
425,425,verb.social,encouraged
428,428,noun.communication,writing
429,429,noun.act,venture
432,433,noun.communication,thank you
435,436,noun.group,Atria Books
441,441,noun.state,welcome
445,445,noun.communication,nods
448,448,noun.person,editor
450,451,noun.person,Sarah Branham
453,453,noun.person,publisher
455,456,noun.person,Judith Curr
459,459,noun.act,design
460,460,noun.group,department
465,465,verb.social,work
469,469,verb.change,make
471,471,noun.communication,book
472,472,verb.perception,look
477,477,noun.act,marketing
483,483,verb.social,work
486,486,verb.change,make
489,489,noun.act,success
497,498,noun.person,Carolyn Reidy
502,502,noun.person,woman
504,504,verb.social,took
508,508,noun.state,chance
512,513,noun.group,TRIANGLES Scientists
514,514,verb.communication,say
516,516,noun.act,action
517,517,verb.creation,initiates
522,522,noun.state,reaction
525,525,verb.communication,say
530,530,noun.event,start
533,533,verb.communication,say
535,535,noun.act,action
536,536,verb.creation,initiates
542,543,noun.act,chain reaction
547,547,noun.substance,filament
550,550,verb.stative,becomes
551,551,noun.relation,part
555,555,noun.artifact,weave
558,558,verb.change,remaining
563,563,noun.communication,line
565,565,noun.location,latitude
566,566,verb.stative,requires
568,568,noun.shape,stripes
570,570,noun.location,longitude
572,572,verb.possession,obtain
573,573,noun.communication,meaning
577,577,noun.object,universe
578,578,verb.stative,is
579,579,noun.relation,part
583,583,noun.location,heaven
586,586,noun.location,heaven
588,588,noun.communication,rhythm
590,590,noun.cognition,geometry
594,594,noun.event,heartbeat
595,595,verb.stative,is
597,597,noun.location,apex
600,600,noun.shape,triangle
603,604,noun.person,Holly NOT
607,607,noun.location,perimeters
609,609,noun.location,diameters
612,612,verb.stative,was
616,616,noun.act,thing
621,621,noun.group,school
622,622,verb.stative,was
625,625,noun.cognition,thing
629,629,verb.stative,was
631,631,noun.communication,English
632,632,noun.person,freak
634,634,noun.person,Lit
635,635,noun.act,classes
638,638,noun.act,writing
644,644,verb.motion,go
653,653,noun.artifact,books
654,654,verb.stative,were
661,661,verb.social,finished
662,662,noun.group,college
664,664,verb.possession,Given
667,667,noun.cognition,choices
675,675,verb.social,let
677,677,verb.creation,build
680,680,noun.artifact,box
682,682,verb.cognition,Cube
695,695,verb.stative,is
699,699,noun.state,thing
701,701,verb.stative,be
706,706,noun.time,years
708,708,verb.contact,stuffed
714,714,noun.artifact,box
717,717,verb.stative,’m
719,719,noun.state,need
723,723,noun.object,stretch
725,725,verb.contact,Pushing
728,728,noun.location,sides
733,733,verb.stative,take
734,734,verb.stative,is
737,737,noun.act,shove
740,740,noun.artifact,walls
742,743,verb.motion,tumble down
747,747,noun.time,day
749,749,verb.communication,wonder
753,753,verb.stative,be
755,755,noun.time,day
761,761,verb.body,wake
764,764,noun.time,rays
766,766,noun.time,morning
768,768,verb.contact,prodding
771,771,noun.attribute,cracks
774,774,noun.artifact,blinds
777,777,noun.act,breathing
780,780,verb.stative,is
795,795,verb.motion,slid
797,797,noun.body,leg
800,800,noun.person,Jace
802,802,verb.emotion,reveled
805,805,noun.attribute,way
807,807,verb.body,stirred
814,814,noun.relation,rest
817,817,verb.motion,surfaced
819,819,noun.cognition,dreams
823,823,noun.time,today
830,830,noun.time,days
833,834,verb.motion,ease out
838,838,noun.artifact,sheets
840,840,verb.body,slip
842,842,noun.artifact,shorts
845,846,noun.artifact,sports bra
848,848,verb.contact,grab
850,851,noun.artifact,running shoes
853,853,verb.motion,gentle
855,855,noun.artifact,way
858,859,noun.artifact,bedroom door
863,863,noun.attribute,silence
866,866,noun.artifact,house
872,872,noun.group,school
873,874,verb.change,starts up
880,880,verb.perception,see
882,882,noun.person,kids
886,886,noun.time,a.m.
889,889,noun.time,June
893,893,noun.act,dash
895,895,verb.consumption,cereal
897,897,verb.change,begins
902,902,verb.possession,gives
906,906,noun.time,hours
911,911,verb.contact,take
913,913,noun.food,bites
916,916,noun.artifact,PowerBar
918,918,verb.change,wash
922,922,noun.substance,Smartwater
927,927,noun.object,sun
931,931,verb.motion,crawl
935,935,noun.object,hills
939,939,noun.event,waves
940,940,verb.change,temper
942,942,noun.time,night
945,945,noun.substance,air
951,951,verb.stative,be
955,955,noun.time,today
958,958,noun.object,stretch
961,961,verb.change,start
964,964,noun.act,run
977,977,verb.stative,live
979,979,noun.location,top
982,982,noun.plant,sage-
985,985,noun.object,knoll
988,988,noun.group,series
990,990,noun.object,hills
991,991,verb.stative,rims
993,993,noun.object,lake
996,996,noun.object,valley
998,998,noun.person,Jace
1001,1001,verb.possession,bought
1003,1003,noun.artifact,home
1006,1006,noun.time,years
1009,1009,noun.location,Down
1011,1011,noun.location,Along
1013,1013,noun.location,Up
1015,1015,noun.location,Along
1018,1018,noun.act,run
1020,1020,verb.competition,flushing
1021,1021,noun.animal,rabbits
1023,1023,noun.plant,Quail
1025,1025,noun.animal,Squirrels
1030,1030,noun.animal,coyotes
1032,1033,verb.competition,hunting for
1035,1035,noun.relation,rest
1038,1038,verb.perception,see
1055,1055,verb.motion,trot
1059,1059,noun.artifact,roadways
1063,1063,noun.animal,human
1064,1064,noun.event,intrusion
