COREF,start_token,end_token,prop,cat,text
1,5,6,PROP,GPE,NEW YORK
71,10,11,PROP,PER,LAUREN MYRACLE
72,30,31,PROP,PER,Witches Bliss
265,42,42,PRON,PER,u
73,56,60,PROP,PER,Baby Ducks Let It Snow
74,67,68,PROP,PER,John Green
75,70,71,PROP,PER,Maureen Johnson
76,79,80,PROP,PER,E. Lockhart
77,82,83,PROP,PER,Sarah Mlynowski
266,109,110,NOM,PER,the author
267,122,123,NOM,PER,actual persons
268,155,158,NOM,FAC,the Library of Congress
71,174,175,PROP,PER,Lauren Myracle
78,179,181,PROP,PER,Maria T. Middleton
79,192,192,PROP,PER,ABRAMS
269,238,239,NOM,PER,the publisher
79,250,252,PROP,PER,Harry N. Abrams
2,303,307,PROP,FAC,ABRAMS 115 West 18th Street
270,308,312,NOM,GPE,"NewYork , NY 10011 www.abramsbooks.com"
77,314,315,PROP,PER,Sarah Mlynowski
80,317,318,PROP,PER,Emily Lockhart
271,320,320,PRON,PER,Your
0,326,326,PRON,PER,I
81,337,337,PROP,PER,PATRICK
272,356,356,PRON,PER,their
273,365,366,NOM,FAC,the porch
0,369,369,PRON,PER,I
0,387,387,PRON,PER,I
0,408,408,PRON,PER,my
273,415,416,NOM,FAC,the porch
0,429,429,PRON,PER,I
0,439,439,PRON,PER,my
275,458,458,PRON,PER,its
0,480,480,PRON,PER,me
82,483,484,PROP,PER,Mama Sweetie
81,486,486,PROP,PER,Patrick
276,486,488,NOM,PER,Patrick ’s grandma
0,492,492,PRON,PER,me
82,495,495,PRON,PER,her
0,514,514,PRON,PER,I
81,527,527,PROP,PER,Patrick
82,529,530,PROP,PER,Mama Sweetie
82,535,535,PRON,PER,her
0,539,539,PRON,PER,I
0,542,542,PRON,PER,I
0,544,544,PRON,PER,my
0,553,553,PRON,PER,I
277,565,567,NOM,FAC,the front room
0,573,573,PRON,PER,I
81,603,603,PROP,PER,Patrick
0,622,622,PRON,PER,I
278,626,626,PRON,PER,him
0,634,634,PRON,PER,my
0,643,643,PRON,PER,I
0,646,646,PRON,PER,my
0,652,652,PRON,PER,I
0,660,660,PRON,PER,I
0,665,665,PRON,PER,myself
0,668,668,PRON,PER,I
0,673,673,PRON,PER,I
0,685,685,PRON,PER,I
279,688,688,NOM,FAC,school
0,701,701,PRON,PER,I
0,712,712,PRON,PER,I
280,715,716,NOM,LOC,the world
0,722,722,PRON,PER,I
83,726,726,PROP,PER,God
83,744,744,PRON,PER,His
