start_token,end_token,supersense_category,text
1,2,noun.group,LAUREN MYRACLE
5,6,noun.location,NEW YORK
10,14,noun.group,LAUREN MYRACLE Luv Ya Bunches
28,28,noun.communication,Rhymes
41,41,noun.communication,book
43,43,verb.creation,write
67,68,noun.person,John Green
70,71,noun.person,Maureen Johnson
79,80,noun.person,E. Lockhart
82,83,noun.person,Sarah Mlynowski
90,90,verb.stative,is
92,92,noun.artifact,work
94,94,noun.communication,fiction
96,96,noun.communication,Names
98,98,noun.communication,characters
100,100,noun.location,places
103,103,noun.event,incidents
104,104,verb.stative,are
107,107,noun.artifact,product
110,110,noun.person,author
112,112,noun.cognition,imagination
115,115,verb.consumption,used
120,120,noun.attribute,resemblance
123,123,noun.person,persons
125,125,verb.stative,living
127,127,noun.group,dead
129,129,noun.group,business
130,130,noun.state,establishments
132,132,noun.event,events
136,136,verb.stative,is
148,148,verb.consumption,applied
153,153,verb.possession,obtained
156,158,noun.group,Library of Congress
170,170,noun.communication,Text
171,171,noun.communication,copyright
174,175,noun.person,Lauren Myracle
177,177,noun.act,design
179,181,noun.person,Maria T. Middleton
182,182,verb.creation,Published
199,199,noun.relation,portion
202,202,noun.communication,book
205,205,verb.contact,reproduced
207,207,verb.contact,stored
210,211,noun.artifact,retrieval system
214,214,verb.contact,transmitted
217,217,noun.cognition,form
227,227,noun.communication,photocopying
229,229,noun.artifact,recording
236,236,noun.communication,permission
239,239,noun.group,publisher
246,246,verb.stative,are
248,248,noun.communication,trademarks
250,252,noun.group,Harry N. Abrams
259,259,noun.communication,U.S.A.
267,267,noun.act,discount
269,269,verb.possession,purchased
271,271,noun.Tops,quantity
273,273,noun.possession,premiums
275,275,noun.communication,promotions
282,282,noun.act,use
284,285,noun.communication,Special editions
289,289,verb.creation,created
291,291,verb.communication,specification
294,294,noun.communication,details
296,296,verb.communication,contact
300,300,noun.communication,address
305,307,noun.location,West 18th Street
308,308,noun.location,NewYork
310,310,noun.location,NY
312,313,noun.location,www.abramsbooks.com To
314,315,noun.person,Sarah Mlynowski
317,318,noun.person,Emily Lockhart
321,321,noun.feeling,love
322,322,verb.stative,is
329,329,verb.body,wear
330,330,noun.artifact,shades
334,335,noun.communication,BOOK CHAPTER
337,337,noun.person,PATRICK
339,339,noun.artifact,HOUSE
342,342,noun.cognition,GHOST
344,344,noun.substance,DUST
345,345,verb.contact,COATED
347,347,noun.artifact,windows
350,350,noun.plant,petunias
353,353,noun.plant,flower
354,354,noun.artifact,boxes
355,355,verb.motion,bowed
357,357,noun.body,heads
360,360,noun.plant,spiderwebs
361,361,verb.contact,clotted
363,363,noun.artifact,eaves
366,366,noun.artifact,porch
372,372,verb.perception,marveled
375,375,noun.artifact,webs
380,380,verb.stative,were
386,386,noun.time,today
388,388,verb.perception,saw
390,390,noun.artifact,silk
391,391,noun.artifact,ropes
393,393,noun.communication,Nooses
395,395,noun.animal,sawflies
397,397,noun.animal,katydids
404,404,verb.contact,ensnared
406,406,noun.act,Movement
407,407,verb.contact,drew
409,409,noun.cognition,attention
413,413,noun.location,corner
416,416,noun.artifact,porch
421,421,noun.object,web
422,422,verb.motion,swayed
426,426,verb.stative,were
430,430,verb.motion,stepped
436,436,noun.feeling,taste
437,437,verb.motion,rose
440,440,noun.body,throat
443,443,noun.state,mourning
444,444,noun.artifact,cloak
446,446,verb.contact,trapped
449,449,noun.attribute,mass
451,451,noun.artifact,threads
454,454,noun.artifact,wing
456,456,verb.contact,pinned
459,459,noun.body,body
464,464,noun.artifact,wing
468,468,verb.contact,rimmed
470,470,noun.attribute,gold
472,472,verb.motion,fluttered
478,478,noun.object,wing
479,479,verb.communication,made
481,482,verb.cognition,think of
483,484,noun.person,Mama Sweetie
486,486,noun.person,Patrick
488,488,noun.person,grandma
491,491,verb.change,made
493,494,verb.cognition,think of
496,496,noun.communication,Bible
505,505,noun.communication,pages
506,506,verb.stative,were
510,510,noun.body,tissue
515,515,verb.contact,ruffled
519,519,noun.possession,gold
520,520,verb.perception,shimmered
523,523,noun.time,Christmas
525,525,noun.time,year
527,527,noun.person,Patrick
528,528,verb.creation,made
529,530,noun.person,Mama Sweetie
533,533,noun.artifact,stand
536,536,noun.communication,Bible
540,540,verb.cognition,knew
543,543,verb.contact,pressed
545,545,noun.body,face
551,551,noun.artifact,windows
555,555,verb.perception,see
558,558,noun.communication,Bible
561,561,noun.communication,bookstand
562,562,verb.perception,displayed
567,567,noun.artifact,room
571,571,noun.communication,no
576,576,verb.cognition,know
582,582,noun.communication,reason
586,586,noun.attribute,things
589,589,verb.stative,be
592,592,noun.attribute,way
595,595,verb.communication,mean
598,598,verb.stative,stay
600,600,noun.attribute,way
603,603,noun.person,Patrick
606,606,verb.change,stuck
608,608,noun.communication,Bible
611,611,noun.artifact,drawer
614,614,verb.possession,given
619,619,verb.contact,burned
625,625,verb.creation,imagine
627,627,verb.social,doing
631,631,noun.act,things
635,635,noun.cognition,thoughts
638,638,noun.cognition,matter
639,639,verb.stative,meant
640,640,noun.quantity,nothing
644,644,verb.emotion,felt
648,648,noun.state,existence
649,649,verb.stative,meant
650,650,noun.quantity,nothing
