COREF,start_token,end_token,prop,cat,text
141,2,2,PROP,PER,EARL
366,36,36,PRON,PER,you
366,49,49,PRON,PER,you
366,56,56,PRON,PER,you
367,73,74,NOM,FAC,high school
368,77,77,PRON,PER,we
369,96,101,NOM,LOC,a place that sucks so bad
370,107,108,NOM,FAC,middle school
370,114,115,NOM,FAC,middle school
0,120,120,PRON,PER,I
0,125,125,PRON,PER,myself
0,144,144,PRON,PER,me
0,147,147,PRON,PER,myself
133,149,151,PROP,PER,Greg S. Gaines
0,163,163,PRON,PER,I
372,165,178,NOM,PER,"a senior at Benson High School in lovely inner - city Pittsburgh , Pennsylvania"
1,168,170,PROP,FAC,Benson High School
373,172,178,NOM,LOC,"lovely inner - city Pittsburgh , Pennsylvania"
2,176,176,PROP,GPE,Pittsburgh
3,178,178,PROP,GPE,Pennsylvania
368,182,182,PRON,PER,we
368,191,191,PRON,PER,us
4,194,194,PROP,PER,Benson
4,206,206,PROP,GPE,Benson
374,209,213,NOM,LOC,the border of Squirrel Hill
5,212,213,PROP,LOC,Squirrel Hill
375,215,217,NOM,GPE,an affluent neighborhood
6,220,220,PROP,GPE,Homewood
376,222,226,NOM,GPE,a non - affluent neighborhood
4,229,229,PRON,GPE,it
377,235,235,NOM,PER,students
378,245,257,NOM,PER,the rich kids who assert control at a high 5 JESSE ANDREWS school
379,252,257,NOM,FAC,a high 5 JESSE ANDREWS school
380,261,268,NOM,PER,most of Squirrel Hill ’s genuinely rich kids
5,263,264,PROP,GPE,Squirrel Hill
381,263,268,NOM,PER,Squirrel Hill ’s genuinely rich kids
382,271,274,NOM,ORG,the local private school
8,276,277,PROP,FAC,Shadyside Academy
383,279,282,NOM,PER,The ones that remain
0,293,293,PRON,PER,I
383,298,298,PRON,PER,they
135,315,316,PROP,PER,Olivia Ryan
384,329,330,NOM,FAC,the stairwells
385,341,341,NOM,PER,bystanders
386,357,357,PRON,PER,You
135,363,363,PROP,PER,Liv
2140,365,366,NOM,PER,The perpetrator
136,378,379,PROP,PER,Pee Diddy
386,390,390,PRON,PER,you
135,395,395,PRON,PER,she
0,406,406,PRON,PER,my
386,465,465,PRON,PER,you
387,482,482,NOM,PER,grandmas
388,489,491,NOM,PER,the rich kids
389,494,499,NOM,PER,the alpha group of the school
390,501,505,NOM,PER,The next most likely demographic
391,508,510,NOM,PER,the church kids
391,512,512,PRON,PER,They
391,517,517,PRON,PER,they
391,537,537,PRON,PER,their
391,542,542,PRON,PER,they
386,550,550,PRON,PER,you
391,555,555,PRON,PER,them
391,560,560,PRON,PER,they
386,568,568,PRON,PER,you
391,571,571,PRON,PER,their
392,571,572,NOM,FAC,their church
391,575,575,PRON,PER,We
391,584,584,PRON,PER,they
391,594,594,PRON,PER,We
386,614,614,PRON,PER,you
393,625,626,NOM,PER,child predators
391,629,631,NOM,PER,the church kids
395,635,637,NOM,PER,the alpha group
0,642,642,PRON,PER,ME
396,644,648,NOM,PER,EARL ano the DYING GIRL
396,649,649,PRON,PER,Their
397,657,658,NOM,FAC,many schools
398,660,661,NOM,PER,the jocks
4,675,675,PROP,GPE,Benson
396,677,677,PRON,PER,they
399,685,689,NOM,PER,many of the white kids
400,687,689,NOM,PER,the white kids
