start_token,end_token,supersense_category,text
2,2,noun.person,EARL
7,8,noun.person,JESSE ANDREWS
9,9,verb.change,START
11,11,noun.communication,BOOK
12,12,noun.communication,CHAPTER
19,19,verb.stative,EXIST
31,31,verb.cognition,understand
34,34,verb.change,happened
39,39,verb.change,start
42,42,noun.communication,premise
44,45,noun.group,high school
46,46,verb.emotion,sucks
50,50,verb.communication,accept
52,52,noun.communication,premise
60,60,verb.stative,is
63,63,verb.communication,acknowledged
64,64,noun.cognition,truth
66,67,noun.group,high school
68,68,verb.consumption,sucks
73,74,noun.artifact,high school
75,75,verb.stative,is
80,80,verb.communication,introduced
85,85,noun.communication,question
87,87,noun.cognition,life
94,94,verb.stative,exist
97,97,noun.location,place
99,99,verb.change,sucks
107,108,noun.group,middle school
109,109,verb.emotion,sucks
114,115,noun.group,middle school
116,116,verb.stative,is
124,124,verb.communication,bring
127,127,verb.communication,write
135,136,verb.stative,focus on
137,138,noun.group,high school
143,143,verb.social,Allow
146,146,verb.communication,introduce
149,151,noun.person,Greg S. Gaines
157,157,noun.time,period
158,158,verb.communication,described
161,161,noun.communication,book
164,164,verb.stative,was
166,166,noun.person,senior
168,170,noun.group,Benson High School
175,176,noun.location,city Pittsburgh
178,178,noun.location,Pennsylvania
183,183,verb.social,do
188,188,verb.stative,is
193,193,verb.cognition,examine
194,194,noun.person,Benson
198,198,noun.act,ways
202,202,verb.stative,sucks
206,206,noun.location,Benson
207,207,verb.stative,is
210,210,noun.location,border
212,213,noun.location,Squirrel Hill
217,217,noun.location,neighborhood
220,220,noun.location,Homewood
226,226,noun.location,neighborhood
230,230,verb.emotion,draws
233,233,noun.quantity,numbers
235,235,noun.person,students
240,240,noun.communication,television
247,247,noun.person,kids
249,249,verb.communication,assert
250,250,noun.attribute,control
255,257,noun.group,JESSE ANDREWS school
263,264,noun.location,Squirrel Hill
268,268,noun.person,kids
269,270,verb.motion,go to
273,274,noun.group,private school
276,277,noun.location,Shadyside Academy
