COREF,start_token,end_token,prop,cat,text
63,1,6,PROP,PER,vincent brothers ABBI GLINES Simon Pulse
1,8,8,PROP,GPE,York
2,8,13,PROP,GPE,York London Toronto Sydney New Delhi
3,9,9,PROP,GPE,London
4,10,10,PROP,GPE,Toronto
5,11,11,PROP,GPE,Sydney
6,13,13,PROP,GPE,Delhi
171,28,29,NOM,PER,real people
172,50,51,NOM,PER,the author
63,74,75,PROP,PER,SIMON PULSE
7,82,90,PROP,FAC,Children ’s Publishing Division 1230 Avenue of the Americas
8,89,90,PROP,LOC,the Americas
9,92,93,PROP,GPE,New York
10,95,99,PROP,FAC,NY 10020 First Simon Pulse
63,128,129,PROP,PER,SIMON PULSE
63,161,161,PROP,PER,Simon
173,178,184,NOM,PER,"The Simon & , Schuster Speakers Bureau"
174,187,187,NOM,PER,authors
175,189,189,PRON,PER,your
176,202,207,NOM,PER,the Simon & Schuster Speakers Bureau
177,218,218,PRON,PER,our
64,225,226,PROP,PER,Mike Rosamilia
178,241,244,NOM,GPE,the United States of
11,245,245,PROP,GPE,America
179,258,261,NOM,FAC,the Library of Congress
180,274,274,PRON,PER,he
65,303,303,PROP,PER,Ava
0,305,305,PRON,PER,my
181,305,307,NOM,PER,my baby girl
65,309,309,PRON,PER,Your
0,315,315,PRON,PER,I
65,320,320,PRON,PER,you
182,327,327,NOM,PER,sweetheart
0,337,337,PRON,PER,I
66,343,343,PROP,PER,Keith
0,345,345,PRON,PER,my
183,345,346,NOM,PER,my husband
184,350,352,NOM,FAC,the dirty house
0,360,360,PRON,PER,my
0,365,365,PRON,PER,I
0,372,372,PRON,PER,my
0,377,377,PRON,PER,My
185,377,380,NOM,PER,My three precious kiddos
0,396,396,PRON,PER,I
0,402,402,PRON,PER,I
0,404,404,PRON,PER,I
185,406,406,PRON,PER,them
0,412,412,PRON,PER,I
0,415,415,PRON,PER,I
0,421,421,PRON,PER,my
186,421,422,NOM,PER,my agent
67,424,425,PROP,PER,Jane Dystel
0,429,429,PRON,PER,me
0,430,430,PRON,PER,I
187,432,433,NOM,PER,an agent
0,439,439,PRON,PER,me
186,441,441,PRON,PER,She
0,446,446,PRON,PER,I
186,451,451,PRON,PER,her
68,453,454,PROP,PER,Jennifer Klonsky
188,456,462,NOM,PER,the rest of the Simon Pulse staff
189,459,462,NOM,PER,the Simon Pulse staff
69,484,485,PROP,PER,Tammara Webber
70,487,488,PROP,PER,Elizabeth Reyes
0,490,490,PRON,PER,my
190,490,492,NOM,PER,my critique partners
0,496,496,PRON,PER,I
191,498,499,NOM,PER,these ladies
0,502,502,PRON,PER,my
190,502,504,NOM,PER,my critique partners
0,508,508,PRON,PER,I
191,512,512,PRON,PER,their
193,515,516,NOM,PER,anyone else
0,518,518,PRON,PER,I
0,524,524,PRON,PER,I
0,535,535,PRON,PER,I
0,539,539,PRON,PER,I
191,541,541,PRON,PER,their
194,550,552,NOM,PER,Both of them
191,552,552,PRON,PER,them
0,554,554,PRON,PER,me
71,558,560,PROP,PER,The Vincent Brothers
191,562,562,PRON,PER,Their
191,577,577,PRON,PER,They
0,582,582,PRON,PER,I
0,587,587,PRON,PER,I
191,593,593,PRON,PER,them
0,595,595,PRON,PER,My
195,595,597,NOM,PER,My FP girls
0,599,599,PRON,PER,I
0,610,610,PRON,PER,my
196,610,611,NOM,PER,my mother
196,619,619,PRON,PER,her
195,627,627,PRON,PER,You
197,627,628,NOM,PER,You girls
0,630,630,PRON,PER,me
0,635,635,PRON,PER,me
0,643,643,PRON,PER,me
0,649,649,PRON,PER,my
195,653,653,PRON,PER,You
0,656,656,PRON,PER,my
198,656,657,NOM,PER,my posse
72,660,661,PROP,PER,SAWYER Ashton
72,663,663,PRON,PER,herself
199,666,666,PRON,PER,our
72,676,676,PRON,PER,she
0,679,679,PRON,PER,me
72,682,682,PRON,PER,her
72,687,687,PRON,PER,she
0,691,691,PRON,PER,me
0,695,695,PRON,PER,I
72,698,698,PRON,PER,her
0,705,705,PRON,PER,I
72,726,726,PRON,PER,her
0,728,728,PRON,PER,my
0,743,743,PRON,PER,I
200,747,748,NOM,FAC,the church
72,751,751,PRON,PER,her
73,753,753,PROP,PER,Beau
0,755,755,PRON,PER,I
0,759,759,PRON,PER,I
72,762,762,PRON,PER,her
0,765,765,PRON,PER,me
0,769,769,PRON,PER,me
0,777,777,PRON,PER,I
72,781,781,PROP,PER,Ashton
0,785,785,PRON,PER,mine
72,790,790,PRON,PER,You
0,797,797,PRON,PER,I
72,802,802,PRON,PER,she
0,805,805,PRON,PER,me
72,807,807,PRON,PER,She
0,810,810,PRON,PER,me
0,813,813,PRON,PER,me
72,814,814,PRON,PER,she
0,819,819,PRON,PER,I
74,845,847,PROP,PER,ABBI GLINES Ashton
0,854,854,PRON,PER,I
0,864,864,PRON,PER,I
72,868,868,PRON,PER,you
0,874,874,PRON,PER,I
72,882,882,PRON,PER,her
72,889,889,PRON,PER,she
72,896,896,PRON,PER,I
0,902,902,PRON,PER,I
72,911,911,PRON,PER,she
0,915,915,PRON,PER,I
72,918,918,PRON,PER,her
201,928,928,PRON,PER,we
0,938,938,PRON,PER,I
0,940,940,PRON,PER,my
72,945,945,PRON,PER,she
0,954,954,PRON,PER,I
202,956,961,NOM,PER,the audience hidden in the darkness
203,963,963,PRON,PER,It
73,966,966,PROP,PER,Beau
0,971,971,PRON,PER,me
73,976,976,PRON,PER,he
72,979,979,PRON,PER,her
73,982,982,PRON,PER,I
72,987,987,PRON,PER,you
73,989,989,PROP,PER,Beau
72,991,991,PRON,PER,you
0,997,997,PRON,PER,I
0,1004,1004,PRON,PER,I
0,1011,1011,PRON,PER,I
73,1020,1020,PRON,PER,He
72,1022,1022,PRON,PER,you
0,1024,1024,PRON,PER,I
72,1036,1036,PRON,PER,her
73,1041,1041,PRON,PER,He
0,1047,1047,PRON,PER,my
72,1054,1054,PRON,PER,her
0,1060,1060,PRON,PER,I
0,1064,1064,PRON,PER,I
0,1068,1068,PRON,PER,you
0,1073,1073,PRON,PER,My
1464,1079,1079,NOM,PER,everyone
72,1081,1081,PRON,PER,her
0,1086,1086,PRON,PER,I
0,1095,1095,PRON,PER,me
72,1107,1107,PRON,PER,She
0,1116,1116,PRON,PER,I
72,1119,1119,PRON,PER,her
0,1122,1122,PRON,PER,I
0,1125,1125,PRON,PER,myself
1465,1128,1132,NOM,PER,The guy I ’d been
0,1130,1130,PRON,PER,I
0,1136,1136,PRON,PER,I
0,1143,1143,PRON,PER,me
0,1146,1146,PRON,PER,I
204,1151,1151,PRON,PER,them
0,1156,1156,PRON,PER,you
73,1160,1160,PROP,PER,Beau
0,1166,1166,PRON,PER,me
0,1171,1171,PRON,PER,I
0,1175,1175,PRON,PER,myself
205,1179,1179,NOM,PER,someone
0,1182,1182,PRON,PER,me
73,1190,1192,PROP,PER,THE VINCENT BROTHERS
75,1197,1197,PRON,PER,She
75,1201,1201,PRON,PER,I
75,1206,1206,PRON,PER,I
1466,1209,1209,PRON,PER,them
75,1212,1212,PRON,PER,her
75,1232,1232,PROP,PER,Ash
0,1234,1234,PRON,PER,you
0,1236,1236,PRON,PER,my
206,1236,1237,NOM,PER,my girl
207,1245,1245,PRON,PER,we
208,1247,1247,NOM,PER,friends
209,1249,1252,NOM,PER,The best of friends
0,1254,1254,PRON,PER,I
210,1262,1263,NOM,FAC,the road
0,1265,1265,PRON,PER,me
0,1269,1269,PRON,PER,you
0,1271,1271,PRON,PER,I
0,1278,1278,PRON,PER,You
0,1289,1289,PRON,PER,your
73,1294,1294,PROP,PER,Beau
0,1299,1299,PRON,PER,mine
0,1303,1303,PRON,PER,Yours
0,1310,1310,PRON,PER,I
73,1312,1312,PROP,PER,Beau
0,1314,1314,PRON,PER,you
0,1316,1316,PRON,PER,I
73,1321,1321,PRON,PER,he
0,1324,1324,PRON,PER,you
0,1326,1326,PRON,PER,I
0,1329,1329,PRON,PER,you
73,1331,1331,PRON,PER,him
0,1335,1335,PRON,PER,you
0,1337,1337,PRON,PER,me
211,1339,1339,PRON,PER,You
212,1339,1340,NOM,PER,You two
0,1345,1345,PRON,PER,I
0,1352,1352,PRON,PER,I
73,1356,1356,PROP,PER,Beau
0,1358,1358,PRON,PER,my
213,1358,1359,NOM,PER,my cousin
0,1361,1361,PRON,PER,you
214,1363,1369,NOM,PER,the prettiest girl I ’d ever seen
0,1366,1366,PRON,PER,I
0,1371,1371,PRON,PER,I
0,1373,1373,PRON,PER,you
0,1375,1375,PRON,PER,myself
0,1378,1378,PRON,PER,I
0,1380,1380,PRON,PER,you
73,1386,1386,PROP,PER,Beau
73,1392,1392,PRON,PER,him
73,1394,1394,PRON,PER,he
0,1399,1399,PRON,PER,You
0,1407,1407,PRON,PER,I
211,1412,1412,PRON,PER,you
76,1416,1416,PROP,PER,Y’all
76,1434,1434,PRON,PER,y’
73,1440,1440,PROP,PER,Beau
0,1442,1442,PRON,PER,my
215,1442,1443,NOM,PER,my family
0,1445,1445,PRON,PER,you
0,1447,1447,PRON,PER,my
216,1447,1448,NOM,PER,my girlfriend
0,1454,1454,PRON,PER,your
0,1460,1460,PRON,PER,I
0,1464,1464,PRON,PER,I
0,1477,1477,PRON,PER,I
73,1479,1479,PRON,PER,him
0,1481,1481,PRON,PER,you
0,1494,1494,PRON,PER,my
0,1504,1504,PRON,PER,you
0,1508,1508,PRON,PER,I
73,1514,1514,PRON,PER,him
0,1517,1517,PRON,PER,I
0,1520,1520,PRON,PER,you
74,1524,1525,PROP,PER,ABBI GLINES
0,1531,1531,PRON,PER,I
0,1540,1540,PRON,PER,I
0,1551,1551,PRON,PER,my
0,1555,1555,PRON,PER,me
74,1558,1558,PROP,PER,Ashton
74,1560,1560,PRON,PER,her
74,1569,1569,PRON,PER,her
0,1578,1578,PRON,PER,my
74,1581,1581,PROP,PER,Ashton
0,1587,1587,PRON,PER,my
0,1590,1590,PRON,PER,I
0,1594,1594,PRON,PER,my
0,1605,1605,PRON,PER,I
74,1608,1608,PRON,PER,her
0,1613,1613,PRON,PER,I
0,1615,1615,PRON,PER,my
0,1619,1619,PRON,PER,my
0,1628,1628,PRON,PER,my
0,1632,1632,PRON,PER,I
217,1634,1634,PRON,PER,you
0,1638,1638,PRON,PER,I
217,1645,1645,PRON,PER,you
0,1647,1647,PRON,PER,I
218,1651,1655,NOM,PER,the good girl you deserved
217,1654,1654,PRON,PER,you
74,1659,1659,PRON,PER,her
74,1661,1661,PRON,PER,she
0,1669,1669,PRON,PER,me
0,1671,1671,PRON,PER,me
1467,1675,1675,PRON,PER,we
74,1681,1681,PRON,PER,She
0,1689,1689,PRON,PER,I
74,1692,1692,PRON,PER,her
0,1695,1695,PRON,PER,I
74,1698,1698,PRON,PER,her
0,1700,1700,PRON,PER,I
75,1705,1705,PROP,PER,Ash
217,1707,1707,PRON,PER,you
217,1713,1713,PRON,PER,you
0,1716,1716,PRON,PER,I
217,1722,1722,PRON,PER,you
0,1725,1725,PRON,PER,I
0,1737,1737,PRON,PER,I
0,1739,1739,PRON,PER,I
217,1742,1742,PRON,PER,you
0,1746,1746,PRON,PER,I
217,1753,1753,PRON,PER,you
73,1770,1770,PROP,PER,Beau
0,1774,1774,PRON,PER,me
0,1781,1781,PRON,PER,I
72,1785,1785,PROP,PER,Sawyer
0,1787,1787,PRON,PER,I
217,1792,1792,PRON,PER,you
0,1794,1794,PRON,PER,I
217,1801,1801,PRON,PER,You
73,1809,1809,PROP,PER,Beau
0,1811,1811,PRON,PER,me
0,1814,1814,PRON,PER,I
217,1820,1820,PRON,PER,your
217,1823,1823,PRON,PER,You
73,1833,1833,PROP,PER,Beau
1468,1840,1841,NOM,LOC,the woods
1469,1844,1845,NOM,PER,a sailor
0,1847,1847,PRON,PER,I
73,1849,1849,PRON,PER,he
1470,1856,1856,PRON,PER,us
0,1858,1858,PRON,PER,I
73,1862,1864,PROP,PER,THE VINCENT BROTHERS
72,1867,1867,PROP,PER,Ashton
0,1871,1871,PRON,PER,I
1471,1873,1887,NOM,PER,the only one who could convince her that she did n’t need to do that
72,1879,1879,PRON,PER,her
72,1881,1881,PRON,PER,she
0,1892,1892,PRON,PER,I
72,1894,1894,PRON,PER,her
75,1903,1903,PROP,PER,Ash
219,1905,1905,PRON,PER,He
75,1907,1907,PRON,PER,you
72,1911,1911,PRON,PER,her
72,1914,1914,PRON,PER,she
219,1916,1916,PRON,PER,me
219,1927,1927,PRON,PER,he
219,1932,1932,PRON,PER,he
0,1935,1935,PRON,PER,me
219,1937,1937,PRON,PER,He
0,1941,1941,PRON,PER,me
219,1943,1943,PRON,PER,he
220,1949,1950,NOM,PER,everyone else
0,1952,1952,PRON,PER,I
72,1960,1960,PRON,PER,She
219,1969,1969,PRON,PER,He
219,1975,1975,PRON,PER,He
75,1982,1982,PRON,PER,you
219,1987,1987,PRON,PER,he
0,1989,1989,PRON,PER,I
219,1992,1992,PRON,PER,him
219,1996,1996,PRON,PER,he
219,2004,2004,PRON,PER,he
219,2014,2014,PRON,PER,him
