start_token,end_token,supersense_category,text
1,1,noun.person,vincent
3,13,noun.group,ABBI GLINES Simon Pulse New York London Toronto Sydney New Delhi
15,15,noun.communication,book
16,16,verb.stative,is
18,18,noun.artifact,work
20,20,noun.communication,fiction
23,23,noun.communication,references
26,26,noun.event,events
29,29,noun.group,people
33,33,noun.location,places
35,35,verb.consumption,used
39,39,noun.communication,names
41,41,noun.cognition,characters
43,43,noun.location,places
46,46,noun.event,events
47,47,verb.stative,are
48,48,noun.artifact,products
51,51,noun.person,author
53,53,noun.cognition,imagination
57,57,noun.attribute,resemblance
60,60,noun.event,events
62,62,noun.location,places
64,64,noun.person,persons
66,66,verb.stative,living
70,70,verb.stative,is
74,74,noun.person,SIMON
77,77,noun.cognition,imprint
81,82,noun.group,Schuster Children
84,85,noun.group,Publishing Division
87,88,noun.group,Avenue of
89,89,noun.time,the
90,90,noun.location,Americas
92,93,noun.location,New York
95,97,noun.location,NY 10020 First
98,99,noun.group,Simon Pulse
100,101,noun.communication,paperback edition
102,102,noun.time,December
108,109,noun.group,Abbi Glines
111,111,noun.attribute,rights
114,114,verb.stative,including
116,116,noun.attribute,right
118,118,noun.communication,reproduction
126,126,noun.communication,form
128,129,noun.person,SIMON PULSE
131,131,noun.artifact,colophon
134,134,noun.communication,trademarks
136,138,noun.group,Simon & Schuster
145,146,noun.person,Simon Pulse
147,147,noun.communication,hardcover
148,148,noun.communication,edition
151,151,noun.communication,information
154,154,noun.possession,discounts
157,157,noun.act,purchases
160,160,verb.communication,contact
161,161,noun.person,Simon
179,180,noun.group,Simon &
182,184,noun.group,Schuster Speakers Bureau
186,186,verb.motion,bring
187,187,noun.person,authors
191,191,noun.event,event
195,195,noun.communication,information
198,198,verb.social,book
200,200,noun.event,event
201,201,verb.social,contact
203,207,noun.group,Simon & Schuster Speakers Bureau
217,217,verb.communication,visit
219,219,noun.communication,website
223,223,verb.creation,Designed
225,225,noun.person,Mike
228,228,noun.communication,text
231,231,noun.communication,book
233,233,verb.creation,set
235,236,noun.person,Adobe Caslon
242,245,noun.location,United States of America
254,254,noun.communication,book
256,256,verb.possession,cataloged
259,261,noun.group,Library of Congress
272,272,noun.quantity,7
302,303,noun.location,To Ava
306,307,noun.person,baby girl
310,310,noun.communication,smile
311,311,verb.change,makes
316,316,verb.stative,’m
321,321,verb.stative,’re
327,327,noun.person,sweetheart
331,331,verb.communication,settle
336,336,noun.communication,ACKNOWLEDGMENTS
340,340,verb.change,start
342,342,verb.communication,thanking
343,343,noun.person,Keith
346,346,noun.person,husband
349,349,verb.cognition,tolerated
352,352,noun.artifact,house
354,354,noun.state,lack
357,357,noun.artifact,clothes
361,361,noun.feeling,mood
362,362,noun.event,swings
