COREF,start_token,end_token,prop,cat,text
135,1,2,PROP,PER,Ellen Hopkins
135,5,6,PROP,PER,Ellen Hopkins
371,19,19,PRON,PER,You
0,20,20,PRON,PER,I
136,24,30,PROP,PER,People Kill People MARGARET K. McELDERRY BOOKS
1,38,41,PROP,FAC,Children ’s Publishing Division
2,44,47,PROP,LOC,Avenue of the Americas
3,46,47,PROP,LOC,the Americas
4,49,50,PROP,GPE,New York
4,52,53,PROP,GPE,New York
372,70,71,NOM,PER,real people
373,92,93,NOM,PER,the author
135,122,123,PROP,PER,Ellen Hopkins
137,131,133,PROP,PER,Sammy Yuen Jr
374,162,166,NOM,ORG,"Simon & Schuster , Inc."
375,196,201,NOM,FAC,The Simon & Schuster Speakers Bureau
376,204,204,NOM,PER,authors
377,206,206,PRON,PER,your
375,220,225,NOM,PER,the Simon & Schuster Speakers Bureau
379,236,236,PRON,PER,our
138,255,256,PROP,PER,Mike Rosamilia
139,261,263,PROP,PER,Emma D. Dryden
5,281,285,PROP,GPE,the United States of America
136,288,290,PROP,PER,Margaret K. McElderry
6,302,305,PROP,ORG,The Library of Congress
135,315,315,PROP,PER,Hopkins
135,317,317,PROP,PER,Ellen
135,322,323,PROP,PER,Ellen Hopkins
380,338,339,NOM,PER,Five teenagers
380,343,343,PRON,PER,their
381,422,429,NOM,PER,all those committed to helping victims of trafficking
382,431,437,NOM,PER,"child or adult , sex or labor"
383,440,440,NOM,PER,survivors
384,449,449,PRON,PER,their
0,452,452,PRON,PER,me
377,462,462,PRON,PER,You
0,470,470,PRON,PER,I
377,475,475,PRON,PER,your
377,481,481,PRON,PER,your
383,484,484,NOM,PER,survivors
140,496,497,PROP,PER,Cody Bennett
386,517,518,NOM,LOC,the abyss
140,524,524,PRON,PER,Mine
318,526,526,PROP,PER,Mom
318,531,531,PRON,PER,she
7,557,557,PROP,GPE,Finite
140,596,596,PROP,PER,Cody
387,612,613,NOM,LOC,the beach
388,617,621,NOM,LOC,the land of the living
0,633,633,PRON,PER,I
0,635,635,PRON,PER,I
0,649,649,PRON,PER,my
0,652,652,PRON,PER,I
0,654,654,PRON,PER,my
0,662,662,PRON,PER,I
389,666,667,NOM,LOC,dark water
0,670,670,PRON,PER,I
0,677,677,PRON,PER,I
0,691,691,PRON,PER,me
0,693,693,PRON,PER,my
0,702,702,PRON,PER,me
0,711,711,PRON,PER,I
390,714,715,NOM,FAC,a hospital
391,717,717,NOM,FAC,Hospital
0,729,729,PRON,PER,my
0,759,759,PRON,PER,my
0,768,768,PRON,PER,my
0,775,775,PRON,PER,I
0,779,779,PRON,PER,my
0,789,789,PRON,PER,my
318,793,793,PROP,PER,Mom
318,806,806,PRON,PER,Her
0,815,815,PRON,PER,me
140,817,818,PROP,PER,Cody boy
140,822,822,PRON,PER,you
0,825,825,PRON,PER,me
0,829,829,PRON,PER,I
318,831,831,PRON,PER,her
318,849,849,PRON,PER,she
0,851,851,PRON,PER,my
392,861,861,NOM,PER,son
393,863,863,PRON,PER,We
393,870,870,PRON,PER,We
0,877,877,PRON,PER,I
0,884,884,PRON,PER,I
318,888,888,PRON,PER,her
0,893,893,PRON,PER,I
0,902,902,PRON,PER,I
318,907,907,PRON,PER,she
2210,918,918,NOM,PER,mom
0,921,921,PRON,PER,I
0,936,936,PRON,PER,my
318,942,942,PRON,PER,She
0,947,947,PRON,PER,I
0,949,949,PRON,PER,my
140,952,952,PROP,PER,Cody
318,955,955,PRON,PER,she
318,959,959,PRON,PER,her
0,965,965,PRON,PER,my
318,969,969,PRON,PER,her
140,971,971,PROP,PER,Cody
140,974,974,PRON,PER,you
318,978,978,PRON,PER,She
0,983,983,PRON,PER,my
318,986,986,PRON,PER,She
318,989,989,PRON,PER,her
0,997,997,PRON,PER,my
0,1016,1016,PRON,PER,my
0,1029,1029,PRON,PER,my
318,1032,1032,PROP,PER,Mom
0,1034,1034,PRON,PER,my
318,1037,1037,PRON,PER,she
394,1039,1042,NOM,PER,the one getting shocked
0,1048,1048,PRON,PER,I
0,1052,1052,PRON,PER,I
0,1056,1056,PRON,PER,I
0,1061,1061,PRON,PER,I
140,1063,1063,PRON,PER,you
0,1068,1068,PRON,PER,I
395,1071,1072,NOM,PER,a nurse
318,1074,1074,PRON,PER,She
318,1085,1085,PRON,PER,I
0,1091,1091,PRON,PER,I
0,1095,1095,PRON,PER,I
0,1109,1109,PRON,PER,my
0,1115,1115,PRON,PER,my
0,1120,1120,PRON,PER,my
0,1130,1130,PRON,PER,my
0,1137,1137,PRON,PER,my
0,1156,1156,PRON,PER,my
0,1165,1165,PRON,PER,I
318,1167,1167,PROP,PER,Mom
0,1171,1171,PRON,PER,me
0,1181,1181,PRON,PER,I
0,1186,1186,PRON,PER,my
0,1201,1201,PRON,PER,me
318,1203,1203,PROP,PER,Mom
0,1206,1206,PRON,PER,My
0,1210,1210,PRON,PER,My
0,1215,1215,PRON,PER,I
0,1235,1235,PRON,PER,I
396,1242,1242,NOM,PER,bartender
0,1246,1246,PRON,PER,me
0,1250,1250,PRON,PER,I
397,1253,1254,NOM,PER,a madman
318,1256,1256,PROP,PER,Mom
318,1265,1265,PROP,PER,Mom
318,1267,1267,PRON,PER,I
318,1272,1272,PRON,PER,you
2211,1275,1275,PRON,PER,They
318,1277,1277,PRON,PER,me
318,1284,1284,PRON,PER,She
318,1289,1289,PRON,PER,her
2212,1298,1299,NOM,PER,that nurse
318,1301,1301,PRON,PER,I
2212,1307,1307,PRON,PER,She
2213,1313,1313,NOM,PER,someone
318,1322,1322,PRON,PER,I
2214,1325,1325,NOM,FAC,here
142,1341,1341,PROP,PER,Logic
318,1354,1354,PROP,PER,Mom
318,1362,1362,PRON,PER,I
318,1378,1378,PRON,PER,me
318,1388,1388,PRON,PER,my
2211,1394,1394,PRON,PER,They
318,1404,1404,PRON,PER,I
318,1406,1406,PRON,PER,my
318,1413,1413,PRON,PER,my
143,1419,1419,PROP,PER,Zip
8,1421,1421,PROP,GPE,Nada
2215,1423,1423,NOM,PER,Man
144,1431,1432,PROP,PER,old Vince
144,1439,1439,PROP,PER,Vince
144,1447,1447,PROP,PER,Vince
318,1449,1449,PRON,PER,I
318,1454,1454,PRON,PER,I
318,1456,1456,PRON,PER,my
144,1465,1465,PROP,PER,Vince
2216,1465,1467,NOM,FAC,Vince ’s apartment
318,1473,1473,PRON,PER,I
318,1483,1483,PRON,PER,I
2217,1514,1515,NOM,PER,smart gamblers
145,1518,1518,PROP,PER,Ronnie
145,1522,1522,PROP,PER,Ronnie
146,1524,1524,PROP,PER,Jesus
318,1526,1526,PRON,PER,I
318,1530,1530,PRON,PER,I
145,1535,1535,PRON,PER,you
318,1547,1547,PRON,PER,I
145,1552,1552,PROP,PER,Ronnie
318,1554,1554,PRON,PER,She
318,1559,1559,PRON,PER,I
318,1561,1561,PRON,PER,she
2218,1569,1570,NOM,FAC,the bank
