COREF,start_token,end_token,prop,cat,text
310,33,34,NOM,PER,the author
118,82,82,PROP,GPE,Brown
311,117,118,NOM,PER,the publisher
310,125,126,NOM,PER,the author
313,132,132,PRON,PER,you
311,157,158,NOM,PER,the publisher
313,163,163,PRON,PER,you
313,165,165,PRON,PER,your
310,168,169,NOM,PER,the author
118,175,175,PROP,PER,Brown
316,177,185,NOM,FAC,Company Hachette Book Group 1290 Avenue of the Americas
2,187,188,PROP,GPE,New York
317,193,193,PRON,PER,us
318,202,207,NOM,ORG,a division of Hachette Book Group
3,205,207,PROP,ORG,Hachette Book Group
3,220,222,PROP,ORG,Hachette Book Group
311,225,226,NOM,PER,The publisher
320,234,234,PRON,PER,their
311,242,243,NOM,PER,the publisher
322,259,273,NOM,PER,"Little , Brown and Company Library of Congress Cataloging - in - Publication Data King"
119,278,279,PROP,PER,Amy Sarig
323,285,286,NOM,PER,the passengers
120,305,306,PROP,PER,Astrid Jones
120,309,309,PRON,PER,her
2159,309,311,NOM,GPE,her small town
2160,310,311,NOM,GPE,small town
120,326,326,PRON,PER,she
2161,331,340,NOM,PER,the passengers in the airplanes flying high over her backyard
2162,334,335,NOM,VEH,the airplanes
120,339,339,PRON,PER,her
2163,339,340,NOM,FAC,her backyard
2161,343,343,PRON,PER,they
2161,356,356,PRON,PER,them
2161,360,360,PRON,PER,they
120,365,365,PRON,PER,Her
2164,365,366,NOM,PER,Her mother
120,372,372,PRON,PER,her
2165,372,373,NOM,PER,her father
120,378,378,PRON,PER,her
2166,378,380,NOM,PER,her perfect sister
2167,390,395,NOM,PER,the people in her small town
120,393,393,PRON,PER,her
2159,393,395,NOM,GPE,her small town
120,399,399,PRON,PER,her
2169,402,407,NOM,PER,the person she really wants to
120,404,404,PRON,PER,she
2170,409,410,NOM,PER,another girl
121,413,413,PROP,PER,Dee
2171,417,418,NOM,PER,no one
120,419,419,PROP,PER,Astrid
120,421,421,PRON,PER,she
120,434,434,PRON,PER,she
120,443,443,PRON,PER,she
120,449,449,PRON,PER,her
323,460,461,NOM,PER,the passengers
120,466,466,PRON,PER,her
324,476,476,NOM,PER,publisher
325,514,514,NOM,PER,Lesbians-—Fiction
326,537,538,NOM,ORG,High schools
327,563,567,NOM,GPE,the United States of America
0,569,569,PRON,PER,MY
