start_token,end_token,supersense_category,text
6,7,noun.group,A.S. KING
10,12,noun.group,BROWN AND COMPANY
14,14,noun.communication,book
15,15,verb.stative,is
17,17,noun.artifact,work
19,19,noun.communication,fiction
21,21,noun.communication,Names
23,23,noun.person,characters
25,25,noun.location,places
28,28,noun.event,incidents
29,29,verb.stative,are
31,31,noun.artifact,product
34,34,noun.person,author
36,36,noun.cognition,imagination
39,39,verb.consumption,used
43,43,noun.attribute,resemblance
46,46,noun.event,events
48,48,noun.communication,locales
51,51,noun.person,persons
53,53,verb.stative,living
55,55,noun.time,dead
57,57,verb.stative,is
60,60,noun.communication,Copyright
64,64,noun.communication,A.S.
72,73,noun.group,A.S. King
76,76,noun.communication,copyright
82,84,noun.group,Brown and Company
85,86,noun.communication,All rights
87,87,verb.cognition,reserved
90,90,noun.communication,accordance
100,100,verb.possession,scanning
102,102,verb.possession,uploading
106,106,verb.possession,sharing
109,109,noun.artifact,part
112,112,noun.communication,book
115,115,noun.communication,permission
118,118,noun.person,publisher
119,119,verb.stative,is
121,121,noun.act,piracy
123,123,noun.act,theft
126,126,noun.person,author
128,129,noun.possession,intellectual property
136,136,verb.consumption,use
137,137,noun.communication,material
140,140,noun.communication,book
145,145,noun.act,review
146,146,noun.cognition,purposes
151,151,noun.communication,permission
154,154,verb.possession,obtained
156,156,verb.communication,contacting
158,158,noun.person,publisher
160,160,noun.group,permissions@hbgusa.com
162,163,noun.communication,Thank you
166,166,noun.act,support
169,169,noun.person,author
171,171,noun.attribute,rights
175,175,noun.group,Brown
177,180,noun.group,Company Hachette Book Group
182,185,noun.location,Avenue of the Americas
187,188,noun.location,New York
190,192,noun.location,NY 10104 Visit
195,196,noun.group,LBYR.com Little
198,200,noun.group,Brown and Company
201,201,verb.stative,is
203,207,noun.group,division of Hachette Book Group
214,214,noun.communication,name
216,216,noun.communication,logo
218,218,noun.communication,trademarks
220,222,noun.group,Hachette Book Group
226,226,noun.group,publisher
227,227,verb.stative,is
231,231,noun.artifact,websites
235,235,noun.communication,content
240,240,verb.possession,owned
243,243,noun.group,publisher
252,252,verb.creation,published
264,266,noun.group,Library of Congress
271,272,noun.group,Publication Data
278,279,noun.person,Amy Sarig
286,286,noun.person,passengers
289,289,noun.communication,novel
305,306,noun.person,Astrid Jones
307,307,verb.social,copes
311,311,noun.location,town
313,313,noun.communication,gossip
317,317,noun.feeling,mindedness
319,319,verb.perception,staring
322,322,noun.object,sky
324,324,verb.cognition,imagining
329,329,noun.feeling,love
332,332,noun.person,passengers
335,335,noun.artifact,airplanes
336,336,verb.motion,flying
340,340,noun.artifact,backyard
345,345,verb.cognition,know
355,355,verb.change,make
362,362,verb.consumption,need
366,366,noun.person,mother
369,369,verb.emotion,want
373,373,noun.person,father
380,380,noun.person,sister
384,384,verb.social,trying
386,387,verb.social,fit in
391,391,noun.group,people
395,395,noun.location,town
398,398,verb.communication,allow
401,401,verb.emotion,love
403,403,noun.person,person
406,406,verb.emotion,wants
410,410,noun.person,girl
412,412,verb.communication,named
413,413,noun.person,Dee
419,419,noun.person,Astrid
420,420,verb.cognition,feels
423,423,verb.communication,talk
428,428,noun.communication,secret
432,432,noun.communication,questions
436,436,verb.social,trying
438,438,verb.communication,answer
444,444,verb.cognition,know
448,448,noun.act,sending
450,450,noun.feeling,love
453,453,verb.communication,asking
456,456,noun.communication,questions
459,459,verb.change,affect
461,461,noun.person,passengers
463,463,noun.cognition,lives
476,476,noun.group,publisher
489,489,noun.artifact,hardback
503,503,noun.communication,paperback
508,508,noun.feeling,Love
510,510,noun.communication,Fiction
516,516,noun.quantity,3
518,518,noun.group,Family
519,519,noun.state,problems
521,521,noun.communication,Fiction
527,527,noun.communication,Fiction
531,531,noun.communication,Gossip
533,533,noun.communication,Fiction
537,538,noun.group,High schools
540,540,noun.communication,Fiction
544,544,noun.location,Schools
546,546,noun.communication,Fiction
556,556,noun.communication,Printing
564,565,noun.location,United States
567,568,noun.location,America FOR
587,587,noun.communication,wisdom
588,588,verb.stative,is
590,590,verb.cognition,knowing
592,592,verb.cognition,know
593,593,noun.quantity,nothing
619,619,verb.stative,is
624,624,verb.motion,send
630,630,verb.perception,picture
632,632,noun.group,people
635,635,noun.artifact,seats
638,638,noun.substance,plastic
639,639,noun.artifact,cups
641,641,noun.substance,soda
643,644,noun.food,orange juice
646,646,noun.food,Scotch
650,650,verb.emotion,love
655,655,verb.emotion,love
659,659,verb.motion,send
664,664,noun.object,stream
668,668,noun.feeling,love
677,677,noun.body,chest
680,680,noun.body,chests
684,684,noun.body,brain
