COREF,start_token,end_token,prop,cat,text
140,1,1,PROP,PER,Rowell
1,4,4,PROP,GPE,Omaha
2,6,6,PROP,GPE,Nebraska
140,8,8,PRON,PER,her
412,8,9,NOM,PER,her husband
413,11,12,NOM,PER,two sons
3,15,20,PROP,FAC,Rainbow Rowell Attachments Eleanor & Park
141,23,23,PROP,PER,ELEANOR
4,25,27,PROP,FAC,PARK Rainbow Rowell
5,34,35,PROP,GPE,Great Britain
6,39,40,PROP,FAC,Orion Books
7,54,58,PROP,FAC,The Orion Publishing Group Ltd
8,60,61,PROP,FAC,Carmelite House
9,64,65,PROP,FAC,Victoria Embankment
10,67,67,PROP,GPE,London
11,68,73,PROP,FAC,EC4Y ODZ An Hachette UK company
140,85,86,PROP,PER,Rainbow Rowell
140,92,93,PROP,PER,Rainbow Rowell
414,98,102,NOM,PER,the author of this work
415,163,165,NOM,PER,the copyright owner
416,180,181,NOM,PER,actual persons
12,217,220,PROP,FAC,The Spartan Press Ltd
13,222,222,PROP,GPE,Lymington
14,224,224,PROP,GPE,Hants
5,227,228,PROP,GPE,Great Britain
15,230,231,PROP,FAC,Clays Ltd
417,261,262,NOM,LOC,sustainable forests
418,278,281,NOM,GPE,the country of origin
419,283,285,NOM,GPE,www.orionbooks.co.uk For Forest
16,287,287,PROP,GPE,Jade
17,289,289,PROP,GPE,Haven
18,291,291,PROP,GPE,Jerry
420,297,304,NOM,FAC,the bacl^ of the trucks START OF BOOK
421,305,305,PRON,PER,He
140,311,311,PRON,PER,her
140,314,314,PRON,PER,She
140,319,319,PRON,PER,she
421,337,337,PRON,PER,he
421,345,345,PRON,PER,he
422,348,356,NOM,PER,a girl with red hair standing on the corner
421,359,359,PRON,PER,he
422,372,372,PRON,PER,her
421,375,375,PRON,PER,he
423,379,380,NOM,PER,the girl
423,391,391,PRON,PER,she
140,408,408,PROP,PER,Eleanor
140,414,414,PROP,PER,Eleanor
421,420,420,PRON,PER,him
421,422,422,PRON,PER,he
421,424,424,PRON,PER,his
421,430,430,PRON,PER,him
421,433,433,PRON,PER,he
424,438,439,NOM,PER,everyone else
140,449,449,PROP,PER,Eleanor
140,453,453,PROP,PER,Eleanor
421,457,457,PRON,PER,He
140,463,463,PRON,PER,her
19,471,472,PROP,FAC,Park XTC
425,479,480,NOM,PER,the morons
426,485,486,NOM,VEH,the bus
141,488,488,PROP,PER,Park
421,490,490,PRON,PER,his
421,493,493,PRON,PER,his
421,497,497,PRON,PER,he
142,502,503,PROP,PER,Skinny Puppy
143,505,506,PROP,PER,the Misfits
421,510,510,PRON,PER,he
421,528,528,PRON,PER,He
20,533,534,PROP,FAC,New Wave
421,539,539,PRON,PER,he
421,541,541,PRON,PER,his
421,546,546,PRON,PER,His
427,546,547,NOM,PER,His parents
141,551,551,PROP,PER,Park
421,554,554,PRON,PER,his
428,554,555,NOM,PER,his mom
421,560,560,PRON,PER,he
421,572,572,PRON,PER,he
429,576,576,NOM,FAC,school
421,578,578,PRON,PER,he
421,583,583,PRON,PER,he
421,591,591,PRON,PER,he
430,609,609,NOM,PER,somebody
421,612,612,PRON,PER,him
144,621,621,PROP,PER,Steve
2503,631,631,NOM,PER,man
421,640,640,PRON,PER,You
430,643,643,NOM,PER,somebody
421,651,651,PRON,PER,You
421,659,659,PRON,PER,You
144,666,666,PROP,PER,Steve
141,670,670,PROP,GPE,Park
141,674,674,PROP,PER,Park
141,677,677,PROP,PER,Park
144,679,679,PRON,PER,him
431,689,689,PRON,PER,you
144,691,691,PROP,PER,Steve
144,696,696,PRON,PER,he
432,699,700,NOM,PER,someone else
144,710,710,PROP,PER,Steve
431,712,712,PRON,PER,your
433,712,713,NOM,PER,your neighbor
434,715,718,NOM,PER,The other 20 percent
431,722,722,PRON,PER,your
141,729,729,PROP,PER,Park
144,739,739,PRON,PER,him
146,750,750,PRON,PER,my
145,757,757,PROP,PER,dicklick
146,760,760,PROP,PER,Tina
146,764,764,PRON,PER,I
435,768,768,NOM,PER,baby
144,771,771,PROP,PER,Steve
0,775,775,PRON,PER,I
435,778,778,PRON,PER,you
435,788,788,PRON,PER,you
146,796,796,PRON,PER,her
430,803,803,NOM,PER,somebody
141,807,807,PROP,PER,PARK
144,810,810,PROP,PER,Steve
141,813,813,PROP,PER,Park
144,816,816,PRON,PER,his
426,824,825,NOM,VEH,the bus
144,827,827,PROP,PER,Steve
144,839,839,PRON,PER,his
144,846,846,PROP,PER,Steve
144,850,850,PRON,PER,he
144,857,857,PRON,PER,He
