start_token,end_token,supersense_category,text
1,1,noun.person,Rowell
2,2,verb.stative,lives
4,4,noun.location,Omaha
6,6,noun.location,Nebraska
9,9,noun.person,husband
12,12,noun.person,sons
15,16,noun.person,Rainbow Rowell
21,23,noun.location,Fangirl Landline ELEANOR
30,30,noun.communication,paperback
32,32,verb.creation,published
34,35,noun.location,Great Britain
39,40,noun.group,Orion Books
42,42,noun.communication,paperback
43,43,noun.communication,edition
44,44,verb.creation,published
48,49,noun.group,Orion Books
52,52,noun.cognition,imprint
55,58,noun.group,Orion Publishing Group Ltd
60,61,noun.group,Carmelite House
64,65,noun.location,Victoria Embankment
67,71,noun.group,London EC4Y ODZ An Hachette
73,73,noun.group,company
90,90,noun.attribute,right
92,93,noun.person,Rainbow Rowell
96,96,verb.cognition,identified
99,99,noun.person,author
102,102,noun.artifact,work
105,105,verb.communication,asserted
107,107,noun.communication,accordance
119,119,noun.attribute,rights
120,120,verb.possession,reserved
123,123,noun.relation,part
126,126,noun.communication,publication
129,129,verb.contact,reproduced
131,131,verb.contact,stored
134,135,noun.artifact,retrieval system
138,138,verb.communication,transmitted
142,142,noun.cognition,form
152,152,noun.artifact,photocopying
154,154,noun.artifact,recording
161,161,noun.communication,permission
164,165,noun.person,copyright owner
169,169,noun.person,characters
172,172,noun.communication,book
173,173,verb.stative,are
178,178,noun.attribute,resemblance
181,181,noun.person,persons
185,185,noun.state,dead
187,187,verb.stative,is
193,193,noun.communication,catalogue
194,194,noun.communication,record
197,197,noun.communication,book
198,198,verb.stative,is
215,215,noun.communication,Typeset
218,220,noun.location,Spartan Press Ltd
222,222,noun.location,Lymington
227,228,noun.location,Great Britain
236,237,noun.location,A. The
238,240,noun.group,Orion Publishing Group
242,242,noun.cognition,policy
243,243,verb.stative,is
245,245,verb.consumption,use
246,246,noun.communication,papers
248,248,verb.stative,are
254,254,noun.substance,products
256,256,verb.creation,made
258,258,noun.substance,wood
259,259,verb.change,grown
262,262,noun.plant,forests
265,265,noun.act,logging
267,267,noun.act,manufacturing
268,268,noun.process,processes
270,270,verb.cognition,expected
272,272,verb.stative,conform
276,276,noun.communication,regulations
279,280,noun.location,country of
281,281,noun.location,origin
283,285,noun.location,www.orionbooks.co.uk For Forest
287,287,noun.location,Jade
289,289,noun.location,Haven
291,291,noun.location,Jerry
307,307,verb.motion,stopped
308,308,verb.social,trying
310,310,verb.contact,bring
316,317,verb.motion,came back
320,320,verb.cognition,felt
325,325,noun.cognition,dreams
327,327,noun.communication,lies
332,333,noun.cognition,deja vu
340,340,verb.motion,driving
347,347,verb.perception,see
349,349,noun.person,girl
352,352,noun.body,hair
353,353,verb.contact,standing
356,356,noun.location,corner
361,361,verb.communication,swear
364,364,noun.quantity,half
367,367,noun.time,moment
371,371,verb.stative,was
377,377,verb.cognition,see
380,380,noun.person,girl
382,382,noun.body,hair
383,383,verb.stative,was
393,393,verb.contact,holding
395,395,noun.artifact,cigarette
400,400,verb.body,wearing
402,403,noun.group,Sex Pistols
404,406,noun.artifact,T - shirt
408,408,noun.person,Eleanor
409,409,verb.emotion,hated
411,412,noun.location,Sex Pistols
414,414,noun.person,Eleanor
418,418,verb.contact,Standing
423,423,verb.motion,turned
425,425,noun.body,head
427,427,verb.contact,Lying
434,435,verb.body,woke up
437,437,verb.change,Making
440,440,verb.perception,seem
449,449,noun.person,Eleanor
450,450,verb.change,ruining
453,453,noun.person,Eleanor
459,459,verb.motion,stopped
460,460,verb.social,trying
462,462,verb.motion,bring
466,466,noun.time,AUGUST
468,468,noun.communication,CHAPTER
473,473,verb.stative,was
477,478,verb.cognition,drowning out
480,480,noun.person,morons
483,483,noun.location,back
486,486,noun.artifact,bus
488,488,noun.person,Park
489,489,verb.contact,pressed
491,491,noun.artifact,headphones
494,494,noun.body,ears
496,496,noun.time,Tomorrow
501,501,verb.contact,bring
502,503,noun.person,Skinny Puppy
506,506,noun.person,Misfits
512,512,verb.creation,make
515,516,noun.artifact,bus tape
520,520,verb.communication,screaming
522,522,verb.communication,wailing
530,531,verb.motion,get back
533,534,noun.location,New Wave
536,536,noun.time,November
540,540,verb.possession,got
542,542,noun.person,driver
544,544,noun.communication,license
547,547,noun.person,parents
550,550,verb.communication,said
551,551,noun.person,Park
553,553,verb.possession,have
555,555,noun.person,mom
563,564,verb.social,saving up
568,569,noun.artifact,tape deck
573,573,verb.change,started
