COREF,start_token,end_token,prop,cat,text
73,2,4,PROP,PER,Benjamin Alire Saenz
235,8,12,NOM,PER,Dust Dark and Perfect Angels
0,36,36,PRON,PER,Me
1,38,45,PROP,FAC,Water The House of Forgetting In Perfect Light
74,50,52,PROP,PER,Young Adult Sammy
75,54,54,PROP,PER,Juliana
2,56,56,PROP,GPE,Hollywood
236,57,57,PRON,PER,He
0,64,64,PRON,PER,I
237,67,69,NOM,PER,the Monster Children
76,75,78,PROP,PER,Papa Diego Grandma Fina
238,80,80,PRON,PER,Her
77,88,93,PROP,PER,The Dog Who Loved Tortillas Aristotle
78,95,95,PROP,PER,Dante
239,100,101,NOM,LOC,the Universe
73,102,105,PROP,PER,BENJAMIN ALIRE SAENZ SIMON
79,107,108,PROP,PER,SCHUSTER BFYR
3,107,115,PROP,GPE,SCHUSTER BFYR New York London Toronto Sydney New Delhi
4,109,110,PROP,GPE,New York
5,111,111,PROP,GPE,London
6,112,112,PROP,GPE,Toronto
7,113,113,PROP,GPE,Sydney
79,118,119,PROP,FAC,SCHUSTER BFYR
9,126,134,PROP,FAC,Children ’s Publishing Division 1230 Avenue of the Americas
10,133,134,PROP,LOC,the Americas
4,136,137,PROP,GPE,New York
4,139,140,PROP,GPE,New York
240,156,157,NOM,PER,real people
241,178,179,NOM,PER,the author
242,192,192,NOM,PER,persons
73,206,208,PROP,PER,Benjamin Alire Saenz
80,238,240,PROP,PER,Simon & Schuster
243,254,259,NOM,PER,The Simon & Schuster Speakers Bureau
244,262,262,NOM,PER,authors
245,264,264,PRON,PER,your
243,278,283,NOM,PER,the Simon & Schuster Speakers Bureau
247,294,294,PRON,PER,our
248,308,312,NOM,FAC,a | SIMON & SCHUSTER
81,320,321,PROP,PER,Chloe Foglia
11,330,330,PROP,GPE,Berling
12,334,338,PROP,GPE,the United States of America
13,349,352,PROP,ORG,The Library of Congress
73,361,361,PROP,PER,Saenz
73,363,364,PROP,PER,Benjamin Alire
77,366,366,PROP,PER,Aristotle
78,368,368,PROP,PER,Dante
239,373,374,NOM,LOC,the universe
0,375,375,PRON,PER,I
73,376,378,PROP,PER,Benjamin Alire Saenz
82,390,391,PROP,PER,Ari Mendoza
250,393,400,NOM,PER,an angry loner with a brother in prison
251,397,398,NOM,PER,a brother
252,400,400,NOM,FAC,prison
82,404,404,PRON,PER,he
78,406,406,PROP,PER,Dante
253,408,408,PRON,PER,they
254,410,410,NOM,PER,friends
82,412,412,PROP,PER,Ari
82,418,418,PRON,PER,himself
82,420,420,PRON,PER,his
255,420,421,NOM,PER,his parents
82,424,424,PRON,PER,his
256,424,425,NOM,PER,his family
82,427,427,PRON,PER,he
82,444,444,PRON,PER,he
257,457,457,NOM,PER,Families
258,463,465,NOM,PER,Mexican - Americans
259,482,482,PRON,PER,I.
0,516,516,PRON,PER,I
0,529,529,PRON,PER,I
0,537,537,PRON,PER,I
0,547,547,PRON,PER,I
260,557,573,NOM,PER,"committed , brave , talented , and intelligent people who inspired me to finish what I started"
0,568,568,PRON,PER,me
0,572,572,PRON,PER,I
260,583,583,PRON,PER,them
0,588,588,PRON,PER,my
0,596,596,PRON,PER,I
