start_token,end_token,supersense_category,text
2,4,noun.person,Benjamin Alire Saenz
22,22,noun.location,End
34,35,noun.location,Broken Carry
54,54,noun.person,Juliana
60,60,verb.communication,Say
63,63,noun.time,Night
75,78,noun.person,Papa Diego Grandma Fina
98,98,noun.communication,Secrets
101,102,noun.location,Universe BENJAMIN
104,105,noun.group,SAENZ SIMON
107,113,noun.group,SCHUSTER BFYR New York London Toronto Sydney
114,115,noun.location,New Delhi
116,119,noun.group,SIMON & SCHUSTER BFYR
121,121,noun.communication,imprint
123,123,noun.group,Simon
125,126,noun.group,Schuster Children
128,129,noun.group,Publishing Division
131,134,noun.location,Avenue of the Americas
136,137,noun.location,New York
139,140,noun.location,New York
143,143,noun.communication,book
144,144,verb.stative,is
146,146,noun.artifact,work
148,148,noun.communication,fiction
151,151,noun.communication,references
154,154,noun.event,events
157,157,noun.group,people
161,161,noun.location,places
163,163,verb.consumption,used
167,167,noun.communication,names
169,169,noun.person,characters
171,171,noun.location,places
174,174,noun.event,events
175,175,verb.stative,are
176,176,noun.artifact,products
179,179,noun.person,author
181,181,noun.cognition,imagination
185,185,noun.attribute,resemblance
188,188,noun.event,events
190,190,noun.person,places
192,192,noun.person,persons
194,194,verb.stative,living
196,196,noun.time,dead
198,198,verb.stative,is
202,202,noun.communication,Copyright
210,210,noun.attribute,rights
213,213,verb.stative,including
215,215,noun.attribute,right
217,217,noun.communication,reproduction
225,225,noun.communication,form
228,228,noun.cognition,information
231,231,noun.possession,discounts
233,233,noun.possession,bulk
234,234,noun.act,purchases
237,237,verb.communication,contact
238,238,noun.person,Simon
240,242,noun.group,Schuster Special Sales
252,252,noun.communication,business@simonandschuster.com
255,259,noun.group,Simon & Schuster Speakers Bureau
261,261,verb.motion,bring
262,262,noun.person,authors
266,266,noun.event,event
270,270,noun.cognition,information
275,275,noun.event,event
277,277,verb.communication,contact
279,283,noun.group,Simon & Schuster Speakers Bureau
293,293,verb.communication,visit
295,295,noun.communication,website
297,297,noun.person,www.simonspeakers.com
301,303,noun.group,SIMON & SCHUSTER
310,312,noun.group,SIMON & SCHUSTER
316,316,noun.communication,edition
318,318,noun.act,design
320,321,noun.person,Chloe Foglia
323,323,noun.communication,text
326,326,noun.communication,book
328,328,verb.creation,set
330,330,noun.location,Berling
335,336,noun.location,United States
338,338,noun.location,America
350,352,noun.group,Library of Congress
354,354,verb.communication,cataloged
356,356,noun.communication,hardcover
357,357,noun.communication,edition
361,361,noun.person,Saenz
366,366,noun.person,Aristotle
368,368,noun.person,Dante
369,369,verb.cognition,discover
371,371,noun.communication,secrets
374,374,noun.object,universe
376,378,noun.person,Benjamin Alire Saenz
380,381,noun.group,p. cm
383,383,noun.communication,Summary
387,387,noun.time,year
390,391,noun.person,Ari Mendoza
392,392,verb.stative,is
395,395,noun.person,loner
398,398,noun.person,brother
400,400,noun.artifact,prison
405,405,verb.social,meets
406,406,noun.person,Dante
409,410,verb.change,become friends
412,412,noun.person,Ari
413,413,verb.change,starts
415,415,verb.communication,ask
416,416,noun.communication,questions
421,421,noun.person,parents
425,425,noun.group,family
430,430,verb.communication,asked
442,442,noun.quantity,0
449,451,noun.time,Coming of age
453,453,noun.communication,Fiction
457,457,noun.group,Families
459,459,noun.communication,Fiction
465,465,noun.group,Americans
467,467,noun.communication,Fiction
473,473,noun.communication,Fiction
477,477,noun.act,Homosexuality
479,479,noun.communication,Fiction
517,517,verb.perception,had
519,519,noun.cognition,thoughts
521,521,verb.creation,writing
523,523,noun.communication,book
530,530,verb.change,finished
533,533,noun.communication,chapter
540,540,verb.cognition,decided
542,542,verb.possession,abandon
544,544,noun.act,project
548,548,verb.stative,’m
555,555,verb.stative,surrounded
565,565,noun.group,people
567,567,verb.communication,inspired
570,570,verb.change,finish
573,573,verb.creation,started
576,576,noun.communication,book
581,581,verb.creation,written
587,587,verb.stative,is
593,593,noun.communication,list
595,595,noun.group,people
600,600,verb.communication,thank
602,603,noun.person,Patty Moosebrugger
606,606,noun.person,agent
609,609,noun.person,friend
611,611,noun.person,Daniel
613,614,noun.person,Sasha Chacon
618,618,noun.feeling,affection
621,621,noun.communication,belief
626,626,verb.creation,write
628,628,noun.communication,book
630,631,noun.person,For Hector
633,633,noun.person,Annie
635,635,noun.person,Ginny
638,638,noun.person,Barbara
643,643,verb.stative,been
647,647,noun.person,editor
649,650,noun.person,David Gale
653,654,verb.cognition,believed in
656,656,noun.communication,book
