COREF,start_token,end_token,prop,cat,text
86,1,4,PROP,PER,The Sin - Eater
87,20,24,PROP,PER,lisa J. Bick Carolrhoda Lab
1,30,32,PROP,ORG,Lerner Publishing Group
1,85,87,PROP,ORG,Lerner Publishing Group
242,111,116,NOM,ORG,A division of Lerner Publishing Group
1,114,116,PROP,ORG,Lerner Publishing Group
2,120,127,PROP,GPE,"First Avenue North Minneapolis , MN 55401 USA"
3,123,123,PROP,GPE,Minneapolis
4,125,125,PROP,GPE,MN
88,146,146,PROP,PER,Taylor
89,153,153,PROP,PER,Keith
90,168,169,PROP,PER,Julian Ward
91,173,174,PROP,PER,Getty Images
88,181,181,PROP,PER,Taylor
89,188,189,PROP,PER,Renee Keith
5,211,213,PROP,ORG,Library of Congress
243,224,227,NOM,PER,The sin - eater
87,232,234,PROP,PER,lisa J. Bick
6,244,244,PROP,GPE,Afghanistan
92,246,246,PROP,PER,Ben
92,251,251,PRON,PER,his
244,255,259,NOM,GPE,a small - town Wisconsin
245,255,261,NOM,FAC,a small - town Wisconsin high school
246,264,271,NOM,PER,a neighbor he was trying to help out
92,266,266,PRON,PER,he
247,273,279,NOM,PER,the victim of an apparent hate crime
92,281,281,PROP,PER,Ben
7,345,345,PROP,GPE,Wisconsin
7,363,363,PROP,GPE,Wisconsin
248,368,368,PRON,PER,I.
249,380,384,NOM,GPE,the United States of America
250,403,403,PRON,PER,you
250,413,413,PRON,PER,yours
250,415,415,PRON,PER,your
250,418,418,PRON,PER,you
250,423,423,PRON,PER,your
250,432,432,PRON,PER,you
93,435,436,PROP,PER,Peter Shaffer
0,461,461,PRON,PER,me
92,462,462,PROP,PER,Ben
94,469,469,PROP,PER,Ishmael
251,480,482,NOM,PER,Wicked and repentant
0,486,486,PRON,PER,me
0,494,494,PRON,PER,I
252,497,500,NOM,PER,anyone from my town
0,499,499,PRON,PER,my
253,499,500,NOM,GPE,my town
254,503,504,NOM,PER,any soldier
255,506,506,NOM,PER,People
255,514,514,PRON,PER,they
256,521,522,NOM,FAC,the airport
257,524,525,NOM,PER,total strangers
0,530,530,PRON,PER,me
0,532,532,PRON,PER,my
258,535,536,NOM,PER,Old guys
0,540,540,PRON,PER,my
259,543,544,NOM,PER,Little kids
0,549,549,PRON,PER,I
260,552,552,NOM,PER,anyone
261,554,555,NOM,PER,And girls
0,557,557,PRON,PER,me
262,565,565,PRON,PER,you
0,569,569,PRON,PER,I
0,586,586,PRON,PER,I
95,588,588,PROP,PER,Batman
263,591,591,NOM,PER,everyone
0,600,600,PRON,PER,me
264,602,602,PRON,PER,It
263,611,611,PRON,PER,they
262,635,635,PRON,PER,you
263,641,641,PRON,PER,they
263,648,648,PRON,PER,They
263,651,651,PRON,PER,they
265,660,660,NOM,PER,Everybody
262,663,663,PRON,PER,you
266,667,668,NOM,VEH,the boat
0,671,671,PRON,PER,I
92,673,673,PROP,PER,Ben
0,682,682,PRON,PER,I
267,691,699,NOM,PER,"a real , live , hi - tech ballpoint"
262,707,707,PRON,PER,you
0,716,716,PRON,PER,ME
0,718,718,PRON,PER,I
268,762,762,PRON,PER,we
269,765,766,NOM,LOC,the mountains
0,769,769,PRON,PER,my
262,780,780,PRON,PER,you
0,783,783,PRON,PER,I
262,798,798,PRON,PER,you
262,801,801,PRON,PER,you
0,809,809,PRON,PER,I
270,811,816,NOM,PER,a marine who does piss angels
262,819,819,PRON,PER,you
0,829,829,PRON,PER,I
6,834,834,PROP,GPE,Afghanistan
7,843,843,PROP,GPE,Wisconsin
0,845,845,PRON,PER,I
0,852,852,PRON,PER,I
271,859,861,NOM,PER,this lance corporal
271,863,863,PRON,PER,his
271,870,870,PRON,PER,His
272,870,871,NOM,PER,His buddy
273,875,876,NOM,PER,a medic
272,881,881,PRON,PER,he
96,885,885,PROP,PER,Doc
96,887,887,PROP,PER,Doc
274,894,895,NOM,PER,all marines
274,897,897,PRON,PER,their
275,897,898,NOM,PER,their medics
274,904,904,PRON,PER,they
0,907,907,PRON,PER,my
0,924,924,PRON,PER,I
276,935,936,NOM,PER,The buddy
277,949,949,NOM,PER,marines
276,955,955,PRON,PER,he
276,976,976,PRON,PER,he
276,986,986,PRON,PER,he
276,991,991,PRON,PER,his
272,991,992,NOM,PER,his buddy
279,996,998,NOM,PER,the dead dude
97,1003,1003,PROP,PER,Guilt
98,1006,1006,PROP,PER,God
280,1024,1026,NOM,PER,the senior NCO
281,1029,1029,NOM,FAC,scene
280,1035,1035,PRON,PER,He
282,1041,1043,NOM,PER,a bullnecked jarhead
283,1045,1058,NOM,PER,the kind of guy who probably picks his teeth with his KA - BAR
280,1052,1052,PRON,PER,his
280,1055,1055,PRON,PER,his
280,1064,1064,PRON,PER,he
