start_token,end_token,supersense_category,text
8,11,noun.location,L S A J
13,14,noun.location,BICK MINNEAPOLIS
15,15,noun.communication,Text
16,16,noun.communication,copyright
20,22,noun.person,lisa J. Bick
26,26,verb.stative,is
28,28,noun.communication,trademark
30,32,noun.group,Lerner Publishing Group
40,40,noun.communication,copyright
41,41,verb.possession,secured
44,44,noun.relation,part
47,47,noun.communication,book
50,50,verb.contact,reproduced
52,52,verb.contact,stored
55,56,noun.artifact,retrieval system
59,59,verb.contact,transmitted
62,62,noun.cognition,form
72,72,verb.perception,photocopying
74,74,noun.artifact,recording
83,83,noun.communication,permission
85,87,noun.group,Lerner Publishing Group
94,94,noun.act,inclusion
97,97,noun.communication,quotations
101,101,noun.communication,review
103,105,noun.group,Carolrhoda Lab ™
107,107,noun.cognition,imprint
109,111,noun.group,Carolrhoda Books A
112,112,noun.cognition,division
114,116,noun.group,Lerner Publishing Group
118,122,noun.group,Inc. 241 First Avenue North
123,123,noun.location,Minneapolis
125,125,noun.location,MN
127,128,noun.location,USA For
129,129,noun.act,reading
130,130,noun.cognition,levels
133,133,noun.communication,information
135,136,verb.communication,look up
138,138,noun.communication,title
142,142,noun.communication,Cover
143,143,noun.artifact,photographs
146,146,noun.person,Taylor
148,148,noun.artifact,envelope
153,153,noun.person,Keith
155,155,noun.body,blood
162,162,noun.artifact,stamp
166,166,noun.communication,photographs
168,169,noun.person,Julian Ward
173,174,noun.person,Getty Images
176,176,noun.body,face
181,181,noun.person,Taylor
183,183,noun.artifact,envelope
188,189,noun.person,Renee Keith
191,191,noun.body,blood
195,195,noun.body,body
196,196,noun.communication,text
197,197,verb.creation,set
205,205,noun.communication,Typeface
206,206,verb.possession,provided
225,226,noun.attribute,sin -
227,227,verb.body,eater
229,229,noun.communication,confession
232,234,noun.person,lisa J. Bick
239,239,noun.communication,Summary
242,242,verb.competition,serving
244,244,noun.location,Afghanistan
246,246,noun.location,Ben
247,247,verb.creation,writes
249,249,noun.event,incidents
253,253,noun.time,year
258,259,noun.location,town Wisconsin
260,261,noun.group,high school
265,265,noun.person,neighbor
268,268,verb.social,trying
270,270,verb.social,help
272,272,verb.change,becomes
274,274,noun.person,victim
278,279,noun.act,hate crime
281,281,noun.person,Ben
282,282,verb.change,falls
284,284,noun.cognition,suspicion
297,298,noun.communication,trade hard
299,299,noun.artifact,cover
303,303,noun.substance,paper
321,321,noun.act,Conduct
323,323,noun.person,life
325,325,noun.communication,Fiction
329,329,noun.act,Murder
331,331,noun.communication,Fiction
335,336,noun.act,Hate crimes
338,338,noun.communication,Fiction
343,343,noun.state,life
345,345,noun.location,Wisconsin
347,347,noun.communication,Fiction
351,351,noun.act,Homosexuality
353,353,noun.communication,Fiction
359,359,noun.communication,Fiction
363,363,noun.location,Wisconsin
365,365,noun.communication,Fiction
381,384,noun.location,United States of America
393,393,verb.cognition,think
397,397,verb.change,happen
400,400,noun.communication,book
407,408,verb.perception,go through
409,409,noun.feeling,life
411,411,verb.communication,call
416,416,noun.state,life
422,422,verb.possession,get
425,425,noun.state,pain
427,427,noun.feeling,Pain
435,436,noun.person,Peter Shaffer
440,440,noun.time,October
445,445,verb.stative,is
447,447,noun.time,time
458,458,verb.stative,concern
460,460,verb.communication,Call
475,475,noun.cognition,idea
492,492,noun.communication,truth
496,496,verb.stative,be
500,500,noun.location,town
504,504,noun.person,soldier
506,506,noun.group,People
507,507,verb.social,make
508,508,noun.cognition,assumptions
511,511,noun.relation,basis
515,515,verb.perception,see
522,522,noun.artifact,airport
525,525,noun.person,strangers
526,526,verb.motion,wander
529,529,verb.communication,thank
533,533,noun.act,service
535,536,noun.person,Old guys
537,537,verb.emotion,want
539,539,verb.communication,shake
541,541,noun.body,hand
544,544,noun.person,kids
545,545,verb.emotion,want
547,547,verb.cognition,know
551,551,verb.social,killed
555,555,noun.person,girls
556,556,verb.possession,give
560,560,noun.communication,look
566,566,verb.cognition,know
571,572,verb.communication,talking about
587,587,verb.stative,’m
588,588,noun.person,Batman
592,592,verb.perception,sees
594,594,verb.cognition,imagines
605,605,noun.artifact,uniform
612,612,verb.cognition,forget
615,615,noun.body,face
618,618,noun.artifact,mirror
619,619,verb.stative,is
622,622,noun.artifact,mask
628,628,verb.perception,peek
630,630,verb.communication,ask
633,633,noun.attribute,way
639,639,verb.communication,tell
646,646,verb.cognition,know
649,649,verb.cognition,see
652,652,verb.consumption,want
655,655,noun.artifact,mask
658,658,verb.change,slip
666,666,verb.motion,rocked
684,684,verb.creation,writing
699,699,noun.artifact,ballpoint
703,703,noun.artifact,computer
711,711,verb.body,wear
713,713,noun.communication,sign
720,720,verb.possession,got
721,721,noun.time,night
722,722,noun.communication,vision
729,729,noun.artifact,penlight
733,733,noun.object,moon
734,734,verb.stative,is
737,737,noun.body,thumbnail
738,738,noun.object,sliver
744,744,noun.substance,snow
745,745,verb.perception,shimmers
748,748,noun.attribute,white
751,751,noun.time,night
755,755,noun.object,stars
763,763,verb.stative,’re
766,766,noun.object,mountains
770,770,noun.body,fingers
771,771,verb.stative,are
777,777,verb.stative,is
781,781,verb.cognition,understand
785,785,verb.possession,got
787,787,noun.artifact,thermos
789,789,noun.food,mint
790,790,noun.food,tea
794,794,noun.substance,stuff
795,795,verb.motion,runs
802,802,verb.perception,pee
810,810,verb.cognition,know
812,812,noun.person,marine
815,815,noun.act,piss
816,816,noun.artifact,angels
821,821,verb.cognition,think
822,822,verb.stative,is
826,826,verb.stative,is
830,830,verb.communication,mean
833,833,verb.stative,is
834,834,noun.location,Afghanistan
843,843,noun.location,Wisconsin
847,847,verb.motion,run
851,851,noun.communication,Reason
854,854,verb.change,started
857,857,verb.stative,is
860,860,noun.artifact,lance
861,861,noun.person,corporal
862,862,verb.consumption,ate
864,864,noun.artifact,gun
867,867,noun.time,hours
871,871,noun.person,buddy
872,872,verb.change,started
873,873,verb.communication,bawling
876,876,noun.person,medic
882,882,verb.communication,screamed
885,885,noun.person,Doc
887,887,noun.person,Doc
895,895,noun.group,marines
896,896,verb.communication,call
898,898,noun.person,medics
906,906,verb.cognition,know
908,908,noun.communication,name
915,915,noun.artifact,mask
921,921,verb.stative,was
926,926,verb.social,do
928,928,verb.contact,cover
930,930,noun.state,mess
933,933,noun.artifact,blanket
936,936,noun.person,buddy
937,937,verb.stative,was
943,943,verb.communication,screaming
948,948,verb.stative,are
949,949,noun.group,marines
956,956,verb.stative,was
959,959,verb.communication,Crying
961,961,verb.body,moaning
966,966,noun.state,case
978,978,verb.perception,seen
981,981,verb.motion,coming
988,988,verb.social,done
992,992,noun.person,buddy
998,998,noun.person,dude
1000,1000,verb.possession,gotten
1001,1001,noun.person,help
1003,1003,noun.person,Guilt
1006,1006,noun.person,God
1008,1008,verb.stative,is
1014,1014,noun.cognition,life
1015,1015,verb.stative,is
1020,1020,noun.act,Things
1021,1022,verb.change,went downhill
1026,1026,noun.person,NCO
1027,1027,verb.motion,arrived
1029,1029,noun.location,scene
1032,1032,noun.time,minutes
1036,1037,verb.stative,’s like
1039,1039,noun.communication,cartoon
1043,1043,noun.person,jarhead
1046,1046,noun.cognition,kind
1048,1048,noun.person,guy
1051,1051,verb.contact,picks
1053,1053,noun.body,teeth
1062,1062,noun.time,seconds
1065,1065,verb.motion,got
1070,1071,verb.change,started in
1076,1076,noun.person,marine
1078,1078,verb.communication,speak
1082,1082,verb.stative,were
1087,1088,verb.social,stick to
1090,1090,noun.group,mission
