COREF,start_token,end_token,prop,cat,text
44,2,6,PROP,PER,David Levithan Boy Meets Boy
195,12,12,PRON,PER,We
45,16,16,PROP,PER,Marly
46,22,23,PROP,PER,Brian Selznick
47,25,25,PROP,PER,Nick
48,27,27,PROP,PER,Norah
49,34,35,PROP,PER,Rachel Cohn
1,37,39,PROP,FAC,The Full Spectrum
50,43,44,PROP,PER,Billy Merrell
51,48,48,PROP,PER,Naomi
52,50,50,PROP,PER,Ely
49,58,59,PROP,PER,Rachel Cohn
196,62,62,PRON,PER,They
53,75,77,PROP,PER,David Van Etten
54,80,81,PROP,PER,David Ozanich
55,83,85,PROP,PER,Chris Van Etten
56,95,96,PROP,PER,Will Grayson
57,100,101,PROP,PER,John Green
58,103,103,PROP,PER,Dash
59,105,105,PROP,PER,Lily
49,113,114,PROP,PER,Rachel Cohn
197,121,121,PRON,PER,You
0,124,124,PRON,PER,Me
60,129,130,PROP,PER,Jonathan Farmer
44,134,135,PROP,PER,david levithan
198,136,137,NOM,PER,two boys
61,139,139,PROP,PER,EMBER
199,160,161,NOM,PER,the author
200,172,173,NOM,PER,actual persons
44,192,193,PROP,PER,David Levithan
62,200,201,PROP,PER,Evan Walsh
6,208,210,PROP,LOC,the United States
61,212,212,PROP,PER,Ember
201,223,228,NOM,ORG,a division of Random House LLC
3,226,228,PROP,FAC,Random House LLC
4,230,234,PROP,FAC,a Penguin Random House Company
5,236,237,PROP,GPE,New York
6,244,246,PROP,GPE,the United States
63,248,250,PROP,PER,Alfred A. Knopf
7,255,256,PROP,FAC,Random House
202,257,257,NOM,PER,Children
5,261,262,PROP,GPE,New York
61,267,267,PROP,PER,Ember
3,276,278,PROP,FAC,Random House LLC
203,281,281,PRON,PER,us
204,286,287,NOM,PER,randomhouseteens.com Educators
205,289,289,NOM,PER,librarians
203,299,299,PRON,PER,us
8,305,308,PROP,ORG,The Library of Congress
44,320,320,PROP,PER,Levithan
44,322,322,PROP,PER,David
198,324,325,NOM,PER,Two boys
44,328,328,PROP,PER,David
207,337,344,NOM,PER,A chorus of men who died of AIDS
208,350,415,NOM,PER,"a cross'section of today ’s gay teens who navigate new love , long - term relationships , coming out , self - acceptance , and more in a society that has changed in many ways . ISBN 978 - 0 - 307 - 93190 - 0 ( trade ) — ISBN 978 - 0 - 375 - 97112 - 9 ( lib . bdg . )"
209,377,384,NOM,GPE,a society that has changed in many ways
210,484,488,NOM,LOC,the United States of America
64,522,523,PROP,PER,Robert Levithan
65,525,526,PROP,PER,Matty Daley
66,529,530,PROP,PER,Michael Cart
211,535,538,NOM,PER,the three of them
211,538,538,PRON,PER,them
212,543,543,PRON,PER,You
203,552,552,PRON,PER,us
212,555,555,PRON,PER,you
212,568,568,PRON,PER,You
203,577,577,PRON,PER,us
212,580,580,PRON,PER,you
203,596,596,PRON,PER,us
203,612,612,PRON,PER,we
212,618,618,PRON,PER,you
203,624,624,PRON,PER,us
212,638,638,PRON,PER,you
203,652,652,PRON,PER,We
213,654,676,NOM,PER,"a spiritburden you carry , like that of your grandparents , or the friends from your childhood who at some point moved away"
212,656,656,PRON,PER,you
212,662,662,PRON,PER,your
214,662,663,NOM,PER,your grandparents
215,666,676,NOM,PER,the friends from your childhood who at some point moved away
212,669,669,PRON,PER,your
203,678,678,PRON,PER,We
203,697,697,PRON,PER,we
212,699,699,PRON,PER,you
203,701,701,PRON,PER,we
203,708,708,PRON,PER,ourselves
203,710,710,PRON,PER,We
216,713,721,NOM,PER,the ones who were dreaming and loving and screwing
203,723,723,PRON,PER,We
217,726,730,NOM,PER,the ones who were living
203,734,734,PRON,PER,we
218,736,740,NOM,PER,the ones who were dying
203,742,742,PRON,PER,We
203,744,744,PRON,PER,ourselves
212,752,752,PRON,PER,your
203,756,756,PRON,PER,We
212,760,760,PRON,PER,you
203,763,763,PRON,PER,our
219,763,764,NOM,LOC,our world
212,768,768,PRON,PER,yours
212,770,770,PRON,PER,You
212,778,778,PRON,PER,you
212,787,787,PRON,PER,you
203,792,792,PRON,PER,us
203,794,794,PRON,PER,We
212,796,796,PRON,PER,you
212,798,798,PRON,PER,You
203,800,800,PRON,PER,us
67,813,814,PROP,PER,Neil Kim
203,818,818,PRON,PER,us
67,820,820,PRON,PER,He
67,825,825,PRON,PER,he
67,830,830,PRON,PER,his
220,830,831,NOM,PER,his boyfriend
68,832,832,PROP,PER,Peter
221,832,834,NOM,FAC,Peter ’s house
222,836,836,PRON,PER,They
67,846,846,PROP,PER,Neil
223,860,860,NOM,PER,everyone
67,864,864,PRON,PER,him
68,893,893,PROP,PER,Peter
224,893,895,NOM,PER,Peter ’s parents
67,897,897,PROP,PER,Neil
225,899,901,NOM,PER,a second son
67,905,905,PROP,PER,Neil
226,905,908,NOM,PER,Neil ’s own parents
226,916,916,PRON,PER,they
67,925,925,PROP,PER,Neil
67,946,946,PRON,PER,his
68,952,952,PROP,PER,Peter
67,959,959,PRON,PER,him
227,968,968,PRON,PER,we
68,984,984,PROP,PER,Peter
221,984,986,NOM,FAC,Peter ’s house
67,988,988,PROP,PER,Neil
67,1007,1007,PRON,PER,He
67,1012,1012,PRON,PER,his
67,1016,1016,PRON,PER,his
67,1022,1022,PRON,PER,he
227,1026,1026,PRON,PER,us
229,1028,1032,NOM,PER,the ones who came before
227,1034,1034,PRON,PER,We
67,1041,1041,PRON,PER,him
227,1043,1043,PRON,PER,we
230,1045,1049,NOM,PER,"an abstraction , a force"
67,1051,1051,PRON,PER,His
231,1064,1065,NOM,PER,a boy
231,1075,1075,PRON,PER,he
