start_token,end_token,supersense_category,text
2,2,noun.person,David
4,6,noun.person,Boy Meets Boy
16,16,noun.person,Marly
20,20,verb.creation,illustrated
22,23,noun.person,Brian Selznick
25,25,noun.person,Nick
27,27,noun.person,Norah
32,32,verb.creation,written
34,34,noun.person,Rachel
35,35,noun.person,Cohn
41,41,verb.creation,edited
43,44,noun.person,Billy Merrell
56,56,verb.creation,written
58,59,noun.person,Rachel Cohn
67,67,noun.communication,Stories
71,71,noun.communication,series
73,73,verb.creation,written
75,77,noun.person,David Van Etten
80,81,noun.person,David Ozanich
83,85,noun.person,Chris Van Etten
92,93,noun.person,Will Grayson
95,96,noun.person,Will Grayson
98,98,verb.creation,written
100,101,noun.person,John Green
105,105,noun.person,Lily
111,111,verb.creation,written
113,114,noun.person,Rachel Cohn
127,127,noun.artifact,photographs
129,130,noun.person,Jonathan Farmer
137,137,noun.person,boys
138,138,verb.contact,kissing
141,141,verb.stative,is
143,143,noun.artifact,work
145,145,noun.communication,fiction
147,147,noun.communication,Names
149,149,noun.person,characters
151,151,noun.location,places
154,154,noun.event,incidents
156,156,verb.stative,are
158,158,noun.artifact,product
161,161,noun.person,author
163,163,noun.cognition,imagination
166,166,verb.consumption,used
170,170,noun.attribute,resemblance
173,173,noun.person,persons
175,175,verb.stative,living
177,177,noun.state,dead
179,179,noun.event,events
182,182,noun.communication,locales
183,183,verb.stative,is
187,187,noun.communication,Text
188,188,noun.communication,copyright
192,193,noun.person,David Levithan
196,196,noun.communication,copyright
200,201,noun.person,Evan Walsh
206,206,verb.creation,Published
209,210,noun.location,United States
212,212,noun.person,Ember
215,215,noun.communication,imprint
217,218,noun.person,Random House
224,224,noun.group,division
226,227,noun.group,Random House
232,234,noun.group,Random House Company
236,237,noun.location,New York
240,240,verb.creation,published
245,246,noun.location,United States
248,250,noun.person,Alfred A. Knopf
253,253,noun.cognition,imprint
255,257,noun.person,Random House Children
261,262,noun.location,New York
267,267,noun.person,Ember
270,271,noun.person,E colophon
273,273,verb.communication,registered
274,274,noun.communication,trademarks
276,278,noun.group,Random House LLC
280,280,verb.social,Visit
284,284,noun.group,Web
286,287,noun.person,randomhouseteens.com Educators
289,289,noun.person,librarians
293,293,noun.group,variety
295,296,noun.cognition,teaching tools
298,298,verb.social,visit
301,301,noun.person,RHTeachersLibrar
306,308,noun.group,Library of Congress
310,310,verb.communication,cataloged
312,312,noun.communication,hardcover
313,313,noun.communication,edition
316,316,noun.artifact,work
320,320,noun.person,Levithan
322,322,noun.person,David
325,325,noun.person,boys
326,326,verb.contact,kissing
328,328,noun.person,David
330,330,noun.communication,edition
335,335,noun.communication,Summary
338,338,noun.group,chorus
340,340,noun.person,men
342,342,verb.change,died
344,344,noun.time,AIDS
345,345,verb.cognition,observes
347,347,verb.emotion,yearns
349,349,verb.social,help
351,351,noun.group,cross'section
353,353,noun.time,today
356,356,noun.person,teens
358,358,verb.competition,navigate
360,360,noun.feeling,love
362,362,noun.time,long
364,364,noun.time,term
365,365,noun.state,relationships
367,368,verb.change,coming out
370,370,noun.cognition,self
372,372,noun.act,acceptance
378,378,noun.group,society
381,381,verb.change,changed
384,384,noun.attribute,ways
397,397,noun.act,trade
411,411,noun.person,lib
428,428,noun.communication,ebook
440,440,noun.quantity,7
450,450,noun.person,Gays
452,452,noun.communication,Fiction
458,458,noun.communication,Fiction
464,464,noun.communication,Fiction
469,469,noun.act,change
471,471,noun.communication,Fiction
485,486,noun.location,United States
488,488,noun.location,America
500,500,verb.stative,supports
505,505,verb.communication,celebrates
507,507,noun.attribute,right
509,509,verb.social,read
514,514,noun.motive,reasons
517,517,noun.communication,novel
520,520,verb.stative,exist
522,523,noun.person,Robert Levithan
525,526,noun.person,Matty Daley
529,531,noun.person,Michael Cart It
546,546,verb.cognition,know
549,549,verb.stative,is
556,556,verb.stative,will
558,558,verb.stative,be
571,571,verb.cognition,know
574,574,verb.stative,was
583,583,verb.stative,be
585,585,noun.act,step
599,599,verb.stative,is
603,603,noun.state,balance
606,606,noun.time,past
609,609,noun.time,future
613,613,verb.change,become
616,616,noun.time,past
619,619,verb.change,become
621,621,noun.time,future
627,627,verb.creation,imagined
633,634,verb.cognition,think of
636,636,noun.cognition,things
641,641,verb.creation,dreaming
643,643,verb.emotion,loving
645,645,verb.social,screwing
648,648,noun.communication,context
649,650,verb.change,falls away
653,653,verb.stative,are
655,655,noun.person,spiritburden
657,657,verb.stative,carry
663,663,noun.person,grandparents
667,667,noun.person,friends
670,670,noun.time,childhood
674,674,noun.location,point
675,676,verb.motion,moved away
679,679,verb.social,try
681,681,verb.change,make
686,686,noun.cognition,burden
698,698,verb.perception,see
706,707,verb.cognition,think of
717,717,verb.emotion,dreaming
719,719,verb.emotion,loving
721,721,noun.act,screwing
724,724,verb.stative,were
730,730,verb.stative,living
735,735,verb.stative,were
740,740,verb.change,dying
743,743,verb.change,sewed
747,747,noun.artifact,thread
753,753,noun.time,history
757,757,verb.stative,were
764,764,noun.object,world
765,765,verb.stative,was
771,771,verb.perception,have
773,773,noun.cognition,idea
777,777,noun.phenomenon,death
779,779,verb.motion,came
782,782,noun.time,generation
789,789,verb.stative,be
795,795,verb.emotion,resent
799,799,verb.emotion,astonish
807,807,noun.time,Friday
808,808,noun.time,night
813,814,noun.person,Neil Kim
816,817,verb.cognition,thinking of
821,821,verb.stative,is
827,827,verb.motion,walking
831,831,noun.person,boyfriend
832,832,noun.person,Peter
834,834,noun.artifact,house
839,840,verb.motion,going out
843,843,noun.time,year
846,846,noun.person,Neil
847,847,verb.change,starts
849,850,verb.cognition,thinking about
854,854,verb.perception,seems
858,858,noun.location,beginning
863,863,verb.communication,telling
878,878,verb.stative,last
882,882,verb.cognition,feels
886,886,verb.stative,lasted
890,890,verb.stative,be
893,893,noun.person,Peter
895,895,noun.person,parents
896,896,verb.social,treat
897,897,noun.person,Neil
901,901,noun.person,son
905,905,noun.person,Neil
908,908,noun.person,parents
923,923,noun.artifact,doors
925,925,noun.person,Neil
926,926,verb.possession,has
928,928,noun.artifact,DVDs
931,931,noun.artifact,bottles
933,933,noun.substance,Diet
934,934,noun.substance,Dr
935,935,noun.food,Pepper
937,938,noun.food,cookie dough
942,942,noun.communication,book
944,944,noun.communication,poems
947,947,noun.artifact,backpack
952,952,noun.person,Peter
954,954,verb.stative,is
957,957,verb.stative,takes
961,961,verb.emotion,feel
966,966,noun.state,luck
970,970,verb.cognition,learned
972,972,verb.stative,is
974,974,noun.relation,part
978,978,noun.communication,equation
981,981,noun.artifact,blocks
984,984,noun.person,Peter
986,986,noun.artifact,house
988,988,noun.person,Neil
989,990,verb.perception,gets a
991,991,noun.communication,glimpse
997,997,verb.emotion,struck
1000,1000,noun.Tops,feeling
1005,1005,noun.feeling,gratitude
1008,1008,verb.cognition,realizes
1010,1010,noun.relation,part
1013,1014,noun.state,good fortune
1015,1015,verb.stative,is
1017,1017,noun.state,place
1019,1019,noun.time,history
1023,1023,verb.cognition,thinks
1031,1031,verb.change,came
1035,1035,verb.stative,are
1037,1037,noun.communication,names
1039,1039,noun.body,faces
1044,1044,verb.stative,are
1046,1046,noun.cognition,abstraction
1049,1049,noun.attribute,force
1052,1052,noun.feeling,gratitude
1053,1053,verb.stative,is
1056,1056,noun.state,thing
1059,1059,verb.stative,is
1065,1065,noun.person,boy
1067,1067,verb.emotion,feel
1071,1071,noun.group,Diet
1072,1073,noun.person,Dr Pepper
1076,1076,verb.stative,is
1078,1078,verb.emotion,feel
1081,1081,verb.stative,being
1087,1087,verb.stative,being
1090,1090,verb.motion,walk
1093,1093,noun.person,boyfriend
1095,1095,noun.artifact,house
1101,1101,noun.cognition,doubt
1104,1104,verb.stative,is
1107,1107,noun.act,thing
1109,1109,verb.social,do
1113,1113,verb.possession,has
1115,1115,noun.cognition,idea
1119,1119,verb.stative,is
1122,1122,verb.motion,walks
1125,1125,noun.artifact,path
1127,1127,verb.perception,rings
1129,1129,noun.artifact,doorbell
1132,1132,verb.possession,has
1134,1134,noun.cognition,idea
1141,1141,verb.change,becomes
1144,1144,verb.change,disappears
1148,1148,verb.stative,are
1150,1150,noun.person,teenager
1154,1154,verb.stative,is
1158,1158,verb.cognition,knew
1163,1163,verb.stative,are
1165,1165,noun.state,shadow
1166,1166,noun.person,uncles
1169,1169,noun.person,angel
1170,1170,noun.person,godfathers
1173,1173,noun.person,mother
1177,1177,noun.person,grandmother
1180,1180,noun.person,friend
1182,1182,noun.group,college
1185,1185,noun.person,author
1188,1188,noun.communication,book
1190,1190,verb.possession,found
1194,1194,noun.location,section
1197,1197,noun.artifact,library
1200,1200,verb.stative,are
1201,1201,noun.person,characters
1204,1205,noun.person,Tony Kushner
1206,1206,noun.communication,play
1209,1209,noun.communication,names
1212,1212,noun.artifact,quilt
1215,1215,verb.change,gets
1216,1217,verb.cognition,taken out
1221,1221,verb.stative,are
