COREF,start_token,end_token,prop,cat,text
1548,9,9,PRON,PER,I
86,19,19,PRON,PER,me
86,32,32,PROP,PER,LEVITHAN
1549,45,47,NOM,PER,a new generation
1550,71,71,NOM,PER,readers
1551,76,78,NOM,PER,the main characters
87,80,80,PROP,PER,Myracle
87,95,95,PROP,PER,Myracle
1552,118,123,NOM,PER,Two mature recent high school graduates
87,138,139,PROP,PER,Lauren Myracle
88,151,151,PROP,PER,Wren
89,153,153,PROP,PER,Charlie
88,170,170,PROP,PER,Wren
89,172,172,PROP,PER,Charlie
1553,180,182,NOM,PER,the age group
1,203,223,PROP,FAC,THE CENTER FOR CHILDREN 'S BOOKS A YALSA QUICK PICK FOR RELUCTANT YOUNG READERS THE INFINITE MOMENT OF US Lauren Myracle
2,221,221,PROP,GPE,US
87,222,223,PROP,PER,Lauren Myracle
87,226,227,PROP,PER,LAUREN MYRACLE
0,251,251,PRON,PER,I
90,274,275,PROP,PER,John Green
91,277,278,PROP,PER,Maureen Johnson
92,286,287,PROP,PER,E. Lockhart
93,289,290,PROP,PER,Sarah Mylnowski
256,306,306,NOM,PER,characters
257,317,318,NOM,PER,the author
258,330,331,NOM,PER,actual persons
0,349,349,PRON,PER,I
87,364,364,PROP,PER,Myracle
0,366,366,PRON,PER,I
259,374,374,PRON,PER,us
94,377,379,PROP,PER,L auren Myracle
88,391,392,PROP,PER,Wren Gray
89,399,400,PROP,PER,Charlie Parker
260,402,413,NOM,PER,a boy with a troubled past who has loved her for tears
88,411,411,PRON,PER,her
88,416,416,PRON,PER,she
88,419,419,PRON,PER,her
261,419,420,NOM,PER,her parents
88,430,430,PRON,PER,her
3,463,463,PROP,GPE,Georgia
4,476,476,PROP,GPE,Atlanta
5,478,478,PROP,GPE,Ga.
6,537,538,PROP,FAC,MariaT. Middleton
262,550,553,NOM,ORG,an imprint of ABRAMS
7,553,553,PROP,GPE,ABRAMS
8,561,562,PROP,FAC,Amulet Paperbacks
263,608,609,NOM,PER,the publisher
9,676,682,PROP,FAC,ABRAMS II 5 West I Sth Street
10,683,684,PROP,GPE,New York
11,686,686,PROP,GPE,NY
264,701,702,NOM,FAC,high school
265,717,725,NOM,PER,every senior at Atlanta ’s South view High School
4,720,720,PROP,GPE,Atlanta
266,720,725,NOM,FAC,Atlanta ’s South view High School
12,722,725,PROP,FAC,South view High School
88,729,729,PROP,PER,Wren
267,732,733,NOM,PER,every senior
268,739,739,PRON,PER,his
269,741,741,PRON,PER,her
267,746,747,NOM,PER,every senior
88,768,768,PROP,PER,Wren
88,777,777,PRON,PER,she
88,782,782,PRON,PER,She
88,787,787,PRON,PER,her
88,795,795,PRON,PER,her
261,795,796,NOM,PER,her parents
88,802,802,PRON,PER,her
88,805,805,PRON,PER,her
88,810,810,PRON,PER,you
88,816,816,PRON,PER,her
272,816,817,NOM,PER,her mom
88,820,820,PRON,PER,her
88,830,830,PROP,PER,Wren
88,832,832,PRON,PER,she
88,840,840,PRON,PER,You
88,849,849,PRON,PER,your
88,852,852,PRON,PER,I
88,857,857,PRON,PER,you
88,874,874,PROP,PER,Wren
88,881,881,PRON,PER,herself
88,886,886,PROP,PER,Wren
88,893,893,PRON,PER,she
88,895,895,PRON,PER,She
88,904,904,PRON,PER,I
88,914,914,PRON,PER,she
88,918,918,PRON,PER,she
88,920,920,PRON,PER,Her
273,920,921,NOM,PER,Her dad
273,931,931,PRON,PER,he
88,942,942,PRON,PER,her
88,949,949,PRON,PER,her
88,955,955,PROP,PER,Wren
88,962,962,PRON,PER,she
88,965,965,PRON,PER,her
274,965,966,NOM,PER,her friend
95,967,967,PROP,PER,Tessa
88,972,972,PROP,PER,Wren
275,976,976,NOM,FAC,school
95,992,992,PROP,PER,Tessa
88,996,996,PROP,PER,Wren
88,1000,1000,PRON,PER,her
88,1003,1003,PROP,PER,Wren
88,1007,1007,PRON,PER,her
88,1011,1011,PRON,PER,she
276,1013,1021,NOM,PER,the one who ’d have to make it happen
95,1023,1023,PROP,PER,Tessa
277,1026,1030,NOM,FAC,the seniors ’ parking lot
95,1037,1037,PRON,PER,She
95,1041,1041,PRON,PER,her
95,1054,1054,PRON,PER,her
95,1060,1060,PRON,PER,her
95,1067,1067,PRON,PER,She
88,1074,1074,PRON,PER,You
95,1078,1078,PRON,PER,she
88,1081,1081,PROP,PER,Wren
88,1087,1087,PROP,PER,Wren
95,1090,1090,PRON,PER,Her
95,1100,1100,PROP,PER,Tessa
95,1104,1104,PRON,PER,She
88,1107,1107,PROP,PER,Wren
278,1107,1110,NOM,PER,Wren ’s best friend
95,1117,1117,PRON,PER,she
88,1127,1127,PROP,PER,Wren
88,1151,1151,PROP,PER,Wren
88,1161,1161,PRON,PER,my
1554,1161,1162,NOM,PER,my mom
95,1178,1178,PROP,PER,Tessa
95,1180,1180,PRON,PER,her
1554,1191,1191,PRON,PER,She
95,1205,1205,PROP,PER,Tessa
95,1218,1218,PRON,PER,my
88,1225,1225,PRON,PER,You
88,1232,1232,PRON,PER,I
88,1236,1236,PROP,PER,Wren
95,1245,1245,PROP,PER,Tessa
88,1247,1247,PROP,PER,Wren
279,1257,1257,NOM,PER,kids
88,1260,1260,PROP,PER,Wren
280,1263,1267,NOM,PER,an “ only ” Wren
281,1271,1273,NOM,PER,an only child
88,1277,1277,PROP,PER,Wren
281,1280,1282,NOM,PER,an only child
283,1288,1289,NOM,PER,most kids
88,1291,1291,PRON,PER,She
284,1293,1295,NOM,PER,a people pleaser
285,1297,1300,NOM,PER,a do - gooder
286,1302,1303,NOM,PER,a worrier
88,1305,1305,PRON,PER,She
287,1310,1311,NOM,PER,a watcher
288,1316,1317,NOM,PER,a doer
88,1321,1321,PROP,PER,Wren
95,1325,1325,PROP,PER,Tessa
88,1329,1329,PROP,PER,Wren
289,1329,1331,NOM,FAC,Wren ’s house
95,1335,1335,PRON,PER,She
88,1337,1337,PROP,PER,Wren
290,1337,1339,NOM,PER,Wren ’s mom
291,1341,1341,NOM,PER,dad
95,1344,1344,PRON,PER,she
88,1347,1347,PROP,PER,Wren
281,1357,1359,NOM,PER,an only child
293,1362,1362,PRON,PER,They
88,1364,1364,PRON,PER,you
293,1368,1368,PRON,PER,them
95,1371,1371,PROP,PER,Tessa
88,1375,1375,PROP,PER,Wren
293,1375,1377,NOM,PER,Wren ’s parents
88,1395,1395,PRON,PER,I
88,1399,1399,PROP,PER,Wren
293,1404,1404,PRON,PER,they
88,1406,1406,PRON,PER,me
95,1409,1409,PROP,PER,Tessa
294,1413,1415,NOM,PER,two older brothers
295,1419,1424,NOM,PER,a 3 rush - about mom
88,1436,1436,PRON,PER,you
95,1438,1438,PRON,PER,me
296,1445,1449,NOM,FAC,the high school parking lot
95,1451,1451,PROP,PER,Tessa
88,1455,1455,PRON,PER,You
293,1459,1459,PRON,PER,them
88,1462,1462,PROP,PER,Wren
88,1464,1464,PRON,PER,her
88,1472,1472,PRON,PER,she
14,1479,1479,PROP,FAC,Emory
297,1481,1487,NOM,FAC,the prestigious university where her mom worked
88,1485,1485,PRON,PER,her
298,1485,1487,NOM,PER,her mom worked
88,1494,1494,PRON,PER,she
88,1497,1497,PRON,PER,she
88,1505,1505,PRON,PER,Her
261,1505,1506,NOM,PER,Her parents
88,1513,1513,PRON,PER,You
1555,1516,1516,NOM,FAC,home
88,1521,1521,PRON,PER,her
272,1521,1522,NOM,PER,her mom
261,1527,1527,PRON,PER,we
88,1531,1531,PRON,PER,you
88,1538,1538,PRON,PER,you
88,1548,1548,PRON,PER,you
1556,1551,1551,NOM,PER,sweetheart
88,1559,1559,PROP,PER,Wren
88,1561,1561,PRON,PER,her
88,1565,1565,PRON,PER,She
88,1570,1570,PRON,PER,she
88,1590,1590,PRON,PER,she
88,1599,1599,PRON,PER,her
261,1599,1600,NOM,PER,her parents
14,1606,1606,PROP,GPE,Emory
88,1612,1612,PRON,PER,she
88,1619,1619,PRON,PER,My
88,1624,1624,PROP,PER,Wren
95,1626,1626,PROP,PER,Tessa
88,1628,1628,PRON,PER,She
88,1638,1638,PRON,PER,she
88,1644,1644,PRON,PER,I
95,1658,1658,PROP,PER,Tessa
88,1662,1662,PRON,PER,You
96,1667,1667,PROP,PER,God
88,1669,1669,PRON,PER,you
302,1675,1687,NOM,PER,A friend of Tessa ’s rapped on the hood of Tessa ’s car
95,1678,1678,PROP,PER,Tessa
95,1685,1685,PROP,PER,Tessa
303,1685,1687,NOM,VEH,Tessa ’s car
95,1690,1690,PROP,PER,Tessa
279,1693,1693,NOM,PER,Kids
261,1696,1696,PRON,PER,them
88,1715,1715,PROP,PER,Wren
88,1720,1720,PRON,PER,her
97,1728,1728,PROP,PER,Tesseract
88,1731,1731,PRON,PER,you
95,1745,1745,PROP,PER,Tessa
88,1748,1748,PROP,PER,Wren
88,1760,1760,PROP,PER,Wren
305,1788,1792,NOM,LOC,the three - dimensional world
306,1818,1820,NOM,LOC,the real world
88,1822,1822,PROP,PER,Wren
88,1829,1829,PROP,PER,Wren
95,1832,1832,PROP,PER,Tessa
95,1847,1847,PROP,PER,Tessa
95,1866,1866,PRON,PER,her
95,1872,1872,PRON,PER,she
95,1880,1880,PRON,PER,She
307,1886,1888,NOM,PER,the real Wren
308,1890,1890,NOM,PER,anyone
95,1899,1899,PRON,PER,me
95,1902,1902,PROP,PER,Tessa
309,1907,1909,NOM,PER,a gameshow hostess
95,1915,1915,PRON,PER,her
95,1918,1918,PRON,PER,She
88,1929,1929,PRON,PER,I
95,1931,1931,PRON,PER,you
310,1938,1938,PRON,PER,we
310,1941,1941,PRON,PER,our
1557,1941,1943,NOM,PER,our adoring fans
88,1946,1946,PROP,PER,Wren
95,1950,1950,PRON,PER,Your
1558,1950,1952,NOM,PER,Your adoring fans
310,1960,1960,PRON,PER,They
