start_token,end_token,supersense_category,text
8,8,noun.communication,stories
11,11,verb.cognition,read
14,14,noun.time,while
17,17,noun.communication,book
18,18,verb.change,had
20,20,verb.communication,laughing
22,22,noun.communication,parts
26,26,noun.state,tears
41,41,verb.stative,is
47,47,noun.group,generation
58,58,noun.communication,romance
59,59,verb.stative,has
61,61,noun.communication,characters
64,64,noun.attribute,sexuality
68,68,noun.time,pace
70,70,verb.communication,lets
71,71,noun.person,readers
72,74,verb.change,fall in love
78,78,noun.person,characters
80,80,noun.person,Myracle
82,82,verb.cognition,captures
85,85,noun.state,connection
88,88,noun.feeling,love
95,95,noun.location,Myracle
96,97,verb.creation,offers up
100,100,noun.communication,romance
101,101,verb.cognition,built
106,106,noun.feeling,love
108,108,noun.attribute,respect
111,111,noun.attribute,trust
121,122,noun.group,high school
123,123,noun.person,graduates
124,126,verb.change,fall in love
130,131,verb.change,bring out
138,139,noun.person,Lauren Myracle
142,142,noun.communication,exploration
146,146,noun.state,relationship
149,149,noun.state,relationship
151,151,noun.person,Wren
153,153,noun.person,Charlie
155,155,verb.change,remains
167,167,noun.cognition,focus
168,168,noun.attribute,intensity
170,170,noun.person,Wren
172,172,noun.person,Charlie
174,174,noun.Tops,feelings
175,175,verb.stative,is
181,181,noun.time,age
182,182,noun.group,group
187,187,noun.cognition,example
195,195,noun.attribute,intimacy
204,206,noun.group,CENTER FOR CHILDREN
208,209,noun.group,BOOKS A
210,216,noun.person,YALSA QUICK PICK FOR RELUCTANT YOUNG READERS
221,223,noun.group,US Lauren Myracle
225,231,noun.group,BY LAUREN MYRACLE ttyl ttjn I Sr
240,242,noun.group,Witches LuvYa Bunches
274,275,noun.person,John Green
277,278,noun.person,Maureen Johnson
286,287,noun.person,E. Lockhart
289,290,noun.person,Sarah Mylnowski
298,298,verb.stative,is
300,300,noun.artifact,work
302,302,noun.communication,fiction
304,304,noun.communication,Names
306,306,noun.communication,characters
308,308,noun.location,places
311,311,noun.event,incidents
312,312,verb.stative,are
315,315,noun.artifact,product
318,318,noun.person,author
320,320,noun.feeling,imagination
323,323,verb.consumption,used
328,328,noun.attribute,resemblance
331,331,noun.person,persons
335,335,noun.time,dead
337,337,noun.group,business
338,338,noun.artifact,establishments
340,340,noun.event,events
343,343,noun.location,locales
344,344,verb.stative,is
348,352,noun.group,I'he I ibrarv of Congress
354,354,verb.communication,catalogued
356,356,noun.communication,hardcover
357,357,noun.communication,edition
360,360,noun.communication,book
372,372,noun.time,moment
377,379,noun.person,L auren Myracle
381,383,noun.group,pages cm Summart
386,387,noun.group,high school
388,388,noun.act,graduation
391,392,noun.person,Wren Gray
394,394,verb.communication,surprised
396,396,verb.communication,conned
399,400,noun.person,Charlie Parker
403,403,noun.person,boy
407,407,noun.time,past
410,410,verb.emotion,loved
413,413,noun.attribute,tears
417,417,verb.cognition,considers
418,418,verb.emotion,displeasing
420,420,noun.person,parents
426,426,verb.change,changing
428,428,noun.cognition,plans
431,431,noun.time,future
443,443,noun.communication,hardback
447,447,noun.communication,Dating
450,450,noun.act,customs
452,452,noun.group,faction
454,454,noun.quantity,2
457,457,noun.communication,Fiction
461,463,noun.group,Family life Georgia
464,464,noun.communication,Fiction
472,472,noun.communication,Fiction
476,476,noun.location,Atlanta
478,478,noun.location,Ga.
480,484,noun.group,Fiction.| I. I’itle PZ7.M9955 Inf
494,494,noun.communication,edition
503,503,noun.communication,Text
504,504,noun.communication,copyright
509,511,noun.group,Lauren Myracle I’itle
512,512,noun.communication,page
513,513,noun.act,photography
517,518,noun.person,Image Source
520,520,noun.communication,Image
540,540,verb.creation,published
551,551,noun.cognition,imprint
556,556,noun.communication,edition
557,557,verb.creation,published
565,565,noun.attribute,rights
566,566,verb.possession,reserved
569,569,noun.relation,portion
572,572,noun.communication,book
575,575,verb.contact,reproduced
577,577,verb.possession,stored
580,581,noun.artifact,retrieval system
584,584,verb.communication,transmitted
587,587,noun.communication,form
589,590,noun.substance,lw anv
