COREF,start_token,end_token,prop,cat,text
14,3,6,PROP,PER,Sophie Blackall NANCY PAULSEN
25,10,14,NOM,PER,the Penguin Group Penguin Group
1,16,16,PROP,GPE,USA
2,20,21,PROP,FAC,Hudson Street
3,23,24,PROP,GPE,New York
1,28,28,PROP,GPE,USA
4,30,30,PROP,GPE,Canada
5,32,32,PROP,GPE,UK
6,34,34,PROP,GPE,Ireland
7,36,38,PROP,GPE,Australia New Zealand
8,40,40,PROP,GPE,India
9,42,43,PROP,GPE,South Africa
10,45,45,PROP,GPE,China
14,56,57,PROP,PER,Sophie Blackall
26,82,82,PRON,PER,you
26,119,119,PRON,PER,You
27,122,122,NOM,PER,writers
15,125,125,PROP,PER,Penguin
28,132,133,NOM,PER,every reader
11,135,137,PROP,ORG,Library of Congress
14,146,146,PROP,PER,Sophie
14,152,153,PROP,PER,Sophie Blackall
29,162,162,PRON,PER,his
30,162,163,NOM,PER,his parents
31,166,167,NOM,PER,a baby
32,169,171,NOM,PER,a young boy
33,173,174,NOM,PER,several people
34,176,176,NOM,PER,babies
29,187,187,PRON,PER,his
30,187,188,NOM,PER,his parents
36,212,212,NOM,PER,children
10,252,252,PROP,GPE,China
12,254,257,PROP,FAC,Toppan Leefung Printing Ltd
16,272,273,PROP,PER,Ryan Thomann
13,278,279,PROP,GPE,Kamp Friendship
17,301,301,PROP,PER,Olive
0,306,306,PRON,PER,me
0,318,318,PRON,PER,I
0,323,323,PRON,PER,I
0,330,330,PRON,PER,I
37,333,333,NOM,PER,Dad
18,337,337,PROP,PER,Mom
19,341,341,PROP,PER,Dad
0,346,346,PRON,PER,I
20,351,351,PROP,PER,Brian
38,353,353,PRON,PER,we
18,360,360,PROP,PER,Mom
19,362,362,PROP,PER,Dad
0,364,364,PRON,PER,me
30,365,365,PRON,PER,they
0,370,370,PRON,PER,me
30,376,376,PRON,PER,they
0,378,378,PRON,PER,me
39,382,384,NOM,PER,A new baby
0,388,388,PRON,PER,I
0,394,394,PRON,PER,my
18,413,413,PROP,PER,Mom
19,415,415,PROP,PER,Dad
40,420,421,NOM,PER,the baby
30,423,423,PRON,PER,they
0,425,425,PRON,PER,me
0,433,433,PRON,PER,I
0,444,444,PRON,PER,I
0,448,448,PRON,PER,I
38,458,458,PRON,PER,we
40,462,463,NOM,PER,the baby
19,467,467,PROP,PER,Dad
18,473,473,PROP,PER,Mom
17,480,480,PROP,PER,Olive
0,487,487,PRON,PER,me
42,489,489,NOM,FAC,school
0,491,491,PRON,PER,I
17,493,493,PROP,PER,Olive
17,495,495,PRON,PER,she
43,497,498,NOM,PER,a teenager
17,500,500,PRON,PER,she
17,506,506,PRON,PER,she
0,510,510,PRON,PER,me
17,512,512,PRON,PER,her
0,515,515,PRON,PER,I
0,519,519,PRON,PER,I
0,525,525,PRON,PER,I
17,527,527,PRON,PER,her
40,529,530,NOM,PER,the baby
0,533,533,PRON,PER,I
17,535,535,PRON,PER,her
17,537,537,PRON,PER,she
34,540,540,NOM,PER,babies
17,545,545,PRON,PER,she
0,550,550,PRON,PER,You
46,564,564,PRON,PER,we
0,567,567,PRON,PER,my
47,567,568,NOM,FAC,my classroom
0,577,577,PRON,PER,I
46,598,598,PRON,PER,we
0,602,602,PRON,PER,I
0,616,616,PRON,PER,I
21,618,619,PROP,PER,Mrs. McClure
21,621,621,PRON,PER,she
34,624,624,NOM,PER,babies
49,629,630,NOM,FAC,the hospital
21,631,631,PRON,PER,she
21,636,636,PRON,PER,she
50,639,639,NOM,PER,Boys
51,641,641,NOM,PER,girls
46,647,647,PRON,PER,our
0,649,649,PRON,PER,I
52,655,655,PRON,PER,you
49,659,660,NOM,FAC,the hospital
52,662,662,PRON,PER,you
52,664,664,PRON,PER,your
52,668,668,PRON,PER,you
22,676,676,PROP,PER,Grandpa
22,680,680,PRON,PER,him
22,682,682,PRON,PER,he
22,688,688,PRON,PER,he
0,696,696,PRON,PER,me
0,698,698,PRON,PER,I
22,701,701,PROP,PER,Grandpa
34,703,703,NOM,PER,babies
22,707,707,PRON,PER,he
46,716,716,PRON,PER,we
22,720,720,PROP,PER,Grandpa
0,724,724,PRON,PER,I
22,727,727,PRON,PER,him
46,729,729,PRON,PER,we
46,743,743,PRON,PER,we
55,747,749,NOM,PER,the polite ones
55,753,753,PRON,PER,them
0,762,762,PRON,PER,I
22,764,764,PROP,PER,Grandpa
22,766,766,PROP,PER,Grandpa
34,770,770,NOM,PER,babies
22,775,775,PROP,PER,Grandpa
0,777,777,PRON,PER,me
57,779,780,NOM,PER,A stork
58,782,782,PRON,PER,your
59,782,783,NOM,PER,your baby
58,794,794,PRON,PER,your
0,797,797,PRON,PER,I
60,808,809,NOM,PER,no babies
23,815,815,PROP,PER,Roberto
61,817,818,NOM,PER,the mailman
34,821,821,NOM,PER,babies
23,826,826,PRON,PER,he
0,835,835,PRON,PER,I
0,844,844,PRON,PER,my
0,848,848,PRON,PER,my
0,853,853,PRON,PER,my
0,858,858,PRON,PER,I
18,860,860,PROP,PER,Mom
19,862,862,PROP,PER,Dad
0,863,863,PRON,PER,I
63,869,869,PRON,PER,them
0,872,872,PRON,PER,I
63,874,874,PRON,PER,them
34,878,878,NOM,PER,babies
34,884,884,PRON,PER,their
65,884,885,NOM,PER,their mom
18,888,888,PROP,PER,Mom
34,890,890,PRON,PER,They
19,897,897,PROP,PER,Dad
18,906,906,PROP,PER,Mom
34,908,908,PRON,PER,They
34,914,914,PRON,PER,their
66,914,915,NOM,PER,their dad
34,926,926,PRON,PER,their
65,926,927,NOM,PER,their mom
40,931,932,NOM,PER,The baby
69,935,935,NOM,FAC,there
70,947,947,NOM,FAC,room
71,961,961,NOM,FAC,home
49,968,969,NOM,FAC,the hospital
17,973,973,PROP,PER,Olive
23,981,981,PROP,PER,Roberto
21,987,988,PROP,PER,Mrs. McClure
49,992,993,NOM,FAC,the hospital
22,996,996,PROP,PER,Grandpa
0,1000,1000,PRON,PER,I
22,1007,1007,PROP,PER,Grandpa
34,1009,1009,NOM,PER,babies
24,1022,1022,PROP,PER,BABIES
75,1026,1026,NOM,PER,Experts
76,1029,1029,PRON,PER,your
77,1029,1030,NOM,PER,your child
78,1050,1051,NOM,PER,most children
78,1058,1058,PRON,PER,they
78,1063,1063,PRON,PER,they
34,1081,1081,NOM,PER,babies
80,1094,1095,NOM,PER,the dad
81,1097,1098,NOM,PER,the mom
82,1101,1101,NOM,PER,men
83,1128,1129,NOM,PER,All babies
84,1139,1140,NOM,PER,a man
85,1142,1143,NOM,PER,a woman
80,1152,1153,NOM,PER,the dad
81,1157,1158,NOM,PER,the mom
40,1185,1186,NOM,PER,the baby
40,1197,1198,NOM,PER,the baby
90,1208,1210,NOM,PER,a human baby
91,1236,1245,NOM,PER,a person with fingers and toes and ears and eyes
40,1248,1249,NOM,PER,the baby
93,1252,1253,NOM,PER,the mother
40,1263,1264,NOM,PER,the baby
40,1273,1274,NOM,PER,the baby
93,1278,1279,NOM,PER,The mother
40,1281,1282,NOM,PER,the baby
93,1285,1285,PRON,PER,her
40,1289,1290,NOM,PER,the baby
99,1298,1299,NOM,PER,a doctor
40,1306,1307,NOM,PER,the baby
93,1310,1310,PRON,PER,her
