start_token,end_token,supersense_category,text
3,7,noun.person,Sophie Blackall NANCY PAULSEN BOOKS
8,8,verb.creation,Published
11,14,noun.group,Penguin Group Penguin Group
20,21,noun.location,Hudson Street
23,24,noun.location,New York
26,26,noun.location,NY
30,30,noun.location,Canada
32,32,noun.location,UK
34,34,noun.location,Ireland
36,38,noun.location,Australia New Zealand
40,40,noun.location,India
42,43,noun.location,South Africa
45,45,noun.location,China
46,51,noun.group,penguin.com A Penguin Random House Company
52,52,noun.communication,Copyright
60,60,verb.possession,supports
61,61,noun.communication,copyright
63,63,noun.communication,Copyright
64,64,verb.stative,fuels
65,65,noun.cognition,creativity
67,67,verb.emotion,encourages
69,69,noun.attribute,voices
71,71,verb.communication,promotes
72,73,noun.communication,free speech
76,76,verb.creation,creates
79,79,noun.group,culture
81,81,noun.communication,Thank
84,84,verb.possession,buying
87,87,noun.communication,edition
90,90,noun.communication,book
93,93,verb.communication,complying
95,96,noun.communication,copyright laws
99,99,verb.cognition,reproducing
105,105,noun.group,ning
108,108,verb.possession,distributing
110,110,noun.object,part
115,115,noun.cognition,form
117,117,noun.communication,permission
121,121,verb.social,supporting
122,122,noun.person,writers
124,124,verb.communication,allowing
125,125,noun.person,Penguin
127,127,verb.stative,continue
129,129,verb.creation,publish
130,130,noun.communication,books
133,133,noun.person,reader
135,137,noun.group,Library of Congress
142,144,noun.group,Publication Data Blackall
149,149,noun.person,baby
152,153,noun.person,Sophie Blackall
160,160,verb.cognition,learning
163,163,noun.person,parents
165,165,verb.body,expecting
167,167,noun.person,baby
171,171,noun.person,boy
172,172,verb.communication,asks
174,174,noun.group,people
176,176,noun.person,babies
177,177,verb.stative,come
180,180,verb.possession,gets
183,183,noun.communication,answer
188,188,noun.person,parents
189,189,verb.possession,have
191,191,noun.state,chance
193,193,verb.communication,give
196,196,noun.communication,answer
199,199,noun.communication,advice
201,201,verb.communication,answering
202,202,noun.communication,questions
204,204,noun.process,reproduction
209,209,noun.act,Sex
210,210,noun.communication,instruction
212,212,noun.person,children
214,214,noun.communication,Fiction
218,218,noun.communication,Questions
220,220,noun.communication,answers
222,222,noun.communication,Fiction
226,226,noun.person,Babies
228,228,noun.communication,Fiction
232,232,noun.state,Pregnancy
234,234,noun.communication,Fiction
239,239,noun.communication,stories
252,252,noun.location,China
254,255,noun.location,Toppan Leefung
268,268,noun.act,9
270,270,noun.communication,Design
272,273,noun.person,Ryan Thomann
275,275,noun.communication,Text
276,276,verb.communication,set
278,279,noun.group,Kamp Friendship
282,282,noun.artifact,illustrations
285,285,noun.artifact,book
287,287,verb.contact,painted
289,290,noun.substance,Chinese ink
292,292,noun.artifact,watercolor
294,294,noun.location,Arches
295,297,noun.artifact,hot - press
298,298,noun.substance,paper
300,301,noun.person,For Olive
303,303,noun.group,Eggy7
305,305,verb.possession,gave
308,308,noun.cognition,idea
314,315,noun.group,START OF
316,316,noun.communication,BOOK
319,320,verb.body,wake up
324,324,verb.motion,get
327,327,noun.artifact,bed
331,332,verb.body,wake up
333,333,noun.person,Dad
335,336,verb.motion,wake up
337,337,noun.person,Mom
339,340,verb.body,wake up
347,348,verb.body,get dressed
350,350,verb.body,feed
351,351,noun.person,Brian
354,354,verb.consumption,have
355,355,noun.food,breakfast
358,358,noun.food,breakfast
360,360,noun.person,Mom
362,362,noun.person,Dad
363,363,verb.communication,tell
369,369,verb.communication,tell
372,372,noun.communication,news
377,377,verb.communication,tell
380,380,noun.communication,news
384,384,noun.person,baby
386,386,verb.change,coming
389,389,verb.possession,have
392,392,noun.communication,questions
395,395,noun.body,head
402,403,verb.change,comes out
404,404,verb.stative,is
409,409,noun.animal,cocopops
413,413,noun.person,Mom
415,415,noun.person,Dad
416,416,verb.stative,are
421,421,noun.person,baby
422,422,verb.change,coming
424,424,verb.social,let
426,426,verb.consumption,have
429,429,noun.food,helping
431,431,noun.artifact,cocopops
434,434,verb.change,make
445,446,verb.cognition,think of
450,450,verb.emotion,want
452,452,verb.cognition,know
455,455,verb.stative,is
461,461,verb.possession,get
463,463,noun.person,baby
467,467,noun.person,Dad
469,469,verb.motion,running
473,473,noun.person,Mom
475,475,verb.motion,running
480,480,noun.person,Olive
481,481,verb.stative,is
484,484,noun.artifact,door
486,486,verb.motion,walk
489,489,noun.group,school
492,492,verb.emotion,like
493,493,noun.person,Olive
496,496,verb.stative,'s
498,498,noun.person,teenager
501,501,verb.cognition,knows
502,502,noun.quantity,lots
504,504,noun.communication,stuff
509,509,verb.communication,make
511,511,verb.stative,hold
513,513,noun.body,hand
516,516,verb.emotion,want
521,521,verb.emotion,want
526,526,verb.communication,tell
530,530,noun.person,baby
534,534,verb.communication,ask
538,538,verb.cognition,knows
540,540,noun.artifact,babies
541,541,verb.motion,come
546,546,verb.communication,says
551,551,verb.contact,plant
553,553,noun.plant,seed
556,556,verb.change,grows
559,560,noun.person,Baby Tree
568,568,noun.artifact,classroom
574,574,noun.time,morning
576,576,verb.motion,go
580,580,verb.cognition,think
584,585,noun.person,Baby Tree
588,588,noun.act,play
590,590,noun.communication,gnack
594,594,verb.creation,reading
595,595,noun.time,time
599,599,verb.perception,have
600,600,noun.artifact,art
603,603,verb.social,try
605,605,verb.creation,paint
607,608,noun.person,Baby Tree
613,613,verb.perception,look
617,617,verb.communication,ask
618,619,noun.person,Mrs. McClure
622,622,verb.cognition,knows
624,624,noun.person,babies
625,625,verb.motion,come
630,630,noun.artifact,hospital
632,632,verb.communication,says
637,637,verb.communication,says
639,639,noun.person,Boys
641,641,noun.person,girls
644,644,noun.time,time
646,646,verb.contact,wash
648,648,noun.artifact,brushes
650,650,verb.cognition,know
653,653,noun.communication,fact
657,658,verb.motion,go to
660,660,noun.artifact,hospital
663,663,verb.change,break
665,665,noun.body,leg
671,671,verb.body,have
673,674,verb.contact,taken out
676,676,noun.person,Grandpa
677,677,verb.body,had
678,678,noun.substance,stones
685,686,verb.contact,taken out
689,689,verb.stative,keeps
693,693,noun.artifact,jar
695,695,verb.perception,show
700,700,verb.communication,ask
701,701,noun.person,Grandpa
703,703,noun.artifact,babies
704,704,verb.motion,come
709,709,verb.cognition,know
714,714,noun.time,while
717,718,verb.motion,go to
719,719,verb.social,see
720,720,noun.person,Grandpa
726,726,verb.communication,ask
732,733,verb.motion,go up
736,736,noun.artifact,roof
738,738,verb.social,visit
740,740,noun.animal,pigeons
745,746,verb.communication,let out
752,752,verb.perception,watching
754,754,verb.motion,fly
760,760,noun.object,sky
763,763,verb.communication,ask
764,764,noun.person,Grandpa
766,766,noun.person,Grandpa
770,770,noun.artifact,babies
771,772,verb.motion,come from
775,775,noun.person,Grandpa
776,776,verb.communication,tells
781,781,verb.motion,brings
783,783,noun.person,baby
786,786,noun.time,night
788,788,verb.cognition,leaves
792,792,noun.group,bundle
795,795,noun.artifact,doorstep
798,798,verb.cognition,check
800,800,noun.artifact,doorstep
802,802,noun.time,morning
804,804,noun.food,breakfast
807,807,verb.stative,are
809,809,noun.animal,babies
813,813,noun.communication,mail
815,815,noun.person,Roberto
818,818,noun.person,mailman
820,820,verb.cognition,thinks
821,821,noun.person,babies
822,822,verb.motion,come
824,824,noun.food,eggs
829,829,verb.cognition,know
832,832,verb.possession,get
834,834,noun.food,eggs
836,836,verb.stative,am
841,841,noun.food,dinner
845,845,noun.artifact,bath
849,849,noun.time,bedtime
850,850,noun.communication,story
855,855,noun.time,bedtime
856,856,noun.communication,story
859,859,verb.communication,tell
860,860,noun.person,Mom
862,862,noun.person,Dad
864,864,verb.possession,have
866,866,noun.communication,question
868,868,verb.communication,ask
873,873,verb.communication,ask
878,878,noun.person,babies
879,879,verb.motion,come
885,885,noun.person,mom
887,887,verb.communication,says
888,888,noun.person,Mom
891,892,verb.change,start off
896,896,verb.communication,says
897,897,noun.person,Dad
903,903,verb.perception,see
905,905,verb.communication,says
906,906,noun.person,Mom
909,909,verb.change,begin
912,912,noun.plant,seed
915,915,noun.person,dad
920,920,verb.change,gets
921,921,verb.contact,planted
924,924,noun.animal,egg
927,927,noun.person,mom
932,932,noun.person,baby
933,933,verb.change,grows
938,938,noun.time,months
944,944,verb.stative,runs
947,947,noun.artifact,room
956,956,verb.stative,be
961,961,noun.location,home
969,969,noun.artifact,hospital
973,973,noun.person,Olive
974,974,verb.stative,was
978,978,noun.plant,seed
981,981,noun.person,Roberto
982,982,verb.stative,was
986,986,noun.animal,egg
987,988,noun.person,Mrs. McClure
989,989,verb.communication,wag
993,993,noun.artifact,hospital
996,996,noun.person,Grandpa
1004,1004,verb.stative,have
1006,1006,verb.communication,tell
1007,1007,noun.person,Grandpa
1009,1009,noun.person,babies
1019,1019,noun.communication,QUESTION
1027,1027,verb.communication,recommend
1028,1028,verb.communication,answering
1030,1030,noun.person,child
1032,1032,noun.communication,questions
1034,1034,noun.process,reproduction
1039,1039,noun.time,age
1042,1042,noun.attribute,way
1046,1046,noun.time,ages
1051,1051,noun.person,children
1052,1052,verb.emotion,want
1054,1054,noun.communication,answers
1059,1059,verb.stative,are
1065,1065,verb.emotion,want
1067,1067,noun.cognition,details
1070,1070,verb.stative,are
1072,1072,noun.communication,suggestions
1074,1074,verb.communication,answering
1078,1078,noun.communication,questions
1081,1081,noun.person,babies
1082,1082,verb.change,come
1091,1091,noun.plant,seed
1092,1092,verb.motion,get
1095,1095,noun.person,dad
1098,1098,noun.person,mom
1101,1101,noun.person,men
1104,1104,verb.stative,are
1105,1105,noun.quantity,millions
1108,1108,noun.plant,seeds
1110,1110,noun.substance,sperm
1113,1113,verb.stative,are
1117,1117,verb.perception,see
1122,1122,noun.artifact,microscope
1124,1125,verb.stative,look like
1126,1126,noun.animal,tadpoles
1129,1129,noun.person,babies
1130,1130,verb.change,begin
1133,1133,noun.body,sperm
1136,1136,noun.animal,egg
1140,1140,noun.person,man
1143,1143,noun.person,woman
1144,1144,verb.stative,lie
1149,1149,noun.body,sperm
1150,1150,verb.motion,swims
1153,1153,noun.person,dad
1155,1155,noun.body,penis
1158,1158,noun.person,mom
1160,1160,noun.body,vagina
1162,1162,verb.motion,meet
1164,1164,noun.animal,egg
1169,1169,noun.substance,sperm
1174,1174,verb.change,get
1177,1177,verb.change,fertilize
1179,1179,noun.animal,egg
1186,1186,noun.person,baby
1187,1187,verb.change,begins
1189,1189,verb.change,grow
1195,1195,verb.possession,take
1198,1198,noun.person,baby
1200,1200,verb.change,grow
1203,1203,verb.possession,takes
1206,1206,noun.time,months
1210,1210,noun.person,baby
1212,1212,verb.change,grow
1218,1219,verb.stative,looks like
1221,1221,noun.attribute,speck
1226,1226,noun.animal,peanut
1230,1230,noun.time,months
1232,1232,verb.change,starts
1234,1235,verb.stative,look like
1237,1237,noun.person,person
1239,1239,noun.body,fingers
1241,1241,noun.body,toes
1243,1243,noun.body,ears
1245,1245,noun.body,eyes
1249,1249,noun.person,baby
1250,1250,verb.change,grows
1253,1253,noun.person,mother
1255,1255,noun.body,belly
1256,1256,verb.change,gets
1261,1261,noun.time,month
1264,1264,noun.person,baby
1265,1265,verb.stative,is
1268,1269,verb.change,come out
1274,1274,noun.person,baby
1275,1276,verb.motion,get out
1279,1279,noun.person,mother
1280,1280,verb.motion,pushes
1282,1282,noun.person,baby
1286,1286,noun.body,vagina
1290,1290,noun.person,baby
1291,1291,verb.stative,is
1296,1296,noun.act,position
1299,1299,noun.person,doctor
1301,1301,verb.creation,perform
1303,1303,noun.act,operation
1305,1305,verb.social,deliver
1307,1307,noun.person,baby
1311,1311,noun.body,belly
1315,1315,noun.animal,twins
1319,1319,noun.person,mother
1320,1320,verb.possession,has
1322,1322,noun.animal,eggs
1324,1325,verb.stative,match up
1328,1328,noun.body,sperm
1331,1331,verb.change,become
1333,1333,noun.person,twins
1341,1341,noun.animal,egg
1342,1342,verb.contact,splits
1344,1344,noun.quantity,half
1350,1350,noun.person,twins
1351,1351,verb.change,grow
1354,1354,noun.location,side
1359,1359,noun.person,friend
1362,1362,verb.social,adopted
1366,1366,noun.person,babies
1367,1367,verb.change,begin
1370,1370,noun.animal,sperm
1373,1373,noun.animal,egg
1377,1377,verb.communication,call
1380,1380,noun.person,father
1382,1382,noun.person,mother
1388,1388,noun.cognition,sorts
1391,1391,noun.motive,reasons
1395,1395,noun.person,parents
1398,1398,verb.stative,keep
1400,1400,noun.person,baby
1404,1404,noun.person,mom
1406,1406,noun.person,dad
1407,1407,verb.cognition,choose
1409,1409,noun.person,baby
1411,1411,verb.emotion,love
1418,1418,noun.person,babies
1420,1420,verb.possession,have
1422,1422,noun.person,moms
1425,1425,noun.person,dads
1428,1428,noun.group,family
1431,1431,noun.person,dads
1434,1434,noun.person,moms
1436,1436,verb.social,adopt
1438,1438,noun.person,baby
1440,1440,verb.change,born
1446,1446,noun.person,moms
1451,1451,noun.person,dads
1453,1453,verb.stative,be
1456,1456,noun.person,parent
1460,1460,noun.person,mom
1462,1462,verb.possession,have
1464,1465,noun.person,sperm donor
1468,1468,noun.person,man
1470,1470,verb.possession,gives
1472,1472,noun.substance,sperm
1477,1477,noun.person,dad
1479,1479,verb.possession,have
1481,1481,noun.animal,egg
1482,1482,noun.person,donor
1485,1485,noun.person,woman
1487,1487,verb.possession,gives
1489,1489,noun.animal,egg
1493,1493,noun.group,family
1494,1494,verb.stative,is
1501,1501,noun.person,baby
1502,1502,verb.change,begins
1505,1505,noun.substance,sperm
1508,1508,noun.animal,egg
