COREF,start_token,end_token,prop,cat,text
286,2,3,PROP,PER,Cassandra Clare
620,4,38,NOM,PER,THE MORTAL INSTRUMENTS City of Bones City of Ashes City of Glass City of Fallen Angels City of Lost Souls City of Heavenly Fire THE INFERNAL DEVICES Clockwork Angel Clockwork Prince Clockwork Princess The Shadowhunter
287,42,46,PROP,PER,Joshua Lewis The Bane Chronicles
288,48,50,PROP,PER,Sarah Rees Brennan
417,52,56,PROP,PER,Maureen Johnson THE MORTAL INSTRUMENTS
621,57,60,NOM,GPE,City of Heavenly Fire
286,61,63,PROP,PER,CASSANDRA CLARE Margaret
1,65,66,PROP,FAC,McElderry Books
2,67,77,PROP,GPE,New York London Toronto Sydney New Delhi MARGARET K. McELDERRY BOOKS
3,68,68,PROP,GPE,York
4,69,69,PROP,GPE,London
5,70,70,PROP,GPE,Toronto
6,71,71,PROP,GPE,Sydney
7,73,73,PROP,GPE,Delhi
1,76,77,PROP,FAC,McELDERRY BOOKS
8,81,92,PROP,FAC,Simon & Schuster Children ’s Publishing Division 1230 Avenue of the Americas
9,83,83,PROP,GPE,Schuster
622,84,84,NOM,PER,Children
10,91,92,PROP,LOC,the Americas
11,94,95,PROP,GPE,New York
11,97,98,PROP,GPE,New York
623,114,115,NOM,PER,real people
624,136,137,NOM,PER,the author
625,150,150,NOM,PER,persons
286,165,166,PROP,PER,Cassandra Clare
290,178,179,PROP,PER,Cliff Nielsen
291,187,188,PROP,PER,Nicolas Delort
292,196,197,PROP,PER,Pat Kinsella
293,205,206,PROP,PER,Cassandra Jean
294,225,228,PROP,PER,Margaret K. McElderry Books
9,235,235,PROP,GPE,Schuster
295,249,251,PROP,PER,Simon & Schuster
626,268,270,NOM,PER,Schuster Speakers Bureau
627,273,273,NOM,PER,authors
628,275,275,PRON,PER,your
629,289,294,NOM,PER,the Simon & Schuster Speakers Bureau
630,305,305,PRON,PER,our
631,308,308,NOM,PER,www.simonspeakers.com
296,323,324,PROP,PER,Russell Gordon
297,333,334,PROP,PER,Drew Willis
12,343,343,PROP,GPE,Dolly
632,347,350,NOM,GPE,the United States of
13,351,351,PROP,GPE,America
1,355,356,PROP,FAC,McElderry Books
14,370,372,PROP,ORG,Library of Congress
286,381,381,PROP,PER,Clare
15,383,383,PROP,GPE,Cassandra
621,385,388,NOM,GPE,City of heavenly fire
286,390,391,PROP,FAC,Cassandra Clare
634,398,400,NOM,PER,The mortal instruments
5186,412,414,NOM,LOC,the Shadowhunter world
298,420,421,PROP,PER,the Nephilim
299,423,423,PROP,PER,Clary
300,425,425,PROP,PER,Jace
295,427,427,PROP,PER,Simon
5187,430,430,PRON,PER,their
5188,430,431,NOM,PER,their friends
5187,439,439,PRON,PER,they
299,444,444,PROP,PER,Clary
5189,444,447,NOM,PER,Clary ’s own brother
5190,451,452,NOM,LOC,this world
301,455,455,PROP,PER,Sebastian
5187,459,459,PRON,PER,they
5187,467,467,PRON,PER,they
635,476,476,NOM,PER,publisher
11,532,533,PROP,GPE,New York
302,579,580,PROP,PER,Jace Wayland
299,582,582,PROP,PER,Clary
636,596,598,NOM,GPE,City of Bones
300,600,600,PROP,PER,Jace
300,613,613,PRON,PER,He
299,617,617,PRON,PER,she
637,626,626,NOM,PER,vampires
638,628,628,NOM,PER,werewolves
639,635,643,NOM,PER,"monsters of all shape , size , and intention"
640,655,656,NOM,LOC,the world
641,660,660,PRON,PER,them
300,662,662,PRON,PER,He
642,667,667,PRON,PER,we
642,670,670,PRON,PER,our
642,676,676,PRON,PER,we
643,678,679,NOM,PER,the heroes
644,686,702,NOM,PER,"good people who rise up to defeat the evil , stories in which there is always hope"
299,708,708,PROP,PER,Clary
17,710,712,PROP,FAC,City of Bones
299,720,720,PRON,PER,she
18,723,725,PROP,GPE,New York City
299,741,741,PRON,PER,her
0,750,750,PRON,PER,I
645,755,756,NOM,GPE,City of
19,757,757,PROP,GPE,Bones
0,759,759,PRON,PER,I
637,766,766,NOM,PER,vampires
647,770,770,NOM,PER,warlocks
0,773,773,PRON,PER,I
648,783,785,NOM,PER,angels and demons
0,787,787,PRON,PER,I
303,794,794,PROP,PER,Dante
20,798,801,PROP,LOC,Mike Carey ’s Lucifer
0,803,803,PRON,PER,I
649,810,811,NOM,PER,human beings
0,830,830,PRON,PER,I
650,844,844,NOM,PER,people
651,877,877,PRON,PER,them
652,880,880,PRON,PER,you
651,886,886,PRON,PER,their
652,893,893,PRON,PER,your
0,900,900,PRON,PER,I
304,921,921,PROP,PER,Valentine
300,923,923,PROP,PER,Jace
300,925,925,PRON,PER,his
653,925,930,NOM,FAC,his prison in the Silent City
654,928,930,NOM,GPE,the Silent City
300,932,932,PRON,PER,he
300,935,935,PRON,PER,him
5191,948,949,NOM,PER,the Angel
305,951,951,PROP,PER,Adam
306,953,953,PROP,PER,Eve
5192,956,957,NOM,FAC,the garden
300,960,960,PRON,PER,he
