start_token,end_token,supersense_category,text
2,3,noun.person,Cassandra Clare
5,7,noun.group,MORTAL INSTRUMENTS City
9,10,noun.location,Bones City
12,16,noun.group,Ashes City of Glass City
19,20,noun.person,Angels City
24,27,noun.group,City of Heavenly Fire
31,35,noun.person,Clockwork Angel Clockwork Prince Clockwork
42,43,noun.person,Joshua Lewis
48,50,noun.person,Sarah Rees Brennan
52,53,noun.person,Maureen Johnson
55,57,noun.group,MORTAL INSTRUMENTS City
63,77,noun.group,Margaret K. McElderry Books New York London Toronto Sydney New Delhi MARGARET K. McELDERRY BOOKS
81,84,noun.group,Simon & Schuster Children
86,87,noun.group,Publishing Division
89,90,noun.group,Avenue of
91,91,noun.time,the
92,92,noun.location,Americas
94,95,noun.location,New York
97,98,noun.location,New York
101,101,noun.communication,book
102,102,verb.stative,is
104,104,noun.artifact,work
106,106,noun.communication,fiction
109,109,noun.communication,references
112,112,noun.event,events
115,115,noun.group,people
119,119,noun.location,places
121,121,verb.consumption,used
125,125,noun.communication,names
127,127,noun.person,characters
129,129,noun.location,places
132,132,noun.event,events
133,133,verb.stative,are
134,134,noun.artifact,products
137,137,noun.person,author
139,139,noun.cognition,imagination
143,143,noun.attribute,resemblance
146,146,noun.event,events
148,148,noun.person,places
150,150,noun.person,persons
152,152,verb.stative,living
154,154,noun.time,dead
156,156,verb.stative,is
160,160,noun.communication,Text
161,161,noun.communication,copyright
165,166,noun.person,Cassandra Clare
171,171,noun.artifact,photo
173,173,noun.communication,illustration
174,174,noun.communication,copyright
178,180,noun.person,Cliff Nielsen Spine
182,182,noun.communication,illustration
183,183,noun.communication,copyright
187,188,noun.person,Nicolas Delort
190,191,noun.artifact,figure illustration
192,192,noun.communication,copyright
196,197,noun.person,Pat Kinsella
199,200,noun.communication,comic art
201,201,noun.communication,copyright
205,206,noun.person,Cassandra Jean
211,211,verb.stative,including
213,213,noun.attribute,right
215,215,noun.communication,reproduction
223,223,noun.cognition,form
225,226,noun.person,Margaret K.
229,229,verb.stative,is
231,231,noun.attribute,trademark
233,233,noun.person,Simon
239,239,noun.cognition,information
242,242,noun.possession,discounts
244,245,noun.possession,bulk purchases
248,248,verb.communication,contact
249,249,noun.person,Simon
251,251,noun.person,Schuster
263,263,noun.communication,business@simonandschuster.com
266,267,noun.group,Simon &
268,270,noun.person,Schuster Speakers Bureau
272,272,verb.motion,bring
273,273,noun.person,authors
277,277,noun.event,event
281,281,noun.cognition,information
284,284,verb.creation,book
286,286,noun.event,event
288,288,verb.communication,contact
290,294,noun.group,Simon & Schuster Speakers Bureau
304,304,verb.communication,visit
306,306,noun.communication,website
314,317,noun.group,Margaret K. McElderry Books
319,319,noun.communication,edition
321,321,noun.act,design
323,324,noun.person,Russell Gordon
326,326,noun.act,design
328,329,noun.person,Mike Rosamilia
331,331,noun.communication,illustration
336,336,noun.communication,text
339,339,noun.communication,book
341,341,verb.creation,set
343,343,noun.location,Dolly
348,351,noun.location,United States of America
353,356,noun.group,Margaret K. McElderry Books
357,358,noun.communication,paperback edition
359,359,noun.time,September
370,372,noun.group,Library of Congress
374,374,verb.possession,cataloged
376,376,noun.artifact,hardcover
377,377,noun.communication,edition
381,381,noun.person,Clare
383,383,noun.person,Cassandra
385,388,noun.location,City of heavenly fire
390,391,noun.person,Cassandra Clare
393,393,noun.communication,pages
402,402,noun.communication,book
405,405,noun.communication,Summary
408,408,noun.state,Darkness
410,410,verb.motion,descended
413,413,noun.person,Shadowhunter
414,414,noun.group,world
416,416,noun.state,Chaos
418,418,noun.act,destruction
419,419,verb.emotion,overwhelm
421,421,noun.person,Nephilim
423,423,noun.person,Clary
425,425,noun.person,Jace
427,427,noun.person,Simon
431,431,noun.person,friends
432,432,verb.social,band
435,435,verb.competition,fight
438,438,noun.act,evil
442,442,verb.communication,faced
444,444,noun.person,Clary
447,447,noun.person,brother
449,449,noun.quantity,Nothing
