COREF,start_token,end_token,prop,cat,text
229,3,5,PROP,PER,GAY JUNO DAWSON
230,8,9,PROP,PER,Spike Gerrell
231,13,14,PROP,PER,David Levithan
229,24,25,PROP,PER,Juno Dawson
230,42,43,PROP,PER,Spike Gerrell
232,50,51,PROP,PER,Daniel Quasar
481,122,122,PRON,PER,its
482,122,123,NOM,PER,its publisher
483,152,153,NOM,PER,the publisher
484,181,184,NOM,PER,a competent professional person
485,195,201,NOM,ORG,a Committee of the American Bar Association
486,198,201,NOM,ORG,the American Bar Association
487,203,206,NOM,ORG,a Committee of Publishers
488,221,223,NOM,PER,a qualified physician
489,257,260,NOM,PER,an appropriate medical professional
490,285,285,PRON,PER,their
491,285,287,NOM,PER,their respective holders
1,304,305,PROP,FAC,Sourcebooks Fire
2,310,313,PROP,FAC,Sourcebooks P.O. Box 4410
3,315,315,PROP,GPE,Naperville
4,317,317,PROP,GPE,Illinois
483,354,355,NOM,PER,the publisher
493,361,365,NOM,LOC,the United States of America
5,365,365,PROP,GPE,America
231,392,394,PROP,PER,David Levithan Author
494,401,404,NOM,FAC,the Members ’ Club
0,405,405,PRON,PER,i
495,414,414,PRON,PER,You
496,418,418,PRON,PER,Our
6,429,430,PROP,FAC,The Fear
497,434,438,NOM,PER,Haterz Gon ’ Hate 105
498,441,442,NOM,GPE,Coming Out
495,451,451,PRON,PER,You
499,455,461,NOM,FAC,The Ins and Outs of Gay Sex
495,475,475,PRON,PER,Your
500,485,485,NOM,PER,Parents
501,487,489,NOM,PER,Carers ofLGBTQ+ Youth
502,505,506,NOM,PER,the Author
503,514,514,PRON,PER,IT
231,523,524,PROP,PER,David Levithan
0,529,529,PRON,PER,I
0,536,536,PRON,PER,I
504,539,539,NOM,PER,boys
505,548,549,NOM,PER,other people
0,552,552,PRON,PER,me
0,563,563,PRON,PER,my
506,563,564,NOM,PER,my friends
0,568,568,PRON,PER,I
0,574,574,PRON,PER,I
0,581,581,PRON,PER,I
507,591,591,NOM,PER,guys
0,594,594,PRON,PER,me
0,597,597,PRON,PER,I
0,605,605,PRON,PER,I
508,607,609,NOM,PER,a gay uncle
508,612,612,PRON,PER,his
509,612,613,NOM,PER,his boyfriend
7,615,615,PROP,GPE,Thanksgiving
0,629,629,PRON,PER,I
0,637,637,PRON,PER,I
0,649,649,PRON,PER,I
0,662,662,PRON,PER,me
0,668,668,PRON,PER,I
0,702,702,PRON,PER,I
0,709,709,PRON,PER,I
0,718,718,PRON,PER,I
510,722,722,PRON,PER,them
0,724,724,PRON,PER,I
510,728,728,PRON,PER,them
0,731,731,PRON,PER,I
0,735,735,PRON,PER,me
0,742,742,PRON,PER,my
511,746,748,NOM,PER,A fellow student
511,753,753,PRON,PER,he
511,755,755,PRON,PER,he
511,760,760,PRON,PER,his
511,765,765,PRON,PER,he
511,769,769,PRON,PER,he
511,772,772,PRON,PER,he
507,777,777,NOM,PER,guys
0,780,780,PRON,PER,I
0,791,791,PRON,PER,I
0,796,796,PRON,PER,I
0,808,808,PRON,PER,I
0,818,818,PRON,PER,I
0,821,821,PRON,PER,I
0,828,828,PRON,PER,I
513,831,832,NOM,ORG,high school
0,847,847,PRON,PER,me
0,855,855,PRON,PER,I
0,857,857,PRON,PER,I
0,865,865,PRON,PER,I
514,895,895,PRON,PER,They
515,899,899,PRON,PER,you
514,905,905,PRON,PER,they
515,908,908,PRON,PER,you
515,910,910,PRON,PER,you
515,920,920,PRON,PER,you
515,934,934,PRON,PER,you
515,942,942,PRON,PER,your
516,952,952,PRON,PER,They
515,959,959,PRON,PER,your
515,967,967,PRON,PER,your
515,972,972,PRON,PER,you
515,1001,1001,PRON,PER,you
0,1018,1018,PRON,PER,I
517,1024,1026,NOM,PER,any current teenager
0,1040,1040,PRON,PER,I
0,1054,1054,PRON,PER,I
0,1057,1057,PRON,PER,I
505,1066,1067,NOM,PER,other people
0,1073,1073,PRON,PER,I
0,1077,1077,PRON,PER,I
519,1079,1079,NOM,GPE,there
0,1083,1083,PRON,PER,I
0,1086,1086,PRON,PER,I
0,1092,1092,PRON,PER,my
520,1096,1097,NOM,GPE,the place
515,1121,1121,PRON,PER,you
0,1132,1132,PRON,PER,I
521,1142,1142,NOM,PER,Author
522,1165,1166,NOM,LOC,the world
8,1184,1184,PROP,GPE,Alaska
18,1192,1193,PROP,LOC,the UK
0,1198,1198,PRON,PER,I
522,1214,1215,NOM,LOC,the world
524,1218,1219,NOM,PER,young people
524,1221,1221,PRON,PER,their
525,1221,1222,NOM,PER,their parents
0,1230,1230,PRON,PER,me
522,1257,1258,NOM,LOC,the world
0,1302,1302,PRON,PER,I
527,1310,1311,NOM,PER,some readers
0,1323,1323,PRON,PER,My
233,1329,1329,PROP,PER,Tve
234,1334,1338,PROP,PER,James XII AUTHOR ’S NOTE
229,1340,1340,PROP,PER,Juno
528,1349,1351,NOM,PER,a transgender woman
0,1370,1370,PRON,PER,I
0,1379,1379,PRON,PER,I
529,1383,1387,NOM,PER,all queer / nonbinary people
