start_token,end_token,supersense_category,text
8,9,noun.person,Spike Gerrell
11,11,noun.communication,Introduction
13,14,noun.person,David Levithan
16,16,noun.communication,sourcebooks
18,18,noun.communication,Copyright
24,25,noun.person,Juno Dawson
29,29,noun.act,design
33,33,noun.communication,Sourcebooks
35,35,noun.act,design
37,37,noun.communication,Sourcebooks
42,43,noun.person,Spike Gerrell
50,51,noun.person,Daniel Quasar
53,54,noun.group,quasar.digital LLC
56,56,noun.communication,Copyright
60,61,noun.attribute,All rights
62,62,verb.possession,reserved
67,67,noun.artifact,colophon
68,68,verb.stative,are
70,70,noun.communication,trademarks
72,72,noun.communication,Sourcebooks
74,75,noun.communication,All rights
76,76,verb.possession,reserved
79,79,noun.artifact,part
82,82,noun.communication,book
85,85,verb.contact,reproduced
88,88,noun.communication,form
95,95,noun.artifact,means
96,96,verb.cognition,including
97,98,noun.artifact,information storage
100,101,noun.artifact,retrieval systems
106,106,noun.state,case
109,109,noun.communication,quotations
110,110,verb.communication,embodied
113,113,noun.communication,articles
115,115,noun.communication,reviews
118,118,noun.communication,permission
120,120,verb.communication,writing
123,123,noun.person,publisher
125,125,noun.communication,Sourcebooks
128,128,noun.communication,publication
130,130,verb.creation,designed
132,132,verb.possession,provide
136,136,noun.communication,information
141,142,noun.communication,subject matter
143,143,verb.communication,covered
147,147,verb.possession,sold
150,150,noun.cognition,understanding
153,153,noun.person,publisher
156,156,verb.social,engaged
158,158,verb.creation,rendering
161,161,noun.communication,accounting
166,166,noun.act,service
170,170,noun.communication,advice
173,173,noun.person,expert
174,174,noun.act,assistance
176,176,verb.stative,required
179,179,noun.act,services
183,184,noun.person,professional person
187,187,verb.communication,sought.—From
189,189,noun.communication,Declaration
191,191,noun.communication,Principles
199,201,noun.group,American Bar Association
204,204,noun.group,Committee
206,208,noun.group,Publishers and Associations
210,210,noun.communication,book
213,213,verb.creation,intended
216,216,noun.cognition,substitute
219,219,noun.communication,advice
223,223,noun.person,physician
226,226,noun.cognition,intent
229,229,noun.communication,book
230,230,verb.stative,is
232,232,verb.possession,provide
235,235,noun.cognition,information
240,241,noun.communication,subject matter
242,242,verb.communication,covered
246,246,noun.communication,advice
249,249,noun.person,expert
250,250,noun.act,help
255,255,noun.act,services
260,260,noun.person,professional
263,263,verb.possession,sought
266,267,noun.communication,brand names
269,270,noun.communication,product names
271,271,verb.consumption,used
274,274,noun.communication,book
275,275,verb.stative,are
276,276,noun.communication,trademarks
279,279,noun.communication,trademarks
282,283,noun.communication,trade names
287,287,noun.person,holders
289,289,noun.communication,Sourcebooks
295,295,noun.artifact,product
297,297,noun.person,vendor
300,300,noun.communication,book
302,302,verb.creation,Published
304,304,noun.communication,Sourcebooks
308,308,noun.communication,imprint
310,310,noun.communication,Sourcebooks
311,312,noun.location,P.O. Box
315,315,noun.location,Naperville
317,317,noun.location,Illinois
327,327,noun.communication,sourcebooks.com
329,329,verb.creation,published
333,333,noun.communication,Sourcebooks
337,337,noun.communication,imprint
339,339,noun.communication,Sourcebooks
341,343,noun.group,Library of Congress
344,344,noun.communication,Cataloging
348,348,noun.communication,Publication
349,349,noun.group,data
350,350,verb.stative,is
355,355,noun.group,publisher
362,363,noun.location,United States
368,368,noun.quantity,10
369,369,noun.quantity,9
375,375,noun.communication,book
377,377,verb.communication,dedicated
383,383,verb.communication,wondered
385,385,noun.communication,Contents
387,387,noun.act,Introduction
392,393,noun.person,David Levithan
404,404,noun.group,Club
414,419,noun.group,You Ca n’t Mistake Our Biology
423,423,noun.communication,Stereotypes
437,438,noun.attribute,Hate 105
439,439,noun.quantity,7
441,442,noun.group,Coming Out
448,449,noun.group,Meet People
451,451,noun.location,You
469,469,noun.communication,Hats
483,483,noun.communication,Guidance
485,485,noun.person,Parents
487,487,noun.person,Carers
489,489,noun.group,Youth
492,493,noun.group,Cheat Sheet
498,498,noun.group,Websites
502,502,noun.communication,Acknowledgments
506,506,noun.person,Author
517,517,noun.time,TIME
523,524,noun.person,David Levithan
530,530,verb.stative,was
538,538,verb.communication,kissed
539,539,noun.person,boys
542,542,verb.emotion,liked
549,549,noun.group,people
551,551,verb.communication,called
558,558,noun.communication,compliment
564,564,noun.person,friends
566,566,verb.communication,asked
569,569,verb.stative,was
575,576,verb.communication,found out
578,578,verb.stative,was
582,582,verb.stative,was
588,588,verb.stative,was
589,589,noun.artifact,pictures
591,591,noun.person,guys
593,593,verb.change,turned
598,598,verb.possession,had
600,600,noun.artifact,stash
609,609,noun.person,uncle
611,611,verb.motion,brought
613,613,noun.person,boyfriend
615,615,noun.time,Thanksgiving
618,618,noun.event,incident
625,625,noun.communication,signs
626,626,verb.stative,were
633,633,verb.cognition,make
635,635,noun.relation,connection
638,638,verb.stative,was
643,643,noun.communication,phrase
651,651,verb.communication,saying
657,657,verb.stative,was
661,661,verb.possession,took
664,664,noun.time,while
666,667,verb.cognition,figure out
669,669,verb.stative,was
680,680,verb.stative,is
683,683,noun.time,time
687,687,noun.time,point
691,691,noun.time,years
693,693,verb.stative,is
696,696,noun.event,time
701,701,noun.motive,reason
703,703,verb.stative,was
706,706,verb.stative,was
712,712,verb.cognition,recognize
714,714,noun.communication,clues
721,721,verb.perception,recognize
727,727,verb.possession,find
738,738,verb.stative,was
740,740,noun.communication,quote
743,743,noun.group,college
744,744,noun.communication,newspaper
748,748,noun.person,student
750,750,verb.communication,interviewed
754,754,verb.cognition,knew
756,756,verb.stative,was
761,761,noun.communication,answer
762,762,verb.stative,was
766,766,verb.communication,said
770,770,verb.emotion,fantasized
773,774,verb.cognition,thought about
775,775,verb.stative,being
777,777,noun.person,guys
781,781,verb.cognition,thought
792,792,verb.contact,gathered
794,794,noun.communication,clues
797,798,verb.creation,pieced together
800,800,noun.communication,answers
803,803,verb.change,got
809,809,verb.stative,was
819,819,verb.stative,was
825,825,verb.stative,be
829,829,verb.stative,was
831,832,noun.group,high school
837,837,noun.act,way
839,839,noun.communication,book
844,844,verb.communication,made
856,856,verb.cognition,imagine
860,861,verb.cognition,figured out
862,862,noun.cognition,things
868,868,verb.stative,been
874,874,verb.stative,is
883,883,noun.communication,book
885,885,noun.communication,clues
891,891,noun.cognition,thing
893,893,noun.communication,clues
898,898,verb.communication,tell
902,902,verb.social,do
907,907,verb.perception,show
912,912,verb.social,do
915,915,noun.communication,book
916,916,verb.stative,is
925,925,verb.stative,be
930,930,verb.cognition,read
940,940,noun.group,people
944,944,noun.act,INTRODUCTION
948,948,noun.state,life
950,950,noun.communication,clue
953,953,verb.stative,’re
958,958,verb.communication,questioning
961,961,noun.attribute,identity
969,969,noun.attribute,identity
971,971,noun.communication,thank
995,995,verb.stative,is
997,997,noun.event,crash
998,998,noun.act,course
1000,1000,verb.social,prevent
1003,1003,verb.motion,crashing
1007,1007,noun.communication,truths
1010,1010,noun.group,world
1013,1013,verb.stative,are
1016,1016,noun.communication,truths
1026,1026,noun.person,teenager
1028,1028,verb.stative,been
1031,1031,verb.cognition,pauses
1033,1034,verb.cognition,freaks out
1042,1042,verb.possession,found
1045,1045,noun.communication,clue
1051,1051,noun.quantity,dozen
1055,1055,verb.motion,travel
1058,1058,verb.emotion,love
1060,1060,verb.cognition,read
1061,1061,noun.communication,guidebooks
1064,1064,verb.perception,hear
1067,1067,noun.group,people
1070,1070,verb.communication,say
1075,1075,verb.motion,going
1078,1078,verb.motion,get
1084,1084,verb.motion,arrive
1087,1087,verb.contact,close
1089,1089,noun.communication,guidebooks
1091,1091,verb.perception,have
1094,1094,noun.cognition,experience
1097,1097,noun.location,place
1101,1102,verb.cognition,think of
1107,1107,noun.communication,guidebook
1109,1110,verb.social,Take in
1113,1113,verb.stative,has
1115,1115,verb.communication,say
1120,1120,verb.social,helps
1122,1123,verb.cognition,figure out
1126,1126,verb.contact,close
1130,1130,noun.cognition,experience
1133,1133,verb.communication,promise
1140,1140,verb.cognition,experience
1142,1142,noun.person,Author
1149,1149,noun.communication,edition
1153,1153,verb.stative,is
1156,1156,noun.communication,book
1159,1159,verb.change,released
1164,1164,verb.change,taken
1173,1173,verb.communication,translated
1177,1177,noun.communication,languages
1182,1182,verb.social,banned
1184,1184,noun.location,Alaska
1188,1188,verb.communication,hit
1190,1190,noun.communication,headlines
1193,1193,noun.location,UK
1200,1200,verb.possession,received
1201,1201,noun.quantity,hundreds
1203,1203,noun.quantity,hundreds
1205,1205,noun.communication,letters
1207,1207,noun.communication,tweets
1210,1210,noun.communication,emails
1215,1215,noun.object,world
1219,1219,noun.group,people
1222,1222,noun.person,parents
1225,1225,verb.communication,asking
1227,1227,noun.communication,guidance
1229,1229,verb.communication,thanking
1232,1232,verb.creation,writing
1234,1234,noun.communication,book
1237,1237,verb.stative,was
1239,1239,noun.cognition,dream
1242,1242,noun.communication,book
1244,1245,verb.change,came out
1250,1250,verb.stative,been
1252,1252,noun.cognition,dream
1253,1254,verb.change,come true
1258,1258,noun.object,world
1261,1262,verb.communication,stand still
1268,1268,verb.change,became
1274,1274,noun.cognition,facts
1278,1278,noun.communication,edition
1281,1281,verb.change,becoming
1288,1288,noun.communication,edition
1289,1291,verb.cognition,takes into account
1293,1293,noun.cognition,awareness
1295,1295,noun.cognition,issues
1296,1296,verb.stative,surrounding
1298,1298,noun.attribute,sexuality
1300,1300,noun.communication,gender
1305,1305,verb.perception,listened
1307,1307,noun.communication,feedback
1311,1311,noun.person,readers
1312,1312,verb.cognition,felt
1315,1315,verb.communication,sidelined
1318,1318,verb.stative,was
1321,1321,noun.cognition,intent
1324,1324,noun.state,life
1326,1326,verb.change,changed
1329,1329,noun.person,Tve
1331,1331,verb.stative,lived
1334,1336,noun.person,James XII AUTHOR
1340,1340,noun.person,Juno
1343,1343,verb.possession,have
1345,1345,noun.cognition,perspectives
1347,1347,noun.cognition,life
1351,1351,noun.person,woman
1357,1357,noun.communication,edition
1360,1360,noun.person,contributor
1361,1361,noun.communication,names
1364,1364,verb.change,changed
1372,1372,verb.consumption,used
1377,1377,noun.communication,shorthand
1380,1380,verb.cognition,intend
1382,1382,verb.social,include
1387,1387,noun.group,people
1392,1392,noun.event,times
1402,1402,verb.social,come
1406,1406,noun.group,community
1408,1408,verb.social,support
1414,1414,verb.change,starts
1416,1416,noun.attribute,kindness
1418,1418,noun.feeling,compassion
1429,1429,noun.act,survey
1431,1432,verb.creation,carried out
1434,1434,noun.time,spring
1436,1436,noun.time,summer
1443,1443,noun.person,respondents
1445,1445,noun.act,case
1446,1446,noun.communication,studies
1448,1448,verb.cognition,chosen
1450,1450,verb.communication,interviewed
1455,1455,noun.communication,names
1458,1458,verb.change,changed
1460,1460,verb.competition,protect
1462,1462,noun.state,confidentiality
1465,1465,noun.person,interviewees
1469,1471,noun.communication,thank - you
1475,1476,verb.social,took part
1480,1480,noun.communication,BOOK
1481,1481,noun.communication,CHAPTER
1490,1492,noun.group,JUNO DAWSON LESSON
1496,1496,noun.person,men
1498,1498,noun.person,men
1502,1502,noun.person,women
1504,1504,noun.person,women
1508,1508,noun.person,women
1510,1510,noun.person,men
1512,1512,noun.person,women
1516,1516,noun.person,men
1518,1518,noun.person,women
1520,1520,noun.person,men
1524,1524,noun.group,people
1533,1533,noun.person,man
1535,1535,verb.emotion,want
1537,1537,verb.stative,be
1539,1539,noun.person,woman
1544,1544,noun.person,woman
1546,1546,verb.emotion,want
1548,1548,verb.stative,be
1550,1550,noun.person,man
1554,1554,noun.group,people
1557,1558,verb.cognition,identify as
1560,1560,noun.person,man
1564,1564,noun.person,woman
1571,1571,verb.stative,is
1577,1577,verb.change,end
1579,1579,noun.communication,lesson
1586,1586,verb.cognition,think
1589,1589,noun.communication,pages
1591,1591,verb.stative,make
1595,1595,noun.communication,book
1599,1599,verb.communication,suppose
1602,1603,verb.communication,go into
1607,1607,noun.communication,depth
1621,1621,noun.communication,joke
1635,1635,noun.person,guy
1641,1641,noun.person,person
1643,1643,verb.possession,receive
1645,1646,noun.communication,membership card
1648,1648,noun.communication,instruction
1649,1649,noun.communication,manual
1655,1655,noun.communication,MANUAL
1658,1658,verb.stative,’re
1663,1663,verb.stative,is
1665,1665,noun.communication,manual
1674,1675,noun.state,sexual preference
1678,1678,noun.communication,BOOK
1682,1682,noun.group,School
1684,1684,verb.possession,has
1686,1686,verb.communication,taught
1696,1696,verb.stative,be
1706,1706,noun.communication,questioning
1711,1711,verb.perception,heard
1715,1715,noun.group,people
1717,1717,verb.perception,seen
1721,1721,noun.group,couples
1723,1723,noun.communication,TV
1728,1728,verb.cognition,know
1730,1731,noun.person,LGBTQ+ person
1736,1736,verb.stative,are
1746,1746,noun.act,invasion
1750,1750,verb.stative,are
1756,1756,verb.social,serve
1760,1761,noun.artifact,post office
1764,1764,verb.communication,teach
1766,1766,noun.communication,math
1769,1769,verb.creation,make
1771,1771,noun.food,hamburgers
1778,1778,verb.communication,teach
1784,1784,noun.group,couples
1787,1787,verb.communication,teach
1788,1788,noun.act,sex
1796,1796,noun.group,people
1797,1797,verb.cognition,choose
1799,1799,noun.communication,gender
1804,1804,verb.stative,was
1818,1818,noun.person,teacher
1821,1821,noun.location,UK
1824,1825,noun.time,long time
1830,1830,verb.communication,taught
1832,1832,noun.person,students
1835,1835,noun.cognition,things
1840,1840,noun.group,schools
1846,1846,noun.person,teachers
1847,1847,verb.cognition,know
1853,1853,noun.act,training
1858,1858,verb.stative,’m
1862,1862,verb.perception,surveyed
1864,1864,noun.group,group
1874,1874,noun.group,people
1880,1880,noun.relation,percent
1883,1883,verb.communication,said
1885,1885,noun.group,school
1886,1886,verb.communication,taught
1891,1891,noun.act,sex
1894,1894,noun.relation,part
1896,1896,noun.act,sex
1897,1897,noun.cognition,education
1899,1899,noun.act,Sex
1901,1901,noun.person,men
1903,1903,noun.person,women
1906,1906,verb.communication,presented
1910,1910,noun.relation,norm
1914,1914,noun.state,lack
1916,1916,noun.cognition,education
1917,1917,verb.stative,means
1919,1919,noun.quantity,loads
1922,1922,noun.group,people
1933,1933,noun.group,cis
1935,1935,verb.possession,have
1936,1936,noun.quantity,oodles
1938,1938,noun.communication,questions
1945,1945,verb.stative,be
1946,1946,noun.person,LGBTQ+
1949,1949,noun.communication,book
1950,1950,verb.possession,has
1954,1954,noun.communication,answers
1958,1958,verb.cognition,think
1961,1961,verb.stative,be
1962,1962,noun.person,LGBTQ+
1965,1965,verb.cognition,think
1970,1970,verb.possession,have
1971,1971,noun.communication,questions
1980,1980,noun.communication,book
1981,1981,verb.stative,is
1986,1986,noun.attribute,sexuality
1988,1988,noun.communication,gender
1989,1989,verb.stative,are
1993,1993,noun.cognition,things
1999,1999,verb.stative,were
2002,2002,noun.group,bunch
2004,2004,noun.group,people
2007,2007,verb.stative,been
2013,2013,verb.communication,mentor
2019,2019,noun.artifact,patch
2022,2022,noun.cognition,awareness
2027,2027,noun.communication,gender
2028,2028,noun.attribute,identity
2029,2029,verb.stative,is
2035,2035,verb.stative,be
2050,2050,noun.event,time
2056,2057,verb.change,come out
2060,2060,verb.communication,tell
2061,2061,noun.group,people
2064,2064,noun.attribute,identity
2067,2067,verb.stative,’s
2072,2072,noun.cognition,brain
2073,2073,verb.social,trying
2075,2075,verb.cognition,figure
2083,2083,verb.stative,be
2086,2086,noun.event,time
2089,2089,verb.stative,accompanied
2092,2092,noun.communication,music
2096,2096,noun.body,eyeliner
2100,2100,noun.cognition,experience
2105,2106,noun.person,white man
2115,2116,noun.person,white woman
2117,2117,verb.stative,is
2123,2123,noun.person,man
2126,2126,noun.person,woman
