COREF,start_token,end_token,prop,cat,text
3,4,4,PROP,PER,Jessica
4,11,14,PROP,PER,Shelagh McNicholas DIAL BOOKS
1,24,24,PROP,GPE,USA
0,30,30,PRON,PER,I
0,38,38,PRON,PER,I
0,42,42,PRON,PER,my
0,50,50,PRON,PER,My
0,58,58,PRON,PER,my
0,70,70,PRON,PER,my
0,92,92,PRON,PER,I
10,94,96,NOM,PER,a pop star
0,102,102,PRON,PER,I
0,107,107,PRON,PER,I
0,117,117,PRON,PER,My
11,117,119,NOM,PER,My best friends
5,121,121,PROP,PER,Samantha
6,123,123,PROP,PER,Casey
12,125,125,PRON,PER,We
12,131,131,PRON,PER,We
0,145,145,PRON,PER,I
5,150,150,PROP,PER,Samantha
6,152,152,PROP,PER,Casey
0,154,154,PRON,PER,I
13,156,157,NOM,PER,a girl
14,160,162,NOM,PER,a boy body
0,169,169,PRON,PER,I
0,176,176,PRON,PER,I
0,182,182,PRON,PER,my
15,182,183,NOM,PER,my mom
0,188,188,PRON,PER,You
64,191,193,NOM,PER,a good boy
0,196,196,PRON,PER,I
65,202,202,NOM,PER,Mama
66,204,205,NOM,PER,Good GIRL
0,210,210,PRON,PER,my
16,210,211,NOM,PER,my family
16,215,215,PRON,PER,They
0,220,220,PRON,PER,me
17,222,223,NOM,PER,a boy
0,226,226,PRON,PER,I
0,232,232,PRON,PER,I
18,237,237,NOM,PER,trucks
19,241,241,NOM,PER,superheroes
20,243,247,NOM,PER,Only princesses and mermaid costumes
0,249,249,PRON,PER,My
21,249,250,NOM,PER,My brothers
0,252,252,PRON,PER,me
0,258,258,PRON,PER,I
0,264,264,PRON,PER,My
22,264,265,NOM,PER,My sister
0,267,267,PRON,PER,I
22,272,272,PRON,PER,her
0,274,274,PRON,PER,my
0,279,279,PRON,PER,my
0,287,287,PRON,PER,I
23,290,292,NOM,PER,a beauuuutiful lady
22,294,294,PRON,PER,She
0,301,301,PRON,PER,You
67,303,305,NOM,PER,a funny kid
0,309,309,PRON,PER,my
24,309,310,NOM,PER,my parents
0,312,312,PRON,PER,me
0,314,314,PRON,PER,my
22,314,315,NOM,PER,my sister
26,319,320,NOM,FAC,the house
27,324,324,PRON,PER,we
0,328,328,PRON,PER,I
0,333,333,PRON,PER,my
0,340,340,PRON,PER,me
0,345,345,PRON,PER,I
24,352,352,PRON,PER,them
0,355,355,PRON,PER,I
17,357,358,NOM,PER,a boy
7,373,373,PROP,PER,Mom
8,375,375,PROP,PER,Dad
0,377,377,PRON,PER,me
29,380,390,NOM,PER,a new doctor who asked me lots and lots of questions
0,385,385,PRON,PER,me
30,394,395,NOM,PER,the doctor
0,398,398,PRON,PER,my
24,398,399,NOM,PER,my parents
0,401,401,PRON,PER,I
0,419,419,PRON,PER,my
24,419,420,NOM,PER,my parents
0,423,423,PRON,PER,me
24,428,428,PRON,PER,We
0,434,434,PRON,PER,you
24,437,437,PRON,PER,We
0,439,439,PRON,PER,you
0,447,447,PRON,PER,me
7,454,454,PROP,PER,Mom
8,456,456,PROP,PER,Dad
0,458,458,PRON,PER,me
0,459,459,PRON,PER,I
33,466,466,NOM,FAC,school
0,470,470,PRON,PER,my
24,474,474,PRON,PER,They
0,477,477,PRON,PER,me
0,479,479,PRON,PER,my
9,482,482,PROP,PER,Jazz
9,485,485,PROP,PER,JAZZ
0,491,491,PRON,PER,ME
7,493,493,PROP,PER,Mom
9,497,497,PROP,PER,Jazz
0,500,500,PRON,PER,me
34,503,507,NOM,PER,the other kids at school
33,507,507,NOM,FAC,school
7,520,520,PRON,PER,she
0,525,525,PRON,PER,I
0,530,530,PRON,PER,I
9,534,534,PROP,PER,Jazz
36,536,538,NOM,PER,some other people
37,545,548,NOM,PER,the teachers at school
33,548,548,NOM,FAC,school
37,556,556,PRON,PER,they
0,558,558,PRON,PER,me
39,561,562,NOM,PER,the boys
40,561,564,NOM,FAC,the boys ’ bathroom
39,569,570,NOM,PER,the boys
42,574,575,NOM,ORG,gym class
0,584,584,PRON,PER,me
0,588,588,PRON,PER,I
43,593,594,NOM,PER,the teachers
43,596,596,PRON,PER,their
0,599,599,PRON,PER,I
6,610,610,PROP,PER,Casey
5,612,612,PROP,PER,Samantha
0,622,622,PRON,PER,me
0,626,626,PRON,PER,me
17,628,629,NOM,PER,a boy
0,634,634,PRON,PER,me
0,639,639,PRON,PER,me
0,644,644,PRON,PER,I
45,647,671,NOM,PER,the kids who get to know me usually want to be my friend . They say I ’m one of the nicest girls at school
0,653,653,PRON,PER,me
0,658,658,PRON,PER,my
46,658,659,NOM,PER,my friend
45,661,661,PRON,PER,They
0,663,663,PRON,PER,I
47,667,671,NOM,PER,the nicest girls at school
33,671,671,NOM,FAC,school
0,673,673,PRON,PER,I
0,684,684,PRON,PER,I
49,691,692,NOM,PER,a person
0,700,700,PRON,PER,I
0,704,704,PRON,PER,I
0,709,709,PRON,PER,I
0,713,713,PRON,PER,I
9,715,715,PROP,PER,Jazz
50,717,729,NOM,PER,END OF BOOK m»munninm TransKids Purple Rainbow Foundation ( “ TKPRF ” )
51,742,746,NOM,PER,children born with Gender Dysphoria
52,759,759,NOM,PER,children
53,767,767,NOM,PER,society
52,771,771,PRON,PER,them
54,773,773,NOM,PER,Families
54,777,777,PRON,PER,their
55,777,778,NOM,PER,their children
55,781,781,PRON,PER,them
2,790,790,PROP,ORG,TKPRF
56,795,796,NOM,PER,trans youth
57,807,808,NOM,FAC,transfriendly camps
58,816,817,NOM,PER,homeless youth
59,824,827,NOM,ORG,other trans youth organizations
9,829,829,PROP,PER,Jazz
60,831,837,NOM,PER,an honorary co - founder of TKPRF
53,841,841,NOM,PER,society
62,850,852,NOM,ORG,"schools , universities"
63,854,855,NOM,ORG,medical schools
