start_token,end_token,supersense_category,text
2,2,noun.communication,Jazz
7,8,noun.group,Jazz Jennings
9,9,noun.communication,pictures
11,17,noun.group,Shelagh McNicholas DIAL BOOKS FOR YOUNG READERS
19,19,noun.cognition,imprint
21,22,noun.group,Penguin Group
24,24,noun.location,USA
26,29,noun.group,LLC START OF BOOK
31,31,verb.stative,am
40,40,verb.cognition,remember
44,44,noun.attribute,color
46,46,verb.stative,been
54,54,noun.attribute,color
55,55,verb.stative,is
56,56,noun.substance,silver
62,62,noun.attribute,color
63,63,verb.stative,is
64,64,noun.attribute,green
67,67,verb.stative,are
73,73,noun.attribute,things
75,75,noun.act,dancing
77,77,noun.act,singing
80,80,noun.act,flips
82,82,noun.act,drawing
84,84,noun.act,soccer
86,86,noun.act,swimming
88,88,noun.artifact,makeup
91,91,verb.creation,pretending
93,93,verb.stative,’m
95,96,noun.person,pop star
103,103,verb.emotion,love
104,104,noun.animal,mermaids
109,109,verb.body,wear
111,112,noun.artifact,mermaid tail
115,115,noun.artifact,pool
119,119,noun.person,friends
120,120,verb.stative,are
121,121,noun.person,Samantha
123,123,noun.person,Casey
127,127,verb.possession,have
128,128,noun.act,fun
132,132,verb.emotion,like
133,134,noun.artifact,high heels
136,137,noun.artifact,princess gowns
140,140,noun.artifact,cartwheels
142,142,noun.artifact,trampolines
150,150,noun.person,Samantha
152,152,noun.person,Casey
155,155,verb.possession,have
157,157,noun.person,girl
158,158,noun.cognition,brain
161,161,noun.person,boy
162,162,noun.body,body
166,166,verb.communication,called
177,177,verb.stative,was
183,183,noun.person,mom
185,185,verb.communication,say
193,193,noun.person,boy
200,200,noun.communication,No
202,202,noun.person,Mama
211,211,noun.group,family
212,212,verb.stative,was
218,219,verb.cognition,thought of
223,223,noun.person,boy
227,227,verb.change,got
235,235,verb.competition,played
237,237,noun.artifact,trucks
239,239,noun.artifact,tools
241,241,noun.person,superheroes
244,244,noun.person,princesses
246,246,noun.animal,mermaid
247,247,noun.artifact,costumes
250,250,noun.person,brothers
251,251,verb.communication,told
254,254,verb.stative,was
255,255,noun.person,girl
256,256,noun.communication,stuff
259,259,verb.stative,kept
262,262,verb.competition,playing
265,265,noun.person,sister
266,266,verb.communication,says
270,270,verb.communication,talking
275,275,noun.person,girl
276,276,noun.cognition,thoughts
280,280,noun.person,girl
281,281,noun.cognition,dreams
286,286,noun.time,day
289,289,verb.stative,be
292,292,noun.person,lady
296,296,verb.body,giggle
298,298,verb.communication,say
302,302,verb.stative,’re
305,305,noun.person,kid
310,310,noun.person,parents
311,311,verb.social,let
313,313,verb.body,wear
315,315,noun.person,sister
317,317,noun.artifact,dresses
320,320,noun.artifact,house
325,326,verb.motion,went out
331,332,verb.body,put on
334,334,noun.person,boy
335,335,noun.artifact,clothes
339,339,verb.change,made
347,348,verb.competition,gave up
349,349,verb.cognition,trying
351,351,verb.communication,convince
