COREF,start_token,end_token,prop,cat,text
103,6,7,PROP,PER,SUSAN KUKLIN
1,8,9,PROP,FAC,Candlewick Press
103,14,15,PROP,PER,Susan Kuklin
242,20,21,NOM,PER,the author
243,25,25,NOM,PER,interviewees
244,25,28,NOM,PER,interviewees ’ family members
104,37,37,PROP,PER,Luke
105,48,49,PROP,PER,Callen Harty
245,101,102,NOM,PER,the publisher
2,157,157,PROP,GPE,Dongguan
3,159,159,PROP,GPE,China
4,170,172,PROP,FAC,Dover Street Somerville
5,174,174,PROP,GPE,Massachusetts
246,177,177,PRON,PER,us
106,193,193,PROP,PER,JESSY
6,195,199,PROP,FAC,The House of My Soul
0,198,198,PRON,PER,My
107,201,201,PROP,PER,CHRISTINA
108,208,208,PROP,PER,MARIAH
7,210,214,PROP,FAC,The Real Deal 73 CAMERON
109,218,218,PROP,PER,NAT
104,225,225,PROP,PER,LUKE
8,238,260,PROP,FAC,THE CALLEN - LORDE COMMUNITY HEALTH CENTER Q & A WITH DR . MANEL SILVA 170 ABOUT PROUD THEATER 175 GLOSSARY 177 RESOURCES
247,270,270,PRON,PER,you
248,277,278,NOM,PER,real people
249,280,286,NOM,PER,members of the trans and nonbinary communities
250,285,286,NOM,ORG,nonbinary communities
248,288,288,PRON,PER,Their
251,299,299,NOM,PER,others
248,302,302,PRON,PER,themselves
248,304,304,PRON,PER,their
252,317,320,NOM,PER,Most of the participants
253,319,320,NOM,PER,the participants
252,323,323,PRON,PER,their
0,330,330,PRON,PER,I
248,333,333,PRON,PER,them
0,335,335,PRON,PER,I
248,337,337,PRON,PER,their
248,346,346,PRON,PER,their
0,349,349,PRON,PER,My
247,373,373,PRON,PER,you
0,378,378,PRON,PER,I
247,385,385,PRON,PER,you
103,388,389,PROP,PER,Susan Kuklin
0,398,398,PRON,PER,My
254,398,399,NOM,PER,My Soul
106,401,401,PROP,PER,Jessy
255,403,403,PRON,PER,his
255,406,406,PRON,PER,he
255,410,410,PRON,PER,He
255,422,422,PRON,PER,my
255,429,429,PRON,PER,I
255,432,432,PRON,PER,my
2415,432,433,NOM,PER,my mom
255,444,444,PRON,PER,I
2416,445,446,NOM,PER,a woman
255,448,448,PRON,PER,I
255,454,454,PRON,PER,I
2417,462,463,NOM,PER,a child
255,465,465,PRON,PER,I
2418,467,467,NOM,PER,kids
255,470,470,PRON,PER,I
2419,476,479,NOM,PER,the one giving birth
255,481,481,PRON,PER,I
110,487,487,PROP,PER,Mom
255,489,489,PRON,PER,I
256,498,498,PRON,PER,You
0,500,500,PRON,PER,I
0,505,505,PRON,PER,she
257,509,510,NOM,PER,Every woman
256,519,519,PRON,PER,you
2416,520,521,NOM,PER,a woman
0,526,526,PRON,PER,I
111,534,534,PROP,PER,God
2420,537,537,PRON,PER,we
0,542,542,PRON,PER,I
2421,545,554,NOM,PER,"a person who said , “ I hate my body"
2421,551,551,PRON,PER,I
2421,553,553,PRON,PER,my
0,557,557,PRON,PER,I
0,566,566,PRON,PER,I
0,570,570,PRON,PER,I
0,575,575,PRON,PER,my
259,582,586,NOM,FAC,the house of my soul
0,585,585,PRON,PER,my
0,588,588,PRON,PER,I
0,592,592,PRON,PER,my
0,597,597,PRON,PER,I
0,606,606,PRON,PER,I
0,609,609,PRON,PER,I
260,617,618,NOM,PER,No one
0,626,626,PRON,PER,me
0,628,628,PRON,PER,I
0,635,635,PRON,PER,my
261,635,636,NOM,PER,my peers
0,638,638,PRON,PER,I
0,643,643,PRON,PER,I
0,649,649,PRON,PER,I
0,658,658,PRON,PER,I
262,662,662,NOM,PER,people
0,667,667,PRON,PER,I
0,670,670,PRON,PER,My
0,679,679,PRON,PER,I
0,686,686,PRON,PER,I
0,708,708,PRON,PER,I
0,714,714,PRON,PER,I
0,719,719,PRON,PER,I
0,728,728,PRON,PER,I
263,731,732,NOM,PER,honors band
0,735,735,PRON,PER,I
264,741,741,NOM,PER,Everyone
0,750,750,PRON,PER,I
0,756,756,PRON,PER,I
265,758,767,NOM,PER,"the funny , loud , happy person in the room"
266,766,767,NOM,FAC,the room
0,769,769,PRON,PER,I
267,771,777,NOM,PER,"the one making jokes , playing pranks"
0,780,780,PRON,PER,my
268,780,781,NOM,PER,my advisor
0,784,784,PRON,PER,my
269,784,785,NOM,PER,my friends
0,787,787,PRON,PER,My
9,791,791,PROP,LOC,Kamolchanok
0,799,799,PRON,PER,I
10,801,801,PROP,GPE,Thai
0,803,803,PRON,PER,I
11,806,806,PROP,GPE,Bangkok
0,809,809,PRON,PER,I
270,812,813,NOM,GPE,the U.S.
0,815,815,PRON,PER,my
271,815,816,NOM,PER,my parents
271,818,818,PRON,PER,they
260,822,823,NOM,PER,No one
0,829,829,PRON,PER,your
0,838,838,PRON,PER,you
112,839,839,PROP,PER,Jessica
0,842,842,PRON,PER,I
0,848,848,PRON,PER,I
0,852,852,PRON,PER,I
