COREF,start_token,end_token,prop,cat,text
97,3,3,PROP,PER,ALICE
1,5,19,PROP,FAC,"IQUARI FISH An imprint of Macmillan Publishing Group , LLC 175 Fifth Avenue New York"
2,10,12,PROP,ORG,Macmillan Publishing Group
3,16,18,PROP,FAC,Fifth Avenue New
4,19,19,PROP,GPE,York
97,27,27,PROP,PER,ALICE
95,33,34,PROP,PER,Jennifer Mathieu
5,42,46,PROP,GPE,the United States of America
6,51,51,PROP,GPE,Harrisonburg
7,53,53,PROP,GPE,Virginia
8,55,56,PROP,FAC,Square Fish
96,65,65,PROP,PER,Macmillan
9,70,72,PROP,FAC,Roaring Brook Press
96,76,76,PROP,GPE,Macmillan
11,121,123,PROP,ORG,Library of Congress
95,132,132,PROP,PER,Jennifer
97,137,137,PROP,PER,Alice
0,138,138,PRON,PER,I
95,139,140,PROP,PER,Jennifer Mathieu
97,153,154,PROP,PER,Alice Franklin
1496,157,167,NOM,PER,one of the guys she allegedly slept with at a party
1497,159,167,NOM,PER,the guys she allegedly slept with at a party
97,161,161,PRON,PER,she
97,179,179,PRON,PER,her
217,183,183,NOM,PER,publisher
12,243,245,PROP,GPE,the United States
13,247,252,PROP,FAC,Roaring Brook Press First Square Fish
14,259,263,PROP,FAC,Elizabeth H. Clark Square Fish
15,267,268,PROP,FAC,Filomena Tuosto
218,284,290,NOM,PER,all the Alice Franklins START OF BOOK
0,292,292,PRON,PER,I
16,294,295,PROP,ORG,ELAINE O'DEA
219,301,301,PRON,PER,YOU
97,312,313,PROP,PER,Alice Franklin
220,316,317,NOM,PER,two guys
0,327,327,PRON,PER,MY
221,327,328,NOM,FAC,MY HOUSE
97,341,341,PRON,PER,She
97,353,353,PRON,PER,she
222,356,358,NOM,PER,the other one
223,363,363,NOM,PER,everybody
98,383,384,PROP,PER,Brandon Fitzsimmons
224,388,402,NOM,PER,crazy super popular and gorgeous and who yours truly messed around with more than once
97,414,414,PROP,PER,Alice
225,418,421,NOM,PER,The other guy Alice
226,425,427,NOM,PER,this college guy
99,429,430,PROP,PER,Tommy Cray
17,437,438,PROP,FAC,Healy High
0,440,440,PRON,PER,I
18,444,444,PROP,GPE,Healy
98,450,450,PROP,PER,Brandon
0,458,458,PRON,PER,I
219,462,462,PRON,PER,you
97,464,464,PROP,PER,Alice
97,471,472,PROP,PER,Alice Franklin
227,487,525,NOM,PER,a girl who takes really super good Chem notes or volunteers at the Healy Senior Center on Friday nights passing out punch and cookies or whatever it is they do at the Healy Senior Center on a Friday night
228,499,502,NOM,FAC,the Healy Senior Center
229,515,515,PRON,PER,they
228,518,521,NOM,FAC,the Healy Senior Center
231,529,530,NOM,PER,old people
97,532,532,PROP,PER,Alice
0,550,550,PRON,PER,I
0,556,556,PRON,PER,my
97,577,578,PROP,PER,Alice Franklin
97,584,585,PROP,PER,Alice Franklin
232,587,588,NOM,PER,a slut
97,590,590,PRON,PER,She
97,600,600,PRON,PER,her
97,607,607,PRON,PER,She
0,620,620,PRON,PER,I
97,623,623,PRON,PER,she
97,630,630,PRON,PER,She
97,636,636,PRON,PER,her
97,640,640,PRON,PER,her
233,640,641,NOM,PER,her mom
97,643,643,PRON,PER,her
97,649,649,PRON,PER,her
0,651,651,PRON,PER,mine
0,657,657,PRON,PER,I
97,664,664,PROP,PER,Alice
234,664,666,NOM,PER,Alice ’s mom
235,673,675,NOM,GPE,the entire town
234,677,677,PRON,PER,her
236,677,678,NOM,PER,her daughter
237,680,682,NOM,PER,a total ho
0,684,684,PRON,PER,I
97,689,689,PROP,PER,Alice
238,689,691,NOM,PER,Alice ’s dad
97,695,695,PROP,PER,Alice
239,699,700,NOM,PER,a dad
0,705,705,PRON,PER,I
97,708,708,PRON,PER,her
97,714,714,PROP,PER,Alice
97,728,728,PRON,PER,she
240,732,737,NOM,PER,those girls with naturally full lips
97,739,739,PRON,PER,She
97,753,753,PRON,PER,Her
97,760,760,PRON,PER,She
97,769,769,PRON,PER,she
0,778,778,PRON,PER,I
97,780,780,PRON,PER,she
97,791,791,PRON,PER,she
241,797,797,NOM,FAC,school
97,802,802,PRON,PER,she
97,811,811,PRON,PER,She
97,823,823,PRON,PER,her
97,827,827,PRON,PER,she
97,840,840,PRON,PER,her
19,847,847,PROP,GPE,February
97,857,857,PRON,PER,she
97,862,862,PRON,PER,she
97,868,868,PRON,PER,she
241,871,871,NOM,FAC,school
97,878,878,PRON,PER,she
97,897,897,PRON,PER,She
0,906,906,PRON,PER,I
97,910,910,PRON,PER,She
0,919,919,PRON,PER,me
0,921,921,PRON,PER,I
97,937,937,PRON,PER,she
243,942,960,NOM,PER,that freak show Kurt Morelli who has an IQ of 540 and never talks to anyone except the teachers
100,945,946,PROP,PER,Kurt Morelli
244,957,957,NOM,PER,anyone
245,959,960,NOM,PER,the teachers
246,963,963,PRON,PER,you
247,969,971,NOM,FAC,an apartment building
248,973,975,NOM,PER,somebody like me
0,975,975,PRON,PER,me
249,982,983,NOM,FAC,the penthouse
250,985,987,NOM,PER,the band geeks
251,994,995,NOM,FAC,the basement
100,1001,1002,PROP,PER,Kurt Morelli
252,1007,1008,NOM,FAC,the building
0,1013,1013,PRON,PER,I
97,1015,1016,PROP,PER,Alice Franklin
97,1021,1021,PRON,PER,her
97,1038,1038,PRON,PER,she
0,1045,1045,PRON,PER,my
246,1048,1048,PRON,PER,You
97,1056,1056,PROP,PER,Alice
220,1059,1060,NOM,PER,two guys
98,1062,1062,PROP,PER,Brandon
18,1077,1077,PROP,GPE,Healy
0,1086,1086,PRON,PER,I
254,1093,1099,NOM,PER,the kids who go to Healy High
17,1098,1099,PROP,FAC,Healy High
0,1102,1102,PRON,PER,I
255,1107,1107,NOM,PER,everyone
246,1109,1109,PRON,PER,You
256,1114,1116,NOM,LOC,this whole world
257,1121,1121,NOM,PER,teenagers
258,1124,1124,NOM,PER,adults
0,1133,1133,PRON,PER,I
259,1136,1137,NOM,PER,the adults
259,1145,1145,PRON,PER,they
259,1148,1148,PRON,PER,they
259,1167,1167,PRON,PER,they
246,1174,1174,PRON,PER,you
246,1183,1183,PRON,PER,you
97,1194,1194,PROP,PER,Alice
220,1197,1198,NOM,PER,two guys
98,1201,1201,PROP,PER,Brandon
18,1211,1211,PROP,GPE,Healy
261,1213,1213,NOM,PER,Moms
262,1219,1220,NOM,PER,other moms
20,1225,1226,PROP,ORG,Healy Boosters
261,1228,1228,PRON,PER,they
261,1231,1231,PRON,PER,their
263,1231,1232,NOM,PER,their daughters
261,1237,1237,PRON,PER,they
97,1241,1241,PROP,PER,Alice
234,1241,1243,NOM,PER,Alice ’s mom
265,1245,1247,NOM,FAC,the grocery store
261,1256,1256,PRON,PER,I
234,1261,1261,PRON,PER,you
234,1263,1263,PRON,PER,you
1498,1263,1267,NOM,PER,"you terrible , terrible mother"
1499,1266,1267,NOM,PER,terrible mother
0,1271,1271,PRON,PER,I
0,1275,1275,PRON,PER,my
266,1275,1276,NOM,PER,my mother
97,1286,1286,PROP,PER,Alice
267,1286,1288,NOM,PER,Alice ’s mother
266,1301,1301,PRON,PER,she
0,1321,1321,PRON,PER,my
266,1321,1322,NOM,PER,my mother
98,1333,1333,PROP,PER,Brandon
98,1339,1339,PRON,PER,he
98,1341,1342,PROP,PER,Brandon Fitzsimmons
18,1346,1346,PROP,GPE,Healy
21,1348,1348,PROP,GPE,Texas
223,1357,1357,NOM,PER,everybody
98,1359,1359,PRON,PER,him
270,1361,1362,NOM,PER,The dads
20,1372,1373,PROP,ORG,Healy Boosters
22,1378,1380,PROP,FAC,the Auto Zone
270,1383,1383,PRON,PER,they
270,1385,1385,PRON,PER,their
98,1396,1397,PROP,PER,Brandon Fitzsimmons
0,1414,1414,PRON,PER,I
0,1418,1418,PRON,PER,my
271,1418,1419,NOM,PER,my father
97,1434,1436,PROP,PER,Alice Franklin Slut
271,1439,1439,PRON,PER,he
17,1449,1449,PROP,PER,Healy
271,1459,1459,PRON,PER,he
102,1462,1463,PROP,PER,the Tigers
18,1476,1476,PROP,GPE,Healy
18,1479,1479,PROP,GPE,Healy
18,1484,1484,PRON,FAC,It
272,1487,1499,NOM,LOC,the kind of place that is just far enough away from the city
273,1498,1499,NOM,GPE,the city
18,1501,1501,PRON,FAC,it
274,1507,1508,NOM,GPE,a suburb
18,1511,1511,PRON,GPE,it
275,1523,1525,NOM,GPE,a small town
276,1529,1531,NOM,FAC,two grocery stores
277,1533,1534,NOM,FAC,three drugstores
278,1540,1546,NOM,FAC,five billion churches located in strip malls
279,1545,1546,NOM,FAC,strip malls
280,1548,1550,NOM,FAC,The movie theater
281,1559,1559,PRON,PER,you
281,1576,1576,PRON,PER,you
282,1590,1594,NOM,FAC,the Healy High parking lot
283,1599,1599,NOM,PER,people
284,1603,1603,NOM,PER,someone
285,1603,1605,NOM,PER,someone ’s parents
286,1609,1609,NOM,GPE,town
281,1611,1611,PRON,PER,you
287,1617,1618,NOM,PER,Most people
287,1630,1630,PRON,PER,they
18,1641,1641,PROP,GPE,Healy
0,1650,1650,PRON,PER,I
288,1657,1659,NOM,FAC,the biggest store
289,1661,1662,NOM,FAC,a Walmart
290,1664,1664,PRON,PER,we
291,1676,1678,NOM,FAC,a real mall
0,1683,1683,PRON,PER,I
288,1685,1685,PRON,FAC,it
0,1687,1687,PRON,PER,I
0,1695,1695,PRON,PER,I
0,1699,1699,PRON,PER,I
292,1703,1707,NOM,FAC,almost any store in town
286,1707,1707,NOM,GPE,town
283,1709,1709,NOM,PER,people
0,1711,1711,PRON,PER,me
0,1715,1715,PRON,PER,me
283,1718,1718,PRON,PER,they
0,1720,1720,PRON,PER,me
0,1722,1722,PRON,PER,my
295,1722,1723,NOM,PER,my mom
296,1725,1725,NOM,PER,dad
283,1727,1727,PRON,PER,they
0,1729,1729,PRON,PER,me
0,1731,1731,PRON,PER,I
0,1745,1745,PRON,PER,I
0,1760,1760,PRON,PER,I
18,1762,1762,PROP,GPE,Healy
0,1775,1775,PRON,PER,I
297,1783,1787,NOM,PER,everyone else at Healy High
17,1786,1787,PROP,FAC,Healy High
0,1794,1794,PRON,PER,my
