start_token,end_token,supersense_category,text
1,1,noun.cognition,TRUTH
3,6,noun.group,ALICE w IQUARI FISH
8,8,noun.cognition,imprint
10,12,noun.group,Macmillan Publishing Group
16,19,noun.location,Fifth Avenue New York
21,21,noun.location,NY
43,44,noun.location,United States
46,46,noun.location,America
48,49,noun.group,LSC Communications
51,51,noun.location,Harrisonburg
53,53,noun.location,Virginia
55,56,noun.group,Square Fish
61,61,noun.communication,logo
62,62,verb.stative,are
63,63,noun.communication,trademarks
68,68,verb.consumption,used
70,72,noun.group,Roaring Brook Press
74,74,noun.communication,license
76,76,noun.communication,Macmillan
78,79,noun.group,Square Fish
80,80,noun.communication,books
83,83,verb.possession,purchased
85,85,noun.act,business
88,88,noun.act,use
91,91,noun.communication,information
93,93,noun.communication,bulk
94,94,noun.act,purchases
97,97,verb.communication,contact
99,100,noun.group,Macmillan Corporate
102,104,noun.group,Premium Sales Department
117,117,noun.communication,mail
121,124,noun.group,Library of Congress Cataloging
128,130,noun.group,Publication Data Mathieu
132,132,noun.person,Jennifer
135,135,noun.communication,truth
137,140,noun.person,Alice I Jennifer Mathieu
144,144,noun.communication,Summary
149,149,noun.communication,rumors
151,151,noun.communication,lies
153,154,noun.person,Alice Franklin
155,155,verb.change,start
160,160,noun.person,guys
163,163,verb.body,slept
167,167,noun.event,party
168,168,verb.change,dies
171,171,noun.artifact,car
172,172,noun.event,accident
174,174,noun.communication,questions
176,176,noun.communication,truth
177,177,verb.stative,arise
183,183,noun.group,publisher
196,196,noun.communication,paperback
210,210,noun.communication,ebook
215,215,noun.communication,Rumor
217,217,noun.communication,Fiction
221,221,noun.cognition,Truth
223,223,noun.communication,Fiction
227,227,noun.act,Bullying
229,229,noun.communication,Fiction
241,241,verb.creation,published
244,245,noun.location,United States
247,253,noun.group,Roaring Brook Press First Square Fish Edition
256,256,noun.artifact,Book
257,257,verb.creation,designed
259,263,noun.person,Elizabeth H. Clark Square Fish
264,264,noun.communication,logo
265,265,verb.creation,designed
267,268,noun.person,Filomena Tuosto
287,291,noun.group,Franklins START OF BOOK Elaine
294,295,noun.group,ELAINE O'DEA
308,308,noun.communication,truths
312,313,noun.person,Alice Franklin
314,314,verb.body,slept
317,317,noun.person,guys
322,322,noun.time,night
325,325,noun.artifact,bed
331,331,noun.time,summer
336,336,noun.event,start
339,339,noun.time,year
342,342,verb.consumption,slept
350,350,noun.time,minutes
354,354,verb.body,slept
364,364,verb.cognition,knows
371,371,noun.time,weeks
376,376,noun.time,Homecoming
381,381,noun.person,guys
383,384,noun.person,Brandon Fitzsimmons
387,387,verb.stative,was
397,398,verb.social,messed around
404,404,verb.change,died
407,407,noun.artifact,car
408,408,noun.event,accident
412,412,verb.stative,was
414,414,noun.person,Alice
416,416,noun.act,fault
420,420,noun.person,guy
421,421,noun.person,Alice
422,422,verb.body,slept
424,424,verb.stative,was
426,426,noun.group,college
427,427,noun.person,guy
429,430,noun.person,Tommy Cray
435,436,verb.motion,go to
437,438,noun.location,Healy High
442,443,verb.motion,get to
444,444,noun.location,Healy
447,447,noun.time,minute
450,450,noun.person,Brandon
451,451,verb.change,dying
461,461,verb.communication,tell
464,464,noun.person,Alice
471,472,noun.person,Alice Franklin
475,475,verb.perception,sound
479,479,noun.communication,name
482,482,verb.perception,sounds
485,485,noun.communication,name
488,488,noun.person,girl
