COREF,start_token,end_token,prop,cat,text
1,2,2,PROP,GPE,YOLO
246,17,18,NOM,PER,teen girls
247,42,46,NOM,PER,those going off to college
2,57,57,PROP,GPE,York
3,61,63,PROP,GPE,San Francisco Chronicle
4,70,72,PROP,FAC,School Library Journal
248,84,84,NOM,PER,teens
248,89,89,PRON,PER,their
249,89,90,NOM,PER,their friends
84,109,110,PROP,PER,LAUREN MYRACLE
5,121,121,PROP,GPE,Us
250,128,128,PRON,PER,Ya
85,148,152,PROP,PER,Baby Ducks Let It Snow
86,159,160,PROP,PER,John Green
87,162,163,PROP,PER,Maureen Johnson
88,171,172,PROP,PER,E. Lockhart
89,174,175,PROP,PER,Sarah Mlynowski
6,180,181,PROP,GPE,NEW YORK
251,206,207,NOM,PER,the author
252,219,220,NOM,PER,actual persons
7,237,240,PROP,FAC,The Library of Congress
84,252,252,PROP,PER,Myracle
84,254,254,PROP,GPE,Lauren
9,258,261,PROP,FAC,Yolo I Lauren Myracle
253,267,268,NOM,PER,Internet girls
254,308,309,NOM,PER,Best friends
255,328,328,NOM,GPE,Colleges
256,342,342,PRON,PER,You
84,370,371,PROP,PER,Lauren Myracle
90,375,377,PROP,PER,Maria T. Middleton
257,388,391,NOM,PER,an imprint of ABRAMS
91,391,391,PROP,PER,ABRAMS
258,446,447,NOM,PER,the publisher
10,458,460,PROP,ORG,Harry N. Abrams
11,521,523,PROP,FAC,West 18th Street
6,524,525,PROP,GPE,New York
259,542,543,NOM,PER,mad maddie
92,547,547,PROP,PER,ANGELA
259,549,549,PRON,PER,I'VE
259,559,560,NOM,PER,mad maddie
0,563,563,PRON,PER,I
0,565,565,PRON,PER,my
92,570,570,PROP,PER,SnowAngel
92,572,572,PROP,PER,SnowAngel
259,574,575,NOM,PER,mad maddie
93,577,577,PROP,PER,Maddie
0,579,579,PRON,PER,my
262,579,581,NOM,PER,my Cali girl
12,586,588,PROP,GPE,UC Santa Cruz
262,590,590,PRON,PER,you
263,594,594,NOM,PER,girl
0,596,596,PRON,PER,I
262,599,599,PRON,PER,you
262,608,608,PRON,PER,you
0,610,610,PRON,PER,me
13,622,622,PROP,GPE,California
264,624,626,NOM,GPE,SO FRICKIN GORGEOUS
259,628,629,NOM,PER,mad maddie
266,637,638,NOM,LOC,the forest
0,649,649,PRON,PER,I
92,653,653,PROP,PER,SnowAngel
267,655,655,PRON,PER,we
14,663,663,PROP,GPE,Georgia
267,672,672,PRON,PER,we
259,675,676,NOM,PER,mad maddie
269,687,688,NOM,PER,the students
270,697,699,NOM,PER,all California kids
0,705,705,PRON,PER,I
0,710,710,PRON,PER,my
92,714,714,PROP,PER,SnowAngel
259,716,717,NOM,PER,mad maddie
92,728,728,PROP,PER,SnowAngel
262,741,741,PRON,PER,you
0,744,744,PRON,PER,I
15,748,748,PROP,GPE,UGA
94,756,756,PROP,PER,Zoe
16,760,760,PROP,GPE,Kenyon
92,775,775,PROP,PER,Angela
0,777,777,PRON,PER,I
262,786,786,PRON,PER,you
0,788,788,PRON,PER,I
262,802,802,PRON,PER,you
0,804,804,PRON,PER,I
17,809,809,PROP,GPE,Atlanta
0,812,812,PRON,PER,MY
272,812,813,NOM,PER,MY PARENTS
273,812,815,NOM,FAC,MY PARENTS ' HOUSE
0,818,818,PRON,PER,MY
272,818,819,NOM,PER,MY PARENTS
272,826,826,PRON,PER,THEY
262,838,838,PRON,PER,you
95,840,840,PROP,PER,Z
262,847,847,PRON,PER,your
92,852,852,PROP,PER,SnowAngel
0,858,858,PRON,PER,I
275,861,862,NOM,PER,yr parents
92,876,876,PROP,PER,SnowAngel
92,881,881,PROP,PER,SnowAngel
259,883,884,NOM,PER,mad maddie
92,886,886,PROP,PER,SnowAngel
259,888,889,NOM,PER,mad maddie
259,891,892,NOM,PER,mad maddie
259,894,895,NOM,PER,mad maddie
92,897,897,PROP,PER,SnowAngel
92,899,899,PROP,PER,SnowAngel
259,901,902,NOM,PER,mad maddie
262,907,907,PRON,PER,you
94,917,917,PROP,PER,Zoe
0,919,919,PRON,PER,I
262,927,927,PRON,PER,you
281,930,932,NOM,PER,a wee freshman
93,936,937,PROP,PER,wee Maddie
93,939,939,PRON,PER,her
262,950,950,PRON,PER,you
282,953,957,NOM,PER,yr big girl college beret
262,961,961,PRON,PER,you
0,967,967,PRON,PER,me
13,972,972,PROP,GPE,California
0,982,982,PRON,PER,I
2360,988,998,NOM,PER,"a man who watched episode after episode of "" House Hunters"
283,1001,1001,PRON,PER,his
96,1007,1009,PROP,PER,"House Hunters """
283,1018,1018,PRON,PER,he
284,1021,1022,NOM,VEH,a plane
283,1030,1030,PRON,PER,he
0,1037,1037,PRON,PER,I
283,1044,1044,PRON,PER,him
0,1047,1047,PRON,PER,I
0,1053,1053,PRON,PER,I
285,1057,1061,NOM,PER,one of the flight attendants
286,1059,1061,NOM,PER,the flight attendants
283,1066,1066,PRON,PER,him
287,1069,1071,NOM,PER,none of them
286,1071,1071,PRON,PER,them
0,1078,1078,PRON,PER,I
96,1081,1082,PROP,PER,House Hunters
288,1087,1088,NOM,PER,the couple
288,1093,1093,PRON,PER,they
289,1105,1105,PRON,PER,u
0,1113,1113,PRON,PER,I
290,1115,1115,PRON,PER,you
0,1117,1117,PRON,PER,I
0,1124,1124,PRON,PER,I
0,1129,1129,PRON,PER,my
0,1135,1135,PRON,PER,I
0,1142,1142,PRON,PER,I
290,1148,1148,PRON,PER,you
290,1150,1150,PRON,PER,you
290,1155,1155,PRON,PER,you
291,1178,1186,NOM,PER,the ten - year - old my sister babysits
0,1184,1184,PRON,PER,my
292,1184,1185,NOM,PER,my sister
0,1196,1196,PRON,PER,my
293,1196,1198,NOM,PER,my ‘ grandmother
290,1209,1209,PRON,PER,you
0,1211,1211,PRON,PER,me
94,1213,1213,PROP,PER,Zoe
294,1215,1215,PRON,PER,we
294,1219,1219,PRON,PER,our
294,1223,1223,PRON,PER,we
295,1229,1230,NOM,LOC,the country
294,1232,1232,PRON,PER,we
92,1242,1242,PROP,PER,SnowAngel
290,1251,1251,PRON,PER,You
296,1257,1258,NOM,PER,college girl
259,1260,1261,NOM,PER,mad maddie
294,1266,1266,PRON,PER,we
294,1273,1273,PRON,PER,we
92,1279,1279,PROP,PER,SnowAngel
259,1281,1282,NOM,PER,mad maddie
93,1284,1284,PROP,PER,Maddie
93,1291,1291,PRON,PER,you
0,1304,1304,PRON,PER,I
294,1310,1310,PRON,PER,us
