start_token,end_token,supersense_category,text
15,15,noun.communication,account
16,16,verb.communication,provides
17,18,noun.person,teen girls
24,24,verb.communication,told
25,25,noun.communication,description
27,27,noun.group,college
28,28,noun.state,life
43,44,verb.motion,going off
46,46,noun.group,college
48,48,noun.communication,PRAISE
50,51,noun.group,ACCOLADES FOR
55,58,noun.group,SERIES New York Times
60,63,noun.group,series San Francisco Chronicle
65,65,noun.group,series
66,67,noun.group,Publishers Weekly
69,69,noun.group,series
70,72,noun.group,School Library Journal
81,81,noun.communication,novel
83,83,verb.creation,inspire
84,84,noun.person,teens
86,86,verb.communication,pass
90,90,noun.person,friends
95,95,noun.communication,communication
97,97,verb.stative,be
100,100,noun.attribute,way
102,102,verb.communication,tell
104,104,noun.communication,story
107,107,noun.communication,BOOKS
109,110,noun.person,LAUREN MYRACLE
111,113,noun.group,ttyl ttfn I8r
121,123,noun.group,Us Shine Bliss
124,124,noun.communication,Rhymes
126,130,noun.group,Witches Luv Ya Bunches Violet
132,140,noun.group,Bloom Oopsy Daisy Awesome Blossom Eleven Twelve Thirteen Thirteen
148,149,noun.location,Baby Ducks
159,160,noun.person,John Green
162,163,noun.person,Maureen Johnson
171,172,noun.person,E. Lockhart
174,175,noun.person,Sarah Mlynowski
177,178,noun.group,AMULET BOOKS
180,181,noun.location,NEW YORK
187,187,verb.stative,is
189,189,noun.artifact,work
191,191,noun.communication,fiction
193,193,noun.communication,Names
195,195,noun.communication,characters
197,197,noun.location,places
200,200,noun.communication,incidents
201,201,verb.stative,are
204,204,noun.artifact,product
207,207,noun.person,author
209,209,noun.cognition,imagination
212,212,verb.consumption,used
217,217,noun.attribute,resemblance
220,220,noun.person,persons
226,227,noun.location,business establishments
229,229,noun.event,events
232,232,noun.location,locales
233,233,verb.stative,is
238,240,noun.group,Library of Congress
242,242,verb.communication,catalogued
244,244,noun.artifact,hardcover
245,245,noun.communication,edition
248,248,noun.communication,book
252,252,noun.location,Myracle
254,254,noun.location,Lauren
258,261,noun.location,Yolo I Lauren Myracle
263,263,noun.communication,pages
283,283,noun.artifact,hardback
296,296,noun.communication,ebook
302,302,noun.communication,messaging
304,304,noun.communication,Fiction
308,309,noun.person,Best friends
311,311,noun.communication,Fiction
315,315,noun.state,Friendship
317,317,noun.communication,Fiction
322,322,noun.relation,relations
324,324,noun.communication,Fiction
328,328,noun.group,Colleges
330,330,noun.artifact,universities
332,332,noun.communication,Fiction
336,336,noun.communication,Title
340,340,noun.communication,Title
344,344,verb.stative,live
355,355,noun.communication,edition
366,366,noun.communication,Text
367,367,noun.communication,copyright
373,373,noun.act,design
375,375,noun.person,Maria
379,379,verb.creation,published
389,389,noun.cognition,imprint
394,394,noun.communication,edition
395,395,verb.change,published
404,404,verb.possession,reserved
407,407,noun.relation,portion
410,410,noun.communication,book
413,413,verb.contact,reproduced
415,415,verb.contact,stored
418,419,noun.artifact,retrieval system
422,422,verb.communication,transmitted
425,425,noun.communication,form
435,435,verb.perception,photocopying
437,437,verb.creation,recording
444,444,noun.communication,permission
447,447,noun.group,publisher
449,450,noun.group,Amulet Books
454,454,verb.stative,are
456,456,noun.communication,trademarks
458,460,noun.group,Harry N. Abrams
467,467,noun.communication,U.S.A.
472,472,noun.communication,Books
477,477,noun.possession,discounts
479,479,verb.possession,purchased
481,481,noun.Tops,quantity
483,483,noun.attribute,premiums
485,485,noun.communication,promotions
489,489,noun.act,fundraising
492,492,noun.act,use
494,495,noun.communication,Special editions
499,499,verb.creation,created
501,501,noun.communication,specification
504,504,noun.communication,details
507,507,noun.communication,specialsales@abramsbooks.com
510,510,noun.communication,address
521,523,noun.location,West 18th Street
524,525,noun.location,New York
527,527,noun.location,NY
529,533,noun.group,www.abramsbooks.com START OF BOOK Fri
535,535,noun.time,Sept
539,540,noun.time,pm p.d.t
572,572,noun.person,SnowAngel
575,575,noun.person,maddie
577,577,noun.person,Maddie
581,581,noun.person,girl
586,588,noun.location,UC Santa Cruz
594,594,noun.person,girl
598,598,verb.contact,hit
602,602,noun.body,head
605,606,noun.artifact,frying pan
609,609,verb.communication,call
615,615,noun.communication,boo
622,622,noun.location,California
632,632,noun.object,sky
633,633,verb.stative,is
638,638,noun.group,forest
639,639,verb.stative,is
643,643,verb.stative,is
644,645,noun.substance,sunshine sunshine
646,646,noun.phenomenon,sunshine
656,656,verb.possession,have
658,658,noun.object,sky
661,661,noun.object,sun
663,663,noun.location,Georgia
666,666,noun.location,dumdum
674,674,verb.possession,have
678,678,verb.stative,is
682,682,verb.stative,is
686,686,verb.stative,are
688,688,noun.person,students
693,693,verb.stative,is
695,695,noun.communication,law
698,698,noun.location,California
699,699,noun.person,kids
701,701,verb.stative,have
703,703,noun.body,genes
709,709,verb.change,dye
711,711,noun.body,hair
714,714,noun.person,SnowAngel
720,720,noun.body,hair
721,721,verb.stative,is
728,728,noun.person,SnowAngel
736,736,verb.change,starting
738,738,noun.time,semester
742,742,verb.cognition,realize
748,748,noun.location,UGA
752,752,noun.time,month
756,756,noun.person,Zoe
758,758,verb.stative,been
760,760,noun.location,Kenyon
775,775,noun.person,Angela
779,779,verb.cognition,realize
783,783,noun.person,maddie
787,787,verb.cognition,think
790,790,verb.stative,lived
793,793,noun.time,time
794,794,noun.object,bubble
799,799,noun.time,weeks
803,803,verb.cognition,think
