COREF,start_token,end_token,prop,cat,text
427,7,7,PRON,PER,YOU
427,36,36,PRON,PER,you
2755,51,51,NOM,PER,family
2756,93,93,PRON,PER,us
2757,96,96,PRON,PER,them
2756,99,99,PRON,PER,us
1,104,106,PROP,FAC,The Daily Beast
2758,130,130,NOM,PER,Readers
2758,139,139,PRON,PER,they
133,142,142,PROP,PER,Nelson
2759,197,199,NOM,PER,the young narrators
133,201,201,PROP,PER,Nelson
134,212,212,PROP,PER,Jude
332,214,214,PROP,PER,Noah
2,247,248,PROP,FAC,VO YA
427,254,254,PRON,PER,YOU
133,261,262,PROP,PER,Jandy Nelson
136,267,272,PROP,PER,Float Helena Fox Darius the Great
3,274,279,PROP,FAC,Not Okay Adib Khorram The Stars
428,281,289,NOM,GPE,the Blackness Between Them Junauda Petrus As Many Nows
0,291,291,PRON,PER,I
137,306,306,PROP,PER,Huntley
429,307,309,NOM,GPE,Fitzpatrick The Passing
138,311,312,PROP,PER,Isaac Fitzsimons
430,313,315,NOM,GPE,Both Sides Now
430,313,315,NOM,ORG,Both Sides Now
4,316,317,PROP,FAC,Peyton Thomas
5,316,327,PROP,FAC,Peyton Thomas Dig A.S. King If I Stay Gayle Forman We Are
0,322,322,PRON,PER,I
432,326,326,PRON,PER,We
427,333,333,PRON,PER,YOU
133,337,340,PROP,PER,JANDY NELSON DIAL BOOKS
6,344,347,PROP,FAC,Penguin Random House LLC
7,349,350,PROP,GPE,New York
433,354,358,NOM,LOC,the United States of America
8,358,358,PROP,GPE,America
434,374,380,NOM,ORG,an imprint of Penguin Random House LLC
6,377,380,PROP,FAC,Penguin Random House LLC
427,426,426,PRON,PER,you
427,459,459,PRON,PER,You
435,462,462,NOM,PER,writers
139,465,465,PROP,PER,Penguin
436,472,473,NOM,PER,every reader
6,482,485,PROP,FAC,Penguin Random House LLC
437,500,500,PRON,PER,us
9,505,508,PROP,FAC,THE LIBRARY OF CONGRESS
133,517,517,PROP,PER,Nelson
133,519,519,PROP,PER,Jandy
0,521,521,PRON,PER,I
427,524,524,PRON,PER,you
133,529,530,PROP,PER,Jandy Nelson
2760,561,562,NOM,PER,artists Jude
134,562,562,PROP,PER,Jude
134,564,564,PRON,PER,her
2761,564,566,NOM,PER,her twin brother
438,588,590,NOM,PER,Artists — Fiction
439,594,596,NOM,PER,Twins — Fiction
440,600,600,NOM,PER,Brothers
441,602,602,NOM,PER,sisters
442,608,608,NOM,PER,Gays
