start_token,end_token,supersense_category,text
1,1,verb.emotion,raves
3,3,noun.communication,honors
15,19,noun.time,coming - of - age
20,20,noun.communication,story
32,32,noun.communication,stuff
34,34,verb.social,sticks
38,38,noun.feeling,love
40,40,noun.attribute,identity
41,41,noun.event,struggles
43,43,noun.event,loss
45,45,noun.act,betrayal
49,49,noun.cognition,complications
51,51,noun.group,family
58,58,verb.contact,scorches
60,60,noun.communication,pages
66,66,noun.communication,Structurally
77,77,noun.communication,story
84,84,noun.communication,novel
86,86,noun.communication,secrets
89,89,verb.possession,keeping
92,92,verb.contact,destroy
95,95,verb.possession,releasing
98,98,verb.change,set
111,111,noun.communication,novel
115,115,noun.artifact,Art
117,117,noun.cognition,wonder
118,118,verb.change,fill
120,120,noun.communication,page
127,127,noun.act,review
130,130,noun.person,Readers
134,134,verb.emotion,feel
136,136,noun.state,things
142,142,noun.person,Nelson
144,144,noun.communication,novel
145,145,verb.change,brims
147,147,noun.feeling,emotion
151,152,noun.group,Publishers Weekly
155,155,noun.communication,review
160,160,noun.time,moments
164,164,noun.attribute,clarity
166,166,verb.communication,laced
170,170,noun.cognition,sense
174,174,noun.feeling,raptures
177,177,noun.state,life
184,184,noun.communication,review
190,190,noun.attribute,style
191,191,verb.communication,evoking
195,195,noun.cognition,imaginations
199,199,noun.person,narrators
201,201,noun.person,Nelson
202,202,verb.perception,captures
211,211,noun.state,relationship
212,212,noun.person,Jude
214,214,noun.person,Noah
215,215,verb.possession,share
222,222,noun.communication,review
228,228,noun.event,end
241,241,noun.artifact,work
243,243,noun.artifact,art
247,248,noun.location,VO YA
293,295,noun.location,Get Shana Youngdahl
316,330,noun.group,Peyton Thomas Dig A.S. King If I Stay Gayle Forman We Are Okay Nina LaCour
337,340,noun.group,JANDY NELSON DIAL BOOKS
342,342,noun.cognition,imprint
344,347,noun.group,Penguin Random House LLC
349,350,noun.location,New York
352,352,verb.creation,published
355,358,noun.location,United States of America
369,369,noun.communication,edition
370,370,verb.creation,published
375,375,noun.cognition,imprint
377,380,noun.group,Penguin Random House LLC
384,384,noun.communication,edition
385,385,verb.change,published
387,387,noun.communication,Copyright
391,392,noun.person,Jandy Nelson
397,397,noun.communication,text
401,401,noun.person,Jandy
404,404,verb.emotion,supports
405,405,noun.communication,copyright
407,407,noun.communication,Copyright
408,408,verb.stative,fuels
409,409,noun.cognition,creativity
411,411,verb.emotion,encourages
413,413,noun.attribute,voices
415,415,verb.communication,promotes
416,417,noun.communication,free speech
420,420,verb.creation,creates
423,423,noun.group,culture
425,425,noun.communication,Thank
428,428,verb.possession,buying
431,431,noun.communication,edition
434,434,noun.communication,book
437,437,verb.communication,complying
439,439,noun.communication,copyright
440,440,noun.communication,laws
443,443,verb.communication,reproducing
445,445,verb.perception,scanning
448,448,verb.possession,distributing
450,450,noun.artifact,part
455,455,noun.communication,form
457,457,noun.communication,permission
461,461,verb.social,supporting
462,462,noun.person,writers
464,464,verb.social,allowing
465,465,noun.group,Penguin
467,467,verb.stative,continue
469,469,verb.creation,publish
470,470,noun.communication,books
473,473,noun.person,reader
477,477,noun.communication,colophon
480,480,noun.communication,trademarks
482,484,noun.group,Penguin Random House
487,488,noun.group,Penguin Books
490,490,noun.communication,colophon
493,493,noun.communication,trademarks
495,497,noun.group,Penguin Books Limited
503,503,noun.group,penguinrandomhouse.com
506,508,noun.group,LIBRARY OF CONGRESS
517,517,noun.location,Nelson
519,519,noun.person,Jandy
523,523,verb.possession,give
526,526,noun.object,sun
529,530,noun.person,Jandy Nelson
531,532,noun.group,pages cm
533,533,noun.communication,Summary
537,537,noun.communication,story
542,542,noun.group,family
544,544,noun.feeling,loss
547,547,noun.act,betrayal
548,548,verb.communication,told
551,551,noun.location,points
558,558,noun.attribute,voices
561,561,noun.person,artists
562,562,noun.person,Jude
566,566,noun.person,brother
570,570,noun.group,publisher
581,581,noun.quantity,8
583,583,noun.artifact,hardcover
588,588,noun.person,Artists
590,590,noun.communication,Fiction
594,594,noun.substance,Twins
596,596,noun.communication,Fiction
600,600,noun.person,Brothers
604,604,noun.communication,Fiction
608,608,noun.group,Gays
610,610,noun.communication,Fiction
616,616,noun.communication,Fiction
620,620,noun.time,Death
622,622,noun.communication,Fiction
627,627,noun.state,life
629,629,noun.location,California
631,631,noun.communication,Fiction
635,635,noun.location,California
637,637,noun.communication,Fiction
645,645,noun.communication,Title
649,649,verb.possession,give
659,659,verb.creation,Printed
662,665,noun.location,United States of America
669,669,noun.communication,Design
671,673,noun.person,Theresa Evangelista Text
674,674,verb.creation,set
676,678,noun.location,Calisto MT Pro
680,680,verb.stative,is
682,682,noun.artifact,work
684,684,noun.communication,fiction
686,686,noun.communication,Names
688,688,noun.communication,characters
690,690,noun.location,places
693,693,noun.event,incidents
695,695,verb.stative,are
697,697,noun.artifact,product
700,700,noun.person,author
702,702,noun.cognition,imagination
705,705,verb.consumption,used
710,710,noun.attribute,resemblance
713,713,noun.person,persons
717,717,noun.state,dead
719,719,noun.group,businesses
721,721,noun.group,companies
723,723,noun.event,events
726,726,noun.communication,locales
727,727,verb.stative,is
732,732,noun.group,publisher
735,735,verb.possession,have
737,737,noun.attribute,control
742,742,verb.cognition,assume
744,744,noun.act,responsibility
746,746,noun.person,author
750,750,noun.group,party
751,751,noun.artifact,websites
754,754,noun.communication,content
756,757,noun.group,FOR DAD
759,760,noun.group,CAROL Out
762,762,noun.cognition,ideas
764,764,noun.attribute,wrongdoing
766,766,noun.act,rightdoing
769,769,verb.stative,is
771,771,noun.state,field
775,775,verb.motion,meet
782,782,verb.cognition,believe
784,784,noun.quantity,nothing
787,787,noun.attribute,holiness
790,790,noun.cognition,heart
792,792,noun.feeling,affections
795,795,noun.cognition,truth
798,798,noun.cognition,imagination
801,802,noun.person,John Keats
807,807,noun.feeling,love
810,810,verb.stative,are
812,812,noun.event,miracles
815,816,noun.person,WlLLA CATHER
818,818,verb.stative,takes
819,819,noun.attribute,courage
821,822,verb.change,grow up
824,824,verb.stative,become
828,828,verb.stative,are
831,839,noun.group,E.E. Cummings START OF BOOK THE INVISIBLE MUSEUM Noah
843,843,verb.stative,is
847,847,verb.change,begins
850,850,noun.person,Zephyr
852,852,noun.person,Fry
855,855,noun.location,neighborhood
856,856,noun.person,sociopaths
858,858,verb.competition,torpedoing
864,865,noun.object,forest floor
866,866,verb.motion,shaking
869,869,noun.body,feet
872,872,verb.motion,blast
874,874,noun.substance,air
876,876,noun.plant,trees
882,882,noun.feeling,panic
887,888,verb.motion,going over
891,891,noun.body,pussy
894,894,noun.person,Fry
895,895,verb.communication,shouts
898,898,noun.person,Zephyr
903,903,verb.possession,has
909,909,noun.body,arms
912,912,noun.body,back
915,915,noun.person,Fry
917,917,verb.contact,grabbed
919,919,noun.artifact,sketchpad
922,922,verb.motion,lunge
927,927,verb.stative,’m
933,933,verb.social,try
935,935,verb.motion,wriggle
938,938,noun.person,Zephyr
