COREF,start_token,end_token,prop,cat,text
95,6,9,PROP,PER,ISABEL QUINTERO Cinco Puntos
96,14,17,PROP,PER,Lee & Low Books
1,19,21,PROP,GPE,New York Gabi
376,23,26,NOM,PER,a Girl in Pieces
377,36,39,NOM,PER,people living or dead
97,49,50,PROP,PER,Isabel Quintero
98,59,60,PROP,PER,Zeke Pena
97,66,67,PROP,PER,Isabel Quintero
378,113,114,NOM,PER,the publisher
2,116,118,PROP,FAC,Cinco Puntos Press
96,123,127,PROP,PER,LEE & LOW BOOKS INC
3,131,132,PROP,FAC,Madison Avenue
4,134,135,PROP,GPE,New York
98,143,144,PROP,PER,Zeke Pena
379,147,151,NOM,PER,The Kids at Our House
5,150,151,PROP,FAC,Our House
6,164,168,PROP,GPE,the United States of America
7,168,168,PROP,GPE,America
380,170,174,NOM,ORG,"Lake Book Manufacturing , LLC"
380,176,176,PRON,PER,he
8,197,202,PROP,FAC,FSC * C103098 Library of Congress
97,211,211,PROP,PER,Isabel
99,213,213,PROP,PER,Gabi
376,215,218,NOM,PER,a girl in pieces
97,221,222,PROP,PER,Isabel Quintero
99,237,238,PROP,PER,Gabi Hernandez
382,240,240,PRON,PER,her
382,247,247,PRON,PER,she
382,250,250,PRON,PER,her
383,250,251,NOM,PER,her friend
100,252,252,PROP,PER,Cindy
384,256,256,NOM,PER,friend
101,257,257,PROP,PER,Sebastian
382,262,262,PRON,PER,her
385,262,263,NOM,PER,her father
382,268,268,PRON,PER,her
386,274,275,NOM,PER,cute boys
382,284,284,PRON,PER,her
387,340,341,NOM,ORG,High schools
388,372,373,NOM,PER,Mexican Americans
0,396,396,PRON,PER,me
0,399,399,PRON,PER,me
389,405,405,PRON,PER,you
102,407,407,PROP,PER,Gracias
103,409,409,PROP,PER,Mama
9,411,412,PROP,FAC,YEN SEGUNDO
390,415,419,NOM,PER,"all the gorditas , flaquitas"
390,429,429,PRON,PER,their
391,432,433,NOM,LOC,the world
389,439,439,PRON,PER,you
0,450,450,PRON,PER,My
392,450,451,NOM,PER,My mother
0,453,453,PRON,PER,me
99,454,454,PROP,PER,Gabriela
0,456,456,PRON,PER,my
393,456,457,NOM,PER,my grandmother
394,456,482,NOM,PER,my grandmother who — coincidentally — didn't want to meet me when I was born because my mother was not married and was therefore Living in sin
0,466,466,PRON,PER,me
0,468,468,PRON,PER,I
0,472,472,PRON,PER,my
392,472,473,NOM,PER,my mother
0,484,484,PRON,PER,My
396,484,485,NOM,PER,My mom
0,488,488,PRON,PER,me
393,501,501,PRON,PER,she
0,504,504,PRON,PER,my
393,504,505,NOM,PER,my grandmother
393,507,507,PRON,PER,she
0,511,511,PRON,PER,me
393,513,513,PRON,PER,her
398,513,514,NOM,PER,her mother
393,516,516,PRON,PER,her
393,519,519,PRON,PER,HER
393,521,521,PRON,PER,She
0,533,533,PRON,PER,my
0,539,539,PRON,PER,I
399,543,544,NOM,PER,a guy
0,546,546,PRON,PER,my
396,546,547,NOM,PER,my mom
2191,554,555,NOM,PER,piernas cerradas
0,579,579,PRON,PER,I
0,585,585,PRON,PER,I
401,597,597,PRON,PER,you're
0,603,603,PRON,PER,I
7,608,608,PROP,GPE,America
10,617,617,PROP,GPE,Mexico
0,628,628,PRON,PER,I
0,632,632,PRON,PER,my
396,632,633,NOM,PER,my mom
396,636,636,PRON,PER,she
0,639,639,PRON,PER,I
0,668,668,PRON,PER,I
403,676,676,NOM,FAC,school
0,679,679,PRON,PER,I
0,684,684,PRON,PER,I
11,707,709,PROP,FAC,Rocky 7 GABI
404,711,712,NOM,PER,A GIRL
0,724,724,PRON,PER,I
405,731,754,NOM,PER,the really cute guy there who has a full sleeve but has to cover it up because apparently Rite - Aid keeps it classy
104,749,751,PROP,PER,Rite - Aid
405,758,758,PRON,PER,he
0,761,761,PRON,PER,me
0,763,763,PRON,PER,my
0,771,771,PRON,PER,I
405,774,774,PRON,PER,he
0,777,777,PRON,PER,me
0,782,782,PRON,PER,I
12,801,805,PROP,FAC,Pepe 's House of Wings
406,812,813,NOM,FAC,the street
407,824,824,PRON,PER,you
407,831,831,PRON,PER,you
407,837,837,PRON,PER,your
0,842,842,PRON,PER,me
407,850,850,PRON,PER,you
407,854,854,PRON,PER,you
0,867,867,PRON,PER,I
0,874,874,PRON,PER,me
407,890,890,PRON,PER,you
407,913,913,PRON,PER,you
407,925,925,PRON,PER,you
407,929,929,PRON,PER,your
408,935,935,NOM,LOC,earth
0,940,940,PRON,PER,my
0,943,943,PRON,PER,I
0,952,952,PRON,PER,I
0,960,960,PRON,PER,my
409,960,961,NOM,FAC,my room
0,963,963,PRON,PER,my
396,963,964,NOM,PER,my mom
0,970,970,PRON,PER,my
411,973,974,NOM,PER,That woman
0,978,978,PRON,PER,my
100,981,982,PROP,PER,ISABEL QUINTERO
0,994,994,PRON,PER,I
100,998,998,PROP,PER,Cindy
101,1000,1000,PROP,PER,Sebastian
412,1002,1002,PRON,PER,we
12,1007,1011,PROP,FAC,Pepe 's House of Wings
0,1014,1014,PRON,PER,my
413,1014,1016,NOM,PER,my best friends
105,1034,1034,PROP,PER,Chickens
0,1036,1036,PRON,PER,I
13,1046,1047,PROP,GPE,Caliente Caliente
0,1060,1060,PRON,PER,I
414,1081,1083,NOM,PER,all human kind
0,1085,1085,PRON,PER,I
0,1091,1091,PRON,PER,my
0,1105,1105,PRON,PER,me
0,1111,1111,PRON,PER,I
0,1144,1144,PRON,PER,I
0,1148,1148,PRON,PER,I
99,1154,1154,PROP,PER,GABI
404,1156,1157,NOM,PER,A GIRL
100,1181,1181,PROP,PER,Cindy
0,1183,1183,PRON,PER,me
0,1186,1186,PRON,PER,me
100,1188,1188,PRON,PER,she
0,1190,1190,PRON,PER,me
100,1195,1195,PRON,PER,she
0,1199,1199,PRON,PER,me
416,1204,1207,NOM,PER,one of my friends
0,1206,1206,PRON,PER,my
417,1206,1207,NOM,PER,my friends
416,1209,1209,PRON,PER,they
0,1213,1213,PRON,PER,me
101,1217,1217,PROP,PER,Sebastian
0,1219,1219,PRON,PER,me
101,1220,1220,PRON,PER,he
101,1224,1224,PRON,PER,He
0,1226,1226,PRON,PER,me
101,1229,1229,PRON,PER,he
0,1236,1236,PRON,PER,me
0,1240,1240,PRON,PER,I
0,1245,1245,PRON,PER,I
0,1248,1248,PRON,PER,I
101,1251,1251,PRON,PER,him
101,1257,1257,PRON,PER,he
0,1264,1264,PRON,PER,I
101,1268,1268,PRON,PER,he
0,1274,1274,PRON,PER,me
101,1283,1283,PRON,PER,He
0,1285,1285,PRON,PER,me
106,1287,1287,PROP,PER,Denny
418,1287,1288,NOM,FAC,Denny 's
99,1293,1293,PROP,PER,Gabi
101,1295,1295,PRON,PER,I
99,1300,1300,PRON,PER,you
0,1304,1304,PRON,PER,I
0,1309,1309,PRON,PER,my
101,1312,1312,PRON,PER,he
0,1317,1317,PRON,PER,me
101,1318,1318,PRON,PER,he
101,1323,1323,PRON,PER,he
101,1330,1330,PRON,PER,I
101,1338,1338,PRON,PER,he
101,1342,1342,PRON,PER,I
0,1353,1353,PRON,PER,me
0,1355,1355,PRON,PER,I
0,1364,1364,PRON,PER,I
419,1368,1368,PRON,PER,We
101,1378,1378,PRON,PER,he
101,1383,1383,PRON,PER,his
420,1383,1384,NOM,PER,his parents
100,1388,1388,PROP,PER,Cindy
100,1390,1390,PRON,PER,she
0,1395,1395,PRON,PER,me
0,1397,1397,PRON,PER,I
0,1401,1401,PRON,PER,I
100,1405,1405,PRON,PER,she
0,1407,1407,PRON,PER,me
100,1408,1408,PRON,PER,she
421,1410,1411,NOM,PER,a lesbian
0,1423,1423,PRON,PER,I
419,1426,1426,PRON,PER,we
422,1433,1434,NOM,PER,each other
100,1437,1438,PROP,PER,ISABEL QUINTERO
100,1443,1443,PRON,PER,her
423,1443,1444,NOM,FAC,her pool
0,1447,1447,PRON,PER,I
0,1453,1453,PRON,PER,I
