start_token,end_token,supersense_category,text
7,7,noun.person,QUINTERO
12,12,noun.group,imprint
14,14,noun.person,Lee
16,17,noun.group,Low Books
19,20,noun.location,New York
24,24,noun.person,Girl
27,27,verb.stative,is
29,29,noun.artifact,work
31,31,noun.communication,fiction
34,34,noun.attribute,likeness
36,36,noun.group,people
37,37,verb.stative,living
40,40,verb.stative,is
44,44,noun.communication,Text
45,45,noun.communication,copyright
49,50,noun.person,Isabel Quintero
54,54,noun.communication,illustrations
55,55,noun.communication,copyright
62,62,verb.creation,inspired
64,64,noun.artifact,collages
66,67,noun.person,Isabel Quintero
73,73,noun.relation,part
76,76,noun.communication,book
79,79,verb.contact,reproduced
81,81,verb.contact,transmitted
84,84,verb.possession,stored
87,89,noun.artifact,information retrieval system
92,92,noun.communication,form
102,102,verb.perception,photocopying
104,104,verb.communication,recording
111,111,noun.communication,permission
114,114,noun.group,publisher
116,118,noun.group,Cinco Puntos Press
121,121,noun.cognition,imprint
123,127,noun.group,LEE & LOW BOOKS INC
131,132,noun.location,Madison Avenue
134,135,noun.location,New York
137,137,noun.location,NY
143,144,noun.person,Zeke Pena
150,151,noun.group,Our House
153,153,noun.communication,text
155,155,verb.creation,set
157,161,noun.group,Officina Sans ITC Std Book
162,162,verb.creation,Manufactured
165,166,noun.location,United States
168,168,noun.location,America
170,171,noun.location,Lake Book
172,172,noun.group,Manufacturing
191,191,noun.communication,edition
196,197,noun.group,sources FSC
216,216,noun.person,girl
221,222,noun.person,Isabel Quintero
226,226,noun.communication,edition
228,228,noun.communication,pages
234,234,noun.time,year
237,238,noun.person,Gabi Hernandez
239,239,verb.communication,chronicles
242,242,noun.time,year
244,245,noun.group,high school
248,248,verb.social,copes
251,251,noun.person,friend
252,252,noun.person,Cindy
254,254,noun.state,pregnancy
256,256,noun.person,friend
257,257,noun.person,Sebastian
259,260,verb.change,coming out
263,263,noun.person,father
265,266,noun.state,meth habit
270,270,noun.feeling,cravings
272,272,noun.food,food
275,275,noun.person,boys
280,280,noun.communication,poetry
282,282,verb.change,helps
283,283,verb.creation,forge
285,285,noun.communication,identity
298,298,noun.artifact,hardback
302,302,noun.communication,paper
320,320,noun.communication,paper
335,335,noun.communication,book
340,341,noun.group,High schools
343,343,noun.communication,Fiction
347,347,noun.group,Schools
349,349,noun.communication,Fiction
353,353,noun.state,Pregnancy
355,355,noun.communication,Fiction
361,361,noun.communication,Fiction
366,366,noun.state,problems
368,368,noun.communication,Fiction
375,375,noun.communication,Fiction
391,391,noun.communication,persona
394,394,verb.cognition,read
398,398,verb.communication,taught
401,401,noun.communication,words
402,402,verb.stative,mattered
404,404,verb.change,changed
407,407,noun.person,Gracias
409,409,noun.person,Mama
425,425,noun.person,girls
426,426,verb.social,trying
428,428,verb.change,make
430,430,noun.act,space
433,433,noun.object,world
437,437,verb.emotion,worry
440,440,verb.possession,got
448,448,noun.time,July
451,451,noun.person,mother
452,452,verb.communication,named
454,454,noun.person,Gabriela
457,457,noun.person,grandmother
463,463,verb.emotion,want
465,465,verb.social,meet
470,470,verb.body,born
473,473,noun.person,mother
474,474,verb.stative,was
478,478,verb.stative,was
482,482,noun.state,sin
485,485,noun.person,mom
487,487,verb.communication,told
490,490,noun.communication,story
496,496,noun.event,times
502,502,verb.communication,confessed
505,505,noun.person,grandmother
508,508,verb.stative,was
514,514,noun.person,mother
515,515,verb.social,beat
518,518,verb.contact,BEAT
522,522,verb.stative,was
528,528,noun.communication,story
529,529,verb.stative,forms
531,531,noun.relation,basis
535,535,noun.act,education
538,538,noun.event,time
540,541,verb.motion,go out
544,544,noun.person,guy
547,547,noun.person,mom
548,548,verb.communication,says
558,558,noun.body,Eyes
561,561,noun.body,Legs
562,562,verb.contact,closed
570,570,noun.animal,birds
573,573,noun.animal,bees
574,574,noun.communication,talk
576,576,verb.motion,gone
582,582,verb.communication,mind
589,589,verb.communication,agree
593,593,verb.stative,wait
599,599,verb.social,married
600,600,noun.act,crap
604,604,verb.communication,mean
607,607,verb.stative,is
608,608,noun.location,America
614,614,noun.time,century
617,617,noun.location,Mexico
620,620,noun.time,years
631,631,verb.communication,tell
633,633,noun.person,mom
638,638,verb.cognition,think
640,640,verb.stative,'m
646,646,verb.social,trying
648,648,verb.stative,be
651,651,noun.time,July
656,656,noun.time,month
658,658,noun.group,school
659,659,verb.change,starts
671,671,verb.emotion,want
673,674,verb.motion,go back
676,676,noun.artifact,school
686,686,verb.emotion,want
688,689,verb.communication,Lie around
691,691,verb.social,do
692,692,noun.quantity,nothing
696,697,noun.time,bit Longer
699,699,verb.consumption,Eat
701,701,noun.food,tacos
703,703,verb.consumption,Eat
707,707,noun.person,Rocky
709,709,noun.person,GABI
711,712,noun.person,A GIRL
716,718,noun.food,ice cream cones
725,725,verb.possession,have
727,727,noun.motive,excuse
729,729,verb.communication,talk
734,734,noun.person,guy
737,737,verb.stative,has
740,740,noun.artifact,sleeve
744,744,verb.cognition,cover
749,749,noun.group,Rite
752,752,verb.stative,keeps
760,760,verb.communication,asked
764,764,noun.communication,number
773,773,verb.communication,say
776,776,verb.possession,given
786,786,verb.creation,do
788,789,noun.time,summer vacation
793,793,verb.social,try
