COREF,start_token,end_token,prop,cat,text
2998,43,44,NOM,LOC,the world
712,109,109,PRON,PER,I
712,111,111,PRON,PER,I
712,117,117,PRON,PER,I
712,124,124,PRON,PER,me
712,135,135,PRON,PER,I
394,143,143,PROP,PER,SHEARS
712,145,149,NOM,PER,LEAD SINGER OF SCISSOR SISTERS
395,151,152,PROP,PER,Andrew Smith
2999,154,158,NOM,PER,the bravest storyteller I know
712,157,157,PRON,PER,I
1,160,161,PROP,LOC,Grasshopper Jungle
712,169,169,PRON,PER,I
712,177,177,PRON,PER,I
712,185,185,PRON,PER,I
712,191,191,PRON,PER,me
396,221,221,PRON,PER,I
396,223,223,PRON,PER,myself
3000,235,235,PRON,PER,he
396,250,250,PRON,PER,I
396,254,254,PRON,PER,I
396,268,268,PROP,PER,BROOKS
2,273,273,PROP,GPE,SHANNARA
1,291,292,PROP,GPE,Grasshopper Jungle
1,347,348,PROP,LOC,Grasshopper Jungle
395,353,354,PROP,PER,Andrew Smith
397,362,363,PROP,PER,Kurt Vonnegut
1,389,390,PROP,LOC,Grasshopper Jungle
395,397,397,PROP,PER,Smith
1,424,425,PROP,LOC,Grasshopper Jungle
2998,431,432,NOM,LOC,the world
4,441,441,PROP,GPE,LONDON
3002,448,448,PRON,PER,you
1,452,453,PROP,GPE,Grasshopper Jungle
3002,454,454,PRON,PER,you
1,465,466,PROP,LOC,Grasshopper Jungle
3003,488,488,NOM,GPE,town
3004,512,517,NOM,PER,No author writing for teens today
3005,516,516,NOM,PER,teens
395,520,521,PROP,PER,Andrew Smith
3006,532,533,NOM,PER,teenage boys
2998,566,567,NOM,LOC,the world
395,592,592,PROP,PER,Smith
3008,638,643,NOM,PER,16 - year - old boys
398,675,677,PROP,PER,ANDREW SMITH Rabbit
399,679,682,PROP,PER,Robot The Alex Crow
5,685,687,PROP,GPE,Eden Grasshopper Jungle
6,694,694,PROP,GPE,Winger
7,695,715,PROP,FAC,The Marbury Lens ANDREW SMITH GRASS- HOPPER JUNGLE A HISTORY DUTTON BOOKS DUTTON BOOKS An imprint of Penguin Random House LLC
398,698,699,PROP,PER,ANDREW SMITH
8,700,702,PROP,LOC,GRASS- HOPPER JUNGLE
9,712,715,PROP,FAC,Penguin Random House LLC
10,717,718,PROP,GPE,New York
11,722,725,PROP,LOC,the United States of
12,726,726,PROP,GPE,America
13,728,729,PROP,FAC,Dutton Books
9,734,737,PROP,FAC,Penguin Random House LLC
9,750,753,PROP,FAC,Penguin Random House LLC
398,766,767,PROP,PER,Andrew Smith
399,770,772,PROP,LOC,The Alex Crow
400,777,779,PROP,PER,Andrew Smith Penguin
713,802,802,PRON,PER,you
713,835,835,PRON,PER,You
714,838,838,NOM,PER,writers
400,841,841,PROP,PER,Penguin
715,848,849,NOM,PER,every reader
401,851,851,PROP,PER,Dutton
716,875,875,PRON,PER,us
15,880,883,PROP,FAC,THE LIBRARY OF CONGRESS
400,892,892,PROP,PER,Smith
400,894,894,PROP,PER,Andrew
402,896,897,PROP,PER,Andrew Anselmo
1,902,903,PROP,LOC,Grasshopper jungle
400,909,910,PROP,PER,Andrew Smith
403,917,918,PROP,PER,Austin Szerba
403,925,925,PRON,PER,he
403,927,927,PRON,PER,his
3009,927,929,NOM,PER,his best friend
404,930,930,PROP,PER,Robby
717,957,957,NOM,PER,publisher
16,997,997,PROP,GPE,Iowa
16,1009,1009,PROP,GPE,Iowa
17,1034,1038,PROP,GPE,the United States of America
405,1046,1049,PROP,PER,Julie Strauss - Gabel
406,1052,1053,PROP,PER,Christian Fuenfhausen
18,1057,1057,PROP,GPE,Garamond
718,1074,1075,NOM,PER,real people
719,1096,1097,NOM,PER,the authors
720,1109,1113,NOM,PER,"persons , living or dead"
721,1119,1120,NOM,PER,The publisher
722,1141,1141,PRON,PER,their
407,1145,1146,PROP,PER,Michael Bourret
0,1152,1152,PRON,PER,me
19,1155,1155,PROP,GPE,Ealing
16,1157,1157,PROP,GPE,Iowa
723,1160,1161,NOM,GPE,afictional town
724,1180,1180,NOM,PER,characters
20,1200,1202,PROP,FAC,EALING Kimber Drive
21,1204,1205,PROP,FAC,Fixing Feet
408,1207,1207,PROP,PER,Louis
725,1217,1217,PRON,PER,Your
409,1220,1222,PROP,PER,Grant Wallace Murdered
0,1223,1223,PRON,PER,Me
726,1227,1229,NOM,GPE,This Country Great
22,1231,1235,PROP,FAC,Shann ’s New Old House
727,1238,1238,NOM,GPE,Somewhere
725,1239,1239,PRON,PER,You
404,1244,1244,PROP,PER,Robby
23,1244,1246,PROP,FAC,Robby 's Volcano
24,1253,1256,PROP,FAC,Doors That Go Nowhere
25,1263,1265,PROP,FAC,Never Read Books
728,1277,1285,NOM,PER,a Preacher • Never Name a Pizza Joint Stan
725,1289,1289,PRON,PER,You
19,1296,1296,PROP,GPE,Ealing
410,1301,1302,PROP,PER,Hungry Jack
410,1304,1304,PROP,PER,Johnny
729,1308,1311,NOM,PER,Two - Headed Boy
26,1330,1332,PROP,FAC,WATERLOO CORNFIELD Palindromes
410,1343,1343,PROP,PER,Johnny
411,1345,1345,PROP,PER,Ollie
730,1359,1367,NOM,PER,The Boy in the Glass • Skating and Kayaking
417,1369,1370,PROP,FAC,Eden Five
725,1372,1372,PRON,PER,You
28,1374,1378,PROP,FAC,An Awful Lot of Math
731,1385,1387,NOM,PER,The Inner Tomb
29,1407,1408,PROP,LOC,the Cornfield
30,1412,1413,PROP,LOC,THE SILO
31,1418,1421,PROP,FAC,Curtis Crane Lutheran Academy
412,1423,1426,PROP,PER,Bugs Do Two Things
413,1431,1432,PROP,PER,Johnny McKeon
414,1434,1434,PROP,PER,Shann
0,1437,1437,PRON,PER,My
732,1437,1438,NOM,PER,My Mom
733,1451,1453,NOM,PER,The Vice President
414,1462,1462,PROP,PER,Shann
415,1464,1467,PROP,PER,the Horny Polish Kid
413,1470,1470,PROP,PER,Satan
734,1475,1476,NOM,PER,The President
32,1480,1482,PROP,FAC,The Virgin Saint
32,1484,1484,PRON,PER,His
416,1487,1489,PROP,PER,The Diving Bell
735,1491,1493,NOM,PER,The Popular Girl
417,1497,1497,PROP,PER,Eden
33,1504,1505,PROP,FAC,Gimme Shelter
418,1516,1516,PROP,PER,Gideon
736,1521,1525,NOM,PER,The Queen of the Universe
34,1524,1525,PROP,LOC,the Universe
35,1527,1528,PROP,FAC,The Library
36,1537,1538,PROP,FAC,Ventilator Blues
737,1544,1555,NOM,PER,"Someone Else Dances • Lucky , in Polish Boy Names • Movie"
37,1558,1558,PROP,GPE,Eden
38,1578,1589,PROP,FAC,The Orphan Felek PART FOUR : THE END OF THE WORLD We
39,1587,1588,PROP,LOC,THE WORLD
738,1589,1589,PRON,PER,We
739,1591,1593,NOM,PER,the New Humans
419,1598,1599,PROP,PER,Davy Crockett
420,1601,1606,PROP,PER,Daniel Boone Never Wore Coonskin Caps
421,1608,1608,PROP,PER,Garlic
422,1610,1611,PROP,PER,Dr Pepper
40,1614,1615,PROP,FAC,Crystal Meth
423,1625,1626,PROP,PER,Denny Drayton
740,1628,1631,NOM,PER,"a Gun , Motherfucker"
37,1635,1635,PROP,GPE,Eden
41,1637,1639,PROP,FAC,A Chance Meeting
741,1644,1648,NOM,PER,"a Presbyterian , or ,"
424,1649,1650,PROP,PER,Calvin Coolidge
42,1649,1652,PROP,FAC,Calvin Coolidge 's Canoe
742,1654,1657,NOM,PER,A Most Soothing Showerhead
43,1659,1660,PROP,LOC,Infinita Milites
43,1662,1663,PROP,LOC,Infinita Milites
425,1666,1668,PROP,PER,Robby the Theologian
413,1670,1670,PROP,PER,Satan
743,1672,1673,NOM,PER,the Pastor
44,1677,1677,PROP,GPE,USA
426,1681,1681,PROP,PER,Wiggles
45,1684,1685,PROP,LOC,the Bison
744,1695,1698,NOM,PER,a Guy Could Need
427,1712,1712,PROP,PER,God
454,1714,1719,PROP,PER,Wanda Mae ’s Pink Bowling Ball
429,1726,1732,PROP,PER,the Brain Room Is Not Particularly Brainy
46,1744,1748,PROP,FAC,A Real Concrete Iowa Thinker
37,1752,1752,PROP,GPE,Eden
47,1754,1757,PROP,FAC,The Finale of Seem
430,1759,1763,PROP,PER,The Sunshine Bores the Daylights
0,1766,1766,PRON,PER,Me
745,1777,1777,PRON,PER,You
37,1790,1790,PROP,GPE,Eden
48,1795,1795,PROP,GPE,Mars
746,1806,1812,NOM,PER,The Battle of the Del Vista Arms
39,1817,1818,PROP,LOC,the World
425,1822,1822,PROP,PER,Robby
454,1824,1824,PROP,PER,Shann
