start_token,end_token,supersense_category,text
1,3,noun.person,Michael L. Printz
9,10,noun.group,Boston Globe
38,38,noun.time,Year
41,41,noun.location,end
44,44,noun.object,world
45,45,verb.change,comes
49,49,noun.event,bang
52,52,noun.communication,whimper
57,57,noun.communication,chuckle
61,61,noun.event,click
63,63,noun.event,click
66,67,noun.animal,insect mandibles
74,75,noun.communication,new novel
79,79,noun.location,POST
86,86,verb.stative,is
96,97,noun.group,ENTERTAINMENT WEEKLY
110,110,verb.communication,wish
113,113,verb.consumption,had
115,115,noun.communication,book
118,118,verb.stative,was
123,123,verb.change,makes
128,128,verb.possession,took
130,130,noun.time,years
133,133,verb.possession,find
138,139,verb.contact,looking for
143,143,noun.person,SHEARS
145,148,noun.person,LEAD SINGER OF SCISSOR
151,152,noun.person,Andrew Smith
153,153,verb.stative,is
156,156,noun.person,storyteller
158,158,verb.cognition,know
162,162,verb.stative,is
168,168,noun.communication,book
171,171,verb.cognition,read
175,175,noun.time,decade
180,180,verb.motion,move
183,183,noun.time,days
188,188,verb.change,finished
202,202,noun.artifact,masterpiece
222,222,verb.perception,found
224,224,verb.communication,saying
244,244,verb.motion,turning
246,246,noun.communication,pages
255,255,verb.stative,kept
256,256,verb.cognition,thinking
259,259,verb.stative,was
262,262,noun.communication,book
264,264,verb.creation,write
268,268,noun.person,BROOKS
273,274,noun.group,SHANNARA SERIES
288,288,verb.emotion,stir
289,289,noun.communication,controversy
293,293,verb.stative,is
321,321,noun.artifact,masterpiece
324,324,noun.communication,book
330,330,noun.communication,book
336,338,noun.group,NEW YORK TIMES
340,340,noun.person,AUTHOR
344,344,noun.communication,SERIES
350,350,verb.stative,’s
353,354,noun.person,Andrew Smith
357,357,verb.stative,possessed
360,360,noun.cognition,ghost
362,363,noun.person,Kurt Vonnegut
366,366,noun.communication,book
367,367,verb.stative,is
375,375,noun.feeling,thrill
376,376,noun.act,ride
378,378,verb.stative,is
387,387,noun.attribute,thing
391,391,verb.stative,is
394,394,noun.body,hand
397,397,noun.person,Smith
398,398,verb.communication,explores
400,400,noun.feeling,love
402,402,noun.attribute,sexuality
404,404,verb.stative,is
417,417,noun.person,AUTHOR
