COREF,start_token,end_token,prop,cat,text
51,4,5,PROP,PER,Sylvia Mendez
51,7,7,PRON,PER,Her
97,7,8,NOM,PER,Her Family
52,13,19,PROP,PER,DUNCAN TONATIUH ABRAMS BOOKS FOR YOUNG READERS
1,21,22,PROP,GPE,NEW YORK
51,26,26,PROP,PER,SYLVIA
51,29,29,PRON,PER,HER
51,39,39,PRON,PER,Her
51,51,51,PRON,PER,her
98,55,57,NOM,FAC,the Westminster school
99,59,60,NOM,FAC,The halls
100,64,64,NOM,PER,students
51,66,66,PRON,PER,She
51,70,70,PRON,PER,her
101,70,71,NOM,FAC,her locker
102,73,76,NOM,PER,a young white boy
51,79,79,PRON,PER,her
195,87,89,NOM,FAC,the Mexican school
51,91,91,PRON,PER,You
196,95,95,NOM,FAC,here
51,105,105,PROP,PER,Sylvia
51,111,111,PRON,PER,herself
51,113,113,PRON,PER,her
51,116,116,PRON,PER,She
51,118,118,PRON,PER,her
99,124,125,NOM,FAC,the halls
51,128,128,PRON,PER,she
104,130,130,NOM,FAC,home
51,134,134,PRON,PER,she
51,136,136,PRON,PER,her
105,136,137,NOM,PER,her mom
53,139,139,PROP,PER,Felicitas
51,146,146,PRON,PER,I
197,153,154,NOM,FAC,that school
198,157,158,NOM,PER,The kids
51,164,164,PROP,PER,Sylvia
51,168,168,PRON,PER,her
106,168,169,NOM,PER,her mother
51,183,183,PRON,PER,you
199,188,188,PRON,PER,we
51,203,203,PROP,PER,Sylvia
51,205,205,PRON,PER,her
107,205,206,NOM,PER,her brothers
54,208,208,PROP,PER,Jerome
55,210,211,PROP,PER,Gonzalo Jr.
107,214,214,PRON,PER,their
108,214,215,NOM,PER,their parents
109,219,224,NOM,GPE,the crowded city of Santa Ana
2,223,224,PROP,GPE,Santa Ana
3,226,226,PROP,GPE,California
110,229,233,NOM,FAC,a farm in nearby Westminster
4,233,233,PROP,GPE,Westminster
51,235,235,PRON,PER,Her
111,235,236,NOM,PER,Her father
56,238,239,PROP,PER,Gonzalo Mendez
112,246,249,NOM,PER,a field - worker
111,257,257,PRON,PER,he
113,260,261,NOM,FAC,a farm
111,263,263,PRON,PER,He
114,268,269,NOM,PER,the boss
107,272,272,PRON,PER,their
115,272,274,NOM,FAC,their new farm
107,275,275,PRON,PER,they
57,303,304,PROP,PER,Aunt Soledad
51,306,306,PROP,PER,Sylvia
51,308,308,PRON,PER,her
107,308,309,NOM,PER,her brothers
107,311,311,PRON,PER,their
117,311,312,NOM,PER,their cousins
58,314,314,PROP,PER,Alice
5,316,316,PROP,GPE,Virginia
118,319,325,NOM,FAC,the local public school on 17th Street
6,324,325,PROP,FAC,17th Street
107,327,327,PRON,PER,they
51,331,331,PROP,PER,Sylvia
56,339,339,PROP,PER,Gonzalo
54,347,347,PROP,PER,Jerome
119,351,353,NOM,FAC,a handsome building
51,356,356,PROP,PER,Sylvia
107,358,358,PRON,PER,they
120,361,363,NOM,FAC,the parking lot
121,368,369,NOM,FAC,the street
122,373,374,NOM,FAC,the school
123,378,386,NOM,FAC,a playground with monkey bars and a red swing
107,389,389,PRON,PER,they
122,392,393,NOM,FAC,the school
107,395,395,PRON,PER,they
125,398,399,NOM,FAC,the hallways
126,408,408,PRON,PER,I
200,413,414,NOM,PER,the children
201,416,416,NOM,FAC,school/
57,419,420,PROP,PER,Aunt Soledad
107,422,422,PRON,PER,they
202,425,426,NOM,PER,the principal
203,425,428,NOM,FAC,the principal ’s office
204,430,431,NOM,PER,The secretary
57,433,434,PROP,PER,Aunt Soledad
58,441,441,PROP,PER,Alice
5,445,445,PROP,GPE,Virginia
204,448,448,PRON,PER,she
204,452,452,PRON,PER,her
51,456,456,PROP,PER,Sylvia
51,458,458,PRON,PER,her
107,458,459,NOM,PER,her brothers
126,462,462,PRON,PER,They
127,466,467,NOM,FAC,this school
204,471,472,NOM,PER,the secretary
126,475,475,PRON,PER,They
195,479,481,NOM,FAC,the Mexican school
126,486,486,PRON,PER,I
195,491,493,NOM,FAC,the Mexican school
51,495,495,PROP,PER,Sylvia
51,498,498,PRON,PER,She
51,503,503,PRON,PER,she
51,507,507,PRON,PER,She
51,512,512,PRON,PER,Her
111,512,513,NOM,PER,Her father
7,516,516,PROP,GPE,Mexico
111,519,519,PRON,PER,he
209,522,524,NOM,PER,a U.S. citizen
51,526,526,PRON,PER,Her
106,526,527,NOM,PER,Her mother
8,530,531,PROP,GPE,Puerto Rico
211,535,537,NOM,GPE,a U.S. territory
57,539,540,PROP,PER,Aunt Soledad
129,546,546,PRON,PER,we
130,550,553,NOM,LOC,this part of town
131,553,553,NOM,GPE,town
51,556,556,PROP,PER,Sylvia
51,559,559,PRON,PER,her
212,559,560,NOM,PER,her cousins
212,562,562,PRON,PER,They
212,572,572,PRON,PER,their
59,576,576,PROP,PER,Vidaurri
212,578,578,PRON,PER,their
213,578,579,NOM,PER,their father
51,589,589,PRON,PER,she
51,592,592,PRON,PER,her
107,592,593,NOM,PER,her brothers
51,597,597,PRON,PER,her
51,604,604,PRON,PER,She
215,610,610,PRON,PER,we
215,619,619,PRON,PER,our
51,623,623,PROP,PER,Mendez
204,632,633,NOM,PER,the secretary
132,636,638,NOM,PER,The Mendez children
195,643,645,NOM,FAC,the Mexican school
0,649,649,PRON,PER,I
134,654,656,NOM,PER,any of them
132,656,656,PRON,PER,them
57,662,663,PROP,PER,Aunt Soledad
57,666,666,PRON,PER,she
217,670,671,NOM,FAC,the office
51,674,674,PROP,PER,Sylvia
218,676,678,NOM,PER,the other children
57,680,680,PRON,PER,her
132,683,683,PRON,PER,they
104,685,685,NOM,FAC,home
57,687,688,PROP,PER,Aunt Soledad
60,690,690,PROP,PER,Sylvias
220,690,691,NOM,PER,Sylvias father
61,696,697,PROP,PER,Mr. Mendez
57,699,699,PRON,PER,her
61,711,711,PRON,PER,He
61,718,718,PRON,PER,He
221,720,721,NOM,PER,a businessman
61,724,724,PRON,PER,he
222,730,730,NOM,PER,people
61,736,737,PROP,PER,Mr. Mendez
62,740,741,PROP,PER,Mr. Harris
223,743,748,NOM,PER,the superintendent of the Westminster school
98,746,748,NOM,FAC,the Westminster school
61,750,751,PROP,PER,Mr. Mendez
0,754,754,PRON,PER,his
225,754,755,NOM,PER,his family
226,760,762,NOM,FAC,a nearby farm
135,765,767,NOM,FAC,The public school
136,765,770,NOM,FAC,The public school on 17th Street
6,769,770,PROP,FAC,17th Street
137,772,777,NOM,FAC,the closest school to our house
