COREF,start_token,end_token,prop,cat,text
5238,39,44,NOM,PER,a young adult tour de force
5239,86,86,NOM,PER,readers
223,105,105,PROP,PER,Westerfeld
5240,114,114,PRON,PER,YA
223,134,134,PROP,PER,Westerfeld
5241,159,159,PRON,PER,you
5241,162,162,PRON,PER,you
5242,164,164,PRON,LOC,its
5243,164,166,NOM,FAC,its dark streets
223,174,174,PROP,PER,Darcy
225,176,176,PROP,PER,Lizzie
226,180,181,PROP,PER,Cory Doctorow
227,184,186,PROP,PER,SCOTT WESTERFELD Uglies
537,187,196,NOM,FAC,Pretties Specials Extras Leviathan Behemoth Goliath The Manual of Aeronautics
227,207,208,PROP,PER,SCOTT WESTERFELD
1,209,210,PROP,GPE,New York
2,211,211,PROP,GPE,London
3,212,212,PROP,GPE,Toronto
4,213,213,PROP,GPE,Sydney
538,214,215,NOM,GPE,New Delhi
539,230,231,NOM,PER,real people
540,252,253,NOM,PER,the author
541,266,270,NOM,PER,"persons , living or dead"
5,281,289,PROP,FAC,Simon & Schuster Children ’s Publishing Division 1230 Avenue
6,291,292,PROP,LOC,the Americas
1,294,295,PROP,GPE,New York
7,297,297,PROP,GPE,NY
227,311,312,PROP,PER,Scott Westerfeld
542,387,392,NOM,FAC,The Simon & Schuster Speakers Bureau
543,395,395,NOM,PER,authors
544,397,397,PRON,PER,your
542,410,415,NOM,FAC,the Simon & Schuster Speakers Bureau
546,426,426,PRON,PER,our
228,438,439,PROP,PER,Regina Flath
547,458,462,NOM,GPE,the United States of America
8,466,469,PROP,ORG,The Library of Congress
227,480,480,PROP,PER,Scott
0,483,483,PRON,PER,I
227,485,486,PROP,PER,Scott Westerfeld
548,504,510,NOM,PER,eighteen - year - old Darcy Patel
223,509,510,PROP,PER,Darcy Patel
549,512,515,NOM,GPE,the New York City
225,519,519,PROP,PER,Lizzie
550,521,526,NOM,PER,the heroine of Darcy ’s novel
223,524,524,PROP,PER,Darcy
551,541,543,NOM,PER,a spirit guide
552,590,592,NOM,PER,East Indian Americans
1,604,605,PROP,GPE,New York
553,632,632,PRON,PER,he
544,662,662,PRON,PER,YOU
544,665,665,PRON,PER,YOU
544,668,668,PRON,PER,YOU
9,669,669,PROP,GPE,WRIMOS
544,671,671,PRON,PER,YOUR
544,681,681,PRON,PER,YOUR
554,683,683,PRON,PER,We
554,685,685,PRON,PER,ourselves
229,693,695,PROP,PER,Joan Didion Education
230,707,708,PROP,PER,Mark Twain
223,729,729,PROP,PER,Darcy
223,730,730,PRON,PER,herself
223,738,738,PRON,PER,her
223,750,750,PRON,PER,her
223,762,762,PRON,PER,her
555,762,763,NOM,PER,her parents
223,767,767,PRON,PER,her
223,770,770,PROP,PER,Darcy
556,770,772,NOM,PER,Darcy ’s mother
556,778,778,PRON,PER,her
557,778,780,NOM,PER,her best friend
558,784,785,NOM,PER,a stranger
223,800,800,PROP,PER,Darcy
223,806,806,PRON,PER,her
559,806,807,NOM,PER,her mother
223,813,813,PRON,PER,her
223,827,827,PROP,PER,Darcy
223,832,832,PRON,PER,She
10,854,857,PROP,ORG,The Underbridge Literary Agency
560,869,871,NOM,PER,a terrorist attack
561,873,879,NOM,PER,a girl who wills herself to die
561,877,877,PRON,PER,herself
562,882,889,NOM,PER,the bewitching boy she meets in the afterworld
223,885,885,PRON,PER,she
563,888,889,NOM,LOC,the afterworld
227,892,893,PROP,PER,SCOTT WESTERFELD
564,902,902,NOM,PER,families
565,905,913,NOM,PER,little sisters who are more clever than they appear
565,912,912,PRON,PER,they
223,923,923,PROP,PER,Darcy
566,929,930,NOM,PER,the characters
566,932,932,PRON,PER,their
223,949,949,PRON,PER,she
223,962,962,PROP,PER,Darcy
