start_token,end_token,supersense_category,text
1,2,noun.group,FOP AFTERWORLDS
9,9,verb.change,stay
12,12,noun.communication,shelves
19,19,noun.communication,review
24,24,noun.cognition,concept
27,27,verb.creation,executed
34,34,noun.communication,review
38,38,verb.stative,is
42,42,noun.act,tour
47,48,noun.communication,ghost story
50,50,noun.attribute,excellence
58,58,noun.communication,treatment
61,61,noun.act,writing
63,63,noun.act,publishing
64,64,noun.cognition,experience
71,71,noun.communication,novel
72,72,verb.stative,is
75,75,noun.communication,book
77,77,verb.stative,reads
81,81,noun.communication,book
86,86,noun.person,readers
88,88,verb.change,turn
90,90,noun.communication,pages
92,93,verb.communication,find out
95,95,verb.change,happens
100,100,noun.location,VOYA
103,103,noun.communication,review
105,105,noun.person,Westerfeld
107,107,verb.creation,written
110,112,noun.act,send - up
114,114,noun.communication,YA
115,115,noun.act,publishing
120,121,noun.communication,love story
125,127,noun.group,Horn Book Magazine
131,131,noun.act,accomplishment
138,138,noun.communication,command
142,142,noun.cognition,talent
144,144,verb.social,doing
150,150,verb.change,making
152,152,verb.perception,look
158,158,verb.contact,grabs
161,161,verb.motion,drags
166,166,noun.artifact,streets
168,168,verb.body,laughing
170,170,verb.body,crying
174,174,noun.person,Darcy
176,176,noun.person,Lizzie
180,181,noun.person,Cory Doctorow
182,194,noun.group,ALSO BY SCOTT WESTERFELD Uglies Pretties Specials Extras Leviathan Behemoth Goliath The Manual
196,196,noun.location,Aeronautics
203,208,noun.group,Leviathan Series Zeroes AFTERWORLDS SCOTT WESTERFELD
209,210,noun.location,New York
211,212,noun.location,London Toronto
213,215,noun.location,Sydney New Delhi
217,217,noun.communication,book
218,218,verb.stative,is
220,220,noun.artifact,work
222,222,noun.communication,fiction
225,225,noun.communication,references
228,228,noun.event,events
231,231,noun.group,people
235,235,noun.location,places
237,237,verb.consumption,used
241,241,noun.communication,names
243,243,noun.person,characters
245,245,noun.location,places
248,248,noun.event,events
249,249,verb.stative,are
253,253,noun.person,author
255,255,noun.cognition,imagination
259,259,noun.attribute,resemblance
262,262,noun.event,events
264,264,noun.state,places
266,266,noun.person,persons
268,268,verb.stative,living
270,270,noun.time,dead
272,272,verb.stative,is
276,277,noun.group,SIMON PULSE
279,279,noun.cognition,imprint
281,281,noun.group,Simon
283,284,noun.person,Schuster Children
286,287,noun.group,Publishing Division
289,292,noun.location,Avenue of the Americas
294,295,noun.location,New York
297,297,noun.location,NY
299,301,noun.group,First Simon Pulse
302,303,noun.communication,paperback edition
304,304,noun.time,September
306,306,noun.communication,Text
307,307,noun.communication,copyright
311,312,noun.person,Scott Westerfeld
314,314,noun.communication,photographs
315,315,noun.communication,copyright
324,325,noun.person,Simon Pulse
326,326,noun.communication,hardcover
327,327,noun.communication,edition
330,330,noun.communication,rights
333,333,verb.stative,including
335,335,noun.attribute,right
337,337,noun.communication,reproduction
345,345,noun.communication,form
347,348,noun.group,SIMON PULSE
350,350,noun.artifact,colophon
351,351,verb.stative,are
353,353,noun.communication,trademarks
355,357,noun.group,Simon & Schuster
361,361,noun.communication,information
364,364,noun.attribute,discounts
366,367,noun.possession,bulk purchases
370,370,verb.communication,contact
371,373,noun.group,Simon & Schuster
388,392,noun.group,Simon & Schuster Speakers Bureau
394,394,verb.motion,bring
395,395,noun.person,authors
399,399,noun.event,event
403,403,noun.communication,information
406,406,verb.creation,book
408,408,noun.event,event
409,409,verb.social,contact
411,415,noun.group,Simon & Schuster Speakers Bureau
425,425,verb.communication,visit
427,427,noun.communication,website
429,429,noun.person,www.simonspeakers.com
431,431,noun.communication,Cover
432,432,noun.act,design
434,434,noun.artifact,photo
436,436,noun.communication,illustration
438,439,noun.person,Regina Flath
441,441,noun.act,design
443,444,noun.person,Mike Rosamilia
446,446,noun.communication,text
449,449,noun.communication,book
451,451,verb.creation,set
453,454,noun.group,Minion Pro
459,462,noun.location,United States of America
467,469,noun.group,Library of Congress
471,471,verb.communication,cataloged
473,473,noun.communication,hardcover
474,474,noun.communication,edition
478,478,noun.person,Westerfeld
480,480,noun.person,Scott
485,486,noun.person,Scott Westerfeld
492,492,noun.artifact,hardcover
493,493,noun.communication,edition
498,498,noun.communication,Summary
502,502,noun.communication,chapters
506,506,noun.time,year
509,510,noun.person,Darcy Patel
511,511,verb.motion,navigates
513,515,noun.location,New York City
516,517,noun.group,publishing world
519,519,noun.person,Lizzie
522,522,noun.person,heroine
524,524,noun.person,Darcy
526,526,noun.communication,novel
528,528,verb.motion,slips
532,532,noun.location,Afterworld
535,535,verb.stative,survive
537,537,noun.event,terrorist
538,538,noun.event,attack
540,540,verb.stative,becomes
542,543,noun.person,spirit guide
547,547,verb.communication,face
549,549,noun.cognition,challenges
554,554,noun.feeling,love
561,561,noun.communication,Fiction
