COREF,start_token,end_token,prop,cat,text
85,1,1,PROP,PER,SIMON
86,8,10,PROP,PER,BECKY ALBERTALLI BALZER
87,12,13,PROP,PER,BRAY Balzer
1,15,15,PROP,GPE,Bray
369,17,21,NOM,ORG,an imprint of HarperCollins Publishers
85,23,23,PROP,PER,Simon
2,25,28,PROP,FAC,the Homo Sapiens Agenda
86,33,34,PROP,PER,Becky Albertalli
370,41,45,NOM,LOC,the United States of America
3,45,45,PROP,GPE,America
371,86,90,NOM,ORG,a division of HarperCollins Publishers
4,89,90,PROP,ORG,HarperCollins Publishers
5,93,93,PROP,GPE,Broadway
6,95,96,PROP,GPE,New York
7,102,111,PROP,FAC,Library of Congress Cataloging - in - Publication Data Albertalli
8,113,113,PROP,GPE,Becky
85,115,115,PROP,PER,Simon
86,122,123,PROP,PER,Becky Albertalli
2200,134,148,NOM,PER,"Sixteen - year - old , not - so - openly - gay Simon Spier"
85,147,148,PROP,PER,Simon Spier
85,155,155,PRON,PER,his
2201,155,156,NOM,PER,his classmate
85,159,159,PRON,PER,his
85,166,166,PRON,PER,his
2202,166,168,NOM,PER,his pen pal
372,220,221,NOM,ORG,High schools
85,239,239,PROP,PER,Simon
88,241,243,PROP,PER,the Homo Sapiens
89,255,256,PROP,PER,Torborg Davern
90,274,274,PROP,PER,Brian
91,276,276,PROP,PER,Owen
92,279,279,PROP,PER,Henry
0,285,285,PRON,PER,I
85,289,289,PROP,PER,SIMON
373,292,298,NOM,PER,THE HOMO SAPIENS AGENDA START OF BOOK
0,308,308,PRON,PER,I
0,313,313,PRON,PER,I
374,318,318,PRON,PER,We
93,328,329,PROP,PER,Martin Addison
93,333,333,PRON,PER,I
0,335,335,PRON,PER,your
0,343,343,PRON,PER,I
2203,351,352,NOM,FAC,the library
93,362,362,PRON,PER,You
93,364,364,PRON,PER,my
93,371,371,PRON,PER,I
0,377,377,PRON,PER,you
93,380,380,PRON,PER,he
93,386,386,PRON,PER,I
0,394,394,PRON,PER,your
0,397,397,PRON,PER,You
0,405,405,PRON,PER,I
93,408,408,PRON,PER,him
93,412,412,PRON,PER,He
93,414,414,PRON,PER,his
93,420,420,PRON,PER,his
93,436,436,PRON,PER,he
0,441,441,PRON,PER,I
375,453,456,NOM,PER,people like Martin Addison
93,455,456,PROP,PER,Martin Addison
0,459,459,PRON,PER,my
0,464,464,PRON,PER,I
0,471,471,PRON,PER,I
93,473,473,PRON,PER,he
0,477,477,PRON,PER,me
0,484,484,PRON,PER,I
0,486,486,PRON,PER,I
376,488,490,NOM,PER,a monumental idiot
93,492,492,PRON,PER,He
93,499,499,PRON,PER,I
0,504,504,PRON,PER,you
93,506,506,PRON,PER,my
2204,506,507,NOM,PER,my brother
93,519,519,PRON,PER,He
0,522,522,PRON,PER,me
93,527,527,PRON,PER,you
0,533,533,PRON,PER,I
85,541,541,PROP,PER,Spier
0,543,543,PRON,PER,I
93,587,587,PROP,PER,Martin
93,590,590,PRON,PER,his
93,601,601,PROP,PER,Martin
0,604,604,PRON,PER,I
93,617,617,PRON,PER,he
0,626,626,PRON,PER,you
2205,630,630,NOM,PER,people
0,635,635,PRON,PER,I
0,638,638,PRON,PER,I
0,640,640,PRON,PER,I
0,654,654,PRON,PER,me
0,656,656,PRON,PER,I
0,662,662,PRON,PER,me
0,674,674,PRON,PER,I
0,678,678,PRON,PER,I
377,694,695,NOM,LOC,the world
0,699,699,PRON,PER,me
0,705,705,PRON,PER,I
94,714,714,PROP,PER,Blue
93,717,717,PROP,PER,Martin
378,721,721,NOM,PER,anyone
94,726,726,PROP,PER,Blue
94,729,729,PRON,PER,he
379,734,736,NOM,PER,a private person
380,738,751,NOM,PER,The kind of person who would n’t forget to log out of his email
94,750,750,PRON,PER,his
381,753,766,NOM,PER,The kind of person who might never forgive me for being so totally careless
0,761,761,PRON,PER,me
0,769,769,PRON,PER,I
0,772,772,PRON,PER,I
0,779,779,PRON,PER,I
382,788,788,PRON,PER,us
94,791,791,PROP,PER,Blue
0,793,793,PRON,PER,me
0,796,796,PRON,PER,I
0,801,801,PRON,PER,I
93,807,808,PROP,PER,Martin Addison
383,811,819,NOM,PER,all the people who could have logged into Gmail
0,821,821,PRON,PER,me
384,823,823,PRON,PER,You
0,828,828,PRON,PER,I
385,842,842,PRON,PER,they
0,856,856,PRON,PER,I
0,861,861,PRON,PER,I
386,863,863,NOM,FAC,home
0,865,865,PRON,PER,my
0,868,868,PRON,PER,I
0,871,871,PRON,PER,I
0,880,880,PRON,PER,my
387,883,885,NOM,FAC,the parking lot
0,888,888,PRON,PER,I
94,891,891,PROP,PER,Blue
0,893,893,PRON,PER,my
0,908,908,PRON,PER,I
94,914,914,PRON,PER,he
93,920,920,PRON,PER,I
2205,923,923,NOM,PER,people
93,931,931,PROP,PER,Martin
0,935,935,PRON,PER,You
0,939,939,PRON,PER,you
0,943,943,PRON,PER,I
2207,954,990,NOM,PER,"Some straight kid who barely knows me , advising me on coming out . I kind of have to roll my eyes . “ Okay , well , whatever . I ’m not going to show anyone"
0,960,960,PRON,PER,me
0,963,963,PRON,PER,me
0,968,968,PRON,PER,I
0,974,974,PRON,PER,my
93,984,984,PRON,PER,I
378,990,990,NOM,PER,anyone
93,993,993,PRON,PER,he
0,1000,1000,PRON,PER,I
0,1009,1009,PRON,PER,me
378,1013,1013,NOM,PER,anyone
0,1016,1016,PRON,PER,I
93,1019,1019,PRON,PER,He
93,1027,1027,PRON,PER,his
93,1032,1032,PRON,PER,his
0,1035,1035,PRON,PER,my
93,1042,1042,PRON,PER,you
93,1045,1045,PRON,PER,you
93,1057,1057,PRON,PER,he
93,1061,1061,PRON,PER,I
0,1066,1066,PRON,PER,you
93,1074,1074,PRON,PER,you
93,1081,1081,PRON,PER,He
93,1083,1083,PRON,PER,his
0,1089,1089,PRON,PER,my
93,1096,1096,PRON,PER,he
93,1100,1100,PRON,PER,I
0,1102,1102,PRON,PER,you
95,1106,1107,PROP,PER,Abby Suso
93,1110,1110,PRON,PER,I
2210,1121,1121,PRON,PER,we
0,1126,1126,PRON,PER,you
93,1128,1128,PRON,PER,me
0,1130,1130,PRON,PER,you
93,1135,1135,PRON,PER,my
93,1139,1139,PRON,PER,He
93,1143,1143,PRON,PER,I
93,1146,1146,PRON,PER,I
93,1148,1148,PRON,PER,I
93,1152,1152,PRON,PER,you
93,1156,1156,PRON,PER,me
95,1159,1159,PROP,PER,Abby
0,1162,1162,PRON,PER,I
93,1170,1170,PRON,PER,you
0,1172,1172,PRON,PER,me
93,1180,1180,PRON,PER,you
93,1189,1189,PRON,PER,he
93,1198,1198,PRON,PER,I
93,1203,1203,PRON,PER,He
0,1206,1206,PRON,PER,me
93,1220,1220,PRON,PER,he
0,1223,1223,PRON,PER,me
0,1232,1232,PRON,PER,my
94,1238,1238,PROP,PER,Blue
96,1242,1243,PROP,PER,Jesus Christ
0,1245,1245,PRON,PER,I
0,1248,1248,PRON,PER,I
0,1250,1250,PRON,PER,I
93,1252,1252,PROP,PER,Martin
388,1260,1262,NOM,PER,a goobery nerd
0,1280,1280,PRON,PER,I
93,1284,1284,PRON,PER,he
0,1291,1291,PRON,PER,I
93,1298,1298,PRON,PER,You
0,1304,1304,PRON,PER,me
0,1309,1309,PRON,PER,I
93,1314,1314,PRON,PER,you
0,1342,1342,PRON,PER,I
0,1345,1345,PRON,PER,I
2211,1347,1348,NOM,PER,this girl
0,1350,1350,PRON,PER,I
93,1355,1355,PRON,PER,you
0,1360,1360,PRON,PER,me
0,1364,1364,PRON,PER,me
2211,1368,1368,PRON,PER,she
2212,1371,1371,NOM,FAC,there
0,1373,1373,PRON,PER,I
0,1383,1383,PRON,PER,I
0,1387,1387,PRON,PER,You
96,1401,1401,PROP,PER,Jesus
9,1410,1412,PROP,FAC,Creekwood High School
389,1415,1417,NOM,PER,The entire school
390,1424,1424,PRON,PER,We
93,1430,1430,PRON,PER,I
390,1433,1433,PRON,PER,we
2213,1440,1441,NOM,PER,each other
93,1445,1445,PROP,PER,Martin
0,1449,1449,PRON,PER,I
93,1456,1456,PROP,PER,Marty
97,1459,1460,PROP,PER,Ms. Albright
93,1483,1483,PRON,PER,He
93,1485,1485,PRON,PER,his
0,1492,1492,PRON,PER,I
0,1502,1502,PRON,PER,I
93,1505,1505,PRON,PER,He
0,1508,1508,PRON,PER,me
0,1517,1517,PRON,PER,I
93,1524,1524,PRON,PER,you
0,1526,1526,PRON,PER,me
0,1531,1531,PRON,PER,I
93,1541,1541,PRON,PER,He
0,1545,1545,PRON,PER,I
0,1549,1549,PRON,PER,I
391,1556,1556,NOM,PER,someone
93,1562,1562,PRON,PER,his
93,1568,1568,PRON,PER,he
0,1571,1571,PRON,PER,me
93,1578,1578,PRON,PER,he
94,1584,1584,PROP,PER,Blue
2214,1588,1589,NOM,PER,No one
94,1591,1591,PRON,PER,He
10,1594,1594,PROP,GPE,California
93,1598,1598,PROP,PER,Martin
0,1600,1600,PRON,PER,I
94,1604,1604,PROP,PER,Blue
93,1606,1606,PRON,PER,he
94,1611,1611,PROP,PER,Blue
10,1616,1616,PROP,GPE,California
94,1618,1618,PRON,PER,He
11,1621,1622,PROP,GPE,Shady Creek
94,1625,1625,PRON,PER,he
392,1628,1628,PRON,PER,our
393,1628,1629,NOM,FAC,our school
94,1631,1631,PROP,PER,Blue
94,1634,1634,PRON,PER,his
394,1639,1639,PRON,PER,He
391,1641,1641,NOM,PER,someone
394,1643,1643,PRON,PER,He
0,1648,1648,PRON,PER,I
0,1652,1652,PRON,PER,I
0,1659,1659,PRON,PER,I
0,1663,1663,PRON,PER,I
0,1669,1669,PRON,PER,I
0,1679,1679,PRON,PER,my
396,1679,1680,NOM,PER,my family
0,1682,1682,PRON,PER,I
0,1699,1699,PRON,PER,my
0,1709,1709,PRON,PER,My
397,1709,1710,NOM,PER,My parents
398,1718,1718,PRON,PER,you
397,1723,1723,PRON,PER,them
398,1725,1725,PRON,PER,your
399,1725,1727,NOM,PER,your French teacher
98,1733,1733,PROP,PER,Garrett
