start_token,end_token,supersense_category,text
6,15,noun.group,SAPIENS AGENDA BECKY ALBERTALLI BALZER + BRAY Balzer + Bray
16,16,verb.stative,is
18,18,noun.cognition,imprint
20,21,noun.group,HarperCollins Publishers
42,43,noun.location,United States
45,45,noun.location,America
48,48,noun.relation,part
51,51,noun.communication,book
54,54,verb.consumption,used
56,56,verb.contact,reproduced
59,59,noun.attribute,manner
62,63,noun.communication,written permission
67,67,noun.state,case
70,70,noun.communication,quotations
71,71,verb.stative,embodied
74,74,noun.communication,articles
76,76,noun.communication,reviews
79,79,noun.communication,information
80,80,verb.communication,address
81,84,noun.group,HarperCollins Children ’s Books
87,87,noun.cognition,division
89,90,noun.group,HarperCollins Publishers
93,93,noun.location,Broadway
95,96,noun.location,New York
98,98,noun.location,NY
101,104,noun.group,www.epicreads.com Library of Congress
109,111,noun.group,Publication Data Albertalli
118,119,noun.group,Homo Sapiens
120,120,noun.cognition,agenda
122,123,noun.person,Becky Albertalli
127,127,noun.communication,edition
129,129,noun.communication,pages
131,131,noun.communication,Summary
136,136,noun.time,year
147,148,noun.person,Simon Spier
150,150,verb.social,blackmailed
152,152,verb.competition,playing
153,153,noun.person,wingman
156,156,noun.person,classmate
161,161,noun.attribute,identity
167,167,noun.artifact,pen
168,168,noun.person,pal
172,172,verb.social,revealed”—Provided
174,174,noun.group,publisher
189,189,noun.communication,Secrets
191,191,noun.communication,Fiction
195,195,noun.person,Gays
197,197,noun.communication,Fiction
201,201,noun.act,Extortion
203,203,noun.communication,Fiction
209,209,noun.communication,Fiction
216,216,noun.communication,Fiction
220,221,noun.group,High schools
223,223,noun.communication,Fiction
227,227,noun.group,Schools
229,229,noun.communication,Fiction
237,237,noun.communication,Title
250,252,noun.group,Fic]—dc23 CIP AC
255,256,noun.person,Torborg Davern
269,269,noun.communication,paperback
270,270,noun.communication,edition
274,274,noun.person,Brian
276,276,noun.person,Owen
279,279,noun.person,Henry
282,282,verb.stative,are
284,284,noun.communication,reason
286,286,verb.creation,write
288,288,noun.communication,stories
299,299,noun.communication,CHAPTER
312,312,verb.perception,notice
316,316,verb.social,blackmailed
320,320,verb.contact,sitting
322,322,noun.substance,metal
323,324,noun.artifact,folding chairs
328,329,noun.person,Martin Addison
330,330,verb.communication,says
334,334,verb.cognition,read
336,336,noun.communication,email
344,344,verb.perception,look
352,352,noun.artifact,library
363,363,verb.cognition,read
365,365,noun.communication,email
372,372,verb.consumption,used
374,374,noun.artifact,computer
381,381,verb.communication,says
387,387,verb.cognition,typed
389,389,noun.communication,Gmail
392,393,verb.possession,pulled up
395,395,noun.possession,account
401,402,verb.cognition,logged out
406,406,verb.perception,stare
413,413,verb.contact,taps
415,415,noun.body,foot
418,418,noun.body,leg
421,421,noun.artifact,chair
429,429,noun.communication,point
433,433,noun.communication,name
437,437,verb.communication,asks
443,443,verb.communication,say
445,445,noun.cognition,point
448,449,noun.communication,fake name
452,452,verb.stative,keep
453,453,noun.group,people
455,456,noun.person,Martin Addison
458,458,verb.cognition,knowing
460,460,noun.communication,secret
461,461,noun.attribute,identity
465,465,verb.cognition,guess
