COREF,start_token,end_token,prop,cat,text
1,41,43,PROP,FAC,School Library Journal
825,71,76,NOM,PER,Readers going through a similar experience
825,80,80,PRON,PER,they
826,87,88,NOM,PER,cisgender readers
117,126,137,NOM,PER,Debut Author of the Year A Booklist Best Book of the Year
2,138,140,PROP,ORG,A School Library
3,155,171,PROP,FAC,A New York Public Library Notable Book A Publishers Weekly Flying Start MELISSA ALEX GINO Scholastic Inc.
4,157,157,PROP,GPE,York
22,168,169,PROP,PER,ALEX GINO
118,173,173,PRON,PER,you
118,181,181,PRON,PER,you
119,202,203,NOM,PER,the publisher
120,206,208,NOM,PER,neither the author
119,210,211,NOM,PER,the publisher
22,227,228,PROP,PER,Alex Gino
23,232,232,PROP,PER,George
119,264,265,NOM,PER,The publisher
123,285,285,PRON,PER,their
119,328,329,NOM,PER,the publisher
5,347,347,PROP,GPE,Broadway
6,349,350,PROP,GPE,New York
125,376,377,NOM,PER,the author
24,445,446,PROP,PER,Ellen Duda
118,448,448,PRON,PER,YOU
118,497,497,PRON,PER,You
77,510,510,PROP,GPE,Arnie
126,526,527,NOM,FAC,the Zoo
23,535,535,PROP,PER,George
25,552,552,PROP,PER,Mom
23,588,588,PROP,PER,George
23,592,592,PRON,PER,herself
23,602,602,PRON,PER,her
23,606,606,PRON,PER,She
23,619,619,PRON,PER,she
23,634,634,PROP,PER,George
127,639,640,NOM,FAC,the house
25,647,647,PROP,PER,Mom
128,647,649,NOM,FAC,Mom ’s room
26,658,658,PROP,PER,Scott
129,658,660,NOM,FAC,Scott ’s room
23,669,669,PRON,PER,she
23,673,673,PROP,PER,George
130,676,678,NOM,FAC,the third bedroom
25,701,701,PROP,PER,Mom
23,704,704,PROP,PER,George
131,724,725,NOM,PER,needy families
23,728,728,PROP,PER,George
132,730,730,PRON,PER,they
23,737,737,PRON,PER,her
23,753,753,PROP,PER,George
23,762,762,PRON,PER,she
23,768,768,PRON,PER,she
133,771,772,NOM,FAC,the bathroom
23,791,791,PROP,PER,George
23,798,798,PRON,PER,she
27,829,830,PROP,PER,PERFECT SKIN
134,842,842,PRON,PER,YOU
135,844,844,PRON,PER,HIM
23,851,851,PROP,PER,George
23,864,864,PRON,PER,her
23,870,870,PRON,PER,She
136,873,873,PRON,PER,them
23,875,875,PRON,PER,her
137,875,876,NOM,PER,her friends
23,878,878,PROP,PER,George
23,887,887,PRON,PER,she
23,895,895,PRON,PER,She
23,917,917,PRON,PER,She
138,923,924,NOM,PER,four girls
139,926,927,NOM,LOC,the beach
138,929,929,PRON,PER,They
23,966,966,PROP,PER,George
140,968,968,PRON,PER,They
141,970,971,NOM,PER,all girls
142,980,981,NOM,PER,two girls
142,988,988,PRON,PER,their
143,991,992,NOM,PER,each other
144,996,996,NOM,PER,One
145,1002,1003,NOM,PER,the other
23,1019,1019,PROP,PER,George
23,1023,1023,PRON,PER,she
23,1032,1032,PRON,PER,her
142,1035,1035,PRON,PER,theirs
23,1037,1037,PRON,PER,She
23,1047,1047,PRON,PER,she
23,1053,1053,PRON,PER,her
146,1053,1055,NOM,PER,her new friends
146,1061,1061,PRON,PER,They
23,1064,1064,PRON,PER,her
23,1069,1069,PRON,PER,she
146,1072,1072,PRON,PER,them
0,1074,1074,PRON,PER,My
28,1077,1077,PROP,PER,Melissa
28,1079,1079,PROP,PER,Melissa
23,1083,1083,PRON,PER,she
23,1085,1085,PRON,PER,herself
147,1090,1091,NOM,PER,no one
23,1095,1095,PRON,PER,she
23,1098,1098,PRON,PER,her
23,1108,1108,PRON,PER,her
23,1113,1113,PRON,PER,she
28,1117,1117,PROP,PER,George
28,1139,1139,PRON,PER,She
148,1148,1148,PRON,PER,your
149,1158,1158,NOM,PER,boys
28,1160,1160,PROP,PER,George
28,1173,1173,PRON,PER,she
150,1182,1187,NOM,FAC,the recycling bin at the library
151,1186,1187,NOM,FAC,the library
152,1189,1191,NOM,PER,The word girl
28,1194,1194,PRON,PER,her
28,1199,1199,PRON,PER,she
28,1205,1205,PRON,PER,her
153,1212,1213,NOM,PER,Another girls
154,1227,1228,NOM,FAC,the block
28,1230,1230,PRON,PER,her
155,1230,1231,NOM,FAC,her house
28,1238,1238,PRON,PER,she
156,1245,1247,NOM,FAC,a yard sale
157,1273,1274,NOM,PER,the universe
28,1277,1277,PRON,PER,her
28,1283,1283,PRON,PER,her
28,1288,1288,PROP,PER,George
148,1298,1298,PRON,PER,your
28,1303,1303,PROP,PER,George
28,1310,1310,PRON,PER,she
28,1325,1325,PRON,PER,Her
28,1329,1329,PRON,PER,her
28,1332,1332,PRON,PER,She
28,1344,1344,PROP,PER,George
28,1351,1351,PRON,PER,She
28,1360,1360,PRON,PER,her
28,1369,1369,PRON,PER,she
25,1374,1374,PROP,PER,Mom
28,1383,1383,PROP,PER,George
28,1386,1386,PRON,PER,she
28,1392,1392,PRON,PER,She
147,1404,1405,NOM,PER,No one
26,1411,1411,PROP,PER,Scott
159,1416,1417,NOM,FAC,the driveway
26,1425,1425,PROP,PER,Scott
26,1431,1431,PROP,PER,Scott
26,1433,1433,PROP,PER,Scott
28,1435,1435,PROP,PER,George
160,1435,1438,NOM,PER,George ’s older brother
161,1440,1443,NOM,PER,a high school freshman
28,1448,1448,PROP,PER,George
162,1462,1464,NOM,FAC,the second floor
163,1466,1468,NOM,FAC,The locked bathroom
26,1476,1476,PROP,PER,Scott
28,1479,1479,PROP,PER,George
28,1483,1483,PRON,PER,her
28,1494,1494,PRON,PER,You
827,1496,1496,NOM,FAC,there
28,1498,1498,PROP,PER,George
28,1517,1517,PRON,PER,She
28,1531,1531,PRON,PER,Her
26,1539,1539,PROP,PER,Scott
828,1549,1549,NOM,PER,bro
26,1551,1551,PRON,PER,I
26,1557,1557,PROP,PER,Scott
28,1564,1564,PROP,PER,George
28,1572,1572,PRON,PER,she
28,1583,1583,PRON,PER,She
26,1591,1591,PROP,PER,Scott
133,1600,1601,NOM,FAC,The bathroom
28,1623,1623,PRON,PER,she
26,1644,1644,PROP,PER,Scott
26,1649,1649,PROP,PER,Scott
28,1655,1655,PROP,PER,George
26,1661,1661,PRON,PER,his
26,1664,1664,PRON,PER,he
28,1669,1669,PROP,PER,George
28,1686,1686,PRON,PER,her
28,1699,1699,PROP,PER,George
28,1722,1722,PROP,PER,George
133,1730,1731,NOM,FAC,the bathroom
26,1733,1733,PROP,PER,Scott
28,1738,1738,PRON,PER,she
166,1742,1743,NOM,FAC,the kitchen
28,1745,1745,PRON,PER,She
28,1747,1747,PRON,PER,herself
28,1759,1759,PRON,PER,her
167,1770,1771,NOM,FAC,the room
28,1782,1782,PROP,PER,George
28,1785,1785,PRON,PER,her
28,1791,1791,PRON,PER,her
28,1794,1794,PRON,PER,She
28,1796,1796,PRON,PER,she
26,1815,1815,PROP,PER,Scott
168,1817,1817,NOM,FAC,downstairs
26,1823,1823,PRON,PER,his
26,1826,1826,PRON,PER,He
26,1846,1846,PRON,PER,He
26,1864,1864,PRON,PER,He
26,1882,1882,PRON,PER,his
28,1889,1889,PRON,PER,I
28,1893,1893,PRON,PER,you
28,1895,1895,PRON,PER,you
26,1902,1902,PROP,PER,Scott
26,1907,1907,PRON,PER,his
26,1910,1910,PRON,PER,his
28,1915,1915,PRON,PER,I
28,1923,1923,PROP,PER,George
26,1930,1930,PRON,PER,you
28,1935,1935,PROP,PER,George
26,1941,1941,PRON,PER,I
26,1945,1945,PROP,PER,Scott
26,1949,1949,PRON,PER,I
28,1952,1952,PRON,PER,you
28,1960,1960,PROP,PER,George
28,1963,1963,PRON,PER,her
28,1969,1969,PRON,PER,her
28,1980,1980,PRON,PER,her
28,1984,1984,PRON,PER,She
28,1986,1986,PRON,PER,her
28,1994,1994,PRON,PER,she
26,2005,2005,PROP,PER,Scott
28,2010,2010,PROP,PER,George
28,2017,2017,PRON,PER,my
829,2017,2019,NOM,PER,my little bro
28,2034,2034,PROP,PER,George
28,2039,2039,PRON,PER,She
28,2046,2046,PRON,PER,She
169,2050,2058,NOM,PER,The girls in the magazines she was looking at
28,2055,2055,PRON,PER,she
139,2072,2073,NOM,LOC,the beach
28,2075,2075,PROP,PER,George
28,2088,2088,PROP,PER,George
26,2090,2090,PRON,PER,I
25,2094,2094,PROP,PER,Mom
26,2098,2098,PRON,PER,I
26,2111,2111,PROP,PER,Scott
26,2117,2117,PRON,PER,he
26,2120,2120,PRON,PER,his
830,2164,2166,NOM,PER,this one guy
830,2172,2172,PRON,PER,him
831,2174,2176,NOM,PER,this other guy
831,2186,2186,PRON,PER,his
832,2186,2189,NOM,PER,his dead best friend
28,2206,2206,PROP,PER,George
26,2214,2214,PROP,PER,Scott
26,2218,2218,PRON,PER,He
28,2241,2241,PRON,PER,I
28,2244,2244,PRON,PER,you
833,2250,2250,NOM,PER,girls
26,2253,2253,PROP,PER,Scott
28,2260,2260,PROP,PER,George
133,2264,2265,NOM,FAC,the bathroom
28,2268,2268,PRON,PER,her
28,2277,2277,PRON,PER,her
172,2277,2278,NOM,FAC,her closet
28,2287,2287,PRON,PER,She
28,2302,2302,PRON,PER,she
28,2312,2312,PRON,PER,her
28,2315,2315,PRON,PER,her
28,2319,2319,PRON,PER,her
28,2323,2323,PRON,PER,her
28,2326,2326,PRON,PER,her
28,2330,2330,PRON,PER,she
173,2332,2333,NOM,PER,someone else
174,2335,2336,NOM,PER,anyone else
29,2341,2344,PROP,PER,CHARLOTTE DIES Ms. Udell
28,2347,2347,PRON,PER,her
28,2353,2353,PRON,PER,her
29,2363,2363,PROP,PER,Charlotte
28,2371,2371,PRON,PER,She
28,2373,2373,PRON,PER,her
28,2387,2387,PRON,PER,her
28,2392,2392,PRON,PER,her
28,2398,2398,PROP,PER,George
28,2403,2403,PRON,PER,She
29,2408,2408,PROP,PER,Charlotte
175,2410,2414,NOM,PER,"the wonderful , kind spider"
29,2428,2428,PROP,PER,Charlotte
176,2430,2433,NOM,PER,the runt pig Wilbur
29,2437,2437,PRON,PER,she
28,2447,2447,PROP,PER,George
28,2449,2449,PRON,PER,her
28,2452,2452,PRON,PER,her
28,2476,2476,PROP,PER,George
28,2488,2488,PRON,PER,She
28,2506,2506,PRON,PER,she
28,2510,2510,PRON,PER,She
28,2516,2516,PRON,PER,she
28,2519,2519,PRON,PER,she
28,2524,2524,PROP,PER,George
177,2530,2532,NOM,FAC,the quiet room
28,2535,2535,PRON,PER,Heh
834,2537,2538,NOM,PER,some girl
835,2551,2552,NOM,PER,no girl
28,2556,2556,PROP,PER,George
28,2568,2568,PROP,PER,George
28,2575,2575,PRON,PER,She
28,2581,2581,PRON,PER,She
28,2585,2585,PRON,PER,she
26,2589,2589,PROP,PER,Rick
28,2595,2595,PROP,PER,George
30,2598,2598,PROP,PER,Jeff
26,2601,2601,PROP,PER,Rick
30,2603,2603,PROP,PER,Jeff
178,2609,2609,PRON,PER,his
178,2613,2613,PRON,PER,his
26,2618,2618,PROP,PER,Rick
