start_token,end_token,supersense_category,text
7,7,noun.communication,novel
12,15,noun.group,New York Times Book
32,32,noun.act,review
37,37,noun.act,purchase
41,43,noun.group,School Library Journal
46,46,noun.communication,review
53,53,noun.communication,portrayal
60,60,noun.communication,review
68,69,noun.group,Entertainment Weekly
71,71,noun.person,Readers
72,73,verb.perception,going through
76,76,noun.cognition,experience
78,78,verb.emotion,feel
81,81,verb.stative,are
88,88,noun.person,readers
90,90,verb.possession,gain
91,91,noun.cognition,understanding
93,93,noun.feeling,empathy
130,130,noun.time,Year
137,141,noun.group,Year A School Library Journal
154,154,noun.time,Year
156,157,noun.location,New York
158,159,noun.group,Public Library
162,169,noun.group,A Publishers Weekly Flying Start MELISSA ALEX GINO
174,174,verb.possession,purchased
176,176,noun.communication,book
179,179,noun.artifact,cover
183,183,verb.stative,be
187,187,noun.communication,book
188,188,verb.stative,is
190,190,noun.possession,property
194,194,verb.communication,reported
199,199,verb.possession,destroyed
203,203,noun.person,publisher
208,208,noun.person,author
211,211,noun.person,publisher
213,213,verb.possession,received
215,215,noun.possession,payment
220,220,noun.communication,book
223,223,noun.communication,Copyright
227,228,noun.person,Alex Gino
230,230,verb.creation,published
232,232,noun.person,George
234,235,noun.group,Scholastic Press
239,240,noun.attribute,All rights
241,241,verb.possession,reserved
243,243,verb.creation,Published
255,255,noun.communication,logos
256,256,verb.stative,are
257,257,noun.communication,trademarks
260,260,noun.communication,trademarks
262,263,noun.group,Scholastic Inc.
265,265,noun.group,publisher
268,268,verb.possession,have
270,270,noun.attribute,control
275,275,verb.possession,assume
276,276,noun.act,responsibility
278,278,noun.person,author
282,283,noun.group,party websites
286,286,noun.communication,content
289,289,noun.artifact,part
292,292,noun.communication,publication
295,295,verb.contact,reproduced
297,297,verb.contact,stored
300,301,noun.artifact,retrieval system
304,304,verb.communication,transmitted
307,307,noun.cognition,form
317,317,noun.artifact,photocopying
319,319,noun.act,recording
326,326,noun.communication,permission
329,329,noun.group,publisher
332,332,noun.communication,information
334,334,noun.communication,permission
336,337,verb.communication,write to
347,347,noun.location,Broadway
349,350,noun.location,New York
352,352,noun.location,NY
356,356,noun.communication,book
357,357,verb.stative,is
359,359,noun.artifact,work
361,361,noun.communication,fiction
363,363,noun.communication,Names
365,365,noun.communication,characters
367,367,noun.location,places
370,370,noun.event,incidents
371,371,verb.stative,are
374,374,noun.artifact,product
377,377,noun.person,author
379,379,noun.cognition,imagination
382,382,verb.consumption,used
387,387,noun.attribute,resemblance
390,390,noun.person,persons
396,397,noun.artifact,business establishments
399,399,noun.event,events
403,403,verb.stative,is
416,416,noun.quantity,5
432,432,verb.creation,Printed
435,435,noun.communication,U.S.A.
438,438,noun.communication,edition
440,440,verb.change,printing
443,443,noun.act,design
445,448,noun.person,Ellen Duda T YOU
450,458,noun.person,F R WH N YO FEL DI FER NT
459,463,noun.group,TABLE OF C NTE TS
464,464,noun.communication,chapter
468,468,noun.communication,chapter
470,471,noun.person,Charlotte Dies
473,473,noun.communication,chapter
478,478,noun.communication,Pretend
480,480,noun.communication,chapter
482,482,noun.communication,Anticipation
484,484,noun.communication,chapter
488,488,noun.communication,chapter
492,492,noun.communication,chapter
494,494,noun.time,Time
506,506,noun.communication,chapter
510,510,noun.location,Arnie
513,513,noun.communication,chapter
515,515,noun.communication,Transformations
517,517,noun.communication,chapter
521,521,noun.communication,chapter
527,527,noun.location,Zoo
532,532,noun.communication,CHAPTER
534,534,noun.communication,SECRETS
536,536,verb.contact,pulled
539,539,noun.artifact,house
540,540,noun.artifact,key
