COREF,start_token,end_token,prop,cat,text
1,7,8,PROP,GPE,NEW YORK
2,10,11,PROP,FAC,SQUARE FISH
3,21,21,PROP,GPE,Broadway
1,23,24,PROP,GPE,New York
4,26,26,PROP,GPE,NY
99,38,40,PROP,PER,b. t. gottfred
260,48,52,NOM,LOC,the United States of America
5,52,52,PROP,GPE,America
6,54,55,PROP,FAC,LSC Communications
7,57,57,PROP,GPE,Harrisonburg
8,59,59,PROP,GPE,Virginia
2,61,62,PROP,FAC,Square Fish
100,71,71,PROP,PER,Macmillan
9,76,79,PROP,ORG,Henry Holt and Company
261,87,87,PRON,PER,Our
262,105,105,PRON,PER,your
263,105,107,NOM,FAC,your local bookseller
264,109,115,NOM,ORG,the Macmillan Corporate and Premium Sales Department
10,132,136,PROP,FAC,MacmillanSpecialMarkets@macmillan.com . Library of Congress
4243,161,163,NOM,PER,Two young teens
265,180,180,NOM,PER,publisher
11,227,229,PROP,GPE,the United States
101,231,232,PROP,PER,Henry Holt
102,246,249,PROP,PER,Anna Booth Square Fish
12,253,254,PROP,FAC,F'ilomena Tuosto
0,259,259,PRON,PER,I
103,261,261,PROP,PER,Carolina
103,271,271,PRON,PER,she
4244,276,277,NOM,PER,soul mates
4245,284,289,NOM,PER,the ones that have each other
4246,293,298,NOM,PER,the ones that lost each other
4247,304,304,PRON,PER,you
4248,311,319,NOM,PER,the ones that never found each other at all
103,333,333,PROP,PER,Carrie
171,337,337,PROP,GPE,Carolina
0,340,340,PRON,PER,my
266,343,343,PRON,PER,us
266,347,347,PRON,PER,our
266,356,356,PRON,PER,us
266,358,358,PRON,PER,ourselves
266,363,363,PRON,PER,we
0,372,372,PRON,PER,I
103,376,376,PROP,PER,Carrie
267,378,381,NOM,PER,this awkward eighth grader
0,385,385,PRON,PER,I
103,390,390,PROP,PER,Carolina
268,392,394,NOM,PER,this amazing freshman
0,397,397,PRON,PER,my
0,405,405,PRON,PER,I
0,420,420,PRON,PER,I
103,426,427,PROP,PER,geeky Carrie
103,432,432,PROP,PER,Carolina
269,438,440,NOM,PER,a good student
103,442,442,PRON,PER,She
0,445,445,PRON,PER,I
0,448,448,PRON,PER,I
0,453,453,PRON,PER,I
270,469,469,PRON,PER,you
0,471,471,PRON,PER,me
0,473,473,PRON,PER,I
271,477,481,NOM,PER,a geek in junior high
0,483,483,PRON,PER,I
272,492,493,NOM,PER,other people
0,495,495,PRON,PER,my
273,495,497,NOM,PER,my best friend
104,499,499,PROP,PER,Peggy
0,502,502,PRON,PER,I
274,504,504,NOM,PER,geeks
275,507,507,PRON,PER,we
272,513,513,PRON,PER,them
270,516,516,PRON,PER,you
276,523,524,NOM,PER,popular people
276,527,527,PRON,PER,they
270,529,529,PRON,PER,you
270,532,532,PRON,PER,you
275,542,542,PRON,PER,us
276,547,547,PRON,PER,their
0,554,554,PRON,PER,I
277,566,567,NOM,FAC,high school
0,569,569,PRON,PER,I
0,575,575,PRON,PER,I
0,578,578,PRON,PER,I
0,583,583,PRON,PER,I
104,595,595,PROP,PER,Peggy
104,597,597,PRON,PER,her
278,597,598,NOM,PER,her sister
0,601,601,PRON,PER,me
270,606,606,PRON,PER,you
0,612,612,PRON,PER,my
0,622,622,PRON,PER,my
0,625,625,PRON,PER,I
0,631,631,PRON,PER,I
0,650,650,PRON,PER,my
0,660,660,PRON,PER,my
279,660,661,NOM,PER,my dad
0,666,666,PRON,PER,my
0,669,669,PRON,PER,I
279,673,673,PRON,PER,him
0,678,678,PRON,PER,I
0,681,681,PRON,PER,I
0,694,694,PRON,PER,I
0,697,697,PRON,PER,my
0,707,707,PRON,PER,my
0,715,715,PRON,PER,I
0,717,717,PRON,PER,myself
0,719,719,PRON,PER,I
0,725,725,PRON,PER,I
0,731,731,PRON,PER,my
279,731,732,NOM,PER,my dad
0,736,736,PRON,PER,my
0,740,740,PRON,PER,my
0,745,745,PRON,PER,I
0,751,751,PRON,PER,I
281,759,759,NOM,PER,nobody
282,765,766,NOM,VEH,the car
0,769,769,PRON,PER,I
105,772,772,PROP,PER,Katherine
105,776,776,PROP,PER,Katherine
