start_token,end_token,supersense_category,text
3,3,noun.time,YEAR
7,8,noun.location,NEW YORK
10,11,noun.location,SQUARE FISH
13,13,noun.cognition,imprint
15,19,noun.group,"Macmillan Publishing Group , LLC"
23,24,noun.location,New York
26,26,noun.location,NY
32,32,noun.time,YEAR
34,34,noun.communication,Copyright
38,39,noun.person,b. t.
49,52,noun.location,United States of America
54,55,noun.group,LSC Communications
57,57,noun.location,Harrisonburg
59,59,noun.location,Virginia
61,62,noun.group,Square Fish
67,67,noun.communication,logo
68,68,verb.stative,are
71,71,noun.location,Macmillan
74,74,verb.consumption,used
76,77,noun.person,Henry Holt
79,79,noun.group,Company
83,83,noun.communication,license
85,85,noun.location,Macmillan
88,88,noun.communication,books
91,91,verb.possession,purchased
101,101,noun.act,use
104,104,verb.communication,contact
107,107,noun.person,bookseller
110,111,noun.group,Macmillan Corporate
113,115,noun.group,Premium Sales Department
130,130,noun.communication,mail
134,136,noun.group,Library of Congress
141,142,noun.group,Publication Data
145,146,noun.group,B. T.
150,150,noun.time,year
152,153,noun.group,b. t.
154,154,verb.possession,gottfred
156,156,noun.group,pages
163,163,noun.person,teens
164,166,verb.change,fall in love
173,173,verb.cognition,discover
177,177,verb.stative,last
180,180,noun.group,publisher
193,193,noun.communication,paperback
206,206,noun.communication,ebook
213,213,noun.communication,Fiction
225,225,verb.creation,published
228,229,noun.location,United States
231,234,noun.group,Henry Holt and Company
236,239,noun.group,LLC First Square Fish
244,244,verb.creation,designed
246,247,noun.person,Anna Booth
248,249,noun.group,Square Fish
250,250,noun.communication,logo
251,251,verb.creation,designed
253,254,noun.person,F'ilomena Tuosto
260,260,verb.communication,asked
261,261,noun.person,Carolina
264,264,noun.communication,book
272,272,verb.communication,said
276,276,noun.person,soul
277,277,noun.person,mates
287,287,verb.possession,have
296,296,verb.possession,lost
308,308,verb.communication,dedicate
315,315,verb.possession,found
330,330,noun.time,WEEK
333,333,noun.person,Carrie
336,336,verb.stative,be
339,339,verb.stative,was
341,341,noun.cognition,idea
345,345,verb.change,start
346,346,verb.consumption,using
349,349,noun.communication,names
355,355,verb.social,help
357,357,verb.cognition,take
365,365,verb.social,starting
366,367,noun.group,high school
375,375,verb.stative,be
376,376,noun.person,Carrie
381,381,noun.person,grader
389,389,verb.stative,be
