COREF,start_token,end_token,prop,cat,text
7,3,6,PROP,PER,rupi kaur Andrews McMeel
8,14,15,PROP,PER,Rupi Kaur
9,23,27,NOM,LOC,the United States of America
1,27,27,PROP,GPE,America
10,61,69,NOM,ORG,a division of Andrews McMcel Universal 1130 Walnut Street
2,64,69,PROP,FAC,Andrews McMcel Universal 1130 Walnut Street
3,71,72,PROP,GPE,Kansas City
4,74,74,PROP,GPE,Missouri
5,99,101,PROP,ORG,Library of Congress
8,111,112,PROP,PER,Rupi Kaur
6,120,121,PROP,ORG,SCHOOLSAND BUSINESSES
0,165,165,PRON,PER,me
0,166,166,PRON,PER,my
0,169,169,PRON,PER,me
0,175,175,PRON,PER,i
0,177,177,PRON,PER,i
0,179,179,PRON,PER,my
8,209,210,PROP,PER,rupi kaur
11,217,217,PRON,PER,you
12,222,222,NOM,PER,people
13,223,223,PRON,PER,he
0,230,230,PRON,PER,my
0,233,233,PRON,PER,i
12,236,236,NOM,PER,people
0,242,242,PRON,PER,me
0,252,252,PRON,PER,me
0,254,254,PRON,PER,my
13,264,264,PRON,PER,he
0,267,267,PRON,PER,i
13,270,270,PRON,PER,he
13,277,277,PRON,PER,his
13,280,280,PRON,PER,he
13,284,284,PRON,PER,his
15,284,285,NOM,PER,his father
13,288,288,PRON,PER,his
16,288,289,NOM,PER,his mother
13,293,293,PRON,PER,he
17,295,297,NOM,PER,the first boy
0,300,300,PRON,PER,me
0,301,301,PRON,PER,my
0,311,311,PRON,PER,i
0,319,319,PRON,PER,my
18,319,320,NOM,PER,my god
0,322,322,PRON,PER,i
13,327,327,PRON,PER,his
16,327,328,NOM,PER,his mother
20,338,338,PRON,PER,your
21,345,345,NOM,PER,men
22,358,358,NOM,PER,guests
23,360,361,NOM,PER,no one
20,375,375,PRON,PER,your
0,378,378,PRON,PER,my
0,381,381,PRON,PER,me
0,383,383,PRON,PER,i
24,391,392,NOM,PER,the therapist
20,399,399,PRON,PER,you
25,405,405,NOM,PER,girls
20,406,406,PRON,PER,your
26,406,407,NOM,PER,your uncles
13,413,413,PRON,PER,his
20,416,416,PRON,PER,you
13,426,426,PRON,PER,he
20,430,430,PRON,PER,you
20,436,436,PRON,PER,you
20,438,438,PRON,PER,you
20,443,443,PRON,PER,your
20,447,447,PRON,PER,your
13,460,460,PRON,PER,he
27,465,471,NOM,PER,the first male love of your life
20,470,470,PRON,PER,your
20,472,472,PRON,PER,you
13,476,476,PRON,PER,him
28,479,479,NOM,PER,father
20,483,483,PRON,PER,you
0,488,488,PRON,PER,my
0,490,490,PRON,PER,i
13,502,502,PRON,PER,she
29,510,517,NOM,PER,those who had no intention of keeping her
13,517,517,PRON,PER,her
20,523,523,PRON,PER,you
20,525,525,PRON,PER,your
30,525,526,NOM,PER,your daughter
20,527,527,PRON,PER,you
30,530,530,PRON,PER,her
20,534,534,PRON,PER,you
30,536,536,PRON,PER,her
30,549,549,PRON,PER,she
31,554,564,NOM,PER,men who hurt her cause they look so much like you
30,557,557,PRON,PER,her
31,559,559,PRON,PER,they
20,564,564,PRON,PER,you
32,567,567,NOM,PER,fathers
33,567,569,NOM,PER,fathers with daughters
34,569,569,NOM,PER,daughters
0,574,574,PRON,PER,i
30,578,578,PRON,PER,she
0,581,581,PRON,PER,i
0,594,594,PRON,PER,i
0,600,600,PRON,PER,i
35,621,621,NOM,PER,two
36,623,624,NOM,PER,one person
36,632,632,PRON,PER,they
37,648,649,NOM,PER,the other
37,654,654,PRON,PER,their
38,669,669,PRON,PER,we
39,691,692,NOM,LOC,the world
40,697,698,NOM,PER,a woman
41,703,704,NOM,FAC,a home
40,706,706,PRON,PER,she
40,710,710,PRON,PER,her
40,713,713,PRON,PER,her
42,719,719,PRON,PER,you
0,721,721,PRON,PER,my
42,727,727,PRON,PER,your
0,731,731,PRON,PER,i
42,742,742,PRON,PER,you
42,750,750,PRON,PER,you
42,754,754,PRON,PER,you
43,768,769,NOM,PER,a daughter
43,775,775,PRON,PER,her
44,775,776,NOM,PER,her father
0,786,786,PRON,PER,myself
0,787,787,PRON,PER,i
0,798,798,PRON,PER,my
0,802,802,PRON,PER,i
0,807,807,PRON,PER,my
42,820,820,PRON,PER,you
0,822,822,PRON,PER,me
0,827,827,PRON,PER,my
0,830,830,PRON,PER,me
0,834,834,PRON,PER,i
0,842,842,PRON,PER,my
0,845,845,PRON,PER,i
0,850,850,PRON,PER,i
0,858,858,PRON,PER,my
0,861,861,PRON,PER,i
0,867,867,PRON,PER,i
44,890,890,PRON,PER,he
43,892,892,PRON,PER,her
44,894,894,PRON,PER,his
44,897,897,PRON,PER,he
42,910,910,PRON,PER,your
45,910,911,NOM,PER,your mother
