start_token,end_token,supersense_category,text
2,2,noun.food,honey
4,6,noun.group,kaur Andrews McMeel
7,7,noun.food,milk
9,9,noun.food,honey
10,10,noun.communication,copyright
14,15,noun.person,Rupi Kaur
19,19,verb.possession,reserved
24,27,noun.location,United States of America
30,30,noun.relation,part
33,33,noun.communication,book
36,36,verb.consumption,used
38,38,verb.social,reproduced
41,41,noun.attribute,manner
45,45,noun.communication,permission
49,49,noun.state,case
51,51,noun.communication,reprints
54,54,noun.state,context
56,56,noun.communication,reviews
58,60,noun.group,Andrews McMcel Publishing
62,62,noun.group,division
64,69,noun.group,Andrews McMcel Universal 1130 Walnut Street
71,72,noun.location,Kansas City
74,74,noun.location,Missouri
77,78,noun.group,www.andrewsmcmeel.com www.rupikaur.com
90,90,noun.quantity,ISBN
99,102,noun.group,Library of Congress Control
103,103,noun.communication,Number
106,106,noun.communication,Illustrations
108,108,noun.communication,cover
109,109,noun.act,design
111,115,noun.group,Rupi Kaur FSC MIX FSC
118,118,noun.group,ATTENTION
120,123,noun.group,SCHOOLSAND BUSINESSES Andrews McMcel
124,124,noun.communication,books
128,128,noun.attribute,quantity
129,129,noun.possession,discounts
132,132,noun.act,purchase
136,136,noun.group,business
139,139,noun.act,sales
141,141,noun.act,use
144,144,noun.communication,information
147,147,verb.communication,e
149,149,verb.communication,mail
152,153,noun.group,McMcel Publishing
155,156,noun.group,Sales Department
158,158,noun.group,sales@amuniversal.com
162,162,noun.artifact,arms
164,164,verb.stative,hold
167,167,noun.body,heart
168,168,verb.body,woke
170,170,verb.body,crying
172,172,noun.time,night
176,176,verb.social,help
178,178,verb.communication,begged
180,180,noun.body,heart
181,181,verb.communication,said
182,182,verb.creation,write
184,184,noun.communication,book
185,185,noun.communication,contents
187,187,noun.event,hurting
188,188,noun.communication,..................................
194,194,noun.communication,............................
197,197,noun.act,breaking
208,208,noun.state,hurting
209,210,noun.person,rupi kaur
212,212,verb.stative,is
222,222,noun.group,people
224,224,verb.communication,asked
225,225,noun.food,milk
227,227,noun.food,honey
228,228,verb.motion,dripped
231,231,noun.body,lips
234,234,verb.communication,answered
236,236,noun.group,people
244,244,noun.food,milk
246,246,noun.food,honey
249,249,noun.person,boy
251,251,verb.contact,kissed
253,253,verb.contact,held
255,255,noun.body,shoulders
259,259,noun.artifact,handlebars
263,263,noun.artifact,bicycle
266,266,verb.social,rode
268,268,verb.stative,was
271,271,verb.stative,had
273,273,noun.cognition,smell
275,275,noun.state,starvation
278,278,noun.body,lips
281,282,verb.contact,picked up
285,285,noun.person,father
286,286,verb.consumption,feasting
289,289,noun.person,mother
292,292,noun.time,a.m.
294,294,verb.stative,was
297,297,noun.person,boy
299,299,verb.communication,teach
302,302,noun.body,body
303,303,verb.stative,was
305,305,verb.possession,giving
309,309,verb.emotion,wanted
313,313,verb.emotion,feel
320,320,noun.person,god
323,323,verb.emotion,feel
328,328,noun.person,mother
331,331,noun.time,a.m.
333,334,noun.person,rupi kaur
337,337,verb.communication,taught
339,339,noun.body,legs
340,340,verb.stative,are
342,343,noun.act,pit stop
345,345,noun.person,men
347,347,verb.stative,need
349,349,noun.location,place
351,351,verb.stative,rest
354,354,noun.body,body
358,358,noun.person,guests
363,363,verb.motion,comes
365,365,verb.stative,is
368,368,verb.motion,stay
370,370,noun.food,milk
372,372,noun.food,honey
374,374,verb.stative,is
376,376,noun.body,blood
379,379,noun.body,veins
380,380,verb.communication,tell
387,387,verb.cognition,forget
392,392,noun.person,therapist
393,393,verb.contact,places
395,395,noun.artifact,doll
401,401,verb.stative,is
403,403,noun.attribute,size
405,405,noun.person,girls
407,407,noun.person,uncles
409,409,verb.contact,touching
410,410,verb.stative,point
414,414,noun.body,hands
415,415,verb.stative,were
417,417,verb.communication,point
420,420,noun.body,spot
423,423,noun.body,legs
427,427,verb.perception,fingered
433,433,noun.communication,confession
437,437,verb.perception,feeling
439,439,verb.contact,pull
441,441,noun.communication,lump
444,444,noun.body,throat
448,448,noun.body,teeth
450,450,verb.communication,say
455,456,noun.time,midweek sessions
457,457,noun.food,milk
459,459,noun.food,honey
461,461,verb.stative,was
464,464,verb.stative,be
468,468,noun.person,love
471,471,noun.state,life
474,475,verb.contact,search for
479,479,noun.person,father
481,482,noun.person,rupi kaur
484,484,verb.stative,were
489,489,noun.attribute,voice
491,491,verb.cognition,decided
493,493,verb.stative,be
499,499,noun.food,milk
501,501,noun.food,honey
503,503,verb.stative,was
505,505,noun.plant,rose
508,508,noun.body,hands
512,512,verb.possession,had
514,514,noun.cognition,intention
516,516,verb.stative,keeping
522,522,noun.event,time
524,524,verb.communication,tell
526,526,noun.person,daughter
528,528,verb.communication,yell
533,533,noun.feeling,love
535,535,verb.communication,teach
538,538,verb.cognition,confuse
539,539,noun.feeling,anger
541,541,noun.attribute,kindness
543,543,verb.perception,seems
547,547,noun.cognition,idea
550,551,verb.change,grows up
553,553,verb.cognition,trust
554,554,noun.person,men
556,556,verb.body,hurt
560,560,verb.perception,look
567,567,noun.person,fathers
569,569,noun.person,daughters
571,571,noun.food,milk
573,573,noun.person,honey
576,576,verb.perception,had
577,577,noun.act,sex
579,579,verb.communication,said
584,584,verb.cognition,know
586,587,verb.change,making love
588,588,verb.emotion,feels
595,595,verb.cognition,knew
597,597,noun.state,safety
598,598,verb.perception,looked
603,603,verb.stative,spent
605,605,noun.time,time
606,606,verb.body,falling
608,608,noun.body,arms
610,610,verb.stative,were
613,613,noun.food,milk
615,615,noun.food,honey
616,616,noun.act,sex
617,617,verb.social,takes
619,619,noun.communication,consent
624,624,noun.person,person
626,626,verb.stative,lying
629,629,verb.social,doing
633,633,verb.stative,are
640,640,noun.feeling,mood
645,645,verb.emotion,want
652,652,noun.act,sex
655,655,noun.body,body
659,659,verb.emotion,love
661,661,verb.stative,is
662,662,noun.act,rape
667,667,noun.cognition,idea
670,670,verb.stative,are
674,674,noun.feeling,love
677,677,verb.cognition,choose
679,679,verb.stative,be
682,682,noun.food,milk
684,684,noun.food,honey
686,686,verb.stative,is
689,689,noun.cognition,illusion
692,692,noun.object,world
695,695,noun.cognition,idea
698,698,noun.person,woman
700,700,verb.contact,bring
701,701,noun.state,dishonor
704,704,noun.location,home
707,707,verb.social,tries
709,709,verb.stative,keep
711,711,noun.cognition,heart
714,714,noun.body,body
720,720,verb.contact,pinned
722,722,noun.body,legs
725,725,noun.object,ground
728,728,noun.body,feet
732,733,verb.motion,stand up
735,735,noun.food,milk
737,737,noun.food,honey
739,739,noun.act,rape
